Date,Open,High,Low,Close,Volume
2026-05-11,98.19,100.37,96.13,98.07,0
2026-05-12,98.39,102.72,98.0,102.18,0
2026-05-13,102.16,103.67,100.56,101.02,0
2026-05-14,101.02,102.35,99.39,101.17,0
2026-05-15,102.06,106.0,101.48,105.42,0
2026-05-18,101.74,105.21,98.6,104.38,0
2026-05-19,102.58,104.86,102.12,104.15,0
2026-05-20,104.12,104.45,96.94,98.26,0
2026-05-21,98.95,102.66,95.76,96.35,0
2026-05-22,98.0,99.43,94.73,96.6,0
2026-05-25,92.52,92.76,89.43,90.31,0
2026-05-26,93.88,94.7,89.41,93.89,0
2026-05-27,93.39,93.69,87.77,88.68,0
2026-05-28,89.11,92.52,87.11,88.9,0
2026-05-29,88.55,89.02,86.35,87.36,0
2026-06-01,88.5,94.77999877929688,88.44999694824219,92.16000366210938,322039
2026-06-02,92.4499969482422,94.0,90.12000274658205,93.76000213623048,238146
2026-06-03,93.4499969482422,97.0,93.4499969482422,96.0199966430664,260613
2026-06-04,95.75,95.91000366210938,91.91000366210938,93.04000091552734,219500
2026-06-05,92.81999969482422,93.62999725341795,89.68000030517578,90.54000091552734,252903
2026-06-08,93.0,95.47000122070312,90.38999938964844,91.3000030517578,278650
2026-06-09,91.27999877929688,91.5500030517578,85.94999694824219,88.19999694824219,278650
2026-06-10,89.4000015258789,91.87000274658205,87.38999938964844,91.8499984741211,256514
2026-06-11,92.25,93.63999938964844,85.73999786376953,86.41999816894531,287759
