Date,Open,High,Low,Close,Volume
2025-06-05,23828.689453125,23911.140625,23732.310546875,23906.970703125,3272600000
2025-06-06,23941.5703125,23951.140625,23773.359375,23792.5390625,4376700000
2025-06-09,23977.5390625,24181.4296875,23957.9609375,24181.4296875,3987200000
2025-06-10,24231.310546875,24296.470703125,24003.380859375,24162.869140625,3685200000
2025-06-11,24191.3203125,24439.349609375,24179.349609375,24366.939453125,3703300000
2025-06-12,24223.119140625,24288.759765625,24002.419921875,24035.380859375,4328700000
2025-06-13,23959.810546875,24100.3203125,23774.919921875,23892.560546875,4926000000
2025-06-16,23791.7890625,24125.05078125,23718.720703125,24060.990234375,3825900000
2025-06-17,24107.33984375,24131.439453125,23880.669921875,23980.30078125,3374200000
2025-06-18,23859.55078125,23880.240234375,23631.48046875,23710.689453125,3264300000
2025-06-19,23620.01953125,23653.55078125,23185.580078125,23237.740234375,3871900000
2025-06-20,23291.400390625,23538.630859375,23291.400390625,23530.48046875,4801500000
2025-06-23,23335.509765625,23689.130859375,23272.75,23689.130859375,3225900000
2025-06-24,23832.73046875,24229.2109375,23832.73046875,24177.0703125,3995700000
2025-06-25,24327.8203125,24533.390625,24287.859375,24474.669921875,3724300000
2025-06-26,24345.2890625,24411.48046875,24235.5390625,24325.400390625,3258500000
2025-06-27,24451.189453125,24471.529296875,24194.849609375,24284.150390625,4341600000
2025-06-30,24274.91015625,24274.91015625,24064.259765625,24072.279296875,3775900000
2025-07-02,24304.310546875,24372.69921875,24122.5703125,24221.41015625,4061300000
2025-07-03,24234.279296875,24269.140625,23920.0,24069.939453125,3594900000
2025-07-04,23900.689453125,24068.509765625,23690.939453125,23916.060546875,4021200000
2025-07-07,23828.849609375,23910.94921875,23713.779296875,23887.830078125,2516500000
2025-07-08,23927.529296875,24159.009765625,23899.599609375,24148.0703125,3039900000
2025-07-09,24061.080078125,24061.080078125,23827.150390625,23892.3203125,3197600000
2025-07-10,23865.640625,24087.58984375,23820.580078125,24028.369140625,3501100000
2025-07-11,24033.119140625,24506.30078125,24033.119140625,24139.5703125,4142000000
2025-07-14,24100.5703125,24267.83984375,24097.3203125,24203.3203125,2730300000
2025-07-15,24281.939453125,24590.119140625,24141.880859375,24590.119140625,3774900000
2025-07-16,24704.05078125,24867.810546875,24517.75,24517.759765625,3381700000
2025-07-17,24547.080078125,24672.509765625,24447.9296875,24498.94921875,3208300000
2025-07-18,24757.830078125,24825.66015625,24630.7890625,24825.66015625,2904200000
2025-07-21,24991.140625,25010.900390625,24844.80078125,24994.140625,3609000000
2025-07-22,25024.9296875,25130.029296875,24900.58984375,25130.029296875,3822400000
2025-07-23,25348.30078125,25538.0703125,25228.009765625,25538.0703125,4139800000
2025-07-24,25528.220703125,25735.890625,25502.490234375,25667.1796875,3595700000
2025-07-25,25531.58984375,25585.73046875,25355.310546875,25388.349609375,3406300000
2025-07-28,25458.869140625,25667.400390625,25399.359375,25562.130859375,3425400000
2025-07-29,25454.830078125,25530.419921875,25252.3203125,25524.44921875,3745000000
2025-07-30,25335.2109375,25499.5703125,25082.19921875,25176.9296875,4667600000
2025-07-31,24982.869140625,25000.060546875,24744.919921875,24773.330078125,4186400000
2025-08-01,24744.33984375,24856.5390625,24507.630859375,24507.810546875,3765300000
2025-08-04,24431.880859375,24748.759765625,24372.509765625,24733.44921875,2851300000
2025-08-05,24746.810546875,24925.900390625,24686.849609375,24902.529296875,3058000000
2025-08-06,24864.150390625,25002.970703125,24806.4609375,24910.630859375,2449800000
2025-08-07,24982.5,25115.16015625,24820.599609375,25081.630859375,2937800000
2025-08-08,24968.310546875,24999.109375,24812.119140625,24858.8203125,2487400000
2025-08-11,24946.55078125,24969.30078125,24775.73046875,24906.810546875,2525200000
2025-08-12,24824.0703125,25016.2890625,24801.130859375,24969.6796875,2368600000
2025-08-13,25176.51953125,25613.669921875,25176.51953125,25613.669921875,3271700000
2025-08-14,25766.619140625,25766.619140625,25449.80078125,25519.3203125,3330000000
2025-08-15,25322.099609375,25356.5390625,25167.810546875,25270.0703125,4157900000
2025-08-18,25293.33984375,25466.099609375,25176.849609375,25176.849609375,3720500000
2025-08-19,25241.2890625,25260.580078125,25083.19921875,25122.900390625,3195500000
2025-08-20,24968.5703125,25210.900390625,24887.9296875,25165.939453125,2984200000
2025-08-21,25216.419921875,25216.419921875,25000.849609375,25104.609375,2861000000
2025-08-22,25205.0390625,25349.080078125,25140.080078125,25339.140625,3359400000
2025-08-25,25606.880859375,25918.859375,25590.619140625,25829.91015625,4143300000
2025-08-26,25714.91015625,25819.69921875,25524.919921875,25524.919921875,3635400000
2025-08-27,25626.169921875,25653.919921875,25140.169921875,25201.759765625,3871200000
2025-08-28,25030.5390625,25093.650390625,24808.779296875,24998.8203125,4178800000
2025-08-29,25095.44921875,25277.509765625,25066.849609375,25077.619140625,3818100000
2025-09-01,25508.2109375,25638.33984375,25471.349609375,25617.419921875,4316800000
2025-09-02,25587.970703125,25724.73046875,25416.609375,25496.55078125,3811100000
2025-09-03,25660.650390625,25789.990234375,25276.869140625,25343.4296875,3186200000
2025-09-04,25489.130859375,25494.44921875,25013.259765625,25058.509765625,3630300000
2025-09-05,25136.240234375,25471.80078125,25090.650390625,25417.98046875,3739400000
2025-09-08,25440.009765625,25664.009765625,25387.810546875,25633.91015625,3655000000
2025-09-09,25711.0703125,26027.939453125,25675.279296875,25938.130859375,3632700000
2025-09-10,26042.41015625,26296.599609375,26017.5,26200.259765625,3793200000
2025-09-11,25987.490234375,26241.4609375,25878.970703125,26086.3203125,3992500000
2025-09-12,26539.439453125,26585.94921875,26329.66015625,26388.16015625,3332500000
2025-09-15,26308.91015625,26532.75,26280.23046875,26446.560546875,2857700000
2025-09-16,26536.630859375,26601.58984375,26332.2109375,26438.509765625,2882500000
2025-09-17,26554.189453125,26936.5,26540.5703125,26908.390625,3700800000
2025-09-18,26863.689453125,27058.029296875,26322.080078125,26544.849609375,4114200000
2025-09-19,26583.029296875,26637.640625,26414.109375,26545.099609375,4165900000
2025-09-22,26459.51953125,26479.140625,26204.009765625,26344.140625,3298400000
2025-09-23,26435.580078125,26454.08984375,26003.669921875,26159.119140625,3124500000
2025-09-24,26073.689453125,26562.880859375,26057.259765625,26518.650390625,3023200000
2025-09-25,26536.130859375,26640.529296875,26403.51953125,26484.6796875,3687000000
2025-09-26,26272.30078125,26406.05078125,26072.9296875,26128.19921875,3440600000
2025-09-29,26321.5703125,26687.720703125,26321.5703125,26622.880859375,3502800000
2025-09-30,26674.16015625,26888.400390625,26558.279296875,26855.560546875,3501900000
2025-10-02,26918.30078125,27381.83984375,26918.30078125,27287.119140625,2324600000
2025-10-03,27221.4609375,27262.0,26972.7109375,27140.919921875,1392000000
2025-10-06,27003.919921875,27145.169921875,26873.33984375,26957.76953125,1131600000
2025-10-08,26900.640625,26906.19921875,26517.44921875,26829.4609375,2105700000
2025-10-09,26862.029296875,26978.41015625,26480.580078125,26752.58984375,4013900000
2025-10-10,26523.890625,26558.869140625,26247.0390625,26290.3203125,3432000000
2025-10-13,25634.0,25895.619140625,25336.08984375,25889.48046875,5172800000
2025-10-14,25969.2109375,26102.6796875,25331.640625,25441.349609375,4753200000
2025-10-15,25714.890625,25982.2109375,25593.44921875,25910.599609375,3503900000
2025-10-16,25890.009765625,26062.80078125,25687.3203125,25888.509765625,3380900000
2025-10-17,25851.939453125,25859.8203125,25145.33984375,25247.099609375,4008400000
2025-10-20,25884.4609375,25912.76953125,25710.609375,25858.830078125,2901600000
2025-10-21,26160.240234375,26367.349609375,26017.720703125,26027.55078125,3065000000
2025-10-22,25897.619140625,25947.880859375,25653.75,25781.76953125,2830300000
2025-10-23,25718.529296875,26080.83984375,25591.66015625,25967.98046875,3104000000
2025-10-24,26177.109375,26239.9609375,26063.990234375,26160.150390625,2592100000
2025-10-27,26495.970703125,26495.970703125,26319.220703125,26433.69921875,3164600000
2025-10-28,26508.75,26519.240234375,26245.330078125,26346.140625,2857300000
2025-10-30,26545.919921875,26588.890625,26138.7890625,26282.689453125,4318800000
2025-10-31,26263.009765625,26283.9609375,25906.650390625,25906.650390625,3378200000
2025-11-03,25999.169921875,26217.119140625,25920.26953125,26158.359375,1789700000
2025-11-04,26148.0703125,26291.650390625,25911.7890625,25952.400390625,3421200000
2025-11-05,25701.630859375,25980.900390625,25496.130859375,25935.41015625,2770000000
2025-11-06,26061.580078125,26490.7109375,26061.580078125,26485.900390625,2705200000
2025-11-07,26350.740234375,26371.4609375,26167.23046875,26241.830078125,2695900000
2025-11-10,26319.400390625,26668.890625,26302.9296875,26649.060546875,3124500000
2025-11-11,26748.08984375,26788.4296875,26511.25,26696.41015625,2417600000
2025-11-12,26754.9296875,27016.400390625,26739.08984375,26922.73046875,3437300000
2025-11-13,26779.48046875,27188.810546875,26733.2109375,27073.029296875,3285700000
2025-11-14,26660.310546875,26881.880859375,26535.419921875,26572.4609375,2809900000
2025-11-17,26441.69921875,26531.80078125,26252.359375,26384.279296875,2521100000
2025-11-18,26172.26953125,26188.8203125,25821.83984375,25930.029296875,3514100000
2025-11-19,25954.23046875,26045.369140625,25742.0703125,25830.650390625,2886700000
2025-11-20,25999.779296875,26046.759765625,25692.130859375,25835.5703125,2979200000
2025-11-21,25460.419921875,25483.669921875,25178.630859375,25220.01953125,3957900000
2025-11-24,25452.869140625,25770.44921875,25369.2890625,25716.5,4422700000
2025-11-25,25948.900390625,26069.220703125,25740.5390625,25894.55078125,2962100000
2025-11-26,26046.740234375,26136.26953125,25907.060546875,25928.080078125,2564700000
2025-11-27,25945.5390625,26123.689453125,25822.66015625,25945.9296875,2682700000
2025-11-28,26011.060546875,26011.060546875,25807.55078125,25858.890625,1961600000
2025-12-01,25945.869140625,26179.720703125,25913.98046875,26033.259765625,2318600000
2025-12-02,26188.55078125,26264.130859375,25989.44921875,26095.05078125,2453000000
2025-12-03,25980.890625,25996.880859375,25724.8203125,25760.73046875,2176600000
2025-12-04,25804.009765625,25990.73046875,25649.30078125,25935.900390625,2169200000
2025-12-05,25833.109375,26131.609375,25758.169921875,26085.080078125,2973100000
2025-12-08,26067.859375,26151.4609375,25755.009765625,25765.359375,2923100000
2025-12-09,25780.970703125,25820.310546875,25386.580078125,25434.23046875,2858700000
2025-12-10,25435.490234375,25540.779296875,25257.609375,25540.779296875,2729900000
2025-12-11,25710.609375,25801.33984375,25471.5,25530.509765625,2352600000
2025-12-12,25761.41015625,26006.470703125,25697.4296875,25976.7890625,3219500000
2025-12-15,25718.140625,25824.439453125,25609.279296875,25628.880859375,2803200000
2025-12-16,25547.919921875,25547.919921875,25086.5390625,25235.41015625,2917700000
2025-12-17,25243.58984375,25494.939453125,25168.189453125,25468.779296875,2471900000
2025-12-18,25330.830078125,25511.83984375,25261.380859375,25498.130859375,2613500000
2025-12-19,25634.220703125,25747.009765625,25545.919921875,25690.529296875,3358000000
2025-12-22,25795.939453125,25859.609375,25671.330078125,25801.76953125,2362100000
2025-12-23,25875.849609375,25927.66015625,25726.44921875,25774.140625,2240900000
2025-12-24,25780.08984375,25890.869140625,25772.869140625,25818.9296875,1236300000
2025-12-29,25928.890625,26082.939453125,25630.75,25635.23046875,2931600000
2025-12-30,25636.400390625,25930.220703125,25611.23046875,25854.599609375,3138100000
2025-12-31,25801.490234375,25808.51953125,25554.310546875,25630.5390625,1651000000
2026-01-02,25717.419921875,26345.630859375,25717.419921875,26338.470703125,1489700000
2026-01-05,26361.439453125,26445.5,26256.0,26347.240234375,3692200000
2026-01-06,26502.400390625,26858.130859375,26498.359375,26710.44921875,3800900000
2026-01-07,26601.830078125,26616.939453125,26313.509765625,26458.94921875,3645300000
2026-01-08,26302.779296875,26305.689453125,25960.33984375,26149.310546875,3243300000
2026-01-09,26272.5390625,26299.3203125,26114.41015625,26231.7890625,3241700000
2026-01-12,26376.83984375,26608.48046875,26187.759765625,26608.48046875,3599600000
2026-01-13,26958.51953125,27143.66015625,26729.5390625,26848.470703125,3691700000
2026-01-14,26971.970703125,27097.720703125,26780.26953125,26999.810546875,4849600000
2026-01-15,26972.359375,27206.83984375,26808.349609375,26923.619140625,3573700000
2026-01-16,27094.849609375,27176.310546875,26741.5390625,26844.9609375,3365900000
2026-01-19,26641.599609375,26715.580078125,26533.669921875,26563.900390625,2742400000
2026-01-20,26544.900390625,26638.55078125,26363.859375,26487.509765625,2770800000
2026-01-21,26397.0390625,26692.779296875,26397.0390625,26585.060546875,2998700000
2026-01-22,26750.509765625,26779.220703125,26499.140625,26629.9609375,2990900000
2026-01-23,26861.359375,26895.939453125,26689.73046875,26749.509765625,2803500000
2026-01-26,26844.0390625,26911.439453125,26619.830078125,26765.51953125,2926500000
2026-01-27,26863.150390625,27188.900390625,26829.7109375,27126.94921875,3063200000
2026-01-28,27325.890625,27826.91015625,27258.099609375,27826.91015625,5050200000
2026-01-29,27627.109375,28056.099609375,27611.900390625,27968.08984375,4396400000
2026-01-30,27785.98046875,27887.240234375,27384.01953125,27387.109375,4427500000
2026-02-02,27097.33984375,27100.08984375,26507.619140625,26775.5703125,4835000000
2026-02-03,26995.759765625,27126.48046875,26431.80078125,26834.76953125,3425200000
2026-02-04,26797.05078125,27004.220703125,26593.1796875,26847.3203125,2984800000
2026-02-05,26627.94921875,26919.390625,26410.76953125,26885.240234375,3189800000
2026-02-06,26354.33984375,26710.33984375,26295.029296875,26559.94921875,2913300000
2026-02-09,26982.490234375,27111.5390625,26879.099609375,27027.16015625,2734500000
2026-02-10,27202.9609375,27397.650390625,27104.8203125,27183.150390625,2554300000
2026-02-11,27246.1796875,27325.98046875,27133.76953125,27266.380859375,2403700000
2026-02-12,27210.560546875,27215.630859375,26932.560546875,27032.5390625,2668800000
2026-02-13,26640.16015625,26774.439453125,26444.4609375,26567.119140625,2489000000
2026-02-16,26501.19921875,26734.41015625,26382.41015625,26705.939453125,808500000
2026-02-20,26657.83984375,26694.33984375,26356.9609375,26413.349609375,1694800000
2026-02-23,26798.970703125,27156.279296875,26798.970703125,27081.91015625,1816400000
2026-02-24,26913.6796875,26913.6796875,26480.859375,26590.3203125,2683800000
2026-02-25,26745.19921875,26870.029296875,26632.529296875,26765.720703125,2499400000
2026-02-26,27019.740234375,27024.0703125,26373.009765625,26381.01953125,2901200000
2026-02-27,26447.05078125,26701.5,26375.69921875,26630.5390625,3294400000
2026-03-02,26305.580078125,26403.849609375,25882.94921875,26059.849609375,4593500000
2026-03-03,26190.240234375,26218.9296875,25727.0,25768.080078125,4705200000
2026-03-04,25469.33984375,25470.05078125,24958.4296875,25249.48046875,4703700000
2026-03-05,25583.650390625,25736.599609375,25236.6796875,25321.33984375,3484200000
2026-03-06,25358.560546875,25806.720703125,25267.630859375,25757.2890625,3669800000
2026-03-09,25075.740234375,25442.619140625,24906.0,25408.4609375,5300800000
2026-03-10,25740.2890625,25959.900390625,25611.7890625,25959.900390625,3518600000
2026-03-11,26112.080078125,26149.640625,25819.099609375,25898.759765625,3144800000
2026-03-12,25719.470703125,25932.580078125,25521.150390625,25716.759765625,3046500000
2026-03-13,25583.55078125,25697.169921875,25419.869140625,25465.599609375,2786100000
2026-03-16,25436.26953125,25856.73046875,25317.810546875,25834.01953125,3018100000
2026-03-17,25938.4296875,26250.140625,25844.94921875,25868.5390625,2901400000
2026-03-18,25923.029296875,26117.94921875,25791.8203125,26025.419921875,2536000000
2026-03-19,25550.560546875,25737.830078125,25449.060546875,25500.580078125,3552300000
2026-03-20,25337.279296875,25563.880859375,25121.4609375,25277.3203125,4602500000
2026-03-23,24789.140625,24789.140625,24203.5390625,24382.470703125,5094400000
2026-03-24,24759.8203125,25077.08984375,24555.5,25063.7109375,3890700000
2026-03-25,25280.51953125,25390.30078125,25015.19921875,25335.94921875,4574700000
2026-03-26,25267.16015625,25278.029296875,24793.099609375,24856.4296875,3973700000
2026-03-27,24768.66015625,25095.5703125,24712.919921875,24951.880859375,3409200000
2026-03-30,24532.849609375,24811.859375,24409.5703125,24750.7890625,4149100000
2026-03-31,24818.19921875,24988.529296875,24559.5703125,24788.140625,3804700000
2026-04-01,25357.23046875,25429.759765625,25203.689453125,25294.029296875,3857700000
2026-04-02,25254.490234375,25254.490234375,24901.76953125,25116.529296875,3194600000
2026-04-08,25772.560546875,25934.1796875,25668.669921875,25893.01953125,4871300000
2026-04-09,25756.41015625,25854.80078125,25653.630859375,25752.400390625,2918000000
2026-04-10,25891.880859375,26073.970703125,25843.650390625,25893.5390625,2572900000
2026-04-13,25708.640625,25717.380859375,25508.529296875,25660.849609375,2288800000
2026-04-14,25929.400390625,25995.08984375,25668.529296875,25872.3203125,2707100000
2026-04-15,26168.25,26216.580078125,25947.3203125,25947.3203125,3021700000
2026-04-16,26122.80078125,26403.0703125,26122.80078125,26394.259765625,2805500000
2026-04-17,26210.970703125,26280.9609375,26015.439453125,26160.330078125,2793200000
2026-04-20,26204.609375,26411.689453125,26094.640625,26361.0703125,2873200000
2026-04-21,26442.2890625,26529.490234375,26342.01953125,26487.48046875,2460000000
2026-04-22,26303.599609375,26303.599609375,26073.44921875,26163.240234375,2562100000
2026-04-23,26098.810546875,26115.0703125,25840.55078125,25915.19921875,2607800000
2026-04-24,25733.609375,26004.58984375,25639.259765625,25978.0703125,2885800000
2026-04-27,25976.970703125,26086.01953125,25858.240234375,25925.650390625,2601400000
2026-04-28,25814.369140625,25896.66015625,25609.609375,25679.779296875,3263600000
2026-04-29,25842.630859375,26132.939453125,25811.4609375,26111.83984375,3783200000
2026-04-30,26008.3203125,26072.240234375,25734.16015625,25776.529296875,4129700000
2026-05-04,26138.33984375,26326.439453125,26091.859375,26095.880859375,1811100000
2026-05-05,25945.75,25945.75,25690.359375,25898.609375,1482000000
2026-05-06,26029.650390625,26213.779296875,25877.8203125,26213.779296875,3544300000
2026-05-07,26531.349609375,26669.259765625,26518.7890625,26626.279296875,3989000000
2026-05-08,26359.7890625,26470.490234375,26274.80078125,26393.7109375,3061200000
2026-05-11,26310.869140625,26427.140625,26219.259765625,26406.83984375,3079500000
2026-05-12,26497.029296875,26592.369140625,26328.83984375,26347.91015625,3082300000
2026-05-13,26369.990234375,26458.900390625,26220.119140625,26388.439453125,2820400000
2026-05-14,26836.66015625,26844.80078125,26366.859375,26389.0390625,3124300000
2026-05-15,26391.01953125,26391.01953125,25847.150390625,25962.73046875,3259900000
