Date,Open,High,Low,Close,Volume
2024-06-26,229.9,232.85,222.95,224.35,33898
2024-06-27,226.8,229.05,224.6,226.35,24577
2024-06-28,227.35,228.55,222.05,226.8,25951
2024-07-01,227.3,228.6,219.05,224.85,29757
2024-07-02,225.2,231.1,221.45,227.3,27286
2024-07-03,226.3,227.75,223.1,224.2,24203
2024-07-05,228.5,233.05,226.35,228.95,31121
2024-07-08,230.55,235.45,229.8,234.4,30426
2024-07-09,233.65,252.35,233.15,249.95,69505
2024-07-10,247.55,249.7,242.4,243.55,41281
2024-07-11,245.55,255.3,242.55,244.85,56222
2024-07-12,245.75,249.7,241.2,248.75,41202
2024-07-15,248.25,248.25,240.25,242.15,36115
2024-07-16,243.35,245.85,242.2,243.6,24748
2024-07-17,245.5,247.0,241.8,243.15,36221
2024-07-18,243.6,245.4,240.5,240.9,28637
2024-07-19,241.85,241.85,233.6,238.2,43084
2024-07-22,237.7,244.55,236.5,243.05,29203
2024-07-23,242.5,243.1,238.25,239.1,28183
2024-07-24,238.0,238.6,230.55,231.15,65166
2024-07-25,231.35,235.45,228.55,234.7,54354
2024-07-26,232.55,233.0,229.8,230.25,27813
2024-07-29,230.35,233.6,228.1,230.4,36092
2024-07-30,230.85,233.2,228.25,230.8,34123
2024-07-31,230.5,235.4,227.1,229.2,49912
2024-08-01,229.2,231.15,225.25,227.25,45184
2024-08-02,227.25,231.75,226.45,230.5,40717
2024-08-05,227.35,227.9,221.0,225.7,55936
2024-08-06,229.85,238.85,229.55,235.95,74511
2024-08-07,235.35,248.0,235.25,246.3,96167
2024-08-08,245.25,251.75,243.1,245.3,103602
2024-08-09,245.3,246.05,232.25,234.05,92062
2024-08-12,245.5,249.45,239.25,240.85,80410
2024-08-13,235.8,237.15,230.1,232.7,87108
2024-08-14,232.75,238.95,232.05,237.0,45911
2024-08-15,236.8,240.35,234.3,239.9,35779
2024-08-16,239.1,245.8,238.55,245.45,38637
2024-08-19,243.5,248.2,241.0,244.35,35482
2024-08-20,244.35,253.3,244.15,248.5,45328
2024-08-21,246.25,252.0,243.6,249.25,38811
2024-08-22,248.6,249.35,241.1,242.9,32362
2024-08-23,242.9,247.7,240.55,247.3,23707
2024-08-26,247.05,250.4,245.3,249.65,18523
2024-08-27,250.05,259.45,249.75,255.25,41067
2024-08-28,255.8,257.85,251.1,256.45,30407
2024-08-29,255.5,257.4,243.95,247.6,34199
2024-08-30,249.0,252.1,242.55,244.05,34199
2024-09-03,241.95,246.25,240.55,242.8,33460
2024-09-04,243.8,246.7,240.55,243.7,27575
2024-09-05,243.7,248.55,242.25,244.2,28625
2024-09-06,243.7,243.9,235.3,240.05,33027
2024-09-09,238.1,246.2,238.1,245.4,38385
2024-09-10,245.9,251.25,244.75,247.2,35083
2024-09-11,247.2,248.0,242.2,246.65,32011
2024-09-12,247.15,250.95,246.3,249.4,27666
2024-09-13,248.9,260.45,248.7,259.45,39049
2024-09-16,258.0,271.8,257.55,258.55,49236
2024-09-17,258.8,267.05,255.05,264.5,35603
2024-09-18,267.4,268.7,259.5,264.4,33195
2024-09-19,260.6,263.0,257.3,261.65,29181
2024-09-20,261.8,262.1,247.7,250.75,40671
2024-09-23,251.9,264.4,250.1,263.65,38442
2024-09-24,263.65,270.4,262.7,267.8,38216
2024-09-25,267.0,271.2,263.2,269.1,30049
2024-09-26,268.75,275.05,267.95,273.9,31917
2024-09-27,272.0,273.15,264.6,269.15,30805
2024-09-30,268.15,272.15,264.1,270.25,37956
2024-10-01,269.8,271.45,261.5,264.15,38073
2024-10-02,265.5,267.5,255.75,256.5,53105
2024-10-03,257.95,258.5,251.4,252.05,34049
2024-10-04,253.85,257.75,252.0,257.35,29444
2024-10-07,252.85,253.65,243.35,244.65,48648
2024-10-08,248.05,248.9,244.05,248.2,31768
2024-10-09,247.75,252.9,246.6,250.05,31036
2024-10-10,248.05,257.1,247.4,254.75,35243
2024-10-11,254.25,256.45,251.0,252.05,30206
2024-10-14,251.05,262.65,250.3,262.05,41049
2024-10-15,261.7,264.15,255.35,256.7,33814
2024-10-16,258.0,259.55,254.8,258.0,29919
2024-10-17,257.1,261.0,253.4,255.15,30057
2024-10-18,254.0,259.1,253.1,257.3,26985
2024-10-21,253.5,254.05,248.05,251.7,37912
2024-10-22,252.5,255.7,248.55,249.85,38679
2024-10-23,249.25,253.85,247.4,252.35,39830
2024-10-24,251.9,256.1,244.1,245.45,46258
2024-10-25,245.85,248.75,244.4,248.4,39577
2024-10-28,247.25,255.65,246.25,252.35,41248
2024-10-29,253.2,254.25,247.85,248.1,29905
2024-10-30,248.7,250.55,245.15,249.6,38769
2024-10-31,249.0,249.5,244.35,245.9,39874
2024-11-01,246.3,249.25,241.3,242.95,62692
2024-11-04,243.85,246.55,242.1,245.95,61349
2024-11-05,246.55,252.25,246.0,250.15,73074
2024-11-06,248.6,250.8,244.15,248.75,61797
2024-11-07,250.15,261.4,249.5,260.4,105414
2024-11-08,258.0,259.95,252.75,253.35,113602
2024-11-11,253.25,258.4,253.15,255.85,79441
2024-11-12,256.35,266.0,256.35,263.1,76696
2024-11-13,262.5,272.65,260.55,271.2,81719
2024-11-14,271.2,284.95,270.45,279.4,68134
2024-11-15,275.4,285.6,275.4,283.3,56419
2024-11-18,284.5,291.5,279.7,282.2,48017
2024-11-19,282.65,284.3,279.0,281.3,39081
2024-11-20,285.0,294.3,283.6,292.5,40645
2024-11-21,296.2,297.5,291.2,295.7,35822
2024-11-22,291.15,303.9,291.05,302.1,42025
2024-11-25,302.1,311.25,301.5,304.8,46234
2024-11-26,305.25,310.95,304.05,308.85,36386
2024-11-27,310.0,326.15,309.7,326.15,36386
2024-11-29,326.3,335.45,316.8,318.05,56357
2024-12-02,313.05,315.9,294.05,296.05,55235
2024-12-03,290.5,300.85,290.05,295.5,45752
2024-12-04,297.65,304.5,294.0,303.7,31075
2024-12-05,305.25,315.65,303.5,313.5,36402
2024-12-06,315.95,331.7,313.7,330.25,58004
2024-12-09,327.0,336.4,320.25,330.1,57680
2024-12-10,338.1,348.35,329.15,334.15,57645
2024-12-11,329.5,329.5,319.1,320.2,44605
2024-12-12,319.4,324.9,316.45,321.25,34580
2024-12-13,315.0,326.0,313.1,319.5,30274
2024-12-16,317.0,330.85,317.0,327.4,28385
