Date,Open,High,Low,Close,Volume
2025-06-03,16.92,16.97,16.66,16.9,170531
2025-06-04,16.95,17.09,16.73,16.75,148193
2025-06-05,16.75,16.78,16.46,16.57,192128
2025-06-06,16.54,16.59,16.32,16.49,250597
2025-06-09,16.49,16.75,16.42,16.67,235579
2025-06-10,16.67,16.82,16.42,16.48,226513
2025-06-11,16.4,16.6,16.34,16.42,240595
2025-06-12,16.45,16.47,16.18,16.27,227340
2025-06-13,16.43,16.5,16.07,16.13,191278
2025-06-16,16.1,16.61,15.93,16.52,249131
2025-06-17,16.47,16.5,15.98,16.08,188969
2025-06-18,16.0,16.14,15.8,15.88,188969
2025-06-20,16.1,16.29,15.99,16.1,147833
2025-06-23,16.1,16.29,15.99,16.04,148331
2025-06-24,15.95,16.17,15.71,15.77,194360
2025-06-25,15.77,16.0,15.7,15.98,191154
2025-06-26,15.93,15.98,15.55,15.65,170086
2025-06-27,15.65,16.04,15.58,15.81,123660
2025-06-30,16.6,16.74,16.14,16.2,127877
2025-07-01,16.21,16.21,15.55,15.7,202770
2025-07-02,15.8,15.97,15.44,15.58,148137
2025-07-03,15.6,16.4,15.44,16.38,173767
2025-07-07,16.3,16.46,16.07,16.28,121781
2025-07-08,16.26,16.37,16.1,16.13,88418
2025-07-09,16.15,16.61,16.08,16.56,119939
2025-07-10,16.41,16.56,16.22,16.26,120831
2025-07-11,16.32,16.6,16.2,16.57,84302
2025-07-14,16.59,16.67,16.27,16.3,86245
2025-07-15,16.28,16.61,16.25,16.56,73039
2025-07-16,16.56,16.67,16.4,16.56,63929
2025-07-17,16.55,16.88,16.54,16.74,100978
2025-07-18,16.77,17.02,16.71,16.82,108005
2025-07-21,16.82,16.86,16.35,16.37,86730
2025-07-22,16.38,16.51,16.1,16.28,102463
2025-07-23,16.28,16.33,16.03,16.24,98813
2025-07-24,16.3,16.63,16.25,16.57,100991
2025-07-25,16.6,16.64,16.23,16.29,71529
2025-07-28,16.28,16.53,16.22,16.43,56192
2025-07-29,16.45,16.74,16.37,16.59,71192
2025-07-30,16.56,16.58,16.37,16.45,57581
2025-07-31,16.49,16.61,16.28,16.35,88376
2025-08-01,16.35,16.42,16.12,16.18,83929
2025-08-04,16.17,16.47,16.17,16.25,86906
2025-08-05,16.26,16.27,15.92,16.09,122978
2025-08-06,16.13,16.16,16.0,16.01,79632
2025-08-07,16.14,16.27,15.97,16.01,80045
2025-08-08,16.02,16.35,16.02,16.25,84385
2025-08-11,16.34,16.58,16.32,16.49,108369
2025-08-12,16.55,17.05,16.53,16.94,186933
2025-08-13,16.94,17.02,16.78,16.85,137996
2025-08-14,16.84,16.85,16.51,16.58,105687
2025-08-15,16.59,16.63,16.35,16.44,72431
2025-08-18,16.47,16.49,16.2,16.25,84849
2025-08-19,16.25,16.45,16.23,16.31,68438
2025-08-20,16.28,16.69,16.28,16.57,110091
2025-08-21,16.59,16.62,16.35,16.35,70384
2025-08-22,16.34,16.51,16.27,16.48,70384
2025-08-25,16.44,16.57,16.3,16.4,49797
2025-08-26,16.36,16.51,16.31,16.41,67242
2025-08-27,16.45,16.53,16.35,16.47,80957
2025-08-28,16.45,16.53,16.31,16.48,113320
2025-08-29,16.49,16.52,16.33,16.37,112877
2025-09-02,16.51,16.52,16.12,16.15,155915
2025-09-03,16.17,16.23,16.01,16.03,157270
2025-09-04,16.06,16.09,15.66,15.69,195899
2025-09-05,15.73,15.74,15.51,15.55,222277
2025-09-08,15.6,15.7,15.38,15.63,218516
2025-09-09,15.65,15.92,15.62,15.84,254829
2025-09-10,15.88,16.02,15.7,15.93,195259
2025-09-11,15.93,15.99,15.72,15.82,200868
2025-09-12,15.78,15.87,15.67,15.79,210641
2025-09-15,15.84,16.13,15.8,16.0,247193
2025-09-16,15.95,16.1,15.82,15.9,202566
2025-09-17,15.84,15.93,15.5,15.54,115192
2025-09-18,15.53,15.54,15.16,15.38,178914
2025-09-19,15.38,15.65,15.31,15.46,120496
2025-09-22,15.5,15.72,15.17,15.25,150593
2025-09-23,15.21,15.7,15.1,15.66,198214
2025-09-24,15.67,15.75,15.56,15.64,134774
2025-09-25,15.62,15.79,15.44,15.76,140376
2025-09-26,15.75,15.96,15.68,15.87,129044
2025-09-29,16.36,16.5,16.24,16.45,122905
2025-09-30,16.42,16.69,16.31,16.6,98513
2025-10-01,16.59,16.63,16.04,16.13,129993
2025-10-02,16.17,16.54,16.16,16.4,108430
2025-10-03,16.44,16.6,16.4,16.47,65644
2025-10-06,16.51,16.83,16.48,16.81,80433
2025-10-07,16.75,16.88,16.39,16.63,96909
2025-10-08,16.66,16.74,16.26,16.29,89332
2025-10-09,16.33,16.4,16.16,16.26,72727
2025-10-10,16.28,16.35,15.97,16.1,78094
2025-10-13,16.19,16.21,15.53,15.61,142085
2025-10-14,15.59,15.94,15.36,15.88,148102
2025-10-15,15.9,15.91,15.53,15.69,89883
2025-10-16,15.67,15.87,15.58,15.8,85659
2025-10-17,15.86,15.88,15.45,15.5,73797
2025-10-20,15.53,15.78,15.51,15.72,69796
2025-10-21,15.77,15.82,15.1,15.24,124044
2025-10-22,15.28,15.44,15.03,15.1,88715
2025-10-23,15.25,15.44,15.18,15.29,75401
2025-10-24,15.2,15.34,14.93,14.97,95398
2025-10-27,15.01,15.04,14.34,14.46,151424
2025-10-28,14.5,14.59,14.28,14.37,112670
2025-10-29,14.4,14.56,14.21,14.42,110282
2025-10-30,14.35,14.42,14.07,14.28,113438
2025-10-31,14.4,14.49,14.2,14.43,117157
2025-11-03,14.49,14.73,14.36,14.65,123321
2025-11-04,14.65,14.72,14.13,14.22,133157
2025-11-05,14.22,14.32,14.05,14.11,97018
2025-11-06,14.08,14.44,14.04,14.19,93524
2025-11-07,14.2,14.37,14.07,14.1,80069
2025-11-10,14.17,14.42,14.08,14.2,112175
2025-11-11,14.27,14.48,14.17,14.25,69648
2025-11-12,14.27,14.57,14.18,14.52,98700
2025-11-13,14.53,14.77,14.37,14.44,80090
2025-11-14,14.44,15.05,14.35,14.96,131813
2025-11-17,14.86,14.94,14.65,14.8,100111
2025-11-18,14.8,14.88,14.63,14.7,93109
2025-11-19,14.65,15.05,14.62,14.66,105798
2025-11-20,14.69,14.8,14.58,14.66,71889
2025-11-21,14.72,14.83,14.56,14.78,66727
2025-11-24,14.8,14.96,14.7,14.82,67882
2025-11-25,14.84,14.97,14.79,14.91,70638
2025-11-26,14.9,15.19,14.86,15.14,106433
2025-11-28,15.11,15.29,15.08,15.21,90295
2025-12-01,15.2,15.2,14.73,14.76,138317
2025-12-02,14.75,15.07,14.72,14.98,103679
2025-12-03,14.98,15.1,14.86,14.93,80074
2025-12-04,14.92,15.0,14.78,14.88,62113
2025-12-05,14.88,15.02,14.73,14.8,82638
2025-12-08,14.81,14.93,14.72,14.82,69504
2025-12-09,14.82,14.89,14.52,14.67,132685
2025-12-10,14.7,15.02,14.66,14.91,111588
2025-12-11,14.9,14.99,14.82,14.85,49950
2025-12-12,14.83,15.27,14.83,15.1,108614
2025-12-15,15.09,15.13,14.78,14.95,91618
2025-12-16,14.95,15.07,14.78,14.82,77252
2025-12-17,14.88,14.89,14.72,14.76,74155
2025-12-18,14.73,14.8,14.38,14.48,99769
2025-12-19,14.47,14.87,14.45,14.82,74799
2025-12-22,14.87,15.09,14.83,14.99,85553
2025-12-23,15.0,15.24,14.96,15.2,102082
2025-12-24,15.16,15.34,15.16,15.29,71072
2025-12-26,15.27,15.28,15.08,15.17,52812
2025-12-29,15.19,15.34,15.11,15.26,86349
2025-12-30,15.22,15.26,14.8,14.84,112343
2025-12-31,14.85,15.22,14.8,15.01,85730
2026-01-02,14.96,15.05,14.57,14.6,102379
2026-01-05,14.61,14.84,14.6,14.73,115548
2026-01-06,14.72,14.83,14.62,14.76,108637
2026-01-07,14.74,15.04,14.69,14.98,118105
2026-01-08,14.94,15.08,14.9,14.97,151486
2026-01-09,14.94,14.99,14.78,14.89,139178
2026-01-12,14.89,14.94,14.71,14.84,116085
2026-01-13,14.84,15.0,14.78,14.89,126239
2026-01-14,14.85,14.98,14.63,14.68,138987
2026-01-15,14.65,14.68,14.41,14.57,127015
2026-01-16,14.61,15.0,14.6,14.96,133424
2026-01-20,14.92,14.98,14.7,14.72,92610
2026-01-21,14.73,14.9,14.66,14.74,81524
2026-01-22,14.72,14.98,14.7,14.96,102399
2026-01-23,14.96,14.98,14.73,14.73,85492
2026-01-26,14.75,14.87,14.67,14.79,122866
2026-01-27,14.76,15.0,14.74,14.83,122017
2026-01-28,14.84,14.87,14.67,14.71,109280
2026-01-29,14.71,14.81,14.61,14.7,129971
2026-01-30,14.7,14.71,14.15,14.27,166323
2026-02-02,14.23,14.35,14.13,14.26,154789
2026-02-03,14.26,14.7,14.21,14.63,170359
2026-02-04,14.61,14.67,14.4,14.44,127350
2026-02-05,14.42,14.44,14.2,14.27,118582
2026-02-06,14.24,14.3,14.07,14.11,228752
2026-02-09,14.19,14.53,14.15,14.35,359919
2026-02-10,14.26,14.34,14.08,14.12,363112
2026-02-11,14.1,14.12,13.82,13.84,362475
2026-02-12,13.83,13.92,13.67,13.75,340303
2026-02-13,13.75,13.87,13.73,13.78,210700
2026-02-17,14.02,14.17,13.83,13.86,247640
2026-02-18,13.85,14.19,13.85,14.17,203132
2026-02-19,14.12,14.23,14.0,14.07,161457
2026-02-20,14.06,14.46,13.98,14.3,217051
2026-02-23,13.86,14.1,13.78,14.0,173569
2026-02-24,13.97,14.13,13.93,14.01,175685
2026-02-25,13.96,14.06,13.88,14.0,127037
2026-02-26,13.95,14.19,13.93,13.95,183952
2026-02-27,13.95,13.99,13.78,13.89,131820
2026-03-02,14.15,14.29,13.88,13.91,178621
2026-03-03,13.99,14.2,13.91,13.93,156355
2026-03-04,13.97,14.07,13.7,13.73,194260
2026-03-05,13.74,13.82,13.61,13.72,146285
2026-03-06,13.74,14.17,13.69,14.1,217997
2026-03-09,14.26,14.64,14.25,14.59,321180
2026-03-10,14.3,14.57,14.17,14.38,217363
2026-03-11,14.37,14.53,14.18,14.25,162127
2026-03-12,14.35,14.49,14.12,14.38,180665
2026-03-13,14.4,14.53,14.3,14.37,121315
2026-03-16,14.41,14.44,14.15,14.19,121935
2026-03-17,14.21,14.51,14.19,14.45,157837
2026-03-18,14.39,14.84,14.35,14.8,226957
2026-03-19,14.8,15.49,14.76,15.37,359445
2026-03-20,15.33,15.72,15.27,15.7,282212
2026-03-23,15.73,15.75,15.38,15.52,275736
2026-03-24,15.5,15.91,15.4,15.88,199323
2026-03-25,15.8,15.83,15.32,15.55,232734
