Date,Open,High,Low,Close,Volume
2025-06-02,3904.42,3905.94,3871.54,3890.59,252365662.0
2025-06-03,3894.1,3902.5,3877.05,3894.38,253576640.0
2025-06-04,3893.55,3903.88,3880.57,3903.88,261895272.0
2025-06-05,3904.89,3917.69,3896.67,3917.69,315596341.0
2025-06-06,3922.24,3934.29,3914.07,3934.29,222064709.0
2025-06-09,3934.32,3945.92,3930.76,3936.32,192068500.0
2025-06-10,3935.87,3939.31,3922.68,3933.8,206836900.0
2025-06-11,3933.52,3933.52,3907.91,3919.05,204737585.0
2025-06-12,3916.75,3933.32,3911.33,3922.2,287221200.0
2025-06-13,3912.71,3912.71,3898.46,3911.42,259155600.0
2025-06-16,3903.9,3915.2,3891.82,3908.46,185824800.0
2025-06-17,3918.55,3931.81,3915.57,3930.64,256055100.0
2025-06-18,3920.22,3923.45,3908.48,3920.81,206475300.0
2025-06-19,3913.85,3917.62,3892.09,3894.18,216375080.0
2025-06-20,3893.98,3903.72,3883.43,3883.43,457687134.0
2025-06-23,3859.83,3883.98,3845.78,3879.26,313110424.0
2025-06-24,3891.13,3910.83,3890.87,3904.3,270748694.0
2025-06-25,3908.05,3932.25,3907.79,3925.98,323981200.0
2025-06-26,3923.64,3939.87,3919.48,3938.46,287934300.0
2025-06-27,3953.64,3966.2,3950.97,3966.2,278049444.0
2025-06-30,3970.09,3971.7,3958.04,3964.29,280934408.0
2025-07-01,3972.18,4001.0,3968.57,3989.76,252925232.0
2025-07-02,3991.74,4011.78,3991.74,4010.77,348787947.0
2025-07-03,4009.33,4019.57,4001.84,4019.57,221736030.0
2025-07-04,4024.11,4024.33,4004.92,4013.62,251868000.0
2025-07-07,4017.83,4031.86,4011.88,4031.86,236778100.0
2025-07-08,4039.06,4058.8,4019.68,4047.86,366359700.0
2025-07-09,4049.88,4064.58,4046.27,4057.82,249981700.0
2025-07-10,4062.74,4080.0,4061.48,4075.7,224026041.0
2025-07-11,4069.59,4102.97,4069.34,4087.81,273086109.0
2025-07-14,4091.33,4109.21,4090.98,4109.21,229851800.0
2025-07-15,4120.09,4129.77,4109.76,4119.82,288233500.0
2025-07-16,4122.24,4132.61,4119.58,4132.25,230174282.0
2025-07-17,4143.26,4163.45,4140.63,4161.43,231146400.0
2025-07-18,4172.43,4192.19,4164.25,4189.5,276876800.0
2025-07-21,4199.12,4225.79,4195.98,4207.13,290772616.0
2025-07-22,4212.0,4219.18,4191.87,4208.26,244651300.0
2025-07-23,4217.66,4231.28,4203.88,4231.28,284495564.0
2025-07-24,4237.95,4274.32,4237.72,4273.05,335911468.0
2025-07-25,4250.07,4265.0,4238.15,4261.06,324209500.0
2025-07-28,4268.02,4270.56,4241.14,4241.14,263005347.0
2025-07-29,4231.34,4238.42,4214.38,4229.41,272073900.0
2025-07-30,4234.77,4234.77,4202.25,4219.41,336376170.0
2025-07-31,4202.12,4205.99,4173.77,4173.77,352774600.0
2025-08-01,4169.28,4195.01,4151.44,4153.83,285397015.0
2025-08-04,4152.18,4202.02,4144.89,4197.23,266352088.0
2025-08-05,4208.49,4222.25,4204.64,4208.58,240122900.0
2025-08-06,4208.6,4229.23,4198.55,4227.7,256509477.0
2025-08-07,4234.17,4265.44,4233.13,4258.15,335135090.0
2025-08-08,4239.64,4251.01,4221.2,4239.83,337445740.0
2025-08-11,4238.94,4247.89,4224.25,4232.78,215977160.0
2025-08-12,4247.08,4248.73,4216.01,4220.72,240451500.0
2025-08-13,4241.11,4272.76,4235.66,4272.76,339093300.0
2025-08-14,4282.8,4282.8,4247.32,4256.52,297458900.0
2025-08-15,4236.11,4246.1,4210.51,4230.53,280316012.0
2025-08-18,4235.45,4236.49,4187.38,4187.38,258659722.0
