Date,Open,High,Low,Close,Volume
2025-06-23,8152.0,8582.0,8147.0,8534.0,19451
2025-06-24,8572.0,8835.0,8459.0,8763.0,14891
2025-06-25,8761.0,8937.0,8630.0,8696.0,12287
2025-06-26,8748.0,9092.0,8715.0,9041.0,14683
2025-06-27,9014.0,9288.0,8901.0,8921.0,15992
2025-06-30,8933.0,9088.0,8796.0,9000.0,11848
2025-07-01,8897.0,8951.0,8291.0,8317.0,30691
2025-07-02,8353.0,8535.0,8200.0,8225.0,17345
2025-07-03,8266.0,8358.0,7916.0,8101.0,29485
2025-07-07,8092.0,8340.0,7907.0,8200.0,21909
2025-07-08,8262.0,8501.0,8017.0,8090.0,21216
2025-07-09,8116.0,8397.0,8092.0,8376.0,16616
2025-07-10,8283.0,8450.0,8045.0,8059.0,21647
2025-07-11,8045.0,8220.0,8017.0,8177.0,18958
2025-07-14,8155.0,8350.0,8100.0,8287.0,15168
2025-07-15,8200.0,8250.0,7782.0,7884.0,25302
2025-07-16,7840.0,7866.0,7588.0,7639.0,27033
2025-07-17,7500.0,7500.0,7208.0,7309.0,43869
2025-07-18,7444.0,7835.0,7400.0,7800.0,21836
2025-07-21,7750.0,8234.0,7708.0,8156.0,24616
2025-07-22,8074.0,8247.0,8022.0,8149.0,19994
2025-07-23,8150.0,8485.0,8088.0,8440.0,20678
2025-07-24,8440.0,8570.0,8066.0,8124.0,20598
2025-07-25,8145.0,8363.0,8093.0,8329.0,16941
2025-07-28,8304.0,8599.0,8116.0,8518.0,21487
2025-07-29,8575.0,8723.0,8200.0,8220.0,32490
2025-07-30,8304.0,8514.0,8146.0,8192.0,17757
2025-07-31,8248.0,8552.0,8184.0,8506.0,18243
2025-08-01,8540.0,8590.0,8149.0,8232.0,23634
2025-08-04,8226.0,8226.0,7910.0,8102.0,25225
2025-08-05,8104.0,8428.0,7993.0,8363.0,25954
2025-08-06,8400.0,8498.0,8292.0,8470.0,28156
2025-08-07,8367.0,8749.0,8356.0,8644.0,37294
2025-08-08,8672.0,8815.0,8497.0,8526.0,31513
2025-08-11,8727.0,9326.0,8679.0,8778.0,47049
2025-08-12,8665.0,9056.0,8660.0,8793.0,46663
2025-08-13,8793.0,8865.0,8453.0,8566.0,30801
2025-08-14,8511.0,8537.0,8157.0,8225.0,26698
2025-08-15,8172.0,8317.0,8115.0,8235.0,16551
2025-08-18,8302.0,8500.0,8135.0,8184.0,25076
2025-08-19,8237.0,8340.0,8035.0,8178.0,17237
2025-08-20,8152.0,8230.0,7731.0,7855.0,27822
2025-08-21,7947.0,7978.0,7570.0,7650.0,21437
2025-08-22,7631.0,7961.0,7479.0,7781.0,21437
2025-08-25,7800.0,8050.0,7689.0,8024.0,10626
2025-08-26,7964.0,7968.0,7579.0,7613.0,16419
2025-08-27,7639.0,7900.0,7619.0,7847.0,14853
2025-08-28,7831.0,7865.0,7686.0,7813.0,8857
2025-08-29,7794.0,7813.0,7628.0,7710.0,8857
2025-09-02,7710.0,7799.0,7332.0,7546.0,23004
2025-09-03,7554.0,7750.0,7474.0,7669.0,14559
2025-09-04,7644.0,7671.0,7380.0,7399.0,15227
2025-09-05,7404.0,7490.0,7346.0,7471.0,14426
2025-09-08,7470.0,7485.0,7203.0,7235.0,21320
2025-09-09,7231.0,7580.0,7167.0,7395.0,23188
2025-09-10,7367.0,7530.0,7296.0,7468.0,10350
2025-09-11,7476.0,7640.0,7343.0,7528.0,19100
2025-09-12,7547.0,7600.0,7375.0,7420.0,17844
2025-09-15,7420.0,7690.0,7380.0,7644.0,19424
2025-09-16,7605.0,7644.0,7347.0,7371.0,22420
2025-09-17,7355.0,7455.0,7323.0,7385.0,15963
2025-09-18,7340.0,7350.0,7208.0,7233.0,21090
2025-09-19,7225.0,7292.0,7196.0,7243.0,15430
2025-09-22,7230.0,7230.0,6914.0,6959.0,34290
2025-09-23,6901.0,7086.0,6834.0,6992.0,23694
2025-09-24,6979.0,7142.0,6960.0,7048.0,21042
2025-09-25,7020.0,7130.0,6870.0,6925.0,21288
2025-09-26,6909.0,6970.0,6850.0,6908.0,18702
