Date,Open,High,Low,Close,Volume
2025-07-21,303.6,304.55,290.8,291.95,28334
2025-07-22,291.95,298.55,285.75,296.35,25730
2025-07-23,297.9,302.5,292.85,301.35,22992
2025-07-24,299.25,307.2,298.45,304.85,25232
2025-07-25,305.0,307.45,297.25,297.55,22612
2025-07-28,300.0,306.0,298.8,301.7,28525
2025-07-29,301.25,301.75,288.95,296.5,39214
2025-07-30,297.65,301.8,290.55,293.4,28357
2025-07-31,297.0,303.6,294.05,295.8,29429
2025-08-01,294.1,297.05,283.65,284.2,35902
2025-08-04,287.1,294.05,286.05,288.55,32154
2025-08-05,289.25,299.6,288.05,298.7,41467
2025-08-06,297.55,300.15,292.05,293.4,37469
2025-08-07,297.2,299.35,292.5,297.8,47428
2025-08-08,297.8,309.95,297.8,309.35,68959
2025-08-11,307.0,324.45,305.8,320.7,77087
2025-08-12,320.9,327.0,310.65,315.15,45949
2025-08-13,317.35,324.4,316.0,319.6,50146
2025-08-14,319.45,328.5,315.5,326.5,41218
2025-08-15,329.1,344.3,326.15,341.65,47053
2025-08-18,334.8,339.6,325.55,336.05,41491
2025-08-19,338.05,352.05,337.6,349.05,52020
2025-08-20,350.05,357.8,345.5,353.45,54760
2025-08-21,352.65,366.0,351.25,365.0,44701
2025-08-22,364.9,380.45,362.35,378.3,44701
2025-08-25,378.15,387.1,374.65,377.75,29314
2025-08-26,375.05,376.3,363.9,372.3,31409
2025-08-27,371.2,386.55,364.8,385.3,42880
2025-08-28,383.0,391.3,374.7,377.5,37594
2025-08-29,378.0,388.7,371.05,386.1,37594
2025-09-02,377.1,381.9,365.5,370.35,45682
2025-09-03,371.0,379.0,368.55,373.65,23525
2025-09-04,371.5,381.7,367.6,374.4,33953
2025-09-05,373.3,376.1,368.2,373.65,19724
2025-09-08,371.0,385.85,369.05,384.85,29246
2025-09-09,386.0,393.0,380.45,381.8,31370
2025-09-10,382.8,389.7,381.35,386.9,25391
2025-09-11,385.2,388.7,382.1,386.1,24859
2025-09-12,386.0,398.55,384.3,396.85,35975
2025-09-15,396.65,421.25,396.0,417.65,56336
2025-09-16,416.45,424.0,407.55,409.35,49176
2025-09-17,407.0,407.0,372.0,375.65,57833
2025-09-18,379.0,381.35,374.05,380.85,40015
2025-09-19,381.8,384.4,356.25,366.5,54841
2025-09-22,369.2,370.15,360.55,367.35,26205
2025-09-23,365.5,368.85,349.45,350.15,51574
2025-09-24,351.9,368.75,350.95,367.75,37636
2025-09-25,371.5,378.4,361.25,371.35,32231
2025-09-26,375.0,384.0,372.6,378.05,31841
2025-09-29,381.05,388.3,370.3,372.2,28320
2025-09-30,373.2,380.7,370.5,374.85,29419
2025-10-01,372.35,384.75,366.6,383.9,28471
2025-10-02,385.25,386.2,375.1,378.1,18489
2025-10-03,383.25,392.35,381.05,390.75,28172
2025-10-06,384.9,390.35,377.5,381.35,26534
2025-10-07,381.6,382.3,372.15,375.4,25156
2025-10-08,376.85,386.2,373.95,385.1,26939
2025-10-09,385.5,387.95,376.7,377.25,22029
2025-10-10,376.8,382.85,370.6,373.05,24882
2025-10-13,373.2,387.1,373.2,385.2,25573
2025-10-14,383.35,405.25,381.4,399.65,50472
2025-10-15,399.7,418.5,390.15,394.9,52204
2025-10-16,388.85,404.05,385.75,393.8,29032
2025-10-17,392.95,401.9,386.25,397.45,33481
2025-10-20,401.3,410.05,401.3,406.05,23333
2025-10-21,404.2,415.0,402.2,413.55,27291
2025-10-22,416.0,427.0,413.75,420.85,40093
2025-10-23,422.9,437.95,408.0,410.15,53990
2025-10-24,411.05,414.3,399.95,403.0,33410
2025-10-27,397.0,400.65,388.4,390.1,33244
2025-10-28,390.0,395.0,380.4,387.9,36674
2025-10-29,390.85,392.45,382.15,390.7,29617
2025-10-30,394.7,394.7,382.85,392.0,27614
2025-10-31,393.55,396.6,385.0,392.05,25012
2025-11-03,392.75,409.4,392.75,406.65,39515
2025-11-04,408.05,415.95,403.2,405.25,35158
2025-11-05,403.35,418.05,403.0,413.6,48659
2025-11-06,415.5,416.25,395.75,396.75,47206
2025-11-07,399.05,412.65,393.65,407.8,56423
2025-11-10,408.3,416.55,406.5,414.75,54584
2025-11-11,414.75,423.95,410.7,422.7,50225
2025-11-12,416.0,420.55,400.6,403.65,74903
2025-11-13,402.25,405.25,398.3,401.7,42772
2025-11-14,400.2,402.95,390.0,399.8,48106
2025-11-17,403.5,407.95,395.15,402.55,41418
2025-11-18,404.55,418.45,401.0,415.35,43980
2025-11-19,415.35,415.35,402.95,404.5,23100
2025-11-20,405.8,408.3,404.5,406.5,19677
2025-11-21,402.05,402.05,383.5,400.0,47489
2025-11-24,372.0,378.55,368.3,376.55,20767
2025-11-25,379.9,384.0,373.65,383.3,22356
2025-11-26,380.05,383.0,375.55,379.7,21763
2025-11-28,380.3,385.0,377.75,381.2,17200
2025-12-01,376.5,381.45,370.45,379.7,23837
2025-12-02,378.45,380.8,372.0,373.45,26413
2025-12-03,374.0,377.0,371.6,372.45,21788
2025-12-04,374.0,381.0,371.4,380.5,21868
2025-12-05,376.7,378.4,373.25,374.85,16442
2025-12-08,373.2,377.75,364.85,366.2,25004
2025-12-09,369.55,374.2,367.35,368.75,20278
2025-12-10,368.5,376.75,366.75,372.3,22167
2025-12-11,371.35,379.85,371.35,376.2,20196
2025-12-12,375.15,378.95,368.2,369.3,25604
2025-12-15,368.0,370.65,358.2,360.3,34993
2025-12-16,361.95,362.8,351.8,352.1,38650
2025-12-17,351.5,355.9,346.75,347.4,37601
