Date,Open,High,Low,Close,Volume
2025-06-26,36.266,36.831,36.238,36.651,0.0
2025-06-27,36.6515,36.7225,35.7955,35.9215,0.0
2025-06-30,36.0175,36.232,35.421,36.112,0.0
2025-07-01,36.109,36.615,35.808,36.033,0.0
2025-07-02,36.029,36.584,35.877,36.554,0.0
2025-07-03,36.5545,37.0735,36.3435,36.8445,0.0
2025-07-04,36.8465,36.975,36.6265,36.9265,0.0
2025-07-07,36.965,37.2185,36.1575,36.7735,0.0
2025-07-08,36.7935,36.8805,36.2915,36.7585,0.0
2025-07-09,36.7575,36.7705,36.2765,36.3795,0.0
2025-07-10,36.38,37.118,36.348,37.03,0.0
2025-07-11,37.0385,38.5385,36.9245,38.5075,0.0
2025-07-14,38.4135,39.1295,38.0855,38.1375,0.0
2025-07-15,38.137,38.383,37.597,37.706,0.0
2025-07-16,37.693,38.089,37.505,37.91,0.0
2025-07-17,37.928,38.175,37.552,38.142,0.0
2025-07-18,38.144,38.439,38.062,38.117,0.0
2025-07-21,38.1255,39.055,38.069,38.932,0.0
2025-07-22,38.9295,39.3105,38.7265,39.2945,0.0
2025-07-23,39.2895,39.5305,39.0625,39.2655,0.0
2025-07-24,39.3085,39.3455,38.7025,39.0615,0.0
2025-07-25,39.0695,39.1965,37.9555,38.1695,0.0
2025-07-28,38.105,38.342,37.908,38.168,0.0
2025-07-29,38.176,38.287,37.915,38.204,0.0
2025-07-30,38.21,38.253,36.801,37.128,0.0
2025-07-31,37.1455,37.2715,36.2145,36.7145,0.0
2025-08-01,36.7235,37.1835,36.3635,36.9795,0.0
2025-08-04,37.0045,37.48,36.683,37.415,0.0
2025-08-05,37.411,37.879,37.316,37.81,0.0
2025-08-06,37.8095,37.949,37.627,37.831,0.0
2025-08-07,37.8435,38.507,37.831,38.267,0.0
2025-08-08,38.288,38.478,37.9945,38.394,0.0
2025-08-11,38.398,38.413,37.553,37.625,0.0
2025-08-12,37.604,38.02,37.513,37.914,0.0
2025-08-13,37.919,38.641,37.851,38.508,0.0
2025-08-14,38.544,38.735,37.846,38.021,0.0
2025-08-15,38.026,38.106,37.688,37.992,0.0
2025-08-18,38.017,38.272,37.816,38.029,0.0
2025-08-19,38.0225,38.15,37.282,37.39,0.0
2025-08-20,37.392,37.94,36.969,37.908,0.0
2025-08-21,37.935,38.208,37.54,38.146,0.0
2025-08-22,38.1425,39.063,37.704,38.921,0.0
2025-08-25,38.9575,39.0,38.543,38.565,0.0
2025-08-26,38.5785,38.857,38.348,38.612,0.0
2025-08-27,38.642,38.705,38.099,38.596,0.0
2025-08-28,38.6065,39.121,38.579,39.054,0.0
2025-08-29,39.0315,39.969,38.733,39.829,0.0
2025-09-01,39.7455,40.925,39.5415,40.717,0.0
2025-09-02,40.755,40.926,40.147,40.8885,0.0
2025-09-03,40.872,41.468,40.635,41.217,0.0
2025-09-04,41.207,41.227,40.412,40.673,0.0
2025-09-05,40.6835,41.415,40.556,40.989,0.0
2025-09-08,40.937,41.666,40.5425,41.349,0.0
2025-09-09,41.325,41.48,40.793,40.872,0.0
2025-09-10,40.843,41.286,40.729,41.167,0.0
2025-09-11,41.152,41.759,40.903,41.561,0.0
2025-09-12,41.541,42.464,41.402,42.212,0.0
2025-09-15,42.219,42.743,42.008,42.684,0.0
2025-09-16,42.6845,42.966,42.264,42.56,0.0
