Date,Open,High,Low,Close,Volume
2025-02-10,2901.5,2905.0,2890.0,2903.5,54760
2025-02-12,2900.0,2903.0,2885.0,2899.5,17790
2025-02-13,2915.5,2939.5,2911.0,2935.5,38790
2025-02-14,2950.0,2953.0,2924.5,2924.5,23230
2025-02-17,2922.5,2940.5,2920.5,2933.0,24890
2025-02-18,2938.5,2959.5,2935.0,2943.5,33420
2025-02-19,2938.5,2950.5,2924.5,2933.5,827160
2025-02-20,2917.5,2919.0,2887.0,2900.0,70680
2025-02-21,2889.0,2906.5,2886.0,2902.5,15460
2025-02-25,2868.0,2900.5,2864.0,2893.0,850200
2025-02-26,2881.5,2884.0,2855.5,2882.5,163440
2025-02-27,2885.0,2904.5,2883.0,2903.5,138330
2025-02-28,2872.0,2877.0,2833.5,2851.0,106900
2025-03-03,2887.5,2897.5,2867.0,2897.0,34770
2025-03-04,2884.5,2888.0,2850.0,2872.5,133140
2025-03-05,2877.0,2895.0,2866.0,2882.5,73830
2025-03-06,2902.0,2926.0,2902.0,2919.0,38640
2025-03-07,2869.0,2892.5,2853.0,2873.0,95730
2025-03-10,2879.0,2881.0,2859.0,2865.5,36600
2025-03-11,2825.0,2839.0,2780.0,2839.0,189870
2025-03-12,2833.0,2871.0,2833.0,2866.0,170130
2025-03-13,2885.0,2892.0,2862.0,2862.0,99950
2025-03-14,2849.0,2890.0,2848.5,2879.5,65950
2025-03-17,2906.5,2928.0,2906.5,2928.0,73060
2025-03-18,2954.5,2964.0,2950.0,2951.0,92870
2025-03-19,2956.5,2985.5,2956.5,2966.5,38540
2025-03-21,2958.5,2990.5,2956.0,2973.5,95080
2025-03-24,2979.0,2979.5,2959.0,2959.5,65100
2025-03-25,2984.0,2989.5,2960.5,2968.5,42120
2025-03-26,2992.0,2995.0,2972.0,2985.5,37180
2025-03-27,2960.0,2984.0,2955.5,2984.0,108240
2025-03-28,2979.0,2979.0,2942.5,2959.5,202870
2025-03-31,2869.0,2878.5,2841.0,2857.0,567760
2025-04-01,2891.5,2894.0,2848.0,2852.0,417980
2025-04-02,2861.0,2861.0,2822.0,2831.5,278810
2025-04-03,2721.0,2768.0,2717.0,2763.0,711010
2025-04-04,2690.5,2708.0,2614.0,2664.0,1470500
2025-04-07,2414.0,2516.0,2390.0,2479.0,635050
2025-04-08,2558.0,2630.0,2558.0,2611.0,692720
2025-04-09,2561.0,2561.0,2488.5,2514.5,574720
2025-04-10,2750.5,2752.5,2694.0,2722.5,243790
2025-04-11,2581.5,2654.0,2580.0,2642.0,362170
2025-04-14,2673.5,2700.0,2666.0,2666.0,203290
2025-04-15,2699.5,2711.5,2696.0,2696.0,38110
2025-04-16,2699.0,2699.0,2661.0,2677.5,216870
2025-04-17,2682.5,2715.0,2674.0,2715.0,352360
2025-04-18,2731.0,2748.0,2711.5,2745.5,199810
2025-04-21,2732.5,2732.5,2705.0,2709.0,75900
2025-04-22,2704.0,2719.0,2699.0,2719.0,76650
2025-04-23,2785.0,2785.0,2757.5,2769.0,203060
2025-04-24,2799.0,2802.0,2771.0,2771.0,113750
2025-04-25,2805.0,2829.0,2804.0,2819.5,159030
2025-04-28,2844.5,2860.0,2838.5,2843.5,403610
2025-04-30,2858.0,2866.0,2844.5,2861.0,160460
2025-05-01,2864.5,2880.0,2853.5,2869.5,113820
2025-05-02,2880.5,2900.5,2872.5,2880.5,1129560
2025-05-07,2895.5,2904.0,2881.0,2890.0,613620
2025-05-08,2894.0,2899.5,2870.5,2894.0,91360
2025-05-09,2928.5,2939.0,2919.0,2931.5,1564950
2025-05-12,2946.5,2951.5,2925.0,2951.5,525710
2025-05-13,2998.5,3002.0,2974.0,2976.5,220690
2025-05-14,2972.5,2972.5,2936.0,2968.0,306740
2025-05-15,2940.0,2949.5,2931.0,2940.0,79350
2025-05-16,2946.5,2946.5,2924.5,2939.0,41200
2025-05-19,2937.5,2945.0,2930.5,2938.0,30230
2025-05-20,2957.5,2969.0,2932.0,2935.5,89030
2025-05-21,2950.0,2953.5,2925.5,2925.5,154840
2025-05-22,2911.5,2925.5,2905.0,2915.5,54800
2025-05-23,2927.0,2940.0,2927.0,2934.5,32290
2025-05-26,2943.5,2958.5,2939.5,2954.5,44760
2025-05-27,2953.0,2975.0,2947.5,2973.5,60260
2025-05-28,3001.0,3003.0,2973.5,2974.5,200050
2025-05-29,2998.5,3021.0,2993.0,3019.0,256480
2025-05-30,2977.5,3016.0,2977.5,3014.0,213160
2025-06-02,2984.5,2984.5,2968.0,2978.5,130810
2025-06-03,2984.0,2991.5,2971.5,2971.5,229670
2025-06-04,2988.0,2995.5,2985.0,2989.0,209810
2025-06-05,2971.0,2972.5,2955.0,2957.5,59520
2025-06-06,2963.5,2977.0,2963.5,2970.5,29090
2025-06-09,2992.5,2995.5,2987.0,2987.5,128150
2025-06-10,2997.0,3009.0,2984.5,2986.5,171900
2025-06-11,2999.0,3000.0,2987.0,2991.5,84680
2025-06-12,2992.0,2996.5,2977.0,2984.0,51190
2025-06-13,2972.5,2980.5,2944.5,2956.0,118090
2025-06-16,2977.5,2988.0,2969.0,2981.5,61690
2025-06-17,2983.5,2992.0,2981.0,2990.5,48530
2025-06-18,2978.5,3015.0,2978.5,3013.0,83590
2025-06-19,3009.0,3011.0,2990.0,2997.0,69230
2025-06-20,2992.0,3000.0,2975.0,2975.0,51880
2025-06-23,2963.0,2965.5,2949.0,2963.0,152210
2025-06-24,2994.5,3005.0,2979.5,2979.5,107820
2025-06-25,2995.0,2996.0,2974.0,2985.0,68170
2025-06-26,2989.0,3011.0,2974.5,3011.0,98970
2025-06-27,3033.0,3057.0,3031.0,3051.0,214870
2025-06-30,3077.0,3083.0,3057.0,3065.0,350460
2025-07-01,3059.0,3059.0,3036.0,3040.0,193470
2025-07-02,3021.0,3048.0,3021.0,3048.0,193150
2025-07-03,3033.0,3039.0,3024.0,3038.0,144570
2025-07-04,3055.0,3055.0,3030.0,3036.0,54350
2025-07-07,3038.0,3040.0,3016.0,3020.0,53210
2025-07-08,3018.0,3030.0,3015.0,3024.0,517600
2025-07-09,2972.5,2975.0,2957.0,2968.0,285270
2025-07-10,2963.0,2964.0,2939.0,2949.0,163710
2025-07-11,2968.5,2981.5,2956.0,2963.5,505470
2025-07-14,2957.0,2974.0,2948.5,2963.5,264090
2025-07-15,2974.0,2979.0,2958.5,2963.0,223230
2025-07-16,2966.0,2970.0,2952.0,2960.5,143380
