Date,Open,High,Low,Close,Volume
2024-07-12,2545.46,2574.96,2537.22,2566.19,12915490.0
2024-07-15,2565.44,2569.86,2549.16,2569.86,10371215.0
2024-07-16,2561.68,2561.68,2485.65,2485.93,18003508.0
2024-07-17,2489.58,2506.29,2426.37,2454.63,19039624.0
2024-07-18,2467.45,2503.98,2446.52,2496.44,18528711.0
2024-07-19,2483.64,2489.33,2457.37,2476.38,11016825.0
2024-07-22,2487.73,2497.79,2471.19,2481.28,9506452.0
2024-07-23,2483.57,2483.57,2432.85,2445.06,12136809.0
2024-07-24,2430.5,2455.16,2424.18,2431.72,11834210.0
2024-07-25,2398.7,2416.59,2381.59,2415.63,16787572.0
2024-07-26,2417.66,2428.54,2398.97,2407.15,9161935.0
2024-07-29,2425.67,2436.16,2400.96,2419.12,10533307.0
2024-07-30,2425.17,2432.52,2384.77,2384.77,15397787.0
2024-07-31,2409.78,2426.29,2401.13,2421.49,18447098.0
2024-08-01,2426.28,2426.28,2373.86,2374.62,11818914.0
2024-08-02,2349.22,2356.41,2327.87,2339.16,16426478.0
2024-08-05,2261.66,2273.65,2219.4,2266.27,28704923.0
2024-08-06,2291.6,2297.67,2215.98,2237.76,23107520.0
2024-08-07,2242.1,2248.13,2222.76,2236.35,16372780.0
2024-08-08,2233.19,2266.13,2193.1,2264.1,17357336.0
2024-08-09,2281.19,2292.41,2250.0,2258.52,13422112.0
2024-08-12,2274.83,2336.36,2274.83,2335.65,12609558.0
2024-08-13,2348.33,2353.79,2321.26,2330.32,16396057.0
2024-08-14,2351.09,2357.56,2332.84,2344.14,15063371.0
2024-08-16,2385.05,2421.06,2383.77,2421.06,17718937.0
2024-08-19,2417.49,2437.46,2409.25,2426.89,13036574.0
2024-08-20,2430.17,2430.32,2381.36,2383.43,8198629.0
2024-08-21,2388.3,2405.75,2383.46,2401.57,12264113.0
2024-08-22,2413.93,2419.89,2394.92,2400.05,19695520.0
2024-08-23,2417.26,2417.26,2394.2,2401.25,14349646.0
2024-08-26,2405.51,2411.08,2385.2,2395.38,10105408.0
2024-08-27,2401.19,2401.63,2367.51,2396.22,11679725.0
2024-08-28,2391.94,2396.28,2367.96,2383.94,13752732.0
2024-08-29,2384.3,2409.58,2377.69,2403.14,14983709.0
2024-08-30,2412.24,2419.99,2392.84,2412.16,30646198.0
2024-09-02,2404.71,2467.23,2388.32,2456.07,18828117.0
2024-09-03,2454.58,2457.66,2409.5,2409.5,15474032.0
2024-09-04,2389.06,2405.94,2378.66,2403.12,12553514.0
2024-09-05,2397.92,2414.75,2365.15,2371.94,14577198.0
2024-09-06,2367.09,2375.15,2316.94,2318.2,16433018.0
2024-09-09,2331.73,2338.79,2319.09,2330.89,11761887.0
2024-09-10,2332.97,2344.16,2300.78,2307.54,15866784.0
2024-09-11,2306.1,2306.1,2259.72,2262.33,18491288.0
