Date,Open,High,Low,Close,Volume
2024-07-15,0.955,0.955,0.955,0.955,4
2024-07-17,0.955,0.955,0.955,0.955,77
2024-07-19,0.955,0.955,0.955,0.955,13
2024-07-22,0.955,0.955,0.955,0.955,6
2024-07-23,0.955,0.955,0.955,0.955,20
2024-07-24,0.955,0.955,0.955,0.955,6
2024-07-25,0.955,0.955,0.955,0.955,40
2024-07-29,0.955,0.955,0.955,0.955,10
2024-08-01,0.955,0.955,0.955,0.955,7
2024-08-02,0.955,0.955,0.955,0.955,6
2024-08-06,0.955,0.955,0.955,0.955,4
2024-08-07,0.955,0.955,0.955,0.955,52
2024-08-08,0.955,0.955,0.955,0.955,120
2024-08-09,0.955,0.955,0.955,0.955,117
2024-08-12,0.95,0.95,0.95,0.95,1434
2024-08-13,0.95,0.95,0.95,0.95,15
2024-08-16,0.95,0.95,0.95,0.95,4
2024-08-20,0.95,0.95,0.95,0.95,5200
2024-08-22,0.97,0.97,0.97,0.97,200
2024-08-23,0.925,0.925,0.925,0.925,20
2024-08-26,0.925,0.925,0.925,0.925,91
2024-08-27,0.925,0.925,0.925,0.925,3
2024-08-28,0.925,0.925,0.925,0.925,110
2024-08-29,0.925,0.925,0.925,0.925,2
2024-08-30,0.925,0.925,0.925,0.925,3
2024-09-02,0.925,0.925,0.925,0.925,7
2024-09-03,0.925,0.925,0.925,0.925,11
2024-09-04,0.925,0.925,0.925,0.925,6
2024-09-06,0.925,0.925,0.925,0.925,1414
2024-09-09,0.925,0.925,0.925,0.925,6
2024-09-10,0.925,0.925,0.925,0.925,17
2024-09-11,0.925,0.925,0.925,0.925,231
2024-09-12,0.925,0.925,0.925,0.925,14
2024-09-16,0.92,0.92,0.92,0.92,348
2024-09-17,0.92,0.92,0.92,0.92,100
2024-09-18,0.92,0.92,0.92,0.92,203
2024-09-20,0.92,0.92,0.92,0.92,12
2024-09-24,0.93,0.93,0.93,0.93,4
2024-09-25,0.93,0.93,0.93,0.93,11
2024-09-27,0.93,0.93,0.93,0.93,44
2024-09-30,0.92,0.92,0.92,0.92,114
2024-10-01,0.92,0.92,0.92,0.92,29
2024-10-03,0.92,0.97,0.92,0.97,6
2024-10-04,0.92,0.92,0.92,0.92,5
2024-10-07,0.92,0.92,0.92,0.92,75
2024-10-08,0.92,0.92,0.92,0.92,96
2024-10-11,0.92,0.92,0.92,0.92,1444
2024-10-15,0.94,0.94,0.94,0.94,3200
2024-10-16,0.94,0.94,0.9,0.9,17
2024-10-17,0.9,0.9,0.895,0.895,863
2024-10-18,0.895,0.935,0.895,0.935,433
2024-10-21,0.895,0.895,0.895,0.895,5
2024-10-22,0.895,0.895,0.895,0.895,21
2024-10-23,0.895,0.895,0.895,0.895,269
2024-10-24,0.895,0.895,0.895,0.895,56
2024-10-25,0.895,0.895,0.895,0.895,27
2024-10-28,0.895,0.895,0.895,0.895,3
2024-10-29,0.895,0.895,0.895,0.895,2
2024-10-30,0.895,0.895,0.895,0.895,61
2024-11-04,0.895,0.895,0.895,0.895,43
2024-11-05,0.895,0.895,0.895,0.895,113
2024-11-06,0.895,0.895,0.895,0.895,12
2024-11-07,0.895,0.895,0.89,0.89,981
2024-11-08,0.89,0.89,0.89,0.89,12
2024-11-12,0.89,0.935,0.89,0.935,602
2024-11-15,0.92,0.92,0.92,0.92,4300
2024-11-18,0.89,0.89,0.89,0.89,17
2024-11-20,0.895,0.895,0.895,0.895,7
2024-11-21,0.895,0.895,0.89,0.89,2247
2024-11-22,0.89,0.89,0.89,0.89,15
2024-11-26,0.89,0.89,0.89,0.89,9
2024-11-27,0.89,0.89,0.89,0.89,272
2024-11-28,0.89,0.89,0.89,0.89,2
2024-11-29,0.89,0.89,0.89,0.89,22
2024-12-02,0.89,0.89,0.89,0.89,9
2024-12-03,0.89,0.89,0.89,0.89,51
2024-12-04,0.89,0.89,0.89,0.89,27
2024-12-05,0.89,0.89,0.89,0.89,24
2024-12-06,0.89,0.89,0.87,0.87,1833
2024-12-09,0.895,0.895,0.895,0.895,1200
2024-12-10,0.87,0.87,0.825,0.825,31
2024-12-11,0.9,0.9,0.9,0.9,5496
2024-12-12,0.825,0.825,0.825,0.825,71
2024-12-13,0.825,0.825,0.825,0.825,220
2024-12-16,0.825,0.825,0.825,0.825,8
2024-12-17,0.825,0.825,0.825,0.825,37
2024-12-18,0.825,0.825,0.825,0.825,1230
2024-12-19,0.825,0.825,0.825,0.825,17
2024-12-20,0.825,0.825,0.825,0.825,4968
2024-12-23,0.82,0.82,0.82,0.82,196
2024-12-27,0.82,0.82,0.82,0.82,10
2024-12-30,0.82,0.82,0.82,0.82,33
2025-01-02,0.82,0.82,0.82,0.82,6
2025-01-03,0.82,0.82,0.82,0.82,11
2025-01-07,0.82,0.82,0.79,0.79,545
2025-01-08,0.79,0.79,0.79,0.79,132
2025-01-09,0.79,0.79,0.79,0.79,12
2025-01-10,0.84,0.84,0.84,0.84,8000
2025-01-13,0.87,0.965,0.87,0.965,716
2025-01-14,0.9,0.9,0.9,0.9,2
2025-01-15,0.99,0.99,0.99,0.99,2000
2025-01-17,0.995,0.995,0.995,0.995,1000
2025-01-20,0.95,0.95,0.95,0.95,9
2025-01-21,0.995,0.995,0.95,0.95,1509
2025-01-22,0.95,0.95,0.95,0.95,3
2025-01-23,0.95,0.95,0.95,0.95,12
2025-01-24,0.995,0.995,0.955,0.955,212
2025-01-27,0.995,0.995,0.995,0.995,2254
2025-01-28,1.0,1.0,1.0,1.0,30
2025-01-29,0.955,0.955,0.955,0.955,1732
2025-01-30,0.96,0.96,0.96,0.96,20
2025-01-31,0.96,0.96,0.96,0.96,9
2025-02-03,0.96,0.96,0.96,0.96,72
2025-02-05,0.96,0.96,0.96,0.96,7820
2025-02-07,0.955,0.955,0.955,0.955,6
2025-02-10,0.925,0.925,0.925,0.925,10
2025-02-11,0.925,0.925,0.925,0.925,14
2025-02-12,0.925,0.925,0.925,0.925,14
2025-02-13,0.925,0.925,0.925,0.925,95
2025-02-14,0.925,0.925,0.925,0.925,22
2025-02-17,0.925,0.925,0.925,0.925,9
2025-02-18,0.925,0.925,0.925,0.925,135
2025-02-19,0.925,0.925,0.925,0.925,5
2025-02-20,0.925,0.925,0.925,0.925,2146
2025-02-21,0.91,0.91,0.91,0.91,497
2025-02-24,0.925,0.925,0.9,0.9,17
2025-02-26,0.9,0.9,0.9,0.9,207
2025-02-27,0.885,0.885,0.885,0.885,15
2025-03-03,0.885,0.885,0.885,0.885,26
2025-03-04,0.885,0.885,0.885,0.885,970
2025-03-06,0.885,0.885,0.885,0.885,15
2025-03-07,0.885,0.885,0.88,0.88,3287
2025-03-10,0.875,0.875,0.875,0.875,339
2025-03-11,0.875,0.875,0.875,0.875,1007
2025-03-12,0.875,0.875,0.875,0.875,22
2025-03-13,0.875,0.875,0.875,0.875,11
2025-03-14,0.9,0.9,0.9,0.9,377
2025-03-18,0.885,0.885,0.885,0.885,148
2025-03-19,0.885,0.885,0.885,0.885,62
2025-03-20,0.885,0.885,0.885,0.885,110
2025-03-21,0.885,0.885,0.885,0.885,14
2025-03-25,0.885,0.885,0.885,0.885,4
2025-03-26,0.885,0.885,0.885,0.885,5
2025-03-27,0.885,0.885,0.885,0.885,10
2025-03-28,0.885,0.885,0.885,0.885,6
2025-03-31,0.885,0.885,0.885,0.885,6
2025-04-01,0.885,0.885,0.885,0.885,124
2025-04-03,0.885,0.885,0.885,0.885,3
2025-04-04,0.885,0.885,0.885,0.885,5
2025-04-07,0.91,0.91,0.885,0.885,152
2025-04-09,0.885,0.885,0.885,0.885,204
2025-04-15,0.885,0.885,0.885,0.885,5
2025-04-16,0.91,0.91,0.91,0.91,623
2025-04-22,0.9,0.9,0.9,0.9,28
2025-04-23,0.9,0.9,0.9,0.9,41
2025-04-24,0.9,0.9,0.9,0.9,57
2025-04-25,0.89,0.89,0.89,0.89,3
2025-04-28,0.89,0.89,0.89,0.89,4
2025-04-29,0.89,0.89,0.89,0.89,62
2025-04-30,0.89,0.89,0.89,0.89,2
2025-05-02,0.89,0.89,0.89,0.89,30
2025-05-05,0.89,0.89,0.89,0.89,13
2025-05-06,0.89,0.89,0.89,0.89,6
2025-05-07,0.89,0.89,0.89,0.89,33
2025-05-08,0.89,0.89,0.89,0.89,9
2025-05-09,0.89,0.89,0.89,0.89,1351
2025-05-12,0.89,0.89,0.89,0.89,6
2025-05-13,0.865,0.89,0.865,0.89,57
2025-05-14,0.86,0.86,0.86,0.86,9475
2025-05-15,0.825,0.825,0.825,0.825,24
2025-05-16,0.825,0.83,0.825,0.83,1307
2025-05-19,0.83,0.83,0.83,0.83,24
2025-05-20,0.825,0.825,0.825,0.825,2406
2025-05-22,0.825,0.825,0.825,0.825,22
2025-05-23,0.825,0.825,0.825,0.825,10
2025-05-26,0.835,0.835,0.835,0.835,134
2025-05-27,0.835,0.835,0.835,0.835,6
2025-05-28,0.835,0.835,0.835,0.835,3
2025-05-29,0.835,0.835,0.835,0.835,46
