Date,Open,High,Low,Close,Volume
2024-07-17,21.5197,21.6184,20.8286,21.2235,57870.18310258856
2024-07-18,21.4209,21.8651,21.1248,21.8158,38432.1886040872
2024-07-19,21.8158,21.8651,21.3715,21.6677,98824.85186377968
2024-07-22,21.6184,22.3093,21.5197,22.3093,59582.21453672776
2024-07-23,22.3587,22.408,21.7171,21.9145,54705.43968420504
2024-07-24,21.9145,21.9638,21.6677,21.7171,116854.695478232
2024-07-25,21.7171,21.9638,21.6677,21.7664,179831.70137046877
2024-07-26,21.7171,21.8651,21.1248,21.4703,100620.5736711976
2024-07-29,21.569,21.8158,21.1741,21.4703,28379.88840789056
2024-07-30,21.7171,21.9145,21.0754,21.9145,17820.114734300718
2024-07-31,21.9145,21.9145,21.2235,21.4703,143821.70530069838
2024-08-01,21.7171,22.3093,21.4209,21.9145,70386.11866217751
2024-08-02,22.112,22.112,20.9274,21.4703,106557.3595256568
2024-08-05,20.878,21.3222,20.0883,20.9274,250241.25736074
2024-08-06,20.9768,21.9145,20.9274,21.1248,141716.3693479056
2024-08-07,21.8158,21.9145,20.335,20.4338,97725.71158875976
2024-08-08,20.7299,20.878,20.0883,20.4338,110749.9253408696
2024-08-09,20.7299,21.1741,20.6312,21.1248,56295.95913406456
2024-08-12,21.2235,22.2106,21.2235,22.112,144591.21414154238
2024-08-13,22.6055,22.7042,22.0626,22.6055,100745.304515988
2024-08-14,22.7042,22.7042,22.3093,22.5562,26143.182710504
2024-08-16,22.7042,22.9016,22.408,22.9016,55551.39646217864
2024-08-19,22.9016,23.0991,22.6055,22.951,28951.23614854336
2024-08-20,22.951,23.3952,22.6549,22.951,113141.9410578984
2024-08-21,23.3459,23.5432,22.8523,22.951,256001.0058871096
2024-08-22,23.1978,23.4939,22.7536,23.1485,41841.06247433064
2024-08-23,22.8523,23.4939,22.8523,23.4939,23285.4381133304
2024-08-26,23.1978,23.9381,23.1485,23.8888,76563.61492920399
2024-08-27,23.8888,23.8888,23.5432,23.5432,15654.22396815
2024-08-28,23.8394,23.8888,23.4939,23.4939,14108.36620787672
2024-08-29,23.8394,24.4317,23.4939,24.2837,316443.1591271544
2024-08-30,24.2343,24.6784,23.8888,24.6784,65109.29980180688
2024-09-02,24.7279,24.9253,24.2837,24.4811,49554.25697314344
2024-09-03,24.6291,24.8759,23.8888,24.0368,29364.557955998
2024-09-04,23.7901,24.6291,23.5926,23.9875,78171.23457552672
2024-09-05,24.2343,24.2343,22.7536,22.8029,231278.1453769608
2024-09-06,22.951,23.4939,22.7042,23.2965,287483.4734697704
2024-09-09,22.7536,22.9016,22.0626,22.112,103367.6699383152
2024-09-10,22.112,22.5067,21.8158,22.112,138359.70137157038
2024-09-11,22.2106,22.5562,21.7171,21.7171,97122.97995812744
