Date,Open,High,Low,Close,Volume
2025-04-07,0.25,0.268,0.236,0.24,831844
2025-10-30,0.27,0.274,0.27,0.274,101733
2025-10-31,0.39,0.49,0.37,0.49,1758804
2025-11-05,0.88,0.88,0.8,0.88,729831
2025-11-06,0.95,1.05,0.67,0.69,2625536
2025-11-07,0.71,0.73,0.585,0.615,3223740
2025-11-10,0.62,0.655,0.565,0.565,1681840
2025-11-12,0.58,0.625,0.53,0.55,1875229
2025-11-13,0.565,0.565,0.51,0.51,1200682
2025-11-14,0.515,0.58,0.515,0.53,1944612
2025-11-17,0.53,0.56,0.49,0.5,1172043
2025-11-18,0.5,0.52,0.454,0.478,795794
2025-11-19,0.478,0.49,0.45,0.454,472165
2025-11-20,0.464,0.53,0.446,0.488,784243
2025-11-21,0.494,0.494,0.418,0.42,911950
2025-11-24,0.424,0.428,0.384,0.392,666186
2025-11-25,0.39,0.466,0.39,0.42,1402172
2025-11-26,0.422,0.54,0.422,0.49,2419476
2025-11-27,0.496,0.52,0.46,0.484,1221041
2025-11-28,0.49,0.515,0.454,0.46,974025
2025-12-01,0.46,0.472,0.434,0.448,411466
2025-12-02,0.446,0.446,0.394,0.404,773784
2025-12-03,0.406,0.43,0.386,0.396,774463
2025-12-04,0.39,0.412,0.378,0.386,773308
2025-12-05,0.38,0.39,0.364,0.38,364480
2025-12-08,0.39,0.39,0.34,0.356,1250327
2025-12-09,0.356,0.356,0.312,0.324,1074833
2025-12-10,0.316,0.34,0.298,0.302,1972311
2025-12-11,0.304,0.366,0.294,0.346,2333912
2025-12-12,0.348,0.38,0.348,0.354,1046022
2025-12-15,0.358,0.358,0.33,0.338,380713
2025-12-16,0.344,0.344,0.316,0.328,271083
2025-12-17,0.33,0.36,0.314,0.346,699481
2025-12-18,0.352,0.364,0.33,0.34,648630
2025-12-19,0.34,0.348,0.32,0.328,524480
2025-12-22,0.33,0.338,0.314,0.316,475667
2025-12-23,0.314,0.326,0.31,0.316,291896
2025-12-29,0.31,0.322,0.308,0.314,218041
2025-12-30,0.318,0.326,0.308,0.322,144456
2026-01-02,0.326,0.342,0.316,0.34,505939
2026-01-05,0.34,0.34,0.32,0.33,241044
2026-01-07,0.324,0.336,0.316,0.328,181605
2026-01-08,0.322,0.348,0.318,0.348,204365
2026-01-09,0.35,0.44,0.35,0.44,3851863
2026-01-12,0.46,0.49,0.418,0.428,2847690
2026-01-13,0.418,0.434,0.396,0.402,1084065
2026-01-14,0.402,0.412,0.382,0.4,1062385
2026-01-15,0.406,0.406,0.38,0.38,771819
2026-01-16,0.38,0.39,0.374,0.374,214267
2026-01-19,0.374,0.38,0.35,0.35,698279
2026-01-20,0.352,0.374,0.338,0.348,1137932
2026-01-21,0.34,0.382,0.334,0.382,659134
2026-01-22,0.386,0.386,0.352,0.362,541231
2026-01-23,0.364,0.368,0.344,0.348,363446
2026-01-26,0.346,0.35,0.336,0.346,252399
2026-01-27,0.344,0.35,0.336,0.344,179915
2026-01-28,0.344,0.358,0.336,0.354,245446
2026-01-29,0.348,0.376,0.34,0.344,577065
2026-01-30,0.34,0.348,0.332,0.34,275670
2026-02-02,0.34,0.34,0.328,0.336,110417
2026-02-03,0.33,0.336,0.326,0.334,121419
2026-02-04,0.33,0.334,0.316,0.316,742193
2026-02-05,0.324,0.336,0.312,0.322,436976
2026-02-06,0.322,0.336,0.316,0.33,73589
2026-02-09,0.326,0.334,0.318,0.326,175913
2026-02-10,0.326,0.328,0.308,0.308,1175894
2026-02-11,0.314,0.324,0.288,0.298,1154113
2026-02-12,0.296,0.298,0.29,0.296,311949
2026-02-13,0.296,0.298,0.29,0.294,266728
2026-02-16,0.294,0.294,0.278,0.288,305098
2026-02-17,0.282,0.324,0.28,0.31,1019500
2026-02-18,0.316,0.316,0.292,0.3,461311
2026-02-19,0.296,0.302,0.284,0.296,476074
2026-02-20,0.296,0.296,0.286,0.286,201353
2026-02-23,0.29,0.294,0.28,0.286,214616
2026-02-24,0.286,0.292,0.28,0.284,181356
2026-02-25,0.282,0.284,0.274,0.28,221551
2026-02-26,0.284,0.286,0.278,0.286,119430
2026-02-27,0.286,0.294,0.278,0.286,195408
2026-03-02,0.278,0.28,0.266,0.274,435359
2026-03-03,0.274,0.276,0.26,0.276,507666
2026-03-04,0.27,0.284,0.264,0.284,214585
2026-03-05,0.284,0.34,0.284,0.304,3340948
2026-03-06,0.304,0.322,0.282,0.284,975015
2026-03-09,0.286,0.286,0.26,0.268,724085
2026-03-10,0.27,0.29,0.27,0.27,414508
2026-03-11,0.272,0.284,0.268,0.282,378389
2026-03-12,0.286,0.288,0.272,0.278,377053
2026-03-13,0.278,0.284,0.264,0.276,648885
2026-03-16,0.274,0.274,0.264,0.272,240169
2026-03-17,0.272,0.276,0.268,0.272,139334
2026-03-18,0.272,0.272,0.266,0.272,44041
2026-03-19,0.272,0.272,0.252,0.26,480766
2026-03-20,0.256,0.26,0.24,0.26,513954
2026-03-23,0.258,0.26,0.25,0.254,163377
2026-03-24,0.258,0.264,0.252,0.262,245297
2026-03-25,0.264,0.264,0.25,0.262,301711
2026-03-26,0.26,0.294,0.26,0.27,1510528
2026-03-27,0.278,0.278,0.262,0.27,167615
2026-03-30,0.262,0.268,0.256,0.26,186434
2026-03-31,0.266,0.266,0.252,0.258,391987
2026-04-01,0.254,0.268,0.254,0.264,141191
2026-04-02,0.266,0.286,0.266,0.272,665951
2026-04-07,0.286,0.286,0.263,0.27,130630
2026-04-08,0.27,0.275,0.26,0.271,155580
2026-04-09,0.271,0.271,0.259,0.261,132056
2026-04-10,0.264,0.267,0.26,0.261,64572
2026-04-13,0.262,0.268,0.24,0.246,675154
2026-04-14,0.25,0.253,0.246,0.25,218981
2026-04-15,0.249,0.258,0.246,0.249,184940
2026-04-16,0.25,0.256,0.245,0.25,160440
2026-04-17,0.248,0.264,0.245,0.261,244716
2026-04-20,0.262,0.262,0.252,0.258,185431
2026-04-21,0.258,0.26,0.249,0.256,187294
2026-04-22,0.251,0.257,0.25,0.252,451637
2026-04-23,0.254,0.29,0.25,0.267,1685731
2026-04-24,0.274,0.29,0.26,0.271,928986
2026-04-27,0.271,0.298,0.27,0.298,801072
2026-04-28,0.299,0.32,0.283,0.292,1263242
2026-04-29,0.293,0.299,0.28,0.292,387202
2026-04-30,0.288,0.288,0.26,0.261,573147
2026-05-04,0.261,0.268,0.241,0.251,998906
2026-05-05,0.251,0.257,0.246,0.25,425469
2026-05-06,0.25,0.257,0.246,0.25,606523
2026-05-07,0.25,0.25,0.242,0.248,367720
2026-05-08,0.249,0.25,0.236,0.241,713294
2026-05-11,0.242,0.243,0.233,0.235,52144
2026-05-12,0.238,0.241,0.233,0.239,211238
2026-05-13,0.239,0.239,0.227,0.236,374105
2026-05-14,0.234,0.242,0.23,0.232,75750
2026-05-15,0.238,0.248,0.231,0.243,243423
2026-05-18,0.236,0.242,0.234,0.242,68707
2026-05-19,0.235,0.242,0.235,0.241,10884
2026-05-20,0.242,0.245,0.234,0.244,55087
2026-05-21,0.243,0.245,0.234,0.244,43457
2026-05-22,0.244,0.249,0.24,0.248,239296
2026-05-25,0.249,0.255,0.233,0.244,524898
2026-05-26,0.238,0.246,0.229,0.236,655482
2026-05-27,0.231,0.236,0.225,0.234,249958
2026-05-28,0.234,0.234,0.226,0.232,54510
2026-05-29,0.228,0.233,0.212,0.221,868159
2026-06-01,0.22,0.226,0.216,0.22,83198
2026-06-02,0.222,0.222,0.154,0.185,1567207
2026-06-03,0.175,0.189,0.16,0.175,1266043
2026-06-05,0.1795,0.186,0.168,0.1785,466654
2026-06-08,0.1785,0.1785,0.168,0.168,100675
2026-06-09,0.171,0.174,0.167,0.169,221949
2026-06-10,0.169,0.172,0.16,0.1685,297237
2026-06-11,0.164,0.1685,0.16,0.1685,604515
2026-06-12,0.1685,0.169,0.1605,0.1645,231637
2026-06-15,0.1645,0.17,0.162,0.165,110113
2026-06-16,0.165,0.167,0.16,0.163,62479
2026-06-17,0.163,0.165,0.16,0.1625,52050
2026-06-18,0.1615,0.1625,0.15,0.155,569785
2026-06-19,0.155,0.155,0.148,0.1525,89060
2026-06-22,0.152,0.1525,0.143,0.1525,125591
2026-06-23,0.146,0.154,0.146,0.1535,125270
2026-06-24,0.153,0.162,0.15,0.1595,538351
2026-06-25,0.153,0.163,0.153,0.163,91171
2026-06-26,0.1625,0.1625,0.1565,0.1625,39740
2026-06-29,0.1625,0.1635,0.1575,0.16,47908
2026-06-30,0.16,0.1605,0.153,0.1605,60503
2026-07-01,0.1595,0.18,0.1595,0.18,867639
2026-07-02,0.181,0.235,0.181,0.235,3981083
2026-07-03,0.247,0.264,0.208,0.212,5742576
2026-07-06,0.218,0.222,0.198,0.203,1996969
2026-07-07,0.202,0.202,0.182,0.1945,932814
2026-07-08,0.195,0.198,0.189,0.1945,292651
2026-07-09,0.195,0.195,0.188,0.1915,157535
2026-07-10,0.192,0.1995,0.184,0.188,707980
2026-07-13,0.1855,0.1885,0.1775,0.182,371807
2026-07-14,0.182,0.182,0.175,0.179,227405
2026-07-15,0.1815,0.206,0.1785,0.1905,1904124
2026-07-16,0.1935,0.194,0.1795,0.1795,853397
2026-07-17,0.1815,0.1815,0.175,0.1795,330797
2026-07-20,0.18,0.1815,0.176,0.181,119036
2026-07-21,0.178,0.181,0.1705,0.173,485430
2026-07-22,0.1729999929666519,0.1770000010728836,0.1720000058412552,0.1749999970197677,160128
