Date,Open,High,Low,Close,Volume
2024-07-17,47.0,47.3,46.6,46.8,1513
2024-07-18,47.1,47.5,46.8,47.0,1537
2024-07-19,47.1,47.4,47.0,47.3,1952
2024-07-22,47.3,47.3,47.0,47.0,1497
2024-07-23,47.0,47.2,47.0,47.0,252
2024-07-24,47.0,47.3,47.0,47.3,1261
2024-07-25,47.0,47.3,47.0,47.3,792
2024-07-26,47.2,47.4,47.1,47.2,317
2024-07-29,47.2,47.3,47.1,47.3,55
2024-07-30,47.1,47.1,47.0,47.0,410
2024-07-31,47.0,47.2,47.0,47.0,7311
2024-08-01,47.1,47.1,47.0,47.1,860
2024-08-02,47.1,47.3,47.0,47.0,3618
2024-08-05,47.0,47.0,45.5,46.9,15296
2024-08-06,46.4,47.0,46.4,46.5,1685
2024-08-07,46.5,46.5,46.4,46.4,2092
2024-08-08,46.3,46.4,46.3,46.3,1431
2024-08-09,46.7,46.8,46.3,46.8,3280
2024-08-12,46.3,46.3,46.3,46.3,543
2024-08-13,46.3,47.0,46.3,47.0,3193
2024-08-14,46.9,46.9,46.1,46.1,1356
2024-08-16,46.2,47.1,46.2,47.0,11293
2024-08-19,47.0,47.2,46.6,47.2,2609
2024-08-20,47.0,47.2,47.0,47.0,291
2024-08-21,46.7,47.0,46.7,47.0,1653
2024-08-22,47.1,47.3,47.0,47.1,1874
2024-08-23,47.0,47.1,47.0,47.0,638
2024-08-26,47.0,47.2,47.0,47.0,3315
2024-08-27,47.0,47.1,47.0,47.0,1320
2024-08-28,47.1,47.1,47.0,47.0,486
2024-08-29,47.2,47.2,47.0,47.0,666
2024-08-30,47.2,47.2,47.1,47.1,315
2024-09-02,47.3,47.3,46.7,47.0,275
2024-09-03,47.0,47.0,46.6,46.7,425
2024-09-04,46.7,47.0,46.6,47.0,297
2024-09-05,47.0,47.0,46.6,46.6,178
2024-09-06,46.7,46.9,46.5,46.5,560
2024-09-09,46.5,46.6,45.5,46.4,2202
2024-09-10,46.3,46.3,46.1,46.3,1220
2024-09-11,46.2,46.2,46.1,46.1,425
2024-09-12,46.4,46.4,46.1,46.4,493
2024-09-13,46.2,46.2,46.1,46.2,313
2024-09-16,46.4,46.5,46.4,46.5,25
2024-09-17,46.1,46.2,46.1,46.2,464
2024-09-18,46.1,46.1,46.0,46.1,330
2024-09-19,46.0,46.6,44.6,46.6,7169
2024-09-20,46.0,46.0,46.0,46.0,42
2024-09-23,46.6,46.6,46.6,46.6,1
2024-09-24,46.0,46.0,45.5,46.0,1390
2024-09-25,46.0,46.2,45.9,46.0,495
2024-09-26,45.7,46.7,45.6,46.0,4136
2024-09-27,45.7,46.5,45.6,45.7,7335
2024-09-30,45.7,46.0,45.6,46.0,1481
2024-10-01,46.0,46.3,46.0,46.0,1558
2024-10-02,46.0,47.0,46.0,46.2,8031
2024-10-03,46.7,47.0,46.7,47.0,815
2024-10-04,47.0,47.1,46.6,47.0,1076
2024-10-07,47.0,47.3,46.7,46.9,1762
2024-10-08,46.9,47.3,46.9,47.3,712
2024-10-09,47.6,47.6,46.3,47.4,1582
2024-10-10,47.1,47.1,46.7,47.1,154
2024-10-11,47.0,47.0,46.7,47.0,247
2024-10-14,47.5,47.5,47.0,47.0,141
2024-10-15,47.0,47.8,47.0,47.8,1441
2024-10-16,47.7,47.7,47.0,47.0,552
2024-10-17,47.2,47.3,47.0,47.1,535
2024-10-18,47.3,47.3,47.0,47.3,554
2024-10-21,47.2,47.3,47.2,47.3,140
2024-10-22,47.0,47.3,47.0,47.2,108
2024-10-23,47.2,47.4,47.0,47.1,3002
2024-10-24,47.1,47.1,47.0,47.0,126
2024-10-25,47.0,47.1,47.0,47.0,389
2024-10-28,47.0,47.3,47.0,47.3,1461
2024-10-29,47.0,47.3,47.0,47.2,317
