Date,Open,High,Low,Close,Volume
2024-06-19,4.16,4.16,4.16,4.16,1
2024-06-20,4.3,4.3,4.16,4.3,503
2024-06-21,4.3,4.3,4.17,4.3,1164
2024-06-24,4.18,4.28,4.18,4.2,748
2024-06-25,4.18,4.29,4.13,4.29,2003
2024-06-26,4.17,4.29,4.17,4.29,401
2024-06-27,4.34,4.34,4.34,4.34,422
2024-06-28,4.17,4.3,4.17,4.3,114
2024-07-01,4.18,4.39,4.15,4.39,4612
2024-07-02,4.3,4.35,4.17,4.17,1265
2024-07-03,4.17,4.34,4.17,4.17,589
2024-07-04,4.18,4.29,4.18,4.25,72
2024-07-05,4.19,4.3,4.19,4.3,1046
2024-07-08,4.3,4.31,4.29,4.29,3018
2024-07-09,4.3,4.3,4.2,4.2,496
2024-07-10,4.21,4.29,4.17,4.19,1242
2024-07-11,4.28,4.28,4.2,4.28,71
2024-07-12,4.18,4.29,4.18,4.29,307
2024-07-15,4.28,4.32,4.18,4.32,5467
2024-07-16,4.32,4.32,4.2,4.2,1546
2024-07-17,4.21,4.29,4.2,4.28,2359
2024-07-18,4.29,4.29,4.21,4.23,759
2024-07-19,4.29,4.29,4.29,4.29,849
2024-07-22,4.23,4.32,4.23,4.32,3836
2024-07-23,4.32,4.32,4.23,4.27,2242
2024-07-24,4.27,4.31,4.25,4.3,1134
2024-07-25,4.28,4.28,4.18,4.2,5756
2024-07-26,4.26,4.26,4.15,4.25,1053
2024-07-29,4.25,4.25,4.16,4.16,4
2024-07-30,4.16,4.24,4.16,4.24,691
2024-07-31,4.15,4.15,4.15,4.15,5
2024-08-01,4.15,4.15,4.15,4.15,125
2024-08-02,4.15,4.18,4.12,4.17,6300
2024-08-05,4.17,4.2,3.97,3.97,2408
2024-08-06,4.04,4.19,4.04,4.18,5565
2024-08-07,4.05,4.18,4.05,4.18,516
2024-08-08,4.01,4.17,4.01,4.17,201
2024-08-09,4.05,4.17,4.05,4.17,61
2024-08-12,4.09,4.1,4.09,4.09,408
2024-08-13,4.01,4.16,4.01,4.15,59
2024-08-14,4.17,4.17,4.17,4.17,40
2024-08-16,4.17,4.17,4.03,4.03,11
2024-08-19,4.06,4.29,4.06,4.29,2148
2024-08-20,4.08,4.26,4.08,4.26,381
2024-08-21,4.12,4.26,4.12,4.26,48
2024-08-22,4.13,4.26,4.13,4.25,101
2024-08-23,4.24,4.29,4.15,4.29,1044
2024-08-26,4.29,4.29,4.11,4.12,2065
2024-08-27,4.12,4.28,4.12,4.28,171
2024-08-28,4.12,4.12,4.11,4.11,1021
2024-08-29,4.11,4.28,4.11,4.28,257
2024-08-30,4.12,4.28,4.12,4.27,441
2024-09-02,4.28,4.28,4.16,4.17,144
2024-09-03,4.28,4.28,4.17,4.28,1913
2024-09-04,4.29,4.29,4.15,4.27,1020
2024-09-05,4.12,4.24,4.12,4.24,35
2024-09-06,4.15,4.24,4.15,4.24,175
2024-09-09,4.14,4.23,4.1,4.23,2043
2024-09-10,4.03,4.05,4.01,4.01,1002
2024-09-11,4.22,4.22,4.15,4.2,476
2024-09-12,4.02,4.2,4.02,4.2,206
2024-09-13,4.19,4.19,4.02,4.19,65
2024-09-17,4.03,4.19,4.03,4.19,264
2024-09-18,4.03,4.03,4.03,4.03,45
2024-09-19,4.03,4.03,4.03,4.03,1
2024-09-20,4.14,4.14,4.03,4.03,1002
2024-09-23,4.04,4.15,4.04,4.15,44
2024-09-24,4.04,4.14,4.03,4.14,681
2024-09-25,4.04,4.14,4.04,4.14,210
2024-09-26,4.04,4.14,4.04,4.13,741
2024-09-27,4.05,4.13,4.03,4.13,8477
2024-09-30,4.23,4.23,4.02,4.02,2613
2024-10-01,4.02,4.13,4.01,4.13,1065
2024-10-02,4.1,4.1,3.9,4.08,2973
2024-10-03,3.83,4.05,3.74,3.82,5676
2024-10-04,3.82,3.93,3.8,3.89,2971
2024-10-07,3.92,4.02,3.81,4.0,3115
2024-10-08,4.0,4.04,3.85,4.03,3806
2024-10-09,3.86,4.04,3.86,3.96,764
2024-10-10,3.89,4.04,3.89,4.0,1229
2024-10-11,4.04,4.04,3.89,4.04,473
2024-10-14,4.04,4.04,3.94,3.94,2593
2024-10-15,4.02,4.02,4.02,4.02,20
2024-10-16,4.01,4.01,3.93,3.98,623
2024-10-17,3.95,3.95,3.93,3.94,488
2024-10-18,3.84,3.95,3.84,3.95,28
2024-10-21,3.95,3.95,3.85,3.85,370
2024-10-22,3.85,3.99,3.85,3.99,512
2024-10-23,3.84,3.96,3.84,3.96,205
