Date,Open,High,Low,Close,Volume
2024-06-24,23.1,23.35,22.6,23.0,5525
2024-06-25,23.0,23.0,22.5,22.85,4084
2024-06-26,22.85,23.0,22.3,22.8,7528
2024-06-27,22.8,22.95,22.5,22.95,3771
2024-06-28,22.55,22.9,22.2,22.2,7550
2024-07-01,22.2,22.6,22.15,22.35,3938
2024-07-02,22.15,22.3,21.8,22.1,6903
2024-07-03,22.1,22.45,21.8,22.4,3923
2024-07-04,22.35,22.4,21.95,22.3,1811
2024-07-05,22.3,23.45,22.3,23.45,15613
2024-07-08,23.5,24.35,23.0,24.1,32961
2024-07-09,24.1,24.1,23.3,23.55,4693
2024-07-10,23.25,23.55,22.6,23.2,3111
2024-07-11,23.2,24.15,23.2,23.45,6308
2024-07-12,23.45,23.45,23.35,23.45,3598
2024-07-15,23.1,23.8,23.05,23.3,2722
2024-07-16,23.5,23.75,22.25,23.25,10105
2024-07-17,23.25,23.25,22.35,22.8,1999
2024-07-18,22.8,22.8,22.3,22.6,6380
2024-07-19,22.85,22.9,22.5,22.8,1147
2024-07-22,22.8,22.8,22.3,22.65,4260
2024-07-23,22.65,23.25,22.5,22.9,4751
2024-07-24,22.95,22.95,22.6,22.9,673
2024-07-25,23.0,23.0,22.3,23.0,9034
2024-07-26,23.0,23.0,22.5,22.85,916
2024-07-29,22.95,23.15,22.45,22.95,772
2024-07-30,22.9,23.5,22.9,23.25,9050
2024-07-31,22.8,23.0,22.8,23.0,2207
2024-08-01,23.0,23.0,22.5,22.95,2310
2024-08-02,22.95,22.95,22.1,22.4,10067
2024-08-05,21.9,22.0,21.15,21.55,24336
2024-08-06,21.75,22.3,21.5,21.5,3819
2024-08-07,22.0,22.05,21.25,21.5,3669
2024-08-08,21.7,21.7,21.2,21.5,3359
2024-08-09,21.5,21.5,21.3,21.5,7130
2024-08-12,21.7,22.0,21.5,21.9,1919
2024-08-13,22.05,22.05,21.5,21.9,2232
2024-08-14,21.9,21.9,21.7,21.9,8438
2024-08-16,21.9,22.4,21.9,22.3,8005
2024-08-19,22.3,23.9,22.3,23.25,31804
2024-08-20,23.5,23.9,23.0,23.6,8230
2024-08-21,23.6,23.7,23.5,23.7,7873
2024-08-22,23.8,23.9,23.05,23.15,11695
2024-08-23,23.15,23.6,22.7,23.6,3802
2024-08-26,23.7,23.9,23.55,23.6,6037
2024-08-27,23.8,23.9,23.7,23.85,5392
2024-08-28,23.9,24.1,23.7,23.8,11682
2024-08-29,23.9,24.0,23.6,23.9,1731
2024-08-30,23.85,23.85,23.55,23.75,3221
2024-09-02,23.75,23.9,23.25,23.85,3869
2024-09-03,23.65,23.85,23.6,23.85,2310
2024-09-04,23.7,23.85,23.1,23.7,2417
2024-09-05,23.7,23.7,23.55,23.7,2018
2024-09-06,23.8,23.8,23.55,23.7,5111
2024-09-09,23.7,23.7,23.1,23.7,2653
2024-09-10,23.6,23.6,23.2,23.2,5417
2024-09-11,23.2,23.6,22.85,23.0,4523
2024-09-12,23.55,23.6,22.8,23.45,6667
2024-09-13,23.4,23.4,23.05,23.2,9264
2024-09-16,23.2,23.3,22.7,22.95,2708
2024-09-17,22.4,23.3,22.4,23.3,3695
2024-09-18,23.35,23.35,22.6,23.35,19705
2024-09-19,23.3,23.3,22.55,23.1,7815
2024-09-20,23.05,23.35,23.05,23.35,32657
2024-09-23,23.25,23.25,21.15,22.1,19604
2024-09-24,22.1,22.1,20.7,21.95,16010
2024-09-25,21.95,21.95,20.2,20.9,34022
2024-09-26,20.9,21.15,20.2,21.0,11103
2024-09-27,21.0,21.5,20.65,21.5,21893
2024-09-30,20.8,22.15,20.75,22.15,11014
2024-10-01,22.05,23.4,22.0,23.2,18473
2024-10-02,23.4,23.85,23.35,23.5,14147
2024-10-03,23.5,24.4,23.2,24.0,26751
2024-10-04,24.0,24.7,21.85,22.8,54581
2024-10-07,26.0,28.0,25.05,26.0,268393
2024-10-08,26.0,26.2,24.25,24.5,111060
2024-10-09,24.1,25.1,23.4,25.0,54053
2024-10-10,24.4,25.0,24.25,24.9,9371
2024-10-11,25.0,25.9,24.5,25.4,40394
2024-10-14,25.0,25.1,24.55,24.95,22549
2024-10-15,24.95,25.25,24.75,24.9,40299
2024-10-16,24.95,24.95,24.7,24.8,14314
2024-10-17,24.7,25.9,24.4,25.7,69651
2024-10-18,25.9,27.5,25.3,25.3,145632
2024-10-21,26.0,26.0,25.05,25.5,23172
2024-10-22,25.5,25.8,25.1,25.4,5500
2024-10-23,25.35,25.4,24.5,24.9,26576
2024-10-24,24.65,24.95,24.45,24.9,7515
2024-10-25,24.7,24.9,24.35,24.9,12891
2024-10-28,24.9,24.95,24.5,24.9,5111
2024-10-29,24.8,24.95,24.75,24.95,11123
2024-10-30,24.9,24.95,23.8,24.25,28394
2024-10-31,24.4,24.4,23.6,24.0,7113
2024-11-04,23.75,24.45,22.7,24.4,19221
2024-11-05,24.4,24.6,23.5,24.35,4938
