Date,Open,High,Low,Close,Volume
2024-06-20,21.4,21.4,21.4,21.4,158
2024-06-21,21.4,21.4,21.4,21.4,100
2024-06-24,21.0,21.0,20.8,20.8,40
2024-06-25,20.6,21.4,20.6,21.4,338
2024-06-26,21.0,21.0,21.0,21.0,20
2024-06-27,21.0,21.0,21.0,21.0,8
2024-07-01,20.8,20.8,20.8,20.8,5
2024-07-02,21.0,21.0,21.0,21.0,2
2024-07-03,21.0,21.0,20.0,20.8,658
2024-07-04,20.2,20.8,20.0,20.8,33
2024-07-05,20.2,20.8,20.2,20.8,140
2024-07-09,20.2,20.8,20.2,20.8,23
2024-07-11,20.6,20.6,20.6,20.6,20
2024-07-12,20.8,21.0,20.8,21.0,335
2024-07-15,21.2,21.2,21.2,21.2,6
2024-07-17,21.0,21.0,21.0,21.0,355
2024-07-18,21.0,21.0,21.0,21.0,100
2024-07-19,21.2,21.2,21.2,21.2,84
2024-07-22,21.0,21.2,21.0,21.2,85
2024-07-24,21.0,21.2,18.9,21.0,597
2024-07-26,20.8,20.8,20.4,20.8,20
2024-07-30,20.2,20.8,20.0,20.8,264
2024-08-01,20.6,20.6,20.6,20.6,5
2024-08-02,20.4,20.4,20.4,20.4,110
2024-08-05,20.2,20.2,19.2,19.8,639
2024-08-07,19.8,19.8,19.8,19.8,1102
2024-08-08,20.0,20.0,20.0,20.0,105
2024-08-09,20.0,20.0,20.0,20.0,295
2024-08-12,20.4,20.6,20.4,20.6,6
2024-08-13,20.6,20.6,20.0,20.0,6
2024-08-14,20.4,20.4,20.0,20.0,400
2024-08-20,20.0,20.0,20.0,20.0,10
2024-08-22,19.3,20.0,19.2,20.0,355
2024-08-27,20.0,20.0,20.0,20.0,250
2024-08-28,20.0,20.0,19.5,20.0,223
2024-08-30,20.0,20.2,20.0,20.2,24
2024-09-02,19.8,20.2,19.8,20.2,20
2024-09-05,20.2,20.8,20.2,20.8,441
2024-09-06,20.8,20.8,20.8,20.8,81
2024-09-09,20.8,20.8,20.8,20.8,26
