Date,Open,High,Low,Close,Volume
2024-12-02,77.9,78.2,76.345,76.4,2273238
2024-12-03,76.72,78.74,75.64,78.05,3141178
2024-12-04,77.83,78.3095,77.21,77.36,1452174
2024-12-05,77.74,78.58,77.5,78.39,1445418
2024-12-06,78.36,78.7,77.61,77.68,1332272
2024-12-09,79.72,79.91,78.53,78.72,1995041
2024-12-10,78.44,79.505,77.84,79.24,2453910
2024-12-11,79.42,79.8,78.84,78.87,1083751
2024-12-12,79.29,79.39,78.36,79.11,1216984
2024-12-13,78.92,79.32,78.32,78.86,988995
2024-12-16,78.61,79.71,77.18,77.43,1742714
2024-12-17,77.45,78.23,77.24,77.55,1674416
2024-12-18,77.32,77.93,75.44,75.49,1700881
2024-12-19,75.49,75.82,74.61,74.71,1573140
2024-12-20,74.23,76.0,74.23,75.17,2985607
2024-12-23,75.3,75.94,74.82,75.78,1097438
2024-12-24,75.85,76.38,75.26,76.37,920524
2024-12-26,75.69,76.62,75.63,76.45,557270
2024-12-27,76.13,76.68,76.13,76.48,989058
2024-12-30,76.35,76.74,75.5754,76.23,1172882
2024-12-31,76.85,76.98,76.23,76.81,1455558
2025-01-02,76.96,77.54,76.3,76.55,1328865
2025-01-03,76.94,77.24,76.1,76.15,787848
2025-01-06,76.89,77.08,75.61,75.69,850403
2025-01-07,76.23999786376953,76.68000030517578,75.70999908447266,75.83999633789062,1351500
2025-01-08,75.52,75.975,75.13,75.91,1747362
2025-01-10,75.44,76.25,73.59,73.71,1953463
2025-01-13,73.51,74.43,73.4,73.75,1689647
2025-01-14,74.02999877929688,75.3499984741211,73.77999877929688,75.29000091552734,1653300
2025-01-15,76.235,76.415,75.36,75.69,2592653
2025-01-16,76.27,76.47,74.84,75.96,1747276
2025-01-17,77.69,78.19,76.7,77.07,2017296
2025-01-21,77.77,78.59,77.27,77.64,1751336
2025-01-22,77.8,78.11,77.0,77.06,1220761
2025-01-23,77.09,77.2,76.241,76.31,1717856
2025-01-24,76.27,76.95,76.04,76.78,1381918
2025-01-27,76.79,78.58,76.6,78.23,2277482
2025-01-28,77.63,78.38,77.21,77.56,1707812
2025-01-29,77.47,78.57,77.47,78.18,968772
2025-01-30,79.04000091552734,79.5,78.80999755859375,79.31999969482422,1064300
2025-01-31,78.87999725341797,79.29000091552734,78.30999755859375,78.55000305175781,1470400
2025-02-03,77.83999633789062,78.41000366210938,76.97000122070312,78.16000366210938,1340300
2025-02-04,77.79,78.54,77.4,77.87,1451248
2025-02-05,78.05999755859375,79.16000366210938,78.0,79.12000274658203,1605400
2025-02-06,80.5199966430664,80.5199966430664,79.38999938964844,80.11000061035156,1468400
2025-02-07,80.41000366210938,80.55000305175781,79.6500015258789,80.02999877929688,1330000
2025-02-10,80.4800033569336,80.62999725341797,80.04000091552734,80.41999816894531,1471000
2025-02-11,80.56999969482422,81.5999984741211,80.1500015258789,81.52999877929688,1437800
2025-02-12,81.23999786376953,81.5199966430664,80.69999694824219,81.38999938964844,1642400
2025-02-13,82.73999786376953,82.94999694824219,81.79000091552734,82.70999908447266,2419600
2025-02-14,82.73999786376953,85.61000061035156,82.73999786376953,84.9000015258789,2466600
2025-02-18,84.9,86.98,84.61,86.74,3025905
2025-02-19,86.38,87.03,86.105,86.85,1515855
2025-02-20,86.26,86.825,86.2,86.55,1761414
2025-02-21,87.01,87.59,86.57,87.29,1774426
2025-02-24,87.41000366210938,88.38999938964844,87.05999755859375,87.19999694824219,2376400
2025-02-25,87.01,88.15,86.74,87.55,2344538
2025-02-26,87.43000030517578,87.73999786376953,85.73999786376953,86.08000183105469,2022800
2025-02-27,85.51000213623047,86.4800033569336,85.22000122070312,86.12000274658203,2221000
2025-02-28,86.81999969482422,87.20999908447266,85.66000366210938,86.26000213623047,2235900
2025-03-03,86.36000061035156,87.7300033569336,86.20999908447266,86.91999816894531,1935100
2025-03-04,88.0,88.16000366210938,85.75,85.81999969482422,2426400
2025-03-05,83.5,84.7300033569336,82.69999694824219,84.69000244140625,4594500
2025-03-06,84.2699966430664,85.08999633789062,83.86000061035156,84.44999694824219,2967500
2025-03-07,84.2699966430664,84.58000183105469,81.72000122070312,82.4000015258789,4142400
2025-03-10,82.20999908447266,83.44999694824219,80.72000122070312,80.94999694824219,4144800
2025-03-11,80.94999694824219,83.83000183105469,80.69999694824219,83.37000274658203,3670400
2025-03-12,83.5999984741211,84.0199966430664,82.29000091552734,82.91999816894531,2753700
2025-03-13,82.5199966430664,82.9800033569336,81.93000030517578,82.27999877929688,2184000
2025-03-14,82.27999877929688,83.55000305175781,82.02999877929688,83.4000015258789,1774700
2025-03-17,84.06999969482422,85.12999725341797,83.81999969482422,84.73999786376953,2892000
2025-03-18,84.5,85.95999908447266,84.45999908447266,85.58999633789062,4035000
2025-03-19,85.55999755859375,85.86000061035156,84.7699966430664,85.68000030517578,3790900
2025-03-20,86.06999969482422,86.48999786376953,85.47000122070312,85.55999755859375,3398100
2025-03-21,85.4000015258789,87.06999969482422,84.45999908447266,84.91999816894531,13187700
2025-03-24,85.18,85.81,83.4,83.79,3331304
2025-03-25,84.33999633789062,84.6500015258789,83.62000274658203,84.13999938964844,5198700
2025-03-26,83.94999694824219,85.5999984741211,83.20999908447266,85.37000274658203,3098000
2025-03-27,84.94999694824219,86.4000015258789,84.94999694824219,86.26000213623047,2355500
2025-03-28,86.91999816894531,87.44000244140625,85.7300033569336,86.30000305175781,3278100
2025-03-31,86.5,87.4000015258789,86.41000366210938,87.02999877929688,3024300
2025-04-01,86.86000061035156,87.27999877929688,85.9800033569336,87.18000030517578,2016200
2025-04-02,86.87000274658203,87.4800033569336,86.5,87.41000366210938,2020500
2025-04-03,89.30000305175781,91.29000091552734,89.06999969482422,89.81999969482422,3817600
2025-04-04,89.37000274658203,89.6500015258789,83.9000015258789,83.93000030517578,3856700
2025-04-07,82.38,85.77,82.25,82.99,4105652
2025-04-08,84.63999938964844,85.18000030517578,81.41000366210938,81.83999633789062,3052100
2025-04-09,83.47,85.875,81.0,85.09,6596900
2025-04-10,86.45999908447266,86.58999633789062,83.94999694824219,84.98999786376953,3288500
2025-04-11,86.55999755859375,87.1500015258789,85.5999984741211,86.5999984741211,2756300
2025-04-14,86.91000366210938,88.16000366210938,86.9000015258789,87.95999908447266,1650400
2025-04-15,88.23999786376953,89.16999816894531,88.06999969482422,88.31999969482422,1788400
2025-04-16,90.06999969482422,90.66999816894533,87.38999938964844,87.9000015258789,2944000
2025-04-17,88.08999633789062,89.76000213623047,88.04000091552734,89.30999755859375,1472100
2025-04-21,89.0199966430664,89.37000274658203,87.55999755859375,88.47000122070312,1757000
2025-04-22,89.69000244140625,91.04000091552734,89.62999725341797,90.70999908447266,1769200
2025-04-23,90.47000122070312,90.47000122070312,87.94999694824219,88.83999633789062,3464800
2025-04-24,89.4800033569336,89.55000305175781,88.05000305175781,88.1500015258789,1871300
2025-04-25,88.04000091552734,88.45999908447266,87.05999755859375,87.87999725341797,1546400
2025-04-28,87.91000366210938,88.25,87.31999969482422,88.0199966430664,1665200
2025-04-29,88.05999755859375,89.0,87.05999755859375,88.93000030517578,1429100
2025-04-30,89.7300033569336,90.91999816894531,88.87999725341797,90.73999786376953,2046900
2025-05-01,90.2699966430664,90.2699966430664,89.30999755859375,89.54000091552734,1538700
2025-05-02,90.6500015258789,90.6500015258789,89.61000061035156,89.70999908447266,1704300
2025-05-05,89.36000061035156,90.02999877929688,88.29000091552734,89.86000061035156,912100
2025-05-06,90.5199966430664,90.91999816894531,89.80000305175781,90.51000213623047,1766400
2025-05-07,90.62999725341795,91.36000061035156,90.2300033569336,91.0500030517578,1524200
2025-05-08,91.08000183105469,91.37000274658203,89.70999908447266,89.77999877929688,1515400
2025-05-09,89.80000305175781,90.05000305175781,89.3499984741211,89.5,1500700
2025-05-12,88.83999633789062,88.87000274658203,86.81999969482422,87.66999816894531,1632000
2025-05-13,87.4000015258789,88.13999938964844,87.27999877929688,87.38999938964844,1455400
2025-05-14,87.12999725341797,87.2699966430664,85.6500015258789,86.62000274658203,1910100
2025-05-15,86.91000366210938,88.11000061035156,86.88999938964844,87.80999755859375,2142600
2025-05-16,86.80999755859375,88.44000244140625,86.08000183105469,88.30000305175781,1662600
2025-05-19,88.01000213623047,89.12000274658203,87.83999633789062,88.69000244140625,1184000
2025-05-20,88.69000244140625,88.94999694824219,88.11000061035156,88.55999755859375,1054300
2025-05-21,88.48999786376953,89.16000366210938,88.31999969482422,88.94000244140625,1286000
2025-05-22,88.7699966430664,89.2699966430664,88.30999755859375,88.58999633789062,1138700
2025-05-23,88.44999694824219,89.6500015258789,88.05999755859375,89.44999694824219,1387700
2025-05-27,90.83999633789062,91.19999694824219,88.5999984741211,88.79000091552734,2660200
2025-05-28,89.0999984741211,89.72000122070312,88.75,89.41999816894531,3227800
2025-05-29,89.5199966430664,90.73999786376952,88.75,90.6500015258789,1367400
2025-05-30,91.0,92.7300033569336,90.91000366210938,91.79000091552734,6680700
2025-06-02,91.31999969482422,91.56999969482422,90.04000091552734,91.55999755859376,1701000
2025-06-03,91.6500015258789,91.8499984741211,90.01000213623047,90.83999633789062,1806500
2025-06-04,91.0999984741211,91.5,90.48999786376953,90.97000122070312,1417200
2025-06-05,91.06999969482422,92.37999725341795,90.5,92.0199966430664,2017800
2025-06-06,92.06999969482422,93.48999786376953,92.01000213623047,93.30999755859375,1415200
2025-06-09,92.61000061035156,92.8000030517578,91.4800033569336,92.05999755859376,1494100
2025-06-10,92.16000366210938,92.95999908447266,91.94999694824219,92.88999938964844,1149100
2025-06-11,92.66000366210938,93.2300033569336,92.05999755859376,92.86000061035156,1159100
2025-06-12,93.20999908447266,93.61000061035156,92.62000274658205,93.52999877929688,1514600
2025-06-13,93.19000244140624,93.75,92.69000244140624,92.8499984741211,1250400
2025-06-16,93.5,94.73999786376952,92.51000213623048,92.79000091552734,1827900
2025-06-17,92.51000213623048,93.13999938964844,91.94000244140624,92.1999969482422,1410200
2025-06-18,92.37000274658205,93.52999877929688,92.3499984741211,92.70999908447266,1249100
2025-06-20,93.56999969482422,94.69999694824219,92.19000244140625,92.56999969482422,3154900
2025-06-23,92.5,93.72000122070312,92.11000061035156,92.98999786376953,1926800
2025-06-24,93.47000122070312,93.5,92.30999755859375,92.66999816894531,1586700
2025-06-25,92.12999725341797,92.27999877929688,91.19000244140625,91.55999755859375,1774000
2025-06-26,92.05999755859375,92.5999984741211,91.08000183105469,91.2699966430664,1723000
2025-06-27,91.30000305175781,91.41999816894531,90.66999816894531,91.0999984741211,1897900
2025-06-30,91.0999984741211,92.8499984741211,90.9800033569336,92.72000122070312,1615700
2025-07-01,92.83000183105469,94.3499984741211,92.83000183105469,93.16999816894531,2007400
2025-07-02,93.13999938964844,94.0,92.9800033569336,93.58000183105469,2095500
2025-07-03,93.81999969482422,96.55000305175781,93.4000015258789,96.5199966430664,2593800
2025-07-07,96.56999969482422,97.2300033569336,96.12000274658205,96.81999969482422,2208400
2025-07-08,96.2699966430664,96.63999938964844,94.69999694824219,96.0,2162600
2025-07-09,96.33999633789062,96.43000030517578,94.41000366210938,95.86000061035156,2026000
2025-07-10,95.45999908447266,95.6500015258789,94.95999908447266,95.4499969482422,1358400
