Date,Open,High,Low,Close,Volume
2024-09-16,403.983,404.433,382.863,393.648,727.685
2024-09-17,394.097,394.547,389.155,390.053,142.421
2024-09-18,392.75,392.75,388.705,389.604,403.898
2024-09-19,389.604,389.604,375.673,386.458,501.813
2024-09-20,386.458,386.458,371.18,372.078,617.531
2024-09-23,372.528,376.572,335.68,368.483,2088.48
2024-09-24,368.483,368.483,357.249,357.249,1069.27
2024-09-25,350.508,352.306,332.534,340.623,2506.84
2024-09-26,342.869,342.869,322.648,330.737,3754.14
2024-09-27,332.534,355.451,328.939,349.61,1951.62
2024-09-30,349.61,352.306,334.78,341.521,1039.23
2024-10-01,337.477,346.464,334.331,337.926,1785.83
2024-10-02,341.072,355.901,337.926,347.812,1107.1
2024-10-03,355.002,355.002,341.521,343.318,477.335
2024-10-04,341.521,349.61,341.521,345.116,686.516
2024-10-07,341.521,345.116,332.534,332.534,2500.16
2024-10-08,332.534,337.027,327.141,337.027,1134.92
2024-10-09,337.027,350.508,334.78,346.015,1616.7
2024-10-10,346.913,350.508,341.97,341.97,277.054
2024-10-11,341.97,345.116,339.724,345.116,278.167
2024-10-14,344.218,344.218,337.027,338.824,193.604
2024-10-15,338.824,341.521,331.186,339.724,403.898
2024-10-16,332.534,339.724,330.737,339.724,377.194
2024-10-17,339.724,339.724,328.04,338.824,779.981
2024-10-18,333.432,341.521,333.432,340.173,703.206
2024-10-21,340.173,340.173,329.837,336.129,817.811
2024-10-22,330.737,336.578,328.939,332.983,590.827
2024-10-23,332.534,332.534,321.749,329.388,953.557
2024-10-24,328.939,329.388,325.343,327.141,222.533
2024-10-25,328.939,328.939,296.584,320.85,1844.8
2024-10-28,314.559,323.097,312.762,319.053,739.925
2024-10-29,314.559,319.951,308.268,319.053,911.276
2024-10-30,319.053,319.053,310.964,318.154,693.192
2024-10-31,318.154,321.749,311.862,321.749,437.278
2024-11-04,315.458,321.299,312.312,314.11,318.223
2024-11-05,314.11,314.559,310.515,310.515,238.111
2024-11-06,310.065,312.312,305.572,305.572,259.251
2024-11-07,307.818,307.818,301.976,305.572,392.772
2024-11-08,301.976,303.324,298.381,302.875,744.375
2024-11-12,299.28,303.774,296.584,300.179,273.716
2024-11-13,301.976,304.224,294.337,296.584,763.291
2024-11-14,296.584,301.976,289.843,291.641,314.885
2024-11-15,290.292,290.743,279.508,279.508,902.374
2024-11-18,279.508,285.35,274.565,275.014,1608.91
2024-11-19,275.014,277.711,264.23,264.23,1763.58
2024-11-20,268.274,273.217,258.837,261.533,3362.48
