Date,Open,High,Low,Close,Volume
2024-12-02,59.25,59.7,59.14,59.43,15977739
2024-12-03,59.43,59.525,59.165,59.48,11746006
2024-12-04,59.64,59.84,59.265,59.62,16872103
2024-12-05,59.79,60.23,59.7,60.02,19121697
2024-12-06,60.0,60.08,59.765,59.89,14623064
2024-12-09,59.83,59.88,58.86,58.95,16517459
2024-12-10,58.5,58.86,58.13,58.72,14480185
2024-12-11,58.88,58.96,58.31,58.59,26842940
2024-12-12,58.69,59.74,58.625,58.85,17704609
2024-12-13,58.62,58.935,58.38,58.62,14129777
2024-12-16,58.47,58.49,57.845,58.35,26883236
2024-12-17,58.38,59.07,58.17,58.52,24912522
2024-12-18,58.71,58.71,57.48,57.53,24195146
2024-12-19,57.39,58.14,57.34,57.63,21947824
2024-12-20,57.568,58.78,57.27,58.52,69544629
2024-12-23,58.13,59.015,58.12,58.98,18671217
2024-12-24,58.8,59.85,58.8,59.85,9922346
2024-12-26,59.62,60.055,59.4,59.98,8526942
2024-12-27,59.57,60.02,59.135,59.61,13021411
2024-12-30,59.09,59.39,58.41,59.19,12948052
2024-12-31,59.22,59.375,58.765,59.2,14173022
2025-01-02,59.27,59.68,58.57,59.1,16144281
2025-01-03,58.84,59.17,58.36,58.86,18859541
2025-01-06,58.91,59.58,58.585,58.77,18543298
2025-01-07,58.97,59.245,58.645,58.93,16863781
2025-01-08,58.89,59.24,58.27,59.2,14400335
2025-01-10,58.79,59.06,58.54,58.74,17274459
2025-01-13,58.92,58.93,58.17,58.76,19340695
2025-01-14,58.97,59.34,58.75,59.33,16715456
2025-01-15,59.8551,60.34,59.5925,59.98,19185137
2025-01-16,60.18,60.445117,59.78,59.82,18445709
2025-01-17,60.76,60.95,60.2,60.23,23876379
2025-01-21,60.47,61.33,60.28,61.03,18623768
2025-01-22,61.04,61.755,60.99,61.63,19436629
2025-01-23,61.8,62.315,61.3801,62.23,14212046
2025-01-24,62.06,62.2899,61.86,62.23,17232945
2025-01-27,61.39,61.46,58.76,59.08,33730340
2025-01-28,59.02,59.56,58.92,59.43,25473316
2025-01-29,59.95,60.5363,59.51,59.55,17925289
2025-01-30,60.47,61.075,60.2501,60.47,17079036
2025-01-31,60.53,61.19,60.455,60.6,16555695
2025-02-03,60.19,61.255,59.55,61.04,20375707
2025-02-04,60.84,61.5947,60.73,61.34,12742713
2025-02-05,61.45,62.71,61.3,62.57,19008323
2025-02-06,62.82,62.91,62.0701,62.27,15521841
2025-02-07,62.74,63.25,62.21,62.27,23861029
2025-02-10,63.12,63.1541,62.38,62.81,15816237
2025-02-11,62.53,62.8,62.175,62.43,17702464
2025-02-12,61.44,62.56,61.2,62.53,30116284
2025-02-13,66.1,66.5,62.72,63.84,43257663
2025-02-14,63.79,65.07,63.44,64.87,23693320
2025-02-18,65.3,66.25,64.43,64.59,22047470
2025-02-19,64.515,64.96,64.29,64.84,14164064
2025-02-20,64.96,65.23,64.27,64.67,14836588
2025-02-21,64.68,64.96,63.88,63.98,18905792
2025-02-24,64.425,64.565,63.15,63.25,17287523
2025-02-25,64.6,64.635,63.32,64.27,22100075
2025-02-26,64.045,64.775,63.94,64.08,13452344
2025-02-27,64.765,65.29,63.75,63.81,24695609
2025-02-28,63.925,64.16,62.83,64.11,26711832
2025-03-03,64.39,64.88,63.19,63.48,21810686
2025-03-04,63.74,63.91,62.6132,63.26,24588330
2025-03-05,63.23,64.175,62.8,63.96,14931472
2025-03-06,63.8,64.02,62.7608,63.41,23155124
2025-03-07,62.9,64.17,62.19,63.94,21154785
2025-03-10,63.48,63.69,61.68,62.06,27417648
2025-03-11,62.28,62.38,60.53,60.67,25787410
2025-03-12,60.96,61.18,60.245,60.46,18935337
2025-03-13,60.41,60.49,59.23,59.67,16463327
2025-03-14,60.32,60.62,59.92,60.5,16250727
2025-03-17,60.4,61.21,60.34,60.89,15335820
2025-03-18,60.665,60.8,59.67,60.3,16668982
2025-03-19,60.63,61.575,60.5,61.12,15488782
2025-03-20,60.475,61.02,60.34,60.62,16528566
2025-03-21,60.17,60.4,59.425,60.3,65935195
2025-03-24,61.035,61.38,60.88,60.97,28335642
2025-03-25,60.84,61.21,60.7,60.99,20877635
2025-03-26,61.03,61.84,61.005,61.8,30628526
2025-03-27,61.89,61.98,61.33,61.4,25720164
2025-03-28,61.66,61.7754,60.51,60.86,24931721
2025-03-31,60.63,61.895,60.24,61.71,29335721
2025-04-01,61.38,62.04,61.06,61.8,17381449
2025-04-02,61.195,61.87,61.1,61.82,18610686
2025-04-03,59.38,59.92,57.255,57.31,40006321
2025-04-04,56.656,57.47,54.44,54.54,42924448
2025-04-07,53.38,56.12,52.11,54.41,46816197
2025-04-08,54.735,55.865,52.715,53.19,37376985
2025-04-09,53.08,58.43,52.67,58.13,53380792
2025-04-10,57.82,57.94,55.0,56.59,31964574
2025-04-11,56.67,57.8,56.28,57.33,23036936
2025-04-14,57.89,58.21,57.095,57.41,15657742
2025-04-15,57.87,57.91,57.06,57.2,18543575
2025-04-16,56.57,57.08,55.42,55.76,20551318
2025-04-17,56.2,56.405,55.685,55.76,15910364
2025-04-21,55.16,55.33,53.83,54.37,15578781
2025-04-22,55.22,55.275,54.585,55.04,19961797
2025-04-23,56.15,56.98,55.495,55.63,30231456
2025-04-24,55.3,56.565,55.16,56.29,22782315
2025-04-25,56.21,56.78,56.07,56.71,16493787
2025-04-28,56.525,57.33,56.415,56.84,23140581
2025-04-29,56.69,57.49,56.63,57.34,13466087
2025-04-30,57.1,57.905,56.46,57.73,19921236
2025-05-01,57.78,58.4674,57.68,58.12,16420751
2025-05-02,59.06,59.415,58.735,59.33,18753540
2025-05-05,59.0,59.65,58.88,59.32,14758504
2025-05-06,58.625,59.51,58.58,59.22,13766484
2025-05-07,59.2,59.895,59.07,59.57,14081022
2025-05-08,59.955,60.28,59.425,59.71,16196656
2025-05-09,60.655,60.83,59.44,59.77,17480669
2025-05-12,61.61,61.85,61.12,61.67,23699990
2025-05-13,61.675,62.24,61.605,61.78,18591168
2025-05-14,61.63,61.87,60.845,61.29,34509182
2025-05-15,63.07,65.745,62.92,64.26,60718026
2025-05-16,63.91,64.03,62.975,63.62,30289903
2025-05-19,63.43,64.13,63.18,63.92,16249009
2025-05-20,63.735,63.85,63.065,63.42,14995178
2025-05-21,62.99,63.905,62.9714,63.2,15595941
2025-05-22,63.405,63.72,62.95,63.36,15641088
2025-05-23,62.705,63.22,62.53,63.11,15645591
2025-05-27,63.76,63.99,63.335,63.75,17429411
2025-05-28,63.89,63.985,63.25,63.34,13814469
2025-05-29,63.73,63.74,62.485,63.05,13984561
2025-05-30,62.92,63.175,62.3,63.04,25829056
2025-06-02,62.725,63.88,62.71,63.85,15815994
2025-06-03,63.795,64.456429,63.72,64.36,15156856
2025-06-04,64.66,64.89,64.345,64.39,14770949
2025-06-05,64.48,64.91,64.28,64.62,17058566
2025-06-06,65.315,66.16,65.23,66.06,20943758
2025-06-09,66.11000061035156,66.36000061035156,65.58999633789062,65.9000015258789,13689800
2025-06-10,66.01000213623047,66.08000183105469,64.80999755859375,65.1500015258789,17214900
2025-06-11,65.11000061035156,65.1500015258789,63.869998931884766,64.19000244140625,20442600
2025-06-12,64.31999969482422,65.20999908447266,64.11000061035156,65.0999984741211,15160800
2025-06-13,64.58999633789062,64.72000122070312,63.93000030517578,64.08999633789062,14635000
2025-06-16,65.19,65.615,64.85,65.51,16957712
2025-06-17,65.635,66.15,65.02,65.33,18845236
2025-06-18,65.685,66.34,65.38,65.84,22664169
2025-06-20,66.49,66.65,65.72,66.32,50421676
2025-06-23,66.345,67.485,66.21,67.38,34029979
2025-06-24,67.78,68.04,67.355,67.89,23162709
2025-06-25,67.85,68.525,67.78,68.19,19395693
2025-06-26,68.72,69.16,68.42,68.95,23154032
2025-06-27,68.87,69.215,68.34,68.65,26224620
2025-06-30,68.835,69.78,68.75,69.38,32561232
2025-07-01,69.38,69.545,68.635,69.1,21939473
2025-07-02,68.68,68.94,68.1797,68.59,16655191
2025-07-03,68.18,69.47,68.18,69.37,17973495
2025-07-07,69.08,69.3,68.605,68.93,23985157
2025-07-08,68.8,68.92,68.35,68.59,21182565
2025-07-09,68.54,69.32,68.31,69.27,23765949
2025-07-10,69.255,69.39,68.5613,68.76,15006059
2025-07-11,68.29,68.4999,67.685,67.95,14699412
2025-07-14,67.83,68.0259,67.2,67.82,16451389
2025-07-15,67.68,67.88,67.15,67.18,13944576
2025-07-16,67.15,67.56,66.98,67.37,15156132
2025-07-17,67.55,68.47,67.51,68.3,20400008
2025-07-18,68.775,68.84,67.9601,68.05,16145084
2025-07-21,67.902,68.619,67.79,68.34,14674208
2025-07-22,68.34,68.6,68.075,68.16,14527150
2025-07-23,68.35,68.8293,68.06,68.62,13042257
2025-07-24,68.36000061035156,68.58999633789062,67.91999816894531,68.29000091552734,13534000
2025-07-25,68.37999725341797,68.81999969482422,68.06999969482422,68.69000244140625,11590000
2025-07-28,67.75,67.95999908447266,67.37000274658203,67.91999816894531,20558400
2025-07-29,68.23,68.725,67.825,67.96,15261761
2025-07-30,67.83999633789062,68.58000183105469,67.3499984741211,68.27999877929688,15518200
2025-07-31,68.30999755859375,69.1500015258789,67.87999725341797,68.08000183105469,18529200
2025-08-01,67.51000213623047,67.61000061035156,66.5199966430664,67.11000061035156,21650000
2025-08-04,67.7699966430664,68.51000213623047,67.61000061035156,68.48999786376953,17052200
2025-08-05,68.69000244140625,68.87000274658203,67.44000244140625,67.5199966430664,15434500
2025-08-06,67.96,69.345,67.765,69.21,23107772
2025-08-07,69.80000305175781,70.13999938964844,69.20999908447266,69.9000015258789,22579600
2025-08-08,70.23999786376953,72.0199966430664,70.22000122070312,71.79000091552734,31662400
2025-08-11,72.30000305175781,72.55000305175781,70.33999633789062,70.66999816894531,28911400
2025-08-12,70.785,71.5,70.56,71.38,21940975
2025-08-13,71.86,72.03,70.25,70.4,38096360
2025-08-14,68.0,70.61000061035156,67.4800033569336,69.30000305175781,39317300
2025-08-15,68.44999694824219,68.6500015258789,65.86000061035156,66.19999694824219,40877300
2025-08-18,66.08000183105469,67.11000061035156,65.75,66.94999694824219,20903400
2025-08-19,66.76000213623047,67.5199966430664,66.4800033569336,66.76000213623047,18746600
2025-08-20,66.82,67.185,66.535,67.11,14946418
2025-08-21,67.0999984741211,67.22000122070312,66.47000122070312,67.0199966430664,12456600
2025-08-22,67.33000183105469,68.04000091552734,67.01000213623047,67.31999969482422,16830600
2025-08-25,67.27999877929688,67.5,67.11000061035156,67.13999938964844,11724500
2025-08-26,67.16999816894531,68.75,67.11000061035156,68.38999938964844,28307900
2025-08-27,68.31999969482422,68.75,68.1500015258789,68.44000244140625,13876700
2025-08-28,68.36000061035156,69.58000183105469,68.3499984741211,69.43000030517578,15256000
2025-08-29,69.11000061035156,69.45999908447266,68.83000183105469,69.08999633789062,14953000
2025-09-02,68.11000061035156,68.31999969482422,67.37999725341797,67.80000305175781,18928800
2025-09-03,68.05000305175781,68.12999725341797,67.33000183105469,67.66999816894531,14320100
2025-09-04,68.0999984741211,68.41000366210938,67.41000366210938,67.98999786376953,14388500
2025-09-05,67.72000122070312,68.0999984741211,66.4800033569336,66.9000015258789,21050800
2025-09-08,66.72000122070312,67.01000213623047,66.3499984741211,66.87999725341797,14038000
2025-09-09,66.73999786376953,67.44000244140625,66.63999938964844,67.33999633789062,11649400
2025-09-10,67.58999633789062,68.31999969482422,67.12000274658203,68.12999725341797,14689500
2025-09-11,68.30999755859375,68.56999969482422,67.51000213623047,67.69000244140625,17560800
2025-09-12,66.87999725341797,67.33999633789062,66.12999725341797,66.52999877929688,18529200
2025-09-15,66.51000213623047,67.19999694824219,66.3499984741211,67.0199966430664,16203100
2025-09-16,67.0199966430664,67.37999725341797,66.55000305175781,66.93000030517578,18019300
2025-09-17,67.0,67.87999725341797,66.37999725341797,67.72000122070312,18652100
2025-09-18,67.9000015258789,68.76000213623047,67.4800033569336,68.68000030517578,20279000
2025-09-19,68.91999816894531,68.91999816894531,67.18000030517578,68.20999908447266,47822500
2025-09-22,67.86000061035156,68.0,67.30000305175781,67.75,20396700
2025-09-23,67.58000183105469,68.22000122070312,67.06999969482422,67.54000091552734,22240000
2025-09-24,67.69999694824219,67.86000061035156,66.88999938964844,67.31999969482422,17433100
2025-09-25,67.31999969482422,68.23999786376953,67.11000061035156,67.8499984741211,22351700
2025-09-26,67.87000274658203,67.91000366210938,66.8499984741211,67.22000122070312,15077400
2025-09-29,67.72000122070312,67.94999694824219,67.44000244140625,67.72000122070312,14358300
2025-09-30,67.70999908447266,68.7699966430664,67.69000244140625,68.41999816894531,20498900
2025-10-01,67.9000015258789,68.81999969482422,67.69000244140625,68.75,15530700
2025-10-02,69.18000030517578,69.48999786376953,68.26000213623047,68.30999755859375,15708300
2025-10-03,67.94999694824219,68.58000183105469,67.6500015258789,67.91999816894531,11113200
2025-10-06,68.44000244140625,68.94999694824219,67.80999755859375,68.91000366210938,21952700
2025-10-07,68.91999816894531,69.22000122070312,68.44000244140625,68.98999786376953,16493200
2025-10-08,69.80999755859375,70.76000213623047,69.0,70.33000183105469,34246300
2025-10-09,70.30999755859375,70.62000274658203,69.02999877929688,69.95999908447266,21209500
2025-10-10,70.41000366210938,70.80999755859375,67.88999938964844,67.94000244140625,20961500
2025-10-13,68.55000305175781,68.88999938964844,67.12999725341797,67.45999908447266,14127900
2025-10-14,67.11000061035156,69.16000366210938,66.80999755859375,68.66000366210938,15402000
2025-10-15,69.30999755859375,70.30000305175781,68.81999969482422,69.5199966430664,16260500
2025-10-16,69.77999877929688,70.06999969482422,68.56999969482422,69.08999633789062,13950600
2025-10-17,69.05999755859375,70.7699966430664,68.94999694824219,70.12999725341797,16286900
2025-10-20,70.12000274658203,70.97000122070312,70.12000274658203,70.6500015258789,12183500
2025-10-21,70.58000183105469,71.23999786376953,70.37999725341797,70.72000122070312,15763300
2025-10-22,70.86000061035156,70.97000122070312,69.8499984741211,70.66000366210938,14967200
2025-10-23,70.5999984741211,71.23999786376953,70.2300033569336,70.2699966430664,14614100
2025-10-24,70.63999938964844,70.94000244140625,70.05999755859375,70.62999725341797,13075600
2025-10-27,70.54000091552734,71.45999908447266,70.43000030517578,71.38999938964844,15986800
2025-10-28,71.19999694824219,72.68000030517578,71.02999877929688,72.62000274658203,19896800
2025-10-29,72.68000030517578,72.81999969482422,70.91999816894531,71.33000183105469,18020600
2025-10-30,71.37000274658203,73.11000061035156,71.33999633789062,72.91000366210938,18101800
2025-10-31,72.72000122070312,73.4800033569336,72.43000030517578,73.11000061035156,24008000
2025-11-03,74.61000061035156,74.83999633789062,73.62000274658203,74.44999694824219,21733400
2025-11-04,73.9000015258789,73.98999786376953,71.9800033569336,72.31999969482422,22345000
2025-11-05,72.22000122070312,72.58000183105469,71.33999633789062,72.0999984741211,16113500
2025-11-06,71.70999908447266,72.2300033569336,70.69000244140625,71.04000091552734,16469900
2025-11-07,71.38999938964844,71.58999633789062,70.54000091552734,71.06999969482422,16913700
2025-11-10,71.76000213623047,72.5,71.1500015258789,72.08999633789062,22201200
2025-11-11,71.73999786376953,72.25,71.0999984741211,71.70999908447266,21412900
2025-11-12,71.91000366210938,74.20999908447266,71.72000122070312,73.95999908447266,57591600
2025-11-13,77.94999694824219,79.5,76.6500015258789,77.37999725341797,57638500
2025-11-14,76.58000183105469,78.66999816894531,75.83999633789062,78.0,38819600
2025-11-17,77.88999938964844,79.38999938964844,77.47000122070312,77.77999877929688,28720100
2025-11-18,77.55000305175781,78.19999694824219,76.44999694824219,77.37000274658203,26025500
2025-11-19,77.30000305175781,78.93000030517578,77.16000366210938,78.38999938964844,24759700
2025-11-20,79.12000274658203,80.05999755859375,75.31999969482422,75.44000244140625,27381900
2025-11-21,75.63999938964844,76.94000244140625,75.47000122070312,76.0999984741211,24428800
2025-11-24,76.48999786376953,76.87999725341797,75.68000030517578,76.23999786376953,26691500
2025-11-25,76.48999786376953,77.05999755859375,76.08000183105469,76.31999969482422,18818800
2025-11-26,76.45999908447266,76.5999984741211,75.33999633789062,76.06999969482422,15972600
2025-11-28,76.13999938964844,76.95999908447266,75.80999755859375,76.94000244140625,7320900
2025-12-01,76.66999816894531,76.81999969482422,75.93000030517578,76.04000091552734,15529600
2025-12-02,76.16000366210938,77.0,75.76000213623047,76.87000274658203,14619100
2025-12-03,76.58999633789062,77.81999969482422,75.6500015258789,77.75,16088400
2025-12-04,77.69000244140625,77.86000061035156,77.16999816894531,77.76000213623047,12572600
2025-12-05,77.97000122070312,78.19000244140625,77.4000015258789,77.97000122070312,12579400
2025-12-08,78.20999908447266,79.37999725341797,78.12000274658203,78.86000061035156,17454500
2025-12-09,78.79000091552734,79.87999725341797,78.51000213623047,79.51000213623047,15737500
2025-12-10,78.83000183105469,80.81999969482422,78.80000305175781,80.25,21302700
2025-12-11,80.23999786376953,80.37000274658203,78.83000183105469,79.2699966430664,18652300
2025-12-12,79.45999908447266,79.55999755859375,77.72000122070312,77.80000305175781,16672300
2025-12-15,78.20999908447266,78.70999908447266,77.54000091552734,78.25,17646000
2025-12-16,78.11000061035156,78.61000061035156,77.37999725341797,77.55000305175781,17737200
2025-12-17,77.9000015258789,78.19999694824219,75.91999816894531,76.0,26094400
2025-12-18,76.33000183105469,77.80999755859375,76.26000213623047,76.94999694824219,19249400
2025-12-19,76.97000122070312,79.16999816894531,76.79000091552734,78.41999816894531,84881900
2025-12-22,79.0199966430664,79.1500015258789,77.95999908447266,78.11000061035156,18016100
2025-12-23,77.61000061035156,78.12000274658203,77.58999633789062,78.0199966430664,16712600
2025-12-24,78.0199966430664,78.29000091552734,77.8499984741211,78.0199966430664,9104400
2025-12-26,78.0999984741211,78.27999877929688,77.93000030517578,78.16000366210938,10158000
