Date,Open,High,Low,Close,Volume
2024-07-15,24.0,24.0,23.3,23.3,4353.0
2024-07-16,23.2,23.2,21.6,22.5,14862.0
2024-07-17,22.6,22.9,22.0,22.4,3334.0
2024-07-18,22.3,23.3,22.3,23.3,1278.0
2024-07-19,23.3,23.8,22.5,23.7,6263.0
2024-07-22,23.8,24.3,23.5,24.3,2005.0
2024-07-23,24.4,24.9,24.3,24.6,2708.0
2024-07-24,25.0,25.2,23.0,23.7,4652.0
2024-07-25,23.8,24.5,23.3,23.7,1362.0
2024-07-26,23.7,24.5,23.0,24.0,3862.0
2024-07-29,23.5,24.2,23.5,24.1,366.0
2024-07-30,24.1,24.7,23.3,24.1,3512.0
2024-07-31,24.0,24.1,23.3,23.3,432.0
2024-08-01,23.9,24.1,23.8,23.9,742.0
2024-08-02,23.8,23.8,22.5,22.9,4562.0
2024-08-05,22.0,22.0,20.5,21.8,11760.0
2024-08-06,22.0,22.4,21.5,21.5,3242.0
2024-08-07,21.6,22.8,21.6,22.1,2759.0
2024-08-08,21.9,22.2,21.8,22.2,976.0
2024-08-09,22.2,22.2,21.9,22.0,1250.0
2024-08-12,22.2,23.4,22.0,23.0,3622.0
2024-08-13,23.3,23.5,22.8,23.0,1675.0
2024-08-14,24.4,25.6,24.1,24.5,23262.0
2024-08-16,24.8,25.8,24.5,25.7,10884.0
2024-08-19,25.7,25.8,25.5,25.5,4114.0
2024-08-20,25.5,25.9,25.5,25.7,1995.0
2024-08-21,25.8,25.9,24.8,24.8,2082.0
2024-08-22,24.8,25.4,24.3,24.8,1423.0
2024-08-23,24.8,24.8,23.5,24.2,3129.0
2024-08-26,24.1,24.1,23.6,23.6,2079.0
2024-08-27,23.7,23.7,23.0,23.0,4212.0
2024-08-28,23.0,23.5,22.8,22.8,4639.0
2024-08-29,22.8,23.3,22.5,22.5,5357.0
2024-08-30,22.5,22.7,21.9,21.9,15397.0
2024-09-02,22.0,22.5,21.7,21.7,10513.0
2024-09-03,22.0,22.0,21.4,21.5,8574.0
2024-09-04,21.5,21.5,20.2,21.0,11454.0
2024-09-05,21.9,21.9,20.9,20.9,7600.0
2024-09-06,20.7,20.7,19.95,20.0,9209.0
2024-09-09,20.0,21.2,20.0,21.2,1237.0
2024-09-10,21.3,21.3,20.6,20.6,2641.0
2024-09-11,20.5,21.2,20.5,20.9,1370.0
2024-09-12,21.2,21.3,20.4,20.8,1059.0
2024-09-13,21.1,21.1,20.7,21.1,1513.0
2024-09-16,21.1,21.5,20.8,21.5,1283.0
2024-09-17,21.3,21.7,20.5,21.2,2615.0
2024-09-18,21.8,22.0,21.0,21.8,7964.0
2024-09-19,21.8,22.4,21.4,21.9,1997.0
2024-09-20,21.9,21.9,21.1,21.2,1521.0
2024-09-23,21.2,21.6,20.9,21.4,1188.0
2024-09-24,21.4,21.8,21.2,21.4,3032.0
2024-09-25,21.9,22.1,21.5,22.0,2749.0
2024-09-26,21.7,22.2,21.6,22.2,973.0
2024-09-27,22.3,22.3,21.6,21.8,250.0
2024-09-30,22.0,22.1,21.5,21.7,3278.0
2024-10-01,20.2,21.6,20.2,21.6,2426.0
2024-10-02,21.5,22.0,21.0,21.1,11178.0
2024-10-03,21.4,21.8,20.9,21.3,7653.0
2024-10-04,21.3,21.5,21.0,21.4,1074.0
2024-10-07,21.5,21.7,21.1,21.5,3304.0
2024-10-08,21.5,21.5,21.3,21.5,325.0
2024-10-09,21.5,21.5,21.2,21.4,406.0
2024-10-10,21.5,21.9,21.2,21.9,2502.0
2024-10-11,21.9,22.0,21.9,22.0,408.0
2024-10-14,22.2,22.4,21.5,22.2,745.0
2024-10-15,22.2,22.2,21.6,22.0,569.0
2024-10-16,22.0,22.0,20.8,21.6,5639.0
2024-10-17,21.2,21.6,21.0,21.2,1251.0
2024-10-18,21.2,21.2,20.6,21.0,2999.0
2024-10-21,21.2,21.4,20.8,20.8,812.0
2024-10-22,20.8,21.3,20.7,21.2,1083.0
2024-10-23,21.2,21.8,20.7,21.6,2287.0
