Date,Open,High,Low,Close,Volume
2024-06-12,3.34376,3.46868,3.30533,3.35337,14020.879386091972
2024-06-13,3.43986,3.45907,3.35337,3.39181,6955.280354606046
2024-06-14,3.39181,3.39181,3.31494,3.31494,4276.4098424474405
2024-06-17,3.39181,3.39181,3.2669,3.35337,9594.60266184545
2024-06-18,3.24768,3.35337,3.21885,3.35337,6557.71682094459
2024-06-19,3.35337,3.47829,3.24768,3.41103,16071.141588482204
2024-06-20,3.44947,3.4879,3.31494,3.34376,16883.961273795285
2024-06-21,3.43025,3.43025,3.28611,3.31494,5680.371117079127
2024-06-24,3.43986,3.43986,3.31494,3.36298,4474.150867043452
2024-06-25,3.3822,3.43986,3.32455,3.36298,3276.256554885505
2024-06-26,3.43025,3.43025,3.21885,3.30533,13043.622427693786
2024-06-27,3.30533,3.31494,3.24768,3.31494,1290.5203710476578
2024-06-28,3.36298,3.36298,3.2669,3.33416,1228.0758369647067
2024-07-01,3.41103,3.41103,3.2669,3.30533,10401.177893750237
2024-07-02,3.47307,3.47307,3.3152,3.42373,2977.702702663
2024-07-03,3.42373,3.48293,3.404,3.48293,2541.891891858
2024-07-04,3.4632,3.48293,3.4632,3.48293,986.1486486355
2024-07-05,3.48293,3.48293,3.38427,3.45333,4605.405405344
2024-07-08,3.47307,3.47307,3.27573,3.3744,14701.0135133175
2024-07-09,3.45333,3.45333,3.24613,3.3152,16180.7432430275
2024-07-10,3.35467,3.35467,3.18693,3.30533,20950.33783755849
2024-07-11,3.30533,3.3448,3.256,3.3448,5882.432432354
2024-07-12,3.35467,3.35467,3.20667,3.29547,3236.1486486055
2024-07-15,3.33493,3.33493,3.20667,3.3152,5957.432432353
2024-07-16,3.3448,3.3448,3.17707,3.3152,9655.7432431145
2024-07-17,3.3152,3.3152,3.18693,3.26587,2648.3108107755
2024-07-18,3.20667,3.32507,3.1968,3.32507,5703.0405404645
2024-07-19,3.404,3.50267,3.33493,3.48293,43409.7972967185
2024-07-22,3.48293,3.79867,3.36453,3.57173,182132.432430004
2024-07-23,3.59147,3.74933,3.5816,3.7,3928.378378326
2024-07-24,3.7,3.74933,3.62107,3.71973,13849.6621619775
2024-07-25,3.71973,3.71973,3.6408,3.70987,2350.3378378065
2024-07-26,3.74933,3.74933,3.69013,3.71973,7147.297297202
2024-07-29,3.74933,3.74933,3.60133,3.7296,1227.3648648485
2024-07-30,3.73947,3.73947,3.60133,3.7,2719.2567567205
2024-07-31,3.7296,3.8184,3.62107,3.7296,39185.4729724505
2024-08-01,3.74933,3.80853,3.6112,3.80853,15013.1756754755
2024-08-02,3.79867,3.79867,3.6408,3.7296,1938.8513513255
2024-08-05,3.7296,3.7296,3.27573,3.54213,16194.9324322165
2024-08-06,3.62107,3.79867,3.57173,3.60133,20999.99999972
2024-08-07,3.6408,3.7,3.57173,3.7,5068.5810810135
2024-08-08,3.7,3.7,3.5224,3.53227,5041.216216149
2024-08-09,3.6408,3.7,3.5224,3.5816,7810.135135031
2024-08-12,3.57173,3.57173,3.45333,3.54213,3227.027026984
2024-08-13,3.54213,3.552,3.54213,3.552,637.4999999915
2024-08-14,3.552,3.6408,3.4928,3.6408,5511.486486413
2024-08-16,3.6408,3.6408,3.50267,3.63093,3725.675675626
2024-08-19,3.60133,3.60133,3.50267,3.57173,5366.5540539825
2024-08-20,3.57173,3.62107,3.48293,3.54213,7461.486486387
2024-08-21,3.5224,3.8184,3.5224,3.8184,27056.756756396
2024-08-22,3.848,3.88747,3.65067,3.74933,30913.175675263497
2024-08-23,3.7,3.7,3.552,3.56187,16293.243243026
2024-08-26,3.66053,3.66053,3.53227,3.65067,3172.297297255
2024-08-27,3.6704,3.6704,3.42373,3.66053,17597.635134900498
2024-08-28,3.66053,3.66053,3.47307,3.53227,7608.4459458445
2024-08-29,3.53227,3.6112,3.4928,3.6112,5751.6891891125
2024-08-30,3.50267,3.6112,3.50267,3.6112,391.216216211
2024-09-02,3.6112,3.7888,3.54213,3.68027,13004.3918917185
2024-09-03,3.68027,3.74933,3.59147,3.68027,1009.459459446
2024-09-04,3.68027,3.68027,3.5816,3.68027,592.9054053975
2024-09-05,3.7,3.7,3.66053,3.7,1583.108108087
2024-09-06,3.68027,3.7,3.60133,3.68027,417.567567562
2024-09-09,3.68027,3.7,3.56187,3.68027,3081.08108104
2024-09-10,3.7,3.7,3.56187,3.7,1937.837837812
2024-09-11,3.7296,3.7296,3.59147,3.6704,1108.783783769
2024-09-12,3.6704,3.68027,3.59147,3.68027,223.9864864835
2024-09-13,3.68027,3.68027,3.6408,3.68027,97.297297296
2024-09-16,3.7296,3.7296,3.6704,3.70987,6178.378378296
