Date,Open,High,Low,Close,Volume
2024-06-19,9.2,9.2,9.2,9.2,150
2024-06-24,9.2,9.25,9.2,9.25,1029
2024-06-28,9.6,9.6,9.6,9.6,24
2024-07-02,9.6,9.6,9.6,9.6,170
2024-07-16,9.6,9.6,9.2,9.2,89
2024-07-22,9.6,9.6,9.6,9.6,10
2024-07-23,9.6,9.6,9.6,9.6,5
2024-07-24,9.6,9.6,9.6,9.6,10
2024-07-25,9.2,9.2,9.2,9.2,818
2024-07-30,9.15,9.15,9.15,9.15,5
2024-08-05,8.8,8.8,8.6,8.6,610
2024-08-13,8.9,8.9,8.9,8.9,843
2024-08-22,8.8,9.0,8.8,9.0,1076
2024-08-28,9.0,9.0,9.0,9.0,834
2024-08-30,9.0,9.0,9.0,9.0,10
2024-09-03,9.0,9.6,9.0,9.05,6420
2024-09-04,9.3,9.3,9.3,9.3,899
2024-09-06,9.6,9.6,9.6,9.6,2000
2024-09-11,9.6,9.6,9.6,9.6,5068
2024-09-12,9.7,9.7,9.7,9.7,774
2024-09-13,9.9,9.9,9.9,9.9,100
2024-09-16,10.0,10.0,10.0,10.0,306
2024-09-17,11.0,11.0,10.0,10.1,2390
2024-09-18,10.1,10.1,10.1,10.1,3069
2024-09-19,10.1,10.2,10.1,10.1,5914
2024-09-20,10.1,12.0,10.1,11.9,10274
2024-09-23,11.8,11.8,11.0,11.6,5858
2024-09-24,11.6,11.6,10.0,10.2,23876
2024-09-25,10.2,10.2,9.1,9.2,24381
2024-09-26,9.25,9.75,9.2,9.6,5705
2024-09-27,9.9,10.2,9.75,10.1,8006
2024-09-30,9.75,9.95,9.5,9.95,4292
2024-10-01,9.95,9.95,9.95,9.95,98
2024-10-02,9.95,9.95,9.95,9.95,660
2024-10-03,9.95,9.95,9.95,9.95,2385
2024-10-04,9.55,9.95,9.55,9.65,7457
2024-10-07,9.95,9.95,9.0,9.2,22978
2024-10-08,9.6,9.6,9.25,9.25,7888
2024-10-09,9.4,9.4,9.3,9.3,1161
2024-10-10,9.25,9.95,9.1,9.95,6051
2024-10-11,9.95,9.95,9.55,9.6,2566
2024-10-14,9.55,9.55,9.55,9.55,787
2024-10-16,9.15,9.2,9.1,9.2,4902
2024-10-17,9.2,9.55,8.45,9.0,5126
2024-10-18,9.0,9.0,8.8,8.95,4386
2024-10-21,9.0,9.2,9.0,9.2,1850
2024-10-22,9.1,9.1,9.0,9.0,4523
2024-10-24,9.0,9.0,9.0,9.0,1106
2024-10-25,9.0,9.0,9.0,9.0,118
2024-10-28,9.3,9.4,9.3,9.4,881
2024-11-04,9.15,9.15,9.15,9.15,820
2024-11-05,8.9,9.2,8.85,9.15,5890
2024-11-06,9.15,9.15,9.15,9.15,29
2024-11-07,9.15,9.15,8.9,8.9,694
