Date,Open,High,Low,Close,Volume
2024-07-15,13.66,13.66,13.34,13.36,37781
2024-07-16,13.36,13.4,12.78,12.8,88243
2024-07-17,12.8,12.8,12.5,12.62,65956
2024-07-18,12.52,13.16,12.52,13.04,13693
2024-07-19,13.04,13.2,12.72,12.88,18512
2024-07-22,12.76,13.28,12.76,12.86,10063
2024-07-23,12.9,13.0,12.76,13.0,18724
2024-07-24,12.98,13.0,12.74,12.88,24882
2024-07-25,12.8,12.8,12.5,12.56,26001
2024-07-26,12.76,12.76,12.56,12.74,6567
2024-07-29,12.62,12.76,12.54,12.6,10497
2024-07-30,12.6,12.6,12.56,12.6,10364
2024-07-31,12.58,13.1,12.58,12.92,32434
2024-08-01,13.2,13.44,13.0,13.34,43837
2024-08-02,13.3,13.48,13.12,13.46,152900
2024-08-05,13.1,13.1,12.7,12.8,77910
2024-08-06,12.8,13.22,12.8,13.22,42563
2024-08-07,13.08,13.26,13.02,13.18,17790
2024-08-08,13.0,13.26,13.0,13.26,37953
2024-08-09,13.46,13.74,13.34,13.5,28987
2024-08-12,13.5,13.58,13.38,13.44,21989
2024-08-13,13.42,13.86,13.4,13.68,38457
2024-08-14,13.8,14.34,13.7,14.04,91621
2024-08-16,14.22,14.36,14.0,14.02,43254
2024-08-19,14.0,14.38,13.98,14.0,30371
2024-08-20,14.0,14.1,13.6,13.82,38886
2024-08-21,13.82,14.1,13.74,13.9,22902
2024-08-22,13.9,13.9,13.56,13.86,17107
2024-08-23,13.72,13.98,13.64,13.96,22175
2024-08-26,13.9,13.96,13.7,13.9,15171
2024-08-27,13.8,13.86,13.6,13.64,18874
2024-08-28,13.6,13.78,13.42,13.7,26954
2024-08-29,13.58,13.7,13.56,13.66,11546
2024-08-30,13.7,13.82,13.06,13.72,47334
2024-09-02,13.72,13.8,13.5,13.64,8538
2024-09-03,13.72,13.86,13.54,13.56,15028
2024-09-04,13.3,13.72,13.3,13.7,48536
2024-09-05,13.66,14.28,13.52,13.88,149593
2024-09-06,13.84,13.84,13.68,13.84,15131
2024-09-09,13.78,13.86,13.6,13.68,41054
2024-09-10,13.54,13.66,13.42,13.5,55426
2024-09-11,13.46,13.62,13.12,13.4,52130
2024-09-12,13.38,13.64,13.38,13.54,13951
2024-09-13,13.54,13.64,13.46,13.54,12121
2024-09-16,13.44,13.6,13.44,13.46,8544
2024-09-17,13.5,13.64,13.42,13.6,15026
2024-09-18,13.6,13.68,13.46,13.5,8743
2024-09-19,13.5,13.68,13.5,13.58,29521
