Date,Open,High,Low,Close,Volume
2024-12-02,41.55,41.81,41.25,41.59,44130
2024-12-03,42.72,43.06,42.515,42.87,91688
2024-12-04,42.73,43.14,42.73,42.8,22958
2024-12-05,43.34,43.52,43.24,43.36,48280
2024-12-06,43.41,43.57,43.17,43.47,113589
2024-12-09,43.335,43.42,42.74,43.23,260203
2024-12-10,42.58,42.59,42.14,42.2,44741
2024-12-11,42.84,42.84,42.49,42.52,46809
2024-12-12,42.72,43.4,42.6,43.29,38811
2024-12-13,42.79,43.43,42.65,43.18,46037
2024-12-16,42.9,43.385,42.83,43.01,58688
2024-12-17,42.98,43.12,42.78,42.88,64694
2024-12-18,42.65,42.825,41.69,41.85,64425
2024-12-19,41.68,41.82,41.04,41.57,92338
2024-12-20,41.02,41.7524,41.02,41.49,65283
2024-12-23,41.72,41.97,41.41,41.95,50331
2024-12-24,42.125,44.22,42.125,43.51,61236
2024-12-26,43.16,43.95,42.58,42.59,43962
2024-12-27,42.35,42.565,42.17,42.37,46824
2024-12-30,42.27,42.5,42.21,42.29,37845
2024-12-31,43.83,43.83,41.05,42.03,78235
2025-01-02,41.94,42.07,41.74,41.74,54080
2025-01-03,41.95,42.211,41.7,41.9,64503
2025-01-06,42.3,42.625,42.1,42.32,47404
2025-01-07,42.66,42.66,42.01,42.135,46143
2025-01-08,41.59,42.14,41.56,41.99,45969
2025-01-10,41.25,41.25,40.64,40.74,49330
2025-01-13,40.14,40.66,40.14,40.6,55129
2025-01-14,40.14,40.625,40.07,40.5,68136
2025-01-15,40.61,40.72,40.345,40.51,54346
2025-01-16,40.84,41.255,40.77,40.99,56622
2025-01-17,41.24,41.74,41.17,41.6,120817
2025-01-21,42.59,42.96,42.4,42.93,91533
2025-01-22,43.05,43.53,43.01,43.36,46258
2025-01-23,43.65,43.9,43.42,43.87,88678
2025-01-24,43.23,43.63,43.17,43.46,51397
2025-01-27,43.33,43.46,43.23,43.45,61698
2025-01-28,43.32,43.66,43.275,43.48,62049
2025-01-29,42.94,43.34,42.78,43.02,77741
2025-01-30,43.42,43.8,43.34,43.58,43531
2025-01-31,43.3,43.38,42.8,42.93,44250
2025-02-03,41.43,41.85,41.25,41.68,58718
2025-02-04,41.9,42.56,41.84,42.45,46937
2025-02-05,42.46,42.755,42.37,42.58,50023
2025-02-06,42.17,42.95,42.12,42.74,78926
2025-02-07,42.97,43.4047,42.41,42.58,66590
2025-02-10,43.1,43.57,43.06,43.47,50583
2025-02-11,43.48,44.04,43.44,43.92,58380
2025-02-12,43.78,44.56,43.74,44.35,44155
2025-02-13,44.57,45.0,44.57,44.87,93272
2025-02-14,44.73,45.23,44.69,45.09,58735
2025-02-18,45.55,45.78,45.4825,45.6,49744
2025-02-19,45.09,45.16,44.83,44.95,52093
2025-02-20,45.08,45.6,44.76,45.24,42524
2025-02-21,44.81,44.89,44.39,44.39,52084
2025-02-24,44.38,44.38,43.84,43.85,43828
2025-02-25,44.78,44.8,44.35,44.61,79943
2025-02-26,44.86,45.85,44.86,45.35,71944
2025-02-27,45.38,45.38,44.61,44.62,76791
2025-02-28,44.26,44.75,44.17,44.59,60904
2025-03-03,44.44,45.3,44.251,44.45,192047
2025-03-04,43.85,44.955,43.64,44.54,72170
2025-03-05,45.23,46.57,45.17,46.22,183396
2025-03-06,44.13,44.39,43.53,43.56,112202
2025-03-07,43.4,44.21,43.4,44.07,78140
2025-03-10,43.11,43.34,42.69,42.84,71675
2025-03-11,43.28,43.28,42.63,42.87,93306
2025-03-12,43.07,43.15,42.67,42.96,71392
2025-03-13,43.17,43.41,42.99,43.21,74807
2025-03-14,43.13,43.45,43.0401,43.39,74156
2025-03-17,43.58,44.284,43.58,43.84,107324
2025-03-18,43.96,44.35,43.72,44.23,75223
2025-03-19,44.4,45.02,44.34,44.72,98904
2025-03-20,44.175,45.0,44.175,44.95,198493
2025-03-21,44.71,44.89,44.485,44.73,135673
2025-03-24,44.21,44.57,44.05,44.41,107913
2025-03-25,44.76,44.9,44.54,44.74,67991
2025-03-26,44.77,45.24,44.605,44.77,143130
2025-03-27,45.34,45.52,44.89,45.34,152233
2025-03-28,45.24,45.49,45.185,45.28,100822
2025-03-31,44.13,45.02,44.06,44.92,103015
2025-04-01,44.76,45.38,44.64,45.26,138422
2025-04-02,45.27,46.51,45.22,46.3,116245
2025-04-03,45.88,46.495,45.55,45.84,146011
2025-04-04,43.63,43.8,42.19,42.66,186922
2025-04-07,40.86,43.3,40.57,40.64,189719
2025-04-08,42.36,42.44,40.46,40.74,126287
2025-04-09,41.25,44.23,40.735,43.82,160851
2025-04-10,43.57,45.08,43.27,44.32,110984
2025-04-11,43.97,44.48,42.995,44.25,194958
2025-04-14,43.725,45.0,43.725,44.6,126584
2025-04-15,44.5,45.2467,44.41,44.97,120965
2025-04-16,44.94,45.71,44.9,45.11,104448
2025-04-17,45.33,46.32,45.15,45.95,91656
2025-04-21,50.84,56.43,44.47,44.96,50949
2025-04-22,45.57,46.525,45.57,46.17,120978
2025-04-23,46.11,46.4699,45.87,46.115,117450
2025-04-24,46.605,47.915,46.5,47.84,188036
2025-04-25,47.95,48.5899,47.945,48.38,116120
2025-04-28,48.15,49.48,48.07,48.705,159683
2025-04-29,48.39,48.815,48.27,48.41,185178
2025-04-30,48.35,49.72,48.13,49.65,140388
2025-05-01,50.2,50.495,49.14,49.19,41306
2025-05-02,49.84,50.17,49.64,49.77,139444
2025-05-05,49.51,49.97,49.34,49.52,132164
2025-05-06,49.16,49.7,49.11,49.29,136916
2025-05-07,49.46,50.06,49.38,49.43,113426
2025-05-08,49.03,49.7644,48.64,48.92,170014
2025-05-09,49.19,50.195,49.05,49.44,166170
2025-05-12,48.28,49.25,47.85,48.93,283625
2025-05-13,48.56,49.2042,48.04,48.52,201997
2025-05-14,50.22,51.0,49.85,51.0,197891
2025-05-15,49.71,50.31,49.56,50.03,211126
2025-05-16,50.18,51.395,50.07,50.93,230395
2025-05-19,50.81,51.435,50.785,51.04,88594
2025-05-20,52.09,52.63,52.05,52.63,95746
2025-05-21,52.9,53.365,52.53,52.58,87487
2025-05-22,52.52,52.53,52.01,52.24,109491
