Date,Open,High,Low,Close,Volume
2024-06-19,24.6,24.6,24.2,24.6,1042
2024-06-20,24.6,25.0,24.6,24.6,1655
2024-06-21,25.0,25.0,24.8,24.8,1858
2024-06-24,24.8,25.6,24.4,25.2,1591
2024-06-25,25.2,25.2,25.2,25.2,1210
2024-06-26,25.2,25.2,24.4,25.0,218
2024-06-27,25.0,26.4,25.0,26.2,3748
2024-06-28,25.6,26.2,25.4,25.4,1360
2024-07-01,25.6,25.6,24.8,25.4,2332
2024-07-02,25.6,25.6,25.0,25.4,1708
2024-07-03,25.2,25.6,24.2,24.6,2726
2024-07-04,24.4,25.4,24.4,24.8,118
2024-07-05,25.0,25.0,25.0,25.0,5
2024-07-08,24.6,25.4,24.6,25.4,267
2024-07-09,25.4,25.4,25.0,25.0,305
2024-07-10,25.2,25.2,24.4,24.4,570
2024-07-11,24.4,24.8,24.4,24.8,53
2024-07-12,25.0,25.0,24.6,24.6,158
2024-07-15,24.6,24.8,24.2,24.8,454
2024-07-16,24.8,24.8,24.4,24.4,121
2024-07-17,24.6,24.6,24.6,24.6,625
2024-07-18,24.6,24.6,22.2,24.0,2749
2024-07-19,24.0,24.2,24.0,24.2,435
2024-07-22,24.6,26.4,24.6,26.2,2658
2024-07-23,26.2,28.0,26.2,28.0,4546
2024-07-24,28.0,30.6,28.0,28.4,10484
2024-07-25,29.2,29.2,27.0,28.0,1652
2024-07-26,29.0,29.0,27.2,27.6,1475
2024-07-29,27.6,28.4,27.4,28.4,590
2024-07-30,27.6,28.8,27.4,28.0,1042
2024-07-31,28.0,28.2,27.4,28.0,423
2024-08-01,28.0,28.0,27.2,28.0,516
2024-08-02,27.8,27.8,26.4,26.4,2647
2024-08-05,26.4,26.4,23.8,26.4,41599
2024-08-06,26.2,26.2,25.0,25.8,312
2024-08-07,26.2,27.0,25.4,26.0,6500
2024-08-08,26.4,26.6,26.0,26.6,4819
2024-08-09,26.6,26.6,26.0,26.4,607
2024-08-12,26.6,27.0,26.6,26.8,2802
2024-08-13,26.8,26.8,26.2,26.2,1318
2024-08-14,26.0,26.8,26.0,26.8,1614
2024-08-16,26.8,27.0,26.8,26.8,1607
2024-08-19,27.0,27.0,26.4,26.4,1739
2024-08-20,26.8,27.0,26.6,26.6,1316
2024-08-21,26.8,27.0,26.6,26.6,1926
2024-08-22,26.6,26.6,26.0,26.0,1828
2024-08-23,26.4,26.4,25.6,25.6,2560
2024-08-26,25.6,25.6,24.8,24.8,2050
2024-08-27,25.0,25.6,25.0,25.6,272
2024-08-28,25.8,25.8,25.6,25.6,336
2024-08-29,25.8,26.0,25.2,26.0,3810
2024-08-30,26.0,26.0,25.2,26.0,585
2024-09-02,26.2,26.2,26.0,26.0,690
2024-09-03,25.6,26.2,25.6,26.2,443
2024-09-04,26.0,26.0,25.2,25.4,1355
2024-09-05,25.4,25.6,24.8,25.6,2440
2024-09-06,25.6,25.6,25.4,25.4,2034
2024-09-09,25.4,25.8,22.2,23.2,23769
2024-09-10,23.2,23.4,22.6,22.8,1473
2024-09-11,22.8,23.6,22.8,23.4,177
2024-09-12,23.4,23.6,23.0,23.6,1317
2024-09-13,23.0,24.0,23.0,24.0,792
2024-09-16,24.6,24.6,24.4,24.4,703
2024-09-17,24.4,25.0,24.4,24.8,401
2024-09-18,24.8,24.8,24.0,24.2,1962
2024-09-19,24.8,25.4,24.8,25.0,921
2024-09-20,25.0,25.0,24.4,24.4,1355
2024-09-23,24.4,24.6,24.4,24.6,1001
2024-09-24,24.6,24.6,24.0,24.0,930
2024-09-25,24.0,24.0,23.4,23.4,743
2024-09-26,23.2,23.2,23.0,23.2,2100
2024-09-27,23.8,23.8,23.4,23.6,281
2024-09-30,23.6,23.6,23.6,23.6,164
2024-10-01,23.8,23.8,23.0,23.0,1560
2024-10-02,23.6,23.6,23.2,23.4,199
2024-10-03,23.8,23.8,23.0,23.0,864
2024-10-04,23.4,23.4,23.2,23.2,44
2024-10-07,23.4,23.4,22.6,22.8,1448
2024-10-08,22.6,22.6,21.6,22.4,2699
2024-10-09,22.6,22.6,21.8,22.0,1548
2024-10-10,21.6,22.6,21.6,21.6,785
2024-10-11,22.0,22.0,21.6,22.0,984
2024-10-14,21.8,22.0,21.6,22.0,763
2024-10-15,22.2,22.2,21.8,21.8,210
2024-10-16,22.0,22.0,21.8,21.8,386
2024-10-17,22.0,22.0,21.6,21.8,1397
2024-10-18,21.8,21.8,21.0,21.0,2275
2024-10-21,21.2,21.2,19.1,20.2,10213
2024-10-22,20.4,20.6,20.2,20.6,352
2024-10-23,20.4,20.6,20.2,20.2,1310
2024-10-24,20.8,21.0,20.0,20.2,1062
2024-10-25,20.2,20.2,19.9,20.2,819
2024-10-28,20.2,20.8,19.9,20.2,4858
2024-10-29,20.6,20.6,19.9,19.9,454
2024-10-30,19.9,20.2,19.9,19.9,306
2024-10-31,20.2,20.2,19.8,20.2,1063
2024-11-04,20.2,20.6,19.7,20.0,431
2024-11-05,20.0,20.0,19.5,19.6,1727
2024-11-06,19.7,19.9,19.6,19.7,1257
2024-11-07,18.6,19.6,17.7,18.2,13053
2024-11-08,18.2,18.2,17.2,17.2,10385
2024-11-12,17.3,17.5,16.6,17.0,5725
2024-11-13,17.2,17.2,16.5,17.0,5368
2024-11-14,17.1,17.1,16.6,17.1,1546
2024-11-15,17.1,17.1,16.8,16.9,636
2024-11-18,16.8,16.9,16.1,16.8,3471
2024-11-19,16.8,16.8,16.1,16.1,1195
2024-11-20,16.8,16.8,16.3,16.7,1950
2024-11-21,16.7,17.1,16.7,17.1,4552
2024-11-22,17.5,17.7,17.2,17.5,2225
2024-11-25,17.6,18.0,17.0,17.6,6699
2024-11-26,17.6,17.8,17.0,17.6,8777
2024-11-27,17.9,17.9,17.5,17.5,196
2024-11-28,17.7,17.7,17.1,17.2,2062
2024-11-29,17.4,17.4,17.1,17.3,3492
2024-12-02,17.3,18.0,17.3,17.7,5927
2024-12-03,17.7,18.4,17.5,18.4,8426
2024-12-04,18.5,19.2,18.4,19.1,6863
2024-12-05,19.2,20.2,19.0,20.2,4859
2024-12-06,20.0,21.0,19.6,21.0,1813
2024-12-09,21.0,21.4,20.0,21.4,1708
2024-12-10,21.4,21.6,20.6,21.4,2308
2024-12-11,21.2,21.2,20.6,20.6,2298
2024-12-12,20.6,20.6,19.8,20.2,1373
2024-12-13,19.8,20.2,19.8,20.2,312
2024-12-16,20.2,20.2,19.4,20.0,2801
2024-12-17,20.0,21.0,19.6,21.0,2202
2024-12-18,21.0,21.6,20.6,21.4,2775
2024-12-19,21.4,21.6,21.0,21.4,1144
2024-12-20,21.4,21.6,20.8,21.6,1346
2024-12-23,21.6,22.6,21.6,22.2,4829
2024-12-27,22.4,23.4,22.4,23.0,3347
2024-12-30,23.0,23.0,21.6,22.2,4601
2025-01-02,21.8,23.8,21.8,22.8,2427
2025-01-03,23.2,23.4,22.4,23.2,3509
2025-01-07,23.2,23.2,22.4,23.0,1735
2025-01-08,23.0,23.0,22.4,22.4,536
2025-01-09,22.8,22.8,22.2,22.4,3334
2025-01-10,22.4,22.8,22.0,22.8,142
2025-01-13,22.8,23.0,22.6,23.0,2531
2025-01-14,23.0,23.0,23.0,23.0,509
2025-01-15,23.0,23.0,22.4,22.8,40
2025-01-16,22.8,22.8,21.6,22.4,1516
2025-01-17,22.4,23.0,22.4,23.0,4768
2025-01-20,22.4,23.0,22.4,22.6,5379
2025-01-21,22.6,22.6,22.6,22.6,186
2025-01-22,22.6,22.6,20.4,22.2,3663
2025-01-23,21.2,22.0,21.2,22.0,200
2025-01-24,22.0,23.0,21.8,23.0,1935
2025-01-27,22.8,22.8,21.4,22.8,2994
2025-01-28,22.6,22.6,21.2,22.4,2488
2025-01-29,21.8,22.4,21.8,22.4,468
2025-01-30,22.2,22.8,21.6,22.6,883
2025-01-31,22.6,22.6,21.8,22.6,327
2025-02-03,22.6,22.6,22.2,22.6,1213
2025-02-04,22.4,22.4,22.2,22.4,240
2025-02-05,22.2,22.6,21.6,22.4,955
2025-02-06,22.2,22.6,22.2,22.6,970
2025-02-07,22.4,22.4,22.2,22.4,373
2025-02-10,22.4,22.4,21.4,22.4,2599
2025-02-11,21.6,22.4,21.6,21.6,1309
2025-02-12,21.8,21.8,21.6,21.8,613
2025-02-13,21.6,21.8,20.6,21.2,2575
