Date,Open,High,Low,Close,Volume
2024-12-02,216.376,216.862,213.24,213.372,3476003
2024-12-03,211.691,212.674,207.07,210.596,4335956
2024-12-04,210.999,213.548,210.439,213.221,2861058
2024-12-05,213.372,213.548,209.251,209.974,5586520
2024-12-06,210.902,211.524,209.436,210.059,3427168
2024-12-09,210.299,211.315,208.722,208.861,2740409
2024-12-10,208.926,212.99,208.388,212.564,3823618
2024-12-11,215.17,217.128,211.431,212.545,4723056
2024-12-12,211.329,213.362,210.949,211.273,2926917
2024-12-13,209.65,212.573,209.584,211.208,2621344
2024-12-16,215.7,220.787,213.557,218.984,8834250
2024-12-17,220.988,221.128,214.938,216.321,5800644
2024-12-18,216.851,217.778,210.085,210.503,6928410
2024-12-19,212.136,216.665,209.983,210.521,5249604
2024-12-20,208.926,213.185,208.424,211.858,7364291
2024-12-23,211.348,211.793,209.659,210.763,3737337
2024-12-24,210.308,212.749,209.38,212.397,2019172
2024-12-26,212.285,215.282,211.95,215.142,3310903
2024-12-27,214.345,214.865,212.303,212.963,3291207
2024-12-30,210.772,211.032,209.148,210.261,2555858
2024-12-31,210.772,211.139,209.334,209.603,2087391
2025-01-02,210.698,211.552,208.452,209.26,2252300
2025-01-03,209.687,211.023,209.575,210.188,2842470
2025-01-06,208.48,210.559,205.399,205.753,4126858
2025-01-07,205.529,206.995,204.05,204.722,3250808
2025-01-08,204.22,205.418,203.397,204.296,3363006
2025-01-10,204.11,204.139,200.686,202.459,3863744
2025-01-13,201.976,212.461,201.744,203.302,5811320
2025-01-14,204.453,204.61,199.128,202.746,4334319
2025-01-15,203.934,204.629,200.603,203.711,5008919
2025-01-16,204.139,208.341,204.067,206.634,4970092
2025-01-17,210.484,210.513,206.263,206.532,3609481
2025-01-21,207.265,211.31,207.098,208.842,5018433
2025-01-22,207.85,208.351,206.587,207.005,3203492
2025-01-23,207.338,209.77,206.689,209.389,3272793
2025-01-24,208.778,210.772,205.326,205.539,6824997
2025-01-27,204.369,209.584,204.23,209.436,3352764
2025-01-28,208.517,208.517,204.296,204.787,3879183
2025-01-29,205.019,206.737,204.741,205.112,2065168
2025-01-30,206.04,208.499,205.604,207.905,1954342
2025-01-31,206.782,209.659,206.499,207.59,2674661
