Date,Open,High,Low,Close,Volume
2025-12-17,0.432,0.475,0.431,0.475,22745.0
2025-12-18,0.522,0.574,0.522,0.574,296545.0
2025-12-19,0.63,0.692,0.63,0.692,516527.0
2025-12-22,0.76,0.836,0.76,0.836,313711.0
2025-12-23,0.918,0.988,0.688,0.688,436285.0
2025-12-29,0.62,0.682,0.558,0.558,550837.0
2026-01-02,0.454,0.454,0.454,0.454,176387.0
2026-01-07,0.44,0.44,0.44,0.44,90976.0
2026-01-14,0.398,0.398,0.398,0.398,96935.0
2026-01-21,0.278,0.278,0.278,0.278,280225.0
2026-01-23,0.268,0.36,0.254,0.36,1146426.0
2026-01-26,0.396,0.434,0.29,0.29,1771706.0
2026-01-27,0.279,0.336,0.249,0.299,936120.0
2026-01-28,0.312,0.343,0.25,0.28,2439653.0
2026-01-29,0.274,0.274,0.22,0.22,2187167.0
2026-01-30,0.225,0.239,0.208,0.234,735781.0
2026-02-02,0.235,0.248,0.22,0.233,406072.0
2026-02-03,0.238,0.244,0.1935,0.212,2281848.0
2026-02-04,0.207,0.207,0.183,0.1875,1122419.0
2026-02-05,0.185,0.204,0.1575,0.16,3109380.0
2026-02-06,0.1595,0.171,0.152,0.1695,723280.0
2026-02-09,0.168,0.18,0.165,0.174,276791.0
2026-02-10,0.1765,0.187,0.1715,0.18,887377.0
2026-02-11,0.18,0.187,0.157,0.162,1696289.0
2026-02-12,0.1575,0.162,0.156,0.161,208039.0
2026-02-13,0.159,0.162,0.156,0.162,297632.0
2026-02-16,0.1645,0.1645,0.154,0.16,226823.0
2026-02-17,0.1625,0.1625,0.144,0.146,352414.0
2026-02-18,0.143,0.15,0.135,0.143,530769.0
2026-02-19,0.1435,0.1615,0.136,0.1435,486733.0
2026-02-20,0.1435,0.156,0.141,0.1515,265533.0
2026-02-23,0.15,0.1585,0.143,0.1475,193410.0
2026-02-24,0.142,0.156,0.14,0.145,298653.0
2026-02-25,0.137,0.1445,0.135,0.14,188891.0
2026-02-26,0.141,0.1475,0.14,0.145,160367.0
2026-02-27,0.141,0.1595,0.141,0.1495,504939.0
2026-03-02,0.145,0.155,0.14,0.1475,357182.0
2026-03-03,0.144,0.1475,0.1405,0.1405,116412.0
2026-03-04,0.145,0.145,0.14,0.145,113673.0
2026-03-05,0.145,0.1545,0.143,0.143,224026.0
2026-03-06,0.143,0.1465,0.141,0.145,148307.0
2026-03-09,0.1405,0.145,0.138,0.145,143695.0
