Date,Open,High,Low,Close,Volume
2024-06-13,7.93895,7.93895,7.64552,7.67813,863.7110993405736
2024-06-14,7.90635,7.93895,7.89005,7.90635,1236.6772558740026
2024-06-17,7.95525,7.95525,7.71072,7.87374,3101.50803854115
2024-06-18,7.84114,8.02046,7.82484,7.82484,59907.6888931821
2024-06-19,8.02046,8.80294,7.74332,8.55842,31332.83773587913
2024-06-20,8.80294,8.92521,8.3954,8.3954,2064.809346861058
2024-06-21,8.76219,8.76219,8.13458,8.31389,3810.634480897473
2024-06-24,8.3954,8.51767,8.31389,8.51767,10430.783759365846
2024-06-25,8.59917,8.68068,8.55842,8.55842,1544.6197074854856
2024-06-26,8.76219,8.76219,8.31389,8.35465,12990.018636105102
2024-06-27,8.55842,8.72144,8.3954,8.3954,325.1185246097329
2024-06-28,8.51767,8.72144,8.43616,8.43616,207.3397383360183
2024-07-01,8.68068,8.68068,8.27314,8.27314,273.59030561498275
2024-07-02,8.43616,8.72144,8.35465,8.43616,1506.586974417932
2024-07-03,8.43616,8.43616,8.15088,8.27314,8400.326558501287
2024-07-04,8.31389,8.31389,8.13458,8.13458,13653.751171251764
2024-07-05,8.27314,8.27314,8.13458,8.13458,21342.497562682693
2024-07-08,8.27314,8.27314,7.98785,7.98785,1539.7122580574144
2024-07-09,8.19163,8.23238,8.19163,8.19163,49.0744942807144
2024-07-10,8.27314,8.27314,8.03676,8.03676,683.3623328589481
2024-07-11,8.19163,8.19163,8.13458,8.13458,12.2686235701786
2024-07-12,8.27314,8.27314,8.08567,8.15088,4900.0882539293325
2024-07-15,8.06936,8.3954,8.03676,8.31389,8677.597451187323
2024-07-16,8.43616,8.43616,8.19163,8.19163,23.31038478333934
2024-07-17,8.27314,8.31389,8.19163,8.27314,1713.92671275395
2024-07-18,8.31389,8.3954,8.23238,8.23238,1334.8262444354316
2024-07-19,8.43616,8.43616,8.19163,8.19163,13.495485927196462
2024-07-22,8.43616,8.47691,8.19163,8.47691,3156.716844606954
2024-07-23,8.59917,8.63992,8.51767,8.51767,1354.4560421477174
2024-07-24,8.63992,8.88445,8.63992,8.84369,4520.987785610814
2024-07-25,8.84369,10.1886,8.68068,9.8626,8972.04441687161
2024-07-26,9.8626,10.0256,9.21051,10.0256,6026.347897671728
2024-07-29,10.0256,11.0851,9.78106,11.0444,7656.847970148465
2024-07-30,11.126,11.6965,10.6369,10.8814,4960.204509423207
2024-07-31,10.9629,10.9629,10.1071,10.1071,3129.7258727525605
2024-08-01,10.5146,10.6776,10.1478,10.27,2489.303722389238
2024-08-02,10.3517,10.7184,10.1886,10.5146,2954.284555699007
2024-08-05,10.5146,10.5146,9.57725,10.5146,8364.74755014777
2024-08-06,10.4331,10.4331,10.4331,10.4331,2.45372471403572
2024-08-07,10.3923,10.5146,10.3923,10.5146,1110.3104331011634
2024-08-08,10.5962,10.5962,10.3923,10.3923,7.36117414210716
2024-08-09,10.3923,10.3923,10.1071,10.1071,939.7765654756806
2024-08-12,10.27,10.3923,10.1071,10.1071,258.86795733076843
2024-08-13,10.1071,10.3923,10.1071,10.3923,69.931154350018
2024-08-14,10.1478,10.1478,9.82178,9.82178,1376.5395645740389
2024-08-16,9.82178,9.94404,9.82178,9.94404,85.8803649912502
2024-08-19,9.94404,10.1478,9.94404,10.1478,296.9006903983222
2024-08-20,10.1478,10.3517,10.1071,10.1071,73.6117414210716
2024-08-21,10.3517,10.3517,9.78106,9.82178,729.9831024256266
2024-08-22,9.94404,9.94404,9.78106,9.90332,1309.0621349380565
2024-08-23,9.90332,9.90332,9.25121,9.25121,10249.208130527202
2024-08-26,9.41424,9.41424,9.00669,9.08825,14105.236518634336
2024-08-27,9.37346,9.45503,9.08825,9.12894,11144.81765115024
2024-08-28,9.37346,9.69951,9.25121,9.49571,13240.298556936745
2024-08-29,9.78106,9.82178,9.41424,9.82178,5501.250808868084
2024-08-30,9.8626,10.2294,9.8626,10.1478,6414.036402489372
2024-09-02,10.7999,10.7999,10.1071,10.6776,7377.123352748392
2024-09-03,10.5962,10.5962,9.94404,10.3108,2718.7269831515778
2024-09-04,10.7184,10.7592,10.1071,10.3923,6023.894172957693
2024-09-05,10.5146,10.5146,10.1071,10.1071,250.2799208316434
2024-09-06,10.5146,10.7592,10.4331,10.4331,3832.7180033237946
2024-09-09,10.4331,10.4331,10.0663,10.3923,2846.320668281435
2024-09-10,10.5554,10.5554,9.94404,9.98486,1610.8702747644502
2024-09-11,10.2294,10.2294,9.82178,10.2294,1037.9255540371096
2024-09-12,10.3923,10.3923,10.0256,10.0256,1230.5429440889136
2024-09-13,10.1886,10.1886,9.57725,9.65879,2823.010283498096
