Date,Open,High,Low,Close,Volume
2024-07-19,8.49671,8.62247,8.29912,8.42486,1760.2388151172909
2024-07-22,8.42486,8.62247,8.40691,8.6045,710.3296113548012
2024-07-23,8.6045,8.62247,8.53265,8.62247,957.4987345707276
2024-07-24,8.69433,8.71228,8.46079,8.46079,1020.9602985500188
2024-07-25,8.37097,8.69433,8.31709,8.69433,2722.1858293087494
2024-07-26,8.69433,8.69433,8.22726,8.55062,3911.270568612421
2024-07-29,8.55062,8.58654,8.29912,8.40691,759.3182938179041
2024-07-30,8.42486,8.53265,8.37097,8.37097,423.08093363761134
2024-07-31,8.37097,8.51468,8.37097,8.51468,747.0711232021283
2024-08-01,8.67636,8.69433,8.37097,8.65839,410.8337630218357
2024-08-02,8.65839,8.67636,8.353,8.44283,1597.6833648848112
2024-08-05,8.17338,8.17338,7.18538,7.67039,23428.61848276565
2024-08-06,7.70633,7.93984,7.25724,7.56262,5270.69289084978
2024-08-07,7.56262,7.85004,7.56262,7.76022,1573.1848340798
2024-08-08,7.77819,7.90393,7.67039,7.8141,1309.315023660543
2024-08-09,7.83207,7.86799,7.58059,7.86799,4251.956208413444
2024-08-12,7.86799,8.0656,7.7243,8.0656,1765.8004738849102
2024-08-13,8.0656,8.0656,7.76022,8.0656,808.3069762810068
2024-08-14,8.0656,8.08355,7.93984,8.04764,731.4838151456865
2024-08-16,8.04764,8.11949,7.97578,8.02967,1378.348720341102
2024-08-19,7.83207,8.04764,7.8141,7.86799,1539.7834596731389
2024-08-20,7.85004,7.85004,7.7243,7.8141,2088.6804264826333
2024-08-21,7.8141,7.83207,7.8141,7.83207,504.35656396712153
2024-08-22,7.8141,7.86799,7.8141,7.86799,211.5399431221232
2024-08-23,7.86799,7.86799,7.61651,7.61651,1882.700047341399
2024-08-26,7.61651,7.8141,7.61651,7.8141,2703.259431205006
2024-08-27,7.7243,7.86799,7.7243,7.86799,760.4316729647927
2024-08-28,7.86799,7.86799,7.76022,7.85004,754.8647772303492
2024-08-29,7.85004,7.99375,7.76022,7.99375,2235.640189511752
2024-08-30,7.99375,8.08355,7.85004,8.08355,4265.320947749568
2024-09-02,8.15541,8.19134,8.02967,8.19134,1526.429194270664
2024-09-03,8.19134,8.44283,8.17338,8.44283,3513.79526056652
2024-09-04,8.44283,8.44283,8.17338,8.2632,986.446592389834
2024-09-05,8.44283,8.51468,8.19134,8.33505,6237.101800775712
