Date,Open,High,Low,Close,Volume
2024-07-17,6.99678,6.99678,6.9035,6.9035,5138.78
2024-07-18,6.8102,6.8102,6.8102,6.8102,54.6679
2024-07-19,6.8102,6.8102,6.8102,6.8102,16.0788
2024-07-22,6.8102,6.8102,6.8102,6.8102,4.28768
2024-07-23,6.8102,6.8102,6.67027,6.8102,275.483
2024-07-24,6.7619,6.8102,6.7619,6.8102,156.316
2024-07-25,6.9068,6.9068,6.9068,6.9068,369.57
2024-07-26,7.1,7.1,6.9068,6.9068,360.253
2024-07-29,7.1,7.1483,7.1,7.1483,216.359
2024-07-30,7.4381,7.4381,7.1483,7.1483,23.8098
2024-07-31,7.0034,7.0034,6.9068,6.9068,132.507
2024-08-01,7.1,7.1,6.9068,6.9068,213.253
2024-08-02,7.0517,7.0517,6.9068,6.9068,1449.29
2024-08-05,7.0517,7.0517,6.71361,6.71361,920.302
2024-08-06,7.0517,7.0517,6.52041,6.7619,348.866
2024-08-07,7.0517,7.0517,6.8102,6.8102,7.24647
2024-08-08,6.8102,6.8102,6.8102,6.8102,2.07042
2024-08-09,6.8102,6.8102,6.7619,6.7619,121.119
2024-08-12,7.1,7.1,6.56871,6.8102,1953.44
2024-08-13,6.9068,6.9068,6.8102,6.8102,881.999
2024-08-14,6.9068,6.9068,6.71361,6.71361,433.753
2024-08-16,6.9068,6.9068,6.9068,6.9068,7.24647
2024-08-19,6.9068,6.9068,6.71361,6.71361,343.69
2024-08-20,6.9068,6.9068,6.9068,6.9068,10.3521
2024-08-21,6.9068,6.9068,6.9068,6.9068,2.07042
2024-08-22,6.9068,6.9068,6.9068,6.9068,33.1267
2024-08-23,6.9068,6.9068,6.9068,6.9068,2.07042
2024-08-26,6.9068,6.9068,6.71361,6.71361,30.0211
2024-08-27,6.9068,7.0517,6.9068,7.0517,457.563
2024-08-28,7.2449,7.2449,6.7619,6.7619,13.4577
2024-08-29,7.0517,7.0517,7.0517,7.0517,2.07042
2024-08-30,7.0517,7.0517,7.0517,7.0517,9.3169
2024-09-02,7.4381,7.4381,7.0517,7.0517,6.21126
2024-09-03,7.2449,7.2449,6.7619,6.7619,6.21126
2024-09-04,7.0034,7.0034,7.0034,7.0034,2.07042
2024-09-05,6.7619,6.7619,6.7619,6.7619,1035.21
2024-09-06,7.0034,7.0034,7.0034,7.0034,2.07042
2024-09-09,7.2449,7.2449,6.9551,6.9551,224.64
2024-09-10,7.0034,7.0034,7.0034,7.0034,2.07042
2024-09-11,6.9068,6.9068,6.9068,6.9068,2.07042
2024-09-12,6.9551,7.0034,6.9551,7.0034,186.338
2024-09-13,7.0034,7.0034,6.7619,7.0034,6.21126
2024-09-16,6.9551,6.9551,6.71361,6.71361,156.316
2024-09-17,6.71361,6.9551,6.71361,6.9551,5.17605
2024-09-18,6.9551,6.9551,6.9551,6.9551,41.4084
2024-09-19,6.9551,6.9551,6.9551,6.9551,2.07042
2024-09-20,6.71361,6.9551,6.71361,6.9551,33.1267
2024-09-23,6.9068,6.9068,6.71361,6.71361,56.9366
2024-09-24,6.9068,6.9068,6.9068,6.9068,82.8169
2024-09-25,6.9068,6.9068,6.71361,6.8585,24415.4
2024-09-26,6.8585,6.8585,6.66531,6.8585,351.971
2024-09-27,6.9068,6.9068,6.8585,6.8585,9.3169
2024-09-30,6.9551,6.9551,6.8585,6.8585,14.4929
2024-10-01,6.8585,6.8585,6.7619,6.7619,494.83
2024-10-02,6.8585,6.8585,6.61701,6.8102,589.035
2024-10-03,6.8102,6.8102,6.52041,6.66531,931.69
2024-10-04,6.8102,6.8102,6.37551,6.66531,630.443
2024-10-07,6.8102,6.8102,6.66531,6.7619,256.732
2024-10-08,6.7619,6.7619,6.66531,6.66531,196.69
2024-10-09,6.66531,6.66531,6.66531,6.66531,35.1971
2024-10-10,6.66531,6.66531,6.66531,6.66531,35.1971
2024-10-11,6.66531,6.66531,6.66531,6.66531,14.4929
2024-10-14,6.66531,6.66531,6.47211,6.47211,17.5985
2024-10-15,5.84422,6.27891,5.84422,6.23061,25229.1
2024-10-16,6.23061,6.23061,5.98912,5.98912,160.457
2024-10-17,6.08571,6.18231,6.08571,6.08571,1039.35
2024-10-18,6.08571,6.18231,5.98912,6.18231,1257.78
2024-10-21,6.42381,6.42381,6.03741,6.03741,22.7746
2024-10-22,6.18231,6.18231,5.98912,5.98912,329.197
2024-10-23,6.13401,6.18231,5.98912,5.98912,103.521
2024-10-24,6.18231,6.18231,5.98912,6.18231,1364.4
2024-10-25,6.18231,6.18231,6.18231,6.18231,1.03521
2024-10-28,6.18231,6.18231,6.18231,6.18231,2.07042
2024-10-29,6.18231,6.18231,5.98912,6.08571,524.852
2024-10-30,6.18231,6.18231,5.94082,5.94082,2865.46
2024-10-31,6.37551,6.37551,5.79592,6.08571,1368.54
2024-11-04,5.94082,6.08571,5.94082,6.08571,128.366
2024-11-05,6.37551,6.37551,6.08571,6.08571,16.5633
2024-11-06,5.94082,5.94082,5.94082,5.94082,508.288
2024-11-07,5.84422,5.98912,5.84422,5.98912,639.76
2024-11-08,6.03741,6.08571,6.03741,6.08571,905.809
2024-11-12,6.37551,6.37551,6.18231,6.18231,14.4929
2024-11-13,6.37551,6.37551,6.18231,6.18231,14.4929
2024-11-14,6.18231,6.18231,6.18231,6.18231,66.2535
2024-11-15,6.18231,6.18231,6.13401,6.13401,2072.49
2024-11-18,6.18231,6.18231,5.84422,5.84422,2489.68
2024-11-19,6.08571,6.08571,6.08571,6.08571,2.07042
2024-11-20,6.08571,6.13401,5.65102,5.98912,5012.49
2024-11-21,5.94082,5.98912,5.94082,5.98912,554.873
2024-11-22,6.18231,6.18231,6.18231,6.18231,2.07042
2024-11-25,6.18231,6.18231,5.98912,5.98912,519.676
2024-11-26,6.18231,6.18231,5.84422,6.08571,14.4929
2024-11-27,6.08571,6.08571,6.08571,6.08571,2.07042
2024-11-28,6.08571,6.08571,6.08571,6.08571,70.3943
2024-11-29,6.08571,6.08571,6.08571,6.08571,17.5985
2024-12-02,6.08571,6.08571,6.08571,6.08571,2.07042
2024-12-04,6.08571,6.08571,6.03741,6.03741,3107.7
