Date,Open,High,Low,Close,Volume
2024-06-12,2.98379,2.98379,2.95591,2.98379,1765.4079422904
2024-06-13,2.95591,2.98379,2.84436,2.98379,15830.577617796002
2024-06-14,2.92802,2.95591,2.84436,2.92802,8711.927798091201
2024-06-17,2.86295,2.98379,2.86295,2.9652,8479.552346820801
2024-06-18,2.9745,2.9745,2.9745,2.9745,426.0216606624
2024-06-19,2.9652,2.9652,2.89084,2.89084,2359.2563177592
2024-06-20,2.89084,2.90943,2.85366,2.90943,1196.3032491328
2024-06-21,2.90943,2.90943,2.84436,2.87225,6424.7509027168
2024-06-24,2.86295,2.87225,2.86295,2.87225,2499.1119134312003
2024-06-25,2.90013,2.92802,2.90013,2.90013,2175.2924188368
2024-06-26,2.92802,2.9745,2.92802,2.95591,8640.9241879808
2024-06-27,2.95591,2.9745,2.95591,2.9745,4523.790613852
2024-06-28,3.03027,3.03027,2.95591,3.02097,2962.7870036976
2024-07-01,3.02097,3.10463,3.02097,3.10463,3585.6823105752
2024-07-02,3.13252,3.1604,3.04886,3.05815,7540.3682312696
2024-07-03,3.03027,3.10463,3.03027,3.09534,876.787003636
2024-07-04,3.09534,3.09534,3.05815,3.05815,1472.7870036536
2024-07-05,3.09534,3.10463,3.04886,3.09534,1507.2129964344
2024-07-08,3.09534,3.15111,3.07674,3.14181,2536.7653430352
2024-07-09,3.1604,3.21617,3.11393,3.17899,4260.216606624001
2024-07-10,3.20688,3.20688,3.11393,3.15111,1399.6317689944
2024-07-11,3.11393,3.19758,3.11393,3.15111,1261.9277978712
2024-07-12,3.11393,3.17899,3.07674,3.1604,4714.2093864208
2024-07-15,3.1604,3.17899,3.06745,3.06745,7443.5451265736
2024-07-16,3.05815,3.06745,3.01168,3.04886,5589.9205777824
2024-07-17,3.04886,3.06745,3.04886,3.06745,1965.5090253288
2024-07-18,3.06745,3.06745,2.99309,3.05815,1524.4259928248
2024-07-19,3.05815,3.05815,3.05815,3.05815,385.1407942352
2024-07-22,3.05815,3.05815,3.04886,3.04886,48.411552348
2024-07-23,3.03956,3.03956,2.9652,3.03956,827.2996390136001
2024-07-24,2.9652,2.9652,2.9652,2.9652,448.6137184248
2024-07-25,2.9652,2.9652,2.88154,2.90013,6455.9494586744
2024-07-26,2.91872,2.9652,2.90013,2.9652,616.4404332312
2024-07-29,2.9652,2.9652,2.89084,2.89084,2542.1444044072
2024-07-30,2.95591,2.95591,2.89084,2.89084,897.2274368496
2024-07-31,2.89084,2.9652,2.88154,2.88154,601.3790613896
2024-08-01,2.9652,2.9652,2.89084,2.95591,219.4657039776
2024-08-02,2.89084,2.94661,2.85366,2.94661,2173.140794288
2024-08-05,2.88154,2.88154,2.59339,2.68634,40065.4007232048
2024-08-06,2.66775,2.84436,2.66775,2.67705,8726.9891699328
2024-08-07,2.67705,2.74211,2.63057,2.74211,9662.9458486608
2024-08-08,2.75141,2.75141,2.65846,2.74211,3918.1083033648
2024-08-09,2.74211,2.84436,2.74211,2.84436,5513.5379063
2024-08-12,2.83507,2.84436,2.83507,2.84436,1171.5595668216
2024-08-13,2.83507,2.83507,2.83507,2.83507,628.2743682496
2024-08-14,2.81648,2.83507,2.71423,2.83507,791.7978339584
2024-08-16,2.80718,2.83507,2.78859,2.83507,396.9747292536
2024-08-19,2.83507,2.83507,2.82577,2.83507,149.53790614160002
2024-08-20,2.80718,2.80718,2.7793,2.78859,2162.382671544
2024-08-21,2.83507,2.83507,2.81648,2.82577,51.6389891712
2024-08-22,2.83507,2.83507,2.83507,2.83507,180.7364620992
2024-08-23,2.78859,2.91872,2.77,2.83507,19485.1119139328
2024-08-26,2.83507,2.88154,2.83507,2.83507,3745.9783394608
2024-08-27,2.84436,2.84436,2.82577,2.82577,3329.638989268
2024-08-28,2.86295,2.9745,2.86295,2.9745,5655.5451265208
2024-08-29,2.9745,3.00238,2.95591,2.9745,2486.2021661384
2024-08-30,2.9745,3.00238,2.94661,3.00238,3669.5956679784
2024-09-02,3.00238,3.01168,2.92802,2.99309,11556.3754516048
2024-09-03,2.94661,3.01168,2.94661,3.01168,528.2238267304
2024-09-04,2.93732,3.00238,2.91872,2.99309,3934.2454874808
2024-09-05,2.95591,2.95591,2.92802,2.95591,976.8375451552
2024-09-06,2.9745,2.99309,2.9745,2.9745,3709.4007221312
2024-09-09,2.91872,2.92802,2.80718,2.92802,5058.469314228801
2024-09-10,2.83507,2.92802,2.82577,2.92802,335.65342961280004
2024-09-11,2.85366,2.85366,2.73282,2.7793,6047.1407944024
2024-09-12,2.72352,2.7793,2.72352,2.7793,1549.169675136
2024-09-13,2.73282,2.7793,2.73282,2.7793,90.3682310496
2024-09-16,2.70493,2.78859,2.63987,2.7793,7514.548736684001
2024-09-17,2.7793,2.7793,2.69564,2.70493,2449.6245488088
2024-09-18,2.77,2.77,2.77,2.77,650.866426012
2024-09-19,2.77,2.83507,2.74211,2.83507,41330.5559578992
2024-09-20,2.90943,2.90943,2.78859,2.89084,12861.335740452
2024-09-23,2.87225,2.87225,2.78859,2.82577,10968.9819497824
2024-09-25,2.90943,2.90943,2.70493,2.78859,2896.0866426848
2024-09-26,2.7793,2.7793,2.7793,2.7793,129.097472928
2024-09-30,2.69564,2.7607,2.69564,2.69564,2314.0722022344003
2024-10-01,2.7793,2.7793,2.7793,2.7793,274.332129972
2024-10-02,2.7793,2.78859,2.70493,2.78859,176.4332130016
2024-10-03,2.73282,2.78859,2.69564,2.78859,4004.1732853168
2024-10-04,2.70493,2.79789,2.69564,2.79789,1718.0722022168002
2024-10-07,2.79789,2.79789,2.79789,2.79789,151.6895306904
2024-10-08,2.79789,2.79789,2.66775,2.74211,7096.0577619424
2024-10-09,2.68634,2.68634,2.60268,2.64916,12518.1516249184
2024-10-10,2.68634,2.68634,2.68634,2.68634,52.7148014456
2024-10-11,2.65846,2.68634,2.65846,2.68634,682.0649819696
2024-10-14,2.65846,2.67705,2.65846,2.67705,4234.3971120384
2024-10-15,2.67705,2.74211,2.65846,2.71423,63957.039713080005
2024-10-16,2.74211,2.74211,2.69564,2.74211,1059.675090284
2024-10-17,2.74211,2.7793,2.68634,2.68634,1172.635379096
2024-10-18,2.69564,2.69564,2.66775,2.68634,3726.6137185216
2024-10-21,2.68634,2.68634,2.66775,2.66775,68662.6426013056
2024-10-22,2.67705,2.67705,2.63057,2.67705,8166.4909749704
2024-10-23,2.67705,2.68634,2.63057,2.63057,1154.3465704312
2024-10-24,2.68634,2.68634,2.63057,2.68634,2237.689530752
2024-10-25,2.66775,2.68634,2.62128,2.68634,985.4440433504
2024-10-28,2.68634,2.68634,2.63987,2.63987,1162.9530686264
2024-10-29,2.63987,2.63987,2.63057,2.63057,43.032490976000005
2024-10-30,2.64916,2.64916,2.62128,2.62128,2714.2743683112003
2024-10-31,2.63057,2.63057,2.54691,2.60268,7146.6209388392
2024-11-04,2.54691,2.58409,2.50973,2.50973,4120.3610109520005
2024-11-05,2.52832,2.52832,2.50973,2.50973,3396.3393502808003
2024-11-06,2.49114,2.5748,2.47255,2.5748,8333.2418775024
2024-11-07,2.55621,2.55621,2.50973,2.54691,128.0216606536
2024-11-08,2.51903,2.55621,2.51903,2.55621,4450.6353791928
2024-11-12,2.55621,2.58409,2.46326,2.5655,8240.722021904001
2024-11-13,2.50973,2.51903,2.47255,2.51903,5990.1227438592
2024-11-14,2.5655,2.5655,2.50973,2.50973,1501.8339350624
2024-11-15,2.46326,2.5748,2.46326,2.5748,3621.1841156304
2024-11-18,2.50973,2.5748,2.50973,2.5748,3832.0433214128
2024-11-19,2.49114,2.53762,2.48185,2.53762,1400.7075812688
2024-11-20,2.49114,2.49114,2.45396,2.45396,5056.3176896800005
2024-11-21,2.45396,2.53762,2.43537,2.53762,10336.4043324352
2024-11-22,2.47255,2.55621,2.47255,2.50973,1907.4151625112
2024-11-25,2.5655,2.5655,2.50044,2.5655,1713.7689531192
2024-11-26,2.54691,2.54691,2.52832,2.54691,1543.790613764
2024-11-27,2.50973,2.50973,2.47255,2.47255,3651.3068593136
2024-11-28,2.46326,2.54691,2.39819,2.46326,22787.8555963408
2024-11-29,2.48185,2.50973,2.48185,2.50973,2756.2310470128
2024-12-02,2.5655,2.59339,2.48185,2.59339,5275.7833936576
2024-12-03,2.59339,2.59339,2.42607,2.47255,9579.0324912576
2024-12-04,2.50044,2.50044,2.49114,2.50044,1459.8772563608002
2024-12-05,2.50044,2.55621,2.50044,2.52832,3702.9458484848
2024-12-06,2.50044,2.50044,2.41678,2.50044,5992.274368408001
2024-12-09,2.54691,2.54691,2.41678,2.45396,3350.0794224816
2024-12-10,2.50973,2.50973,2.50973,2.50973,344.25992780800004
2024-12-11,2.41678,2.52832,2.34242,2.47255,14006.0000004136
2024-12-12,2.45396,2.45396,2.36101,2.39819,2839.0685921416
2024-12-13,2.39819,2.41678,2.3703,2.3703,6777.61732872
2024-12-16,2.32383,2.3703,2.31453,2.35171,3768.5703972232
2024-12-17,2.32383,2.41678,2.30523,2.30523,4222.56317702
2024-12-18,2.31453,2.31453,2.28664,2.29594,3889.061371956
2024-12-19,2.29594,2.29594,2.24017,2.29594,4795.9711192752
2024-12-20,2.32383,2.32383,2.19369,2.19369,8077.198556195201
2024-12-23,2.23087,2.29594,2.21228,2.22158,16537.3862820768
2024-12-27,2.25876,2.34242,2.23087,2.34242,7825.458483985601
2024-12-30,2.27735,2.39819,2.27735,2.39819,8752.808664518401
2025-01-02,2.35171,2.46326,2.35171,2.46326,17849.8772568448
2025-01-03,2.42607,2.66775,2.41678,2.43537,15556.245487824
2025-01-07,2.49114,2.60268,2.43537,2.53762,14567.5740076504
2025-01-08,2.55621,2.55621,2.47255,2.47255,2677.6967509816
2025-01-09,2.52832,2.55621,2.52832,2.55621,5598.5270759776
2025-01-10,2.60268,2.60268,2.53762,2.60268,5719.0180507104005
2025-01-13,2.61198,2.62128,2.49114,2.49114,7283.249097688
2025-01-14,2.54691,2.54691,2.49114,2.54691,1211.3646209744
2025-01-15,2.54691,2.54691,2.46326,2.54691,5045.559566936
2025-01-16,2.55621,2.55621,2.53762,2.53762,22061.6823111208
2025-01-17,2.50973,2.53762,2.50973,2.53762,3190.8592058704003
2025-01-20,2.50973,2.54691,2.47255,2.54691,11680.0938631608
2025-01-21,2.54691,2.54691,2.54691,2.54691,1290.97472928
2025-01-22,2.54691,2.55621,2.50044,2.55621,551.8916967672001
