Date,Open,High,Low,Close,Volume
2024-07-22,48.95,49.0,47.4,48.3,3087.0
2024-07-23,48.7,48.7,46.6,47.9,5568.0
2024-07-24,47.9,48.0,47.3,47.9,1742.0
2024-07-25,47.6,48.0,46.8,47.8,4805.0
2024-07-26,47.9,49.5,47.3,48.6,3351.0
2024-07-29,48.05,48.5,47.55,48.2,2314.0
2024-07-30,47.7,48.95,47.5,48.0,3634.0
2024-07-31,48.0,48.4,47.3,48.0,3883.0
2024-08-01,48.3,48.3,47.65,48.15,1511.0
2024-08-02,48.0,48.3,47.5,48.1,1263.0
2024-08-05,46.9,46.9,42.4,44.85,22951.0
2024-08-06,45.6,46.9,44.6,45.55,5344.0
2024-08-07,48.3,51.0,48.0,51.0,14772.0
2024-08-08,51.0,51.4,49.0,50.0,5692.0
2024-08-09,50.2,51.8,50.0,50.8,2820.0
2024-08-12,51.6,51.6,49.2,50.6,4114.0
2024-08-13,50.6,50.6,49.4,49.4,3581.0
2024-08-14,49.8,50.0,49.4,50.0,479.0
2024-08-16,50.4,50.8,47.0,49.0,13533.0
2024-08-19,49.25,49.4,48.5,48.8,2428.0
2024-08-20,48.5,50.9,48.5,50.6,4670.0
2024-08-21,50.5,50.5,48.7,49.3,5228.0
2024-08-22,49.0,50.3,49.0,49.8,5488.0
2024-08-23,50.0,50.3,49.45,50.0,2471.0
2024-08-26,50.2,50.6,48.8,49.85,3154.0
2024-08-27,49.4,50.3,49.2,49.7,980.0
2024-08-28,49.65,49.7,48.0,49.0,9697.0
2024-08-29,49.0,50.3,48.3,49.0,4687.0
2024-08-30,49.05,50.2,49.0,50.2,1505.0
2024-09-02,50.3,52.7,50.0,52.5,11007.0
2024-09-03,52.6,55.8,52.4,52.9,37991.0
2024-09-04,52.8,53.5,51.2,53.4,6504.0
2024-09-05,53.2,54.7,52.8,52.8,5798.0
2024-09-06,52.8,52.9,51.0,52.5,1945.0
2024-09-09,52.5,52.5,51.2,52.4,1245.0
2024-09-10,51.8,53.2,51.3,51.9,3143.0
2024-09-11,51.5,52.1,50.0,51.9,4998.0
2024-09-12,52.0,54.7,52.0,53.7,2517.0
2024-09-13,53.7,54.5,52.2,54.4,4273.0
2024-09-16,53.1,54.0,50.8,51.7,9707.0
2024-09-17,51.7,52.6,50.5,50.9,8091.0
2024-09-18,51.1,52.9,51.1,52.1,3160.0
2024-09-19,52.7,53.7,52.5,52.8,6845.0
2024-09-20,53.0,53.6,52.1,52.1,2696.0
2024-09-23,52.3,53.5,52.2,53.5,3962.0
2024-09-24,53.5,54.9,53.2,54.3,8647.0
2024-09-25,54.3,58.5,53.7,58.3,18476.0
2024-09-26,58.3,59.3,56.5,56.5,3777.0
2024-09-27,56.0,57.8,55.5,57.7,2902.0
2024-09-30,58.4,58.8,57.1,57.8,1918.0
2024-10-01,58.4,58.4,57.0,57.5,2269.0
2024-10-02,57.8,57.8,55.7,56.2,1741.0
2024-10-03,56.1,56.3,55.5,56.3,3991.0
2024-10-04,56.2,57.0,54.5,56.0,6908.0
2024-10-07,56.0,58.7,53.9,55.1,10161.0
2024-10-08,55.0,55.8,54.0,54.9,6147.0
2024-10-09,55.0,57.5,55.0,57.0,5842.0
2024-10-10,58.0,59.0,57.4,58.0,6978.0
2024-10-11,58.6,59.0,57.6,58.8,1907.0
2024-10-14,58.3,60.0,58.0,59.8,6775.0
2024-10-15,60.2,63.5,59.8,63.3,16643.0
2024-10-16,63.5,64.0,61.8,62.1,3593.0
2024-10-17,62.1,62.5,60.4,60.4,3655.0
2024-10-18,60.1,62.0,60.1,61.6,1184.0
2024-10-21,61.7,62.9,60.8,60.8,1964.0
2024-10-22,60.4,61.9,59.6,61.6,3711.0
2024-10-23,61.5,62.3,59.6,62.0,4485.0
2024-10-24,62.1,62.2,60.4,61.4,1473.0
2024-10-25,61.7,61.7,59.8,60.6,4685.0
2024-10-28,60.7,61.3,60.0,60.7,3033.0
2024-10-29,60.7,60.7,60.0,60.0,2911.0
2024-10-30,60.0,60.7,59.0,59.7,3200.0
2024-10-31,59.7,60.0,58.0,59.6,4999.0
2024-11-04,59.9,60.0,58.4,58.4,2661.0
2024-11-05,59.5,59.5,58.8,58.8,1184.0
2024-11-06,59.0,60.8,58.8,59.6,5411.0
2024-11-07,59.6,60.0,59.2,59.8,2387.0
2024-11-08,60.0,62.0,58.8,61.6,5167.0
2024-11-12,62.2,63.1,60.5,62.0,5343.0
2024-11-13,62.5,62.5,60.4,60.9,1686.0
2024-11-14,60.5,61.8,59.9,60.9,2358.0
2024-11-15,60.5,60.9,59.1,59.8,1876.0
2024-11-18,59.8,59.9,58.0,58.0,6649.0
2024-11-19,58.0,58.0,52.4,55.9,25447.0
2024-11-20,56.2,59.0,56.2,56.4,2478.0
2024-11-21,56.9,58.4,56.4,58.0,1160.0
2024-11-22,58.2,58.2,51.6,53.0,58002.0
2024-11-25,52.8,53.4,49.3,51.3,24220.0
2024-11-26,50.8,52.3,50.5,51.4,4647.0
2024-11-27,51.4,51.7,49.8,51.0,4716.0
2024-11-28,51.0,51.0,49.6,49.85,5581.0
2024-11-29,49.95,50.9,49.55,50.7,4599.0
2024-12-02,50.5,53.0,50.5,52.5,7872.0
2024-12-03,52.9,52.9,51.2,51.8,1387.0
2024-12-04,51.5,52.5,51.0,52.2,2752.0
2024-12-05,52.2,53.7,51.6,52.8,4658.0
2024-12-06,53.4,54.4,53.3,54.2,4725.0
2024-12-09,54.1,54.4,53.0,54.0,1344.0
2024-12-10,53.8,54.1,52.5,53.3,2564.0
2024-12-11,53.2,53.2,51.3,51.9,4882.0
