Date,Open,High,Low,Close,Volume
2024-07-22,572.066,573.826,561.504,572.066,219.2929689044853
2024-07-23,573.917,577.62,540.593,573.917,285.19745249465257
2024-07-24,573.917,573.917,522.079,555.403,220.38027287681464
2024-07-25,555.403,555.403,527.633,538.742,102.62804593780004
2024-07-26,538.742,547.998,527.633,527.633,155.56205871666242
2024-07-29,538.742,557.255,538.742,557.255,131.7955181302485
2024-07-30,559.106,562.808,557.255,557.255,142.5982089761691
2024-07-31,557.255,560.957,557.255,557.255,203.0951398894902
2024-08-01,557.255,562.808,546.147,559.106,69.13887668159472
2024-08-02,547.998,547.998,536.89,536.89,68.05860759700266
2024-08-05,527.633,535.039,518.376,527.633,256.02956648527834
2024-08-06,523.93,546.147,523.93,542.444,136.1168013770796
2024-08-07,546.147,551.701,546.147,551.701,29.167989463605632
2024-08-08,542.444,551.701,542.444,551.701,11.88316683897552
2024-08-09,551.701,553.552,542.444,551.701,27.00734784019008
2024-08-12,553.552,553.552,536.89,547.998,45.37233609518082
2024-08-13,555.403,555.403,531.335,536.89,38.89061813339704
2024-08-14,549.849,549.849,531.335,536.89,478.5709982566656
2024-08-16,536.89,542.444,533.187,542.444,7.562069809760995
2024-08-19,542.444,546.147,536.89,536.89,29.167989463605632
2024-08-20,536.89,538.742,529.484,529.484,15.12407754698313
2024-08-21,529.484,546.147,529.484,546.147,72.37978738960233
2024-08-22,546.147,546.147,529.484,544.295,11.88316683897552
2024-08-23,546.147,546.147,529.484,542.444,50.77388842660399
2024-08-26,540.593,547.998,540.593,542.444,11.88316683897552
2024-08-27,542.444,555.403,540.593,546.147,70.21914576618678
2024-08-28,546.147,547.998,529.484,547.998,56.17533730379572
2024-08-29,536.89,536.89,536.89,536.89,4.32117979259967
2024-08-30,533.187,549.849,533.187,540.593,52.9344265957881
2024-09-02,540.593,542.444,536.89,536.89,268.9934162257716
2024-09-03,536.89,536.89,536.89,536.89,2.160589896299835
2024-09-04,542.444,542.444,535.039,535.039,104.78775647313272
2024-09-05,531.335,531.335,531.335,531.335,7.562069809760995
2024-09-06,533.187,549.849,531.335,538.742,52.9344265957881
2024-09-09,542.444,547.998,542.444,546.147,47.53297771859638
2024-09-10,547.998,549.849,536.89,547.998,87.50396839081691
2024-09-11,555.403,555.403,536.89,536.89,15.12407754698313
2024-09-12,540.593,553.552,540.593,547.998,14.043808462391072
2024-09-13,542.444,549.849,538.742,549.849,172.84719170398682
2024-09-16,549.849,549.849,549.849,549.849,1.080289775438346
2024-09-17,551.701,555.403,536.89,538.742,28.087616924782143
2024-09-18,540.593,540.593,533.187,535.039,28.087616924782143
2024-09-19,536.89,547.998,535.039,535.039,103.70769429700351
2024-09-20,533.187,538.742,533.187,538.742,93.9856863526007
2024-09-23,538.742,538.742,533.187,538.742,64.81769688899506
2024-09-24,546.147,546.147,542.444,542.444,6.481769688899505
2024-09-25,536.89,546.147,531.335,542.444,50.77388842660399
2024-09-26,542.444,547.998,542.444,547.998,6.481769688899505
2024-09-27,546.147,546.147,542.444,544.295,37.81034904880497
2024-09-30,542.444,542.444,533.187,533.187,20.52552642417486
2024-10-01,538.742,542.444,535.039,535.039,15.12407754698313
2024-10-02,535.039,535.039,529.484,531.335,50.77388842660399
2024-10-03,535.039,538.742,535.039,538.742,8.64235958519934
2024-10-04,546.147,546.147,531.335,533.187,31.32852763278975
2024-10-07,529.484,540.593,527.633,540.593,104.78775647313272
2024-10-08,540.593,542.444,540.593,542.444,29.167989463605632
2024-10-09,542.444,551.701,538.742,551.701,59.416248011803326
2024-10-10,549.849,551.701,538.742,546.147,31.32852763278975
2024-10-11,540.593,546.147,538.742,542.444,556.3520276149968
2024-10-14,542.444,542.444,538.742,542.444,19.445257339582803
2024-10-15,544.295,549.849,536.89,542.444,65.89796597358712
2024-10-16,542.444,542.444,540.593,540.593,51.85415751119604
2024-10-17,547.998,547.998,547.998,547.998,2.160589896299835
2024-10-18,547.998,547.998,540.593,542.444,21.60589896299836
2024-10-21,542.444,549.849,540.593,549.849,70.21914576618678
2024-10-22,551.701,551.701,549.849,549.849,19.445257339582803
2024-10-23,549.849,551.701,542.444,542.444,15.12407754698313
2024-10-24,542.444,551.701,542.444,551.701,21.60589896299836
