Date,Open,High,Low,Close,Volume
2024-07-19,417.156,422.078,411.321,414.057,22626.82719009096
2024-07-22,413.874,420.802,412.233,412.781,14044.275392191515
2024-07-23,418.25,419.162,406.399,410.593,19565.23438999672
2024-07-24,406.581,414.968,406.399,409.681,11446.693252949972
2024-07-25,406.763,412.781,402.206,412.233,21156.911621432308
2024-07-26,411.687,417.52,410.227,411.503,24124.16655667233
2024-07-29,412.963,417.885,405.852,408.222,7730.2201584608
2024-07-30,407.675,412.963,406.763,408.405,17595.108747227365
2024-07-31,411.139,414.057,404.211,404.211,19498.32032306524
2024-08-01,404.758,406.946,396.553,396.553,18575.7837609444
2024-08-02,396.553,399.47,383.244,392.543,28834.478087881453
2024-08-05,382.879,383.426,369.387,379.598,54815.78423988146
2024-08-06,382.879,387.437,371.575,378.321,50936.96226168969
2024-08-07,378.321,383.791,372.851,379.415,38067.52237250818
2024-08-08,381.238,384.702,373.581,382.696,34447.58104670704
2024-08-09,385.614,389.078,380.144,381.056,26832.540839521727
2024-08-12,388.349,391.631,382.514,388.349,14254.89016023813
2024-08-13,388.349,394.548,382.879,391.995,35680.555001313245
2024-08-14,392.907,396.553,389.261,395.095,34957.66368806992
2024-08-16,402.934,407.493,399.288,403.846,20785.044921600005
2024-08-19,406.399,414.786,402.388,413.327,35736.49954907563
2024-08-20,413.692,414.786,410.045,411.321,20386.85137576188
2024-08-21,411.139,415.697,409.316,413.874,16241.47008176112
2024-08-22,413.874,415.88,410.227,412.051,13711.89896136796
2024-08-23,415.515,423.902,381.238,392.907,80443.87187463662
2024-08-26,393.819,401.112,383.973,387.437,43600.54784139938
2024-08-27,389.261,398.376,382.879,396.918,39990.47908285043
2024-08-28,394.73,396.918,377.227,391.995,84070.39491193922
2024-08-29,391.995,408.405,391.083,405.67,45743.99188704042
2024-08-30,405.67,408.587,399.836,405.67,28302.456408180376
2024-09-02,402.934,414.421,402.934,411.321,18398.07755040508
2024-09-03,411.321,414.239,399.836,399.836,28792.79391503889
2024-09-04,396.553,406.216,395.642,402.57,19686.996052773666
2024-09-05,401.112,403.482,391.083,391.449,29303.973508318693
2024-09-06,393.271,397.465,384.338,384.338,23421.020377933382
2024-09-09,389.261,391.995,380.692,383.426,11746.161126266248
2024-09-10,384.702,388.531,378.686,380.326,11326.028542089934
2024-09-11,381.42,385.796,375.951,381.968,26980.629348304505
2024-09-12,385.614,386.708,380.144,381.42,21988.40117444966
2024-09-13,382.15,393.271,381.238,388.349,47515.56923284917
2024-09-16,391.083,391.083,380.874,386.708,13960.9070465064
2024-09-17,390.901,396.918,384.338,391.813,31313.58942009678
2024-09-18,397.465,397.465,385.067,385.796,22960.30057283142
2024-09-19,388.531,397.283,388.531,391.813,29717.52438099355
2024-09-20,391.995,392.36,380.874,385.432,126694.6555472892
2024-09-23,385.432,390.537,380.144,383.791,51476.662604809135
2024-09-24,381.238,391.083,381.238,385.979,27634.41269078253
2024-09-25,387.437,398.924,384.885,396.371,39658.102652026864
2024-09-26,396.553,406.216,396.553,403.482,72044.51104686107
2024-09-27,403.482,408.587,402.024,407.675,34342.273662683736
2024-09-30,407.493,407.493,398.741,404.576,23483.54663719722
2024-10-01,404.576,409.499,400.564,401.658,33132.33569833262
2024-10-02,401.294,407.493,398.741,400.018,8386.197404772643
2024-10-03,399.288,400.93,392.725,397.465,15166.457203189872
2024-10-04,401.112,404.576,397.465,404.211,37322.69202092668
2024-10-07,406.581,413.692,401.658,412.415,49582.22664430654
2024-10-08,404.211,411.321,402.57,406.581,20502.031327037374
2024-10-09,407.493,410.045,388.713,390.719,36338.72615145891
2024-10-10,390.901,392.907,384.156,385.432,35217.64129237747
2024-10-11,386.526,391.813,383.426,386.89,28464.80529188297
2024-10-14,386.89,391.631,384.52,384.885,13991.621700179863
2024-10-15,388.349,392.177,385.796,388.167,22389.885576038512
2024-10-16,391.995,399.653,384.885,396.736,54872.82573956076
2024-10-17,401.112,403.846,384.702,386.526,24537.717429347187
2024-10-18,390.172,393.819,386.526,387.802,13725.06238437087
2024-10-21,392.543,394.548,388.713,392.725,42051.65173472326
2024-10-22,394.73,396.006,387.437,390.719,27056.319030571256
2024-10-23,393.271,393.819,383.973,390.172,22247.281826840288
2024-10-24,392.907,393.089,387.437,390.172,21399.33799506929
2024-10-25,388.531,390.901,384.885,385.067,15881.669853014824
2024-10-28,388.349,392.907,386.526,391.631,14887.831416294875
2024-10-29,391.631,394.001,389.078,392.543,22860.47794839266
2024-10-30,393.819,403.3,389.261,391.995,52646.01334823459
2024-10-31,390.172,393.819,386.708,391.083,46917.73043813352
2024-11-04,391.995,397.465,386.708,390.355,34801.896515868786
2024-11-05,392.177,392.177,381.238,384.338,29234.8655375534
2024-11-06,385.614,391.995,384.702,388.167,37579.37876948348
2024-11-07,392.907,402.388,388.349,400.018,64750.87775133023
2024-11-08,402.388,403.846,395.095,397.283,31009.733739112864
2024-11-12,397.465,403.117,394.73,397.283,24380.853305229142
2024-11-13,400.2,400.2,383.791,385.979,27777.016439980755
2024-11-14,385.979,391.995,385.979,388.167,24947.97744627132
2024-11-15,389.807,389.807,384.338,385.067,18584.559376279674
2024-11-18,385.796,389.625,381.238,383.608,20306.773885827493
2024-11-19,386.526,387.255,369.934,372.122,41068.7828171724
2024-11-20,376.68,380.509,371.029,374.857,19202.14330549969
2024-11-21,374.857,383.426,370.481,381.602,27974.46778502445
2024-11-22,381.786,384.702,375.039,382.879,14423.820755442184
2024-11-25,385.614,387.073,381.786,386.161,18480.34894417328
2024-11-26,387.437,389.443,380.509,382.879,16434.53361913718
2024-11-27,386.708,386.708,380.692,383.791,9790.295858416725
2024-11-28,385.796,387.437,380.144,380.692,7571.162130508932
2024-11-29,383.791,386.161,380.692,385.614,9984.456347709693
2024-12-02,387.437,390.901,385.796,390.355,18133.71213842989
2024-12-03,391.083,395.824,385.614,389.261,27855.996977998235
2024-12-04,390.172,396.371,389.625,396.371,23170.91534087803
2024-12-05,396.553,402.934,395.459,402.934,25353.84965552781
2024-12-06,402.934,406.946,398.194,399.288,17918.70956271565
2024-12-09,404.758,407.311,392.543,397.647,26123.90990119824
2024-12-10,396.553,398.924,390.355,394.001,18824.79184608284
2024-12-11,395.459,396.553,391.266,393.271,11700.08914575605
2024-12-12,391.083,395.642,390.537,395.642,24157.075114179614
2024-12-13,396.006,398.741,391.083,396.189,24811.955408574548
2024-12-16,398.012,400.93,391.631,398.924,17034.566317686644
2024-12-17,399.653,400.746,383.244,383.426,32502.68529802661
2024-12-18,387.437,388.531,379.78,384.702,29590.27795863205
2024-12-19,384.702,386.526,377.592,381.786,29426.83212301255
2024-12-20,383.791,386.161,374.675,382.332,63411.49946078381
2024-12-23,384.702,389.625,376.862,378.868,25201.3733390774
2024-12-27,381.056,385.249,376.68,379.962,24591.46807327575
2024-12-30,382.879,384.156,376.498,379.05,14886.734464377963
2025-01-02,386.526,386.526,378.139,381.42,30262.709483697538
2025-01-03,385.249,387.437,381.602,383.062,18869.76687467613
2025-01-07,387.437,389.443,381.056,382.332,25883.677431395063
2025-01-08,388.531,388.713,372.669,377.592,35596.08970371122
2025-01-09,379.415,382.879,375.769,382.15,23596.532684638893
2025-01-10,379.232,389.261,379.232,389.078,53633.27007345309
2025-01-13,388.531,389.078,380.326,381.786,23935.49082696391
2025-01-14,385.432,391.449,383.244,389.261,20123.582915703613
2025-01-15,391.449,399.288,390.719,399.288,28782.92134778671
2025-01-16,400.018,400.746,391.266,393.089,23490.12834869868
2025-01-17,397.647,399.47,380.326,383.608,69411.82644627841
2025-01-20,388.349,391.266,383.062,389.625,23719.39129933275
2025-01-21,389.989,391.083,383.426,387.437,17957.10287980748
2025-01-22,388.349,394.001,384.885,394.001,39029.54920363776
2025-01-23,395.095,395.277,389.261,389.989,18169.91155168791
2025-01-24,393.819,396.189,391.813,391.813,15735.77524806587
2025-01-27,390.355,391.631,381.238,388.713,31735.915908106912
2025-01-28,390.719,394.365,389.078,391.631,20214.629924807097
2025-01-29,393.819,394.73,384.702,385.614,25677.45047101609
2025-01-30,389.989,395.459,387.437,395.095,44115.01829042991
2025-01-31,395.095,395.095,389.807,390.719,13534.19275082863
