Date,Open,High,Low,Close,Volume
2024-09-03,724.645,733.68,705.219,706.574,10500.83142350912
2024-09-04,700.701,713.351,695.732,713.351,15140.321866948228
2024-09-05,701.605,713.351,693.021,693.021,13502.333828711138
2024-09-06,692.569,704.315,683.082,685.793,13631.823423625829
2024-09-09,686.696,691.214,675.402,680.823,12747.531232712696
2024-09-10,687.148,694.828,683.534,690.762,11212.470821202667
2024-09-11,695.732,701.605,689.407,694.376,14232.78795387092
2024-09-12,694.376,713.351,694.376,708.381,9640.88770343465
2024-09-13,705.219,709.737,693.021,707.478,11658.490537019929
2024-09-16,706.122,728.259,706.122,726.452,9742.708581487224
2024-09-17,727.356,733.229,713.351,718.32,11527.894193430757
2024-09-18,729.163,730.97,700.249,702.057,11211.364072528182
2024-09-19,703.412,721.031,703.412,714.706,20923.08369112984
2024-09-20,714.706,719.676,679.016,683.534,79898.40030838644
2024-09-23,683.534,701.605,679.92,697.087,12347.994961223783
2024-09-24,703.412,723.742,701.153,722.838,14624.57698463844
2024-09-25,721.934,729.163,710.64,724.645,10111.25589009057
2024-09-26,724.193,749.041,699.346,740.005,12801.761917762436
2024-09-27,740.005,746.33,736.391,744.523,10428.892759667628
2024-09-30,745.427,749.944,731.422,744.975,17553.033977324478
2024-10-01,747.234,754.914,732.777,738.65,13943.92654983046
2024-10-02,738.65,743.619,734.132,740.457,6032.887024615116
2024-10-03,744.975,747.234,734.132,739.102,9241.35143194574
2024-10-04,740.909,743.619,732.325,740.909,7856.808840165604
2024-10-07,744.975,768.919,744.523,758.98,31887.642809247976
2024-10-08,756.721,758.528,737.295,742.264,27121.983016917635
2024-10-09,738.198,746.33,736.391,740.909,20791.380598866184
2024-10-10,740.005,759.431,739.554,747.234,15643.892513838682
2024-10-11,752.655,757.173,742.264,752.203,6600.6490946256745
2024-10-14,752.203,755.366,737.295,741.361,18508.15808340461
2024-10-15,743.168,745.878,735.488,744.975,12551.636717328936
2024-10-16,748.137,776.147,736.843,743.619,169923.55098830623
2024-10-17,745.427,745.427,711.092,714.706,24665.000959562003
2024-10-18,720.579,728.711,720.127,723.742,9971.80555710552
2024-10-21,729.163,735.939,714.706,717.869,12442.068598554968
2024-10-22,718.772,721.934,705.671,711.092,8602.75744676817
