Date,Open,High,Low,Close,Volume
2024-06-19,1.53,1.54,1.47,1.49,27453
2024-06-20,1.51,1.51,1.47,1.47,1284
2024-06-21,1.48,1.48,1.48,1.48,122
2024-06-24,1.58,1.58,1.49,1.58,25318
2024-06-25,1.59,1.59,1.53,1.53,355
2024-06-26,1.54,1.54,1.54,1.54,10
2024-06-27,1.54,1.55,1.53,1.53,17029
2024-06-28,1.55,1.59,1.55,1.59,125
2024-07-01,1.58,1.58,1.51,1.51,1375
2024-07-02,1.57,1.59,1.51,1.59,19401
2024-07-03,1.6,1.6,1.6,1.6,2
2024-07-04,1.6,1.6,1.58,1.58,50
2024-07-05,1.58,1.58,1.46,1.54,82454
2024-07-08,1.54,1.54,1.5,1.5,30111
2024-07-09,1.54,1.54,1.49,1.49,58
2024-07-10,1.54,1.54,1.54,1.54,40
2024-07-11,1.54,1.54,1.48,1.48,396
2024-07-12,1.53,1.53,1.48,1.48,20650
2024-07-15,1.51,1.51,1.47,1.47,152
2024-07-16,1.51,1.51,1.51,1.51,50
2024-07-17,1.51,1.51,1.51,1.51,50
2024-07-18,1.51,1.51,1.46,1.51,2207
2024-07-19,1.51,1.52,1.51,1.51,2739
2024-07-22,1.53,1.53,1.51,1.51,2033
2024-07-23,1.53,1.53,1.53,1.53,50
2024-07-24,1.53,1.53,1.51,1.53,139
2024-07-25,1.53,1.53,1.46,1.52,737
2024-07-26,1.53,1.53,1.46,1.46,9420
2024-07-29,1.53,1.53,1.53,1.53,10
2024-07-30,1.53,1.53,1.53,1.53,51
2024-07-31,1.53,1.53,1.53,1.53,10
2024-08-01,1.53,1.53,1.53,1.53,1610
2024-08-02,1.53,1.53,1.46,1.46,122
2024-08-05,1.45,1.52,1.39,1.52,20677
2024-08-06,1.52,1.52,1.44,1.44,21
2024-08-07,1.44,1.44,1.44,1.44,2
2024-08-08,1.44,1.49,1.44,1.49,690
2024-08-09,1.49,1.49,1.47,1.47,668
2024-08-12,1.49,1.49,1.49,1.49,5
2024-08-13,1.49,1.49,1.44,1.44,720
2024-08-14,1.44,1.49,1.44,1.49,152
2024-08-16,1.49,1.49,1.49,1.49,2
2024-08-19,1.52,1.52,1.5,1.5,60
2024-08-20,1.51,1.51,1.42,1.45,22721
2024-08-21,1.5,1.5,1.45,1.5,2809
2024-08-22,1.51,1.51,1.47,1.47,6846
2024-08-23,1.51,1.51,1.45,1.5,12181
2024-08-26,1.5,1.5,1.5,1.5,2
2024-08-27,1.49,1.54,1.49,1.54,69602
2024-08-28,1.57,1.57,1.49,1.56,6688
2024-08-29,1.55,1.57,1.55,1.57,26555
2024-08-30,1.57,1.57,1.57,1.57,5659
2024-09-02,1.64,1.64,1.51,1.57,2862
2024-09-03,1.57,1.57,1.49,1.57,9234
2024-09-04,1.57,1.57,1.57,1.57,10
2024-09-05,1.54,1.57,1.5,1.57,5520
2024-09-06,1.57,1.57,1.5,1.56,10040
2024-09-09,1.56,1.56,1.56,1.56,10
2024-09-10,1.56,1.56,1.5,1.55,2299
2024-09-11,1.55,1.55,1.49,1.55,3055
2024-09-12,1.55,1.55,1.55,1.55,50
2024-09-13,1.54,1.54,1.54,1.54,10
2024-09-16,1.51,1.53,1.5,1.5,1150
2024-09-17,1.55,1.55,1.5,1.55,55
2024-09-18,1.55,1.64,1.55,1.63,56549
2024-09-19,1.63,1.67,1.62,1.66,74249
2024-09-20,1.66,1.66,1.59,1.6,4582
2024-09-23,1.61,1.61,1.58,1.58,5247
2024-09-24,1.61,1.61,1.57,1.57,2310
2024-09-25,1.6,1.6,1.6,1.6,82
2024-09-26,1.6,1.67,1.57,1.6,5557
2024-09-27,1.67,1.72,1.64,1.68,103998
2024-09-30,1.68,1.68,1.62,1.65,16222
2024-10-01,1.66,1.66,1.66,1.66,5710
2024-10-02,1.66,1.66,1.65,1.65,342
2024-10-03,1.66,1.66,1.64,1.64,27
2024-10-04,1.64,1.64,1.64,1.64,1664
2024-10-07,1.64,1.64,1.57,1.62,1129
2024-10-08,1.62,1.64,1.57,1.58,48957
2024-10-09,1.64,1.64,1.57,1.63,2266
2024-10-10,1.63,1.63,1.63,1.63,200
2024-10-11,1.63,1.63,1.57,1.57,6510
2024-10-14,1.62,1.62,1.57,1.57,5157
2024-10-15,1.61,1.65,1.57,1.65,1363
2024-10-16,1.65,1.65,1.59,1.59,4091
2024-10-17,1.66,1.66,1.57,1.57,1110
2024-10-18,1.65,1.65,1.6,1.6,1151
2024-10-21,1.64,1.65,1.57,1.65,4552
2024-10-22,1.65,1.65,1.65,1.65,10
2024-10-23,1.65,1.65,1.65,1.65,250
2024-10-24,1.65,1.65,1.65,1.65,50
2024-10-25,1.65,1.65,1.65,1.65,50
2024-10-28,1.65,1.65,1.65,1.65,2000
2024-10-29,1.65,1.65,1.64,1.65,450
2024-10-30,1.65,1.65,1.57,1.64,11756
2024-10-31,1.64,1.65,1.57,1.57,2972
2024-11-04,1.65,1.65,1.57,1.6,13608
2024-11-05,1.64,1.64,1.57,1.57,5037
2024-11-06,1.62,1.64,1.59,1.59,7288
2024-11-07,1.62,1.62,1.62,1.62,170
2024-11-08,1.62,1.62,1.62,1.62,2051
2024-11-12,1.62,1.62,1.62,1.62,50
2024-11-13,1.62,1.62,1.62,1.62,50
