Date,Open,High,Low,Close,Volume
2024-07-17,0.231,0.231,0.225,0.229,34957
2024-07-18,0.229,0.234,0.225,0.234,12237
2024-07-19,0.235,0.24,0.233,0.24,35334
2024-07-22,0.239,0.248,0.23,0.247,207720
2024-07-23,0.247,0.247,0.242,0.242,78422
2024-07-24,0.241,0.246,0.237,0.237,27816
2024-07-25,0.246,0.246,0.243,0.245,35868
2024-07-26,0.242,0.242,0.234,0.24,23110
2024-07-29,0.24,0.246,0.229,0.24,28077
2024-07-30,0.241,0.243,0.23,0.238,16905
2024-07-31,0.23,0.236,0.23,0.236,6548
2024-08-01,0.236,0.239,0.234,0.239,1754
2024-08-02,0.237,0.238,0.237,0.238,1152
2024-08-05,0.233,0.233,0.224,0.225,121412
2024-08-06,0.23,0.23,0.225,0.228,22268
2024-08-07,0.228,0.228,0.224,0.225,3416
2024-08-08,0.227,0.229,0.223,0.227,17353
2024-08-09,0.227,0.23,0.226,0.229,37008
2024-08-12,0.23,0.23,0.23,0.23,2002
2024-08-13,0.229,0.229,0.226,0.229,550
2024-08-14,0.226,0.228,0.226,0.228,23733
2024-08-16,0.229,0.236,0.229,0.236,30483
2024-08-19,0.233,0.235,0.227,0.23,33968
2024-08-20,0.233,0.233,0.227,0.227,34601
2024-08-21,0.227,0.23,0.227,0.23,175
2024-08-22,0.23,0.232,0.226,0.231,82737
2024-08-23,0.231,0.231,0.23,0.231,4816
2024-08-26,0.231,0.235,0.23,0.234,25557
2024-08-27,0.234,0.234,0.234,0.234,10
2024-08-28,0.234,0.234,0.23,0.231,6012
2024-08-29,0.231,0.238,0.23,0.234,87484
2024-08-30,0.234,0.235,0.229,0.233,552
2024-09-02,0.233,0.234,0.23,0.233,3117
2024-09-03,0.233,0.235,0.233,0.234,19153
2024-09-04,0.235,0.235,0.226,0.234,11070
2024-09-05,0.234,0.234,0.228,0.232,14159
2024-09-06,0.229,0.232,0.228,0.232,782
2024-09-09,0.232,0.233,0.23,0.23,29478
2024-09-10,0.23,0.231,0.229,0.231,5701
2024-09-11,0.231,0.238,0.226,0.23,10004
2024-09-12,0.233,0.233,0.225,0.229,19141
2024-09-13,0.229,0.232,0.226,0.227,6703
2024-09-16,0.231,0.231,0.226,0.23,24328
2024-09-17,0.231,0.24,0.23,0.237,40651
2024-09-18,0.237,0.239,0.226,0.23,43529
2024-09-19,0.233,0.233,0.23,0.232,26148
2024-09-20,0.232,0.234,0.232,0.234,59218
2024-09-23,0.234,0.238,0.225,0.232,62977
2024-09-24,0.226,0.233,0.226,0.233,31316
