Date,Open,High,Low,Close,Volume
2024-08-14,262.53,262.989,258.393,258.852,1250.618602548548
2024-08-16,260.231,265.288,260.231,263.91,1109.2443257387124
2024-08-19,262.989,264.829,261.151,262.07,2301.138228689329
2024-08-20,262.989,264.369,261.151,262.53,2070.5894080455964
2024-08-21,262.53,264.369,261.611,262.989,1157.0940809666567
2024-08-22,262.989,265.749,262.07,262.989,1447.45509564532
2024-08-23,264.829,264.829,262.07,263.45,741.671206033139
2024-08-26,263.45,264.829,260.691,262.07,888.4829550279686
2024-08-27,263.91,265.749,263.45,264.829,1646.466577616089
2024-08-28,264.829,264.829,263.45,263.45,953.7326212478928
2024-08-29,265.749,270.806,256.553,265.288,9544.93867353792
2024-08-30,264.829,282.76,264.829,280.921,12062.488295189996
2024-09-02,279.541,283.22,276.323,281.381,7924.571962409801
2024-09-03,280.462,284.139,278.163,280.462,4551.164218839717
2024-09-04,279.082,282.3,271.725,282.3,2804.6481530197443
2024-09-05,282.3,282.3,277.703,277.703,1261.4935469185357
2024-09-06,278.622,278.622,271.266,271.266,1645.37908317909
2024-09-09,271.266,274.484,268.507,271.266,2930.797507711598
2024-09-10,270.346,275.404,268.967,274.024,2270.6883844533645
2024-09-11,274.024,277.703,268.967,271.266,1555.1170449081949
2024-09-12,272.185,273.105,268.507,270.346,779.7335113280949
2024-09-13,271.725,275.404,270.346,275.404,1014.6323097198224
2024-09-16,275.864,275.864,272.645,274.944,747.1086782181328
2024-09-17,274.944,274.944,272.645,274.024,565.4971072393436
2024-09-18,274.024,275.864,273.105,275.404,2378.350333716239
2024-09-19,275.404,275.404,271.266,274.024,828.670760993038
2024-09-20,274.944,275.404,272.185,272.645,849.3331552960141
2024-09-23,272.645,275.404,271.266,275.404,1084.2319536877417
2024-09-24,273.105,275.404,273.105,274.944,784.0834890760898
2024-09-25,274.024,274.024,271.266,271.266,996.1449042908436
2024-09-26,272.645,274.024,271.266,271.266,3900.842545514472
2024-09-27,271.266,278.622,271.266,277.703,2414.2376501371973
2024-09-30,277.703,281.381,277.703,280.462,1583.391900270162
2024-10-01,281.381,282.3,280.462,281.381,1240.8311526155596
2024-10-02,281.381,281.381,276.783,278.163,704.6963951751819
2024-10-03,277.242,280.001,271.725,271.725,1736.728615886984
