Date,Open,High,Low,Close,Volume
2024-07-22,15.95,15.95,15.4,15.4,121
2024-07-23,15.95,15.95,15.6,15.6,37
2024-07-24,15.95,15.95,15.6,15.6,7
2024-07-25,15.95,15.95,15.95,15.95,1
2024-07-26,15.95,15.95,15.95,15.95,2
2024-07-29,15.95,15.95,15.95,15.95,10
2024-07-30,15.95,17.5,15.6,17.5,865
2024-07-31,19.25,19.6,18.15,19.4,671
2024-08-01,19.4,19.4,17.6,17.6,46
2024-08-02,19.0,19.0,17.1,19.0,278
2024-08-05,19.9,19.9,17.15,17.15,302
2024-08-06,16.9,16.9,16.1,16.1,411
2024-08-07,16.0,16.0,16.0,16.0,200
2024-08-12,16.0,16.0,16.0,16.0,645
2024-08-13,14.65,14.65,14.65,14.65,71
2024-08-23,16.0,16.4,16.0,16.0,330
2024-08-27,16.0,16.0,16.0,16.0,516
2024-08-28,15.8,15.8,15.8,15.8,97
2024-09-10,15.8,15.8,15.8,15.8,56
2024-09-11,15.8,15.8,15.8,15.8,18
2024-09-16,15.9,15.9,15.9,15.9,50
2024-09-18,16.45,16.45,15.9,15.9,13
2024-09-19,16.45,16.45,16.45,16.45,10
2024-09-20,16.45,16.45,15.9,15.9,160
2024-09-23,15.9,15.9,15.9,15.9,270
2024-10-07,16.05,16.05,16.05,16.05,2
2024-10-08,16.05,16.05,16.05,16.05,2
2024-10-09,16.05,16.05,16.05,16.05,10
2024-10-10,16.05,16.05,16.05,16.05,10
2024-10-11,16.05,16.55,16.05,16.55,210
2024-10-21,16.65,16.65,16.65,16.65,58
2024-10-23,16.65,16.65,14.65,14.65,42
2024-10-25,14.65,14.65,14.65,14.65,1
2024-11-06,14.65,14.65,14.65,14.65,1
2024-11-08,15.75,15.75,15.75,15.75,75
2024-11-14,16.95,16.95,16.95,16.95,10
2024-11-15,16.8,16.8,15.65,15.65,151
2024-11-18,16.5,16.5,16.5,16.5,2
2024-11-19,16.7,16.7,16.7,16.7,2
2024-11-20,16.7,16.7,16.0,16.0,1621
2024-11-21,16.6,16.6,16.6,16.6,2
2024-11-22,16.5,16.5,16.5,16.5,2
2024-11-25,16.5,16.5,16.5,16.5,2
2024-11-26,16.45,16.45,16.45,16.45,2
2024-11-27,16.45,16.45,16.45,16.45,50
2024-11-28,16.45,16.45,16.45,16.45,2
2024-11-29,16.45,16.45,16.45,16.45,2
2024-12-02,16.4,16.4,16.4,16.4,12
2024-12-03,16.4,16.4,16.4,16.4,2
2024-12-04,16.4,16.4,16.4,16.4,2
2024-12-05,16.4,16.4,16.4,16.4,10
2024-12-06,16.4,16.4,16.4,16.4,2
2024-12-09,16.4,16.4,15.8,15.8,39
2024-12-10,16.4,16.4,16.4,16.4,2
2024-12-11,16.4,16.4,16.4,16.4,2
2024-12-12,16.0,16.0,16.0,16.0,2
2024-12-13,15.8,15.8,15.8,15.8,286
2024-12-16,16.4,16.4,16.4,16.4,2
2024-12-17,16.4,16.4,16.4,16.4,10
2024-12-18,16.35,16.35,16.35,16.35,2
2024-12-19,15.4,15.4,15.4,15.4,14
2024-12-20,16.4,16.4,15.4,15.4,487
2024-12-23,16.1,16.1,15.4,15.4,38
2024-12-27,16.4,16.4,16.4,16.4,2
2024-12-30,16.4,16.4,16.4,16.4,2
2025-01-14,16.3,16.3,16.3,16.3,5
2025-01-15,16.4,16.4,16.4,16.4,1
2025-01-16,16.4,16.4,16.4,16.4,2
2025-01-17,16.4,16.4,15.4,15.4,11
2025-01-21,16.4,16.4,15.4,15.4,55
2025-01-22,16.4,16.4,15.9,15.9,11
2025-01-24,15.4,15.4,15.4,15.4,41
2025-01-31,14.9,14.9,14.9,14.9,45
2025-02-06,15.2,15.2,15.2,15.2,2
2025-02-17,14.55,14.55,14.55,14.55,2
2025-02-18,14.55,14.55,14.55,14.55,40
2025-02-19,14.55,14.55,14.55,14.55,100
2025-02-20,14.55,14.55,14.55,14.55,2
2025-03-03,14.55,14.55,14.5,14.5,230
2025-03-17,14.5,14.5,14.3,14.3,80
