Date,Open,High,Low,Close,Volume
2024-12-02,97.37,97.63,94.95,96.86,17482036
2024-12-03,97.79,98.72,94.6,95.91,25015357
2024-12-04,112.33,119.88,109.57,118.15,59995896
2024-12-05,116.6,116.6,112.1,113.37,23963483
2024-12-06,113.48,114.75,111.6301,113.51,13782517
2024-12-09,111.72,112.88,106.33,107.03,17640777
2024-12-10,107.86,108.71,105.0,106.68,13901553
2024-12-11,109.89,111.98,108.48,111.36,14798823
2024-12-12,110.53,110.94,107.92,109.005,10190369
2024-12-13,117.99,121.86,115.1,120.77,36722464
2024-12-16,122.5,126.15,119.13,124.78,23750747
2024-12-17,122.365,122.93,111.9,112.25,32166227
2024-12-18,112.5,113.51,104.38,105.28,24146025
2024-12-19,107.715,110.3792,106.67,109.11,21497802
2024-12-20,107.98,114.37,107.37,111.9,28801628
2024-12-23,112.65,114.42,111.3165,113.76,8629771
2024-12-24,115.44,116.0,113.4,115.95,5660903
2024-12-26,115.16,116.51,114.11,115.71,6487589
2024-12-27,114.63,114.99,111.39,113.62,6199874
2024-12-30,110.72,113.11,109.781,111.66,6271779
2024-12-31,111.52,112.25,109.8,110.45,4659559
2025-01-02,110.645,114.99,110.25,113.56,9071459
2025-01-03,115.11,118.33,114.7407,118.18,11785151
2025-01-06,122.29,123.41,117.82,119.01,15261593
2025-01-07,120.39,120.45,115.0,116.23,10686903
2025-01-08,115.5,118.41,114.82,118.23,8372847
2025-01-10,116.16,116.55,113.64,114.32,10782005
2025-01-13,112.0,115.334,111.55,115.15,9615373
2025-01-14,116.74,117.7,113.88,115.2,6889675
2025-01-15,118.325,119.09,115.75,116.0,10579565
2025-01-16,118.43,120.87,116.335,117.58,12181936
2025-01-17,119.915,125.37,119.4,124.76,14869595
2025-01-21,125.85,126.11,122.1,123.78,12770695
2025-01-22,124.8,126.4499,124.24,125.21,10126745
2025-01-23,123.36,127.48,121.73,126.06,9530833
2025-01-24,126.68,127.2,123.67,124.02,9605639
2025-01-27,108.03,108.15,99.52,100.33,38462494
2025-01-28,103.3,105.05,100.05,103.88,20322329
2025-01-29,104.61,107.26,103.11,106.79,16052869
2025-01-30,111.37,112.0,109.04,110.33,14568172
2025-01-31,112.45,115.79,111.2,112.86,15207378
2025-02-03,108.74,115.35,108.4,113.56,11389523
2025-02-04,107.88,111.575,105.6859,109.69,14220135
2025-02-05,112.0,116.85,110.76,116.46,13552759
2025-02-06,116.38,119.48,115.5,119.24,10687256
2025-02-07,121.41,121.8139,110.43,110.62,20991735
2025-02-10,111.79,113.5389,111.0,112.8,10214331
2025-02-11,110.62,112.46,108.82,109.12,9059640
2025-02-12,106.745,108.02,105.08,105.42,11998686
2025-02-13,105.35,106.77,103.17,103.5,12686379
2025-02-14,102.97,107.0228,100.22,106.51,13539806
2025-02-18,106.99,107.91,104.9411,107.29,9737456
2025-02-19,110.15,112.5,109.14,111.04,13244243
2025-02-20,110.63,110.9999,106.82,108.71,9391898
2025-02-21,109.11,109.75,102.36,103.81,11018985
2025-02-24,104.22,104.67,97.41,97.89,17235058
2025-02-25,97.0,97.04,91.73,93.0,24331420
2025-02-26,95.85,96.65,93.96,94.9,13955169
2025-02-27,98.0,98.06,87.28,87.65,22770281
2025-02-28,87.17,92.08,86.13,91.82,22345355
2025-03-03,91.99,92.88,84.87,85.83,20882239
2025-03-04,85.32,91.82,83.2404,88.33,21475399
2025-03-05,88.76,90.74,85.18,90.14,33773840
