Date,Open,High,Low,Close,Volume
2024-07-19,79.1,79.5,78.4,78.4,1359
2024-07-22,78.2,78.2,76.2,78.0,988
2024-07-23,77.0,88.9,76.8,88.7,3294
2024-07-24,90.0,93.9,88.0,89.5,2079
2024-07-25,90.9,90.9,85.2,88.0,945
2024-07-26,89.5,95.9,88.0,94.7,4519
2024-07-29,94.9,94.9,91.5,91.5,1742
2024-07-30,91.5,94.8,91.5,94.4,515
2024-07-31,92.6,95.0,91.7,94.6,653
2024-08-01,94.7,95.0,92.6,94.0,401
2024-08-02,92.5,94.5,92.1,93.6,394
2024-08-05,92.6,92.6,85.0,85.5,3232
2024-08-06,85.5,88.5,80.0,86.6,1795
2024-08-07,85.2,87.1,83.0,87.1,199
2024-08-08,87.2,87.2,83.0,83.9,383
2024-08-09,84.0,88.0,84.0,87.7,252
2024-08-12,87.7,97.0,87.5,90.5,2927
2024-08-13,90.5,91.0,88.6,90.4,211
2024-08-14,89.5,90.3,86.7,90.3,442
2024-08-16,90.4,91.0,89.7,91.0,479
2024-08-19,89.7,92.6,87.2,92.1,727
2024-08-20,88.0,92.0,88.0,91.9,411
2024-08-21,91.9,91.9,88.3,91.7,165
2024-08-22,88.3,90.0,87.5,89.6,725
2024-08-23,89.2,90.0,89.0,90.0,275
2024-08-26,90.1,90.1,87.0,89.9,487
2024-08-27,89.8,90.4,86.7,90.4,124
2024-08-28,88.0,98.0,86.8,92.6,2038
2024-08-29,91.1,94.6,91.0,94.4,120
2024-08-30,92.0,95.0,91.0,94.4,499
2024-09-02,94.4,95.7,92.7,92.7,152
2024-09-03,94.8,94.8,93.0,94.0,458
2024-09-04,93.9,93.9,90.0,91.0,982
2024-09-05,90.4,92.8,90.2,92.0,246
2024-09-06,92.8,92.9,90.0,90.2,461
2024-09-09,92.0,92.0,88.6,92.0,229
2024-09-10,92.0,92.0,88.7,89.0,264
2024-09-11,89.0,91.0,87.3,90.9,424
2024-09-12,88.4,90.5,85.6,87.4,609
2024-09-13,87.0,87.0,84.1,86.7,804
2024-09-16,86.7,86.7,84.0,86.3,809
2024-09-17,86.5,88.2,84.6,88.0,643
2024-09-18,88.0,88.3,85.1,85.8,412
2024-09-19,85.7,85.7,83.8,85.0,1382
2024-09-20,85.0,86.4,83.8,85.0,37
2024-09-23,83.1,84.6,81.6,84.0,1438
2024-09-24,84.0,84.0,80.6,83.9,980
2024-09-25,83.9,84.5,81.6,84.3,736
2024-09-26,82.0,85.9,82.0,85.9,613
2024-09-27,82.5,88.0,75.1,87.1,9163
2024-09-30,84.7,87.9,83.0,83.6,801
2024-10-01,83.6,83.6,83.0,83.0,1183
2024-10-02,82.0,82.0,82.0,82.0,1126
2024-10-03,81.7,81.7,81.5,81.5,592
2024-10-04,81.1,81.1,81.0,81.0,279
2024-10-07,81.1,81.3,81.1,81.3,384
2024-10-08,81.1,83.5,81.1,83.5,86
2024-10-09,83.4,83.4,82.5,82.5,132
2024-10-10,81.4,81.4,81.4,81.4,213
2024-10-11,81.0,81.8,81.0,81.8,255
2024-10-14,82.0,82.0,81.1,81.1,21
2024-10-15,81.0,81.0,81.0,81.0,198
2024-10-16,81.0,81.0,80.8,80.8,80
2024-10-17,80.0,80.0,79.5,79.5,231
2024-10-18,79.5,80.1,79.5,80.1,111
2024-10-21,80.0,80.0,80.0,80.0,176
2024-10-22,79.5,79.5,79.5,79.5,696
2024-10-23,79.5,79.5,79.5,79.5,219
2024-10-24,79.5,79.6,79.5,79.6,180
2024-10-25,80.0,80.0,80.0,80.0,330
2024-10-28,80.0,80.0,80.0,80.0,96
2024-10-29,79.5,79.5,79.1,79.1,740
2024-10-30,78.3,78.4,78.3,78.4,311
2024-10-31,78.2,78.6,78.2,78.6,206
2024-11-04,78.0,78.5,78.0,78.5,401
2024-11-05,78.0,78.2,78.0,78.2,198
2024-11-06,78.0,78.0,78.0,78.0,85
2024-11-07,78.6,80.9,78.6,80.9,95
2024-11-08,78.0,79.9,78.0,79.9,173
2024-11-12,80.0,80.0,80.0,80.0,515
2024-11-13,80.0,80.0,80.0,80.0,367
2024-11-14,83.4,83.4,82.0,82.0,732
2024-11-15,83.0,83.0,83.0,83.0,282
2024-11-18,83.0,85.0,83.0,85.0,413
2024-11-19,85.0,85.0,83.4,83.4,335
2024-11-20,83.0,83.0,82.0,82.0,339
2024-11-21,81.4,81.6,81.4,81.6,146
2024-11-22,81.6,81.6,81.6,81.6,88
2024-11-25,81.6,81.6,80.7,80.7,250
2024-11-26,80.8,81.1,80.8,81.1,91
2024-11-27,81.8,83.0,81.8,83.0,198
2024-11-28,82.0,82.6,82.0,82.6,258
2024-11-29,83.0,86.8,83.0,86.8,191
2024-12-02,84.2,84.2,83.1,83.1,109
2024-12-03,81.9,81.9,81.9,81.9,260
2024-12-04,81.5,81.5,80.9,80.9,271
2024-12-05,80.9,80.9,80.8,80.8,324
2024-12-06,80.0,80.0,80.0,80.0,1516
2024-12-09,79.9,79.9,79.9,79.9,392
2024-12-10,82.0,83.0,82.0,83.0,679
2024-12-11,82.0,82.0,82.0,82.0,398
2024-12-12,80.2,80.4,80.2,80.4,200
2024-12-13,81.0,81.8,81.0,81.8,222
2024-12-16,82.5,89.6,82.5,85.9,4144
2024-12-17,86.7,87.8,84.1,86.9,2453
2024-12-18,87.5,94.0,86.5,94.0,8619
2024-12-19,94.2,102.4,91.4,96.0,8396
2024-12-20,97.6,97.7,94.5,95.9,2879
2024-12-23,97.5,97.9,91.0,97.9,2984
2024-12-27,98.0,99.2,97.0,98.0,1076
2024-12-30,98.0,102.0,98.0,100.8,4195
2025-01-02,100.0,104.2,100.0,101.0,6549
2025-01-03,103.2,103.4,99.5,100.0,2325
2025-01-07,101.0,103.4,100.0,101.0,2328
2025-01-08,101.4,102.8,100.0,100.0,1120
2025-01-09,100.0,101.6,96.5,98.8,1978
2025-01-10,98.8,99.3,96.0,98.7,1445
2025-01-13,97.2,101.4,97.1,101.0,709
2025-01-14,101.4,101.4,99.0,100.0,1565
2025-01-15,99.9,100.4,98.8,99.8,540
2025-01-16,100.2,100.2,96.0,97.7,799
2025-01-17,97.5,97.7,93.0,96.0,1326
2025-01-20,97.7,101.4,97.0,98.0,2873
2025-01-21,98.9,98.9,95.1,97.8,1256
2025-01-22,97.8,98.9,96.0,98.8,1136
2025-01-23,98.6,98.6,95.8,97.4,804
2025-01-24,96.0,97.8,95.0,95.6,1259
2025-01-27,97.8,98.2,96.0,98.0,1679
2025-01-28,97.9,97.9,95.0,97.5,821
2025-01-29,97.5,98.2,95.3,98.0,823
2025-01-30,98.2,98.3,95.8,97.0,1019
2025-01-31,97.0,97.2,94.9,97.2,1674
2025-02-03,95.1,95.1,90.0,95.0,2222
2025-02-04,95.0,95.4,93.6,94.6,2685
2025-02-05,93.9,94.0,90.7,92.2,994
2025-02-06,90.2,93.5,90.0,93.5,815
2025-02-07,93.5,93.5,92.0,92.2,711
2025-02-10,97.0,97.0,93.5,96.6,6531
2025-02-11,96.6,97.5,94.7,95.0,3317
2025-02-12,96.7,97.0,94.6,95.9,3346
2025-02-13,95.9,96.0,94.4,95.0,2291
2025-02-14,94.0,97.6,93.0,97.2,2888
2025-02-17,97.2,99.6,96.8,99.4,4459
2025-02-18,99.8,99.8,97.7,98.2,869
2025-02-19,98.2,101.0,97.5,100.0,1664
2025-02-20,100.0,101.0,98.1,99.8,1122
2025-02-21,99.8,100.8,98.5,99.6,1023
2025-02-24,100.0,100.0,97.8,98.6,1285
2025-02-25,98.5,98.5,96.0,98.0,928
2025-02-26,98.0,98.6,96.0,97.4,605
2025-02-27,97.4,97.4,95.0,96.0,1100
2025-02-28,96.0,96.0,93.2,95.9,1110
2025-03-03,95.9,100.0,95.9,99.9,6769
2025-03-04,99.9,102.2,97.0,99.0,2291
2025-03-05,98.3,101.4,97.2,99.7,2787
2025-03-06,99.9,103.2,97.4,98.4,6444
2025-03-07,99.9,99.9,95.9,95.9,3093
2025-03-10,97.0,97.0,93.2,94.5,1596
2025-03-11,94.7,94.7,93.4,93.4,1276
2025-03-12,93.3,94.8,93.3,94.0,952
2025-03-13,94.0,95.0,93.3,95.0,668
2025-03-14,94.6,95.5,93.9,95.5,2492
2025-03-17,97.0,105.6,97.0,103.6,11787
2025-03-18,103.6,103.6,100.4,103.6,2583
2025-03-19,103.6,104.0,100.0,102.0,5655
2025-03-20,102.8,108.6,102.6,106.4,7874
2025-03-21,107.0,109.0,106.0,108.6,4920
2025-03-24,109.6,113.8,107.6,113.4,10370
2025-03-25,113.4,115.2,111.0,112.0,6585
2025-03-26,112.0,112.0,108.4,109.6,4868
2025-03-27,109.0,109.0,106.8,108.0,2955
2025-03-28,108.0,109.8,107.0,108.6,2125
2025-03-31,108.6,109.6,101.2,102.6,2961
2025-04-01,104.0,106.0,102.0,103.5,1631
2025-04-02,100.0,106.0,100.0,106.0,1936
2025-04-03,102.5,106.0,98.6,102.5,3319
2025-04-04,102.0,102.0,92.4,94.4,3777
2025-04-07,83.0,93.0,78.0,93.0,4563
2025-04-08,93.0,98.4,92.0,97.4,1823
2025-04-09,95.6,97.0,92.0,94.4,2926
2025-04-10,97.0,98.0,96.4,98.0,1906
2025-04-11,95.2,98.2,95.0,98.2,1459
2025-04-14,98.4,101.5,98.4,99.8,1137
2025-04-15,100.0,103.0,97.8,100.0,2385
2025-04-16,99.8,100.0,98.6,100.0,1226
2025-04-17,98.2,101.0,97.8,100.5,1191
2025-04-22,98.6,98.6,94.8,97.4,1585
2025-04-23,97.4,97.4,94.0,96.0,1850
2025-04-24,96.2,98.2,95.0,95.8,858
2025-04-25,95.8,97.0,94.8,97.0,571
2025-04-28,97.0,100.0,96.0,98.4,3225
2025-04-29,98.4,101.0,98.0,100.0,3759
2025-04-30,101.0,101.0,98.2,99.4,973
2025-05-02,100.0,100.0,97.2,99.4,577
2025-05-05,99.0,99.0,95.2,98.4,2520
2025-05-06,98.4,99.0,93.2,93.8,5380
2025-05-07,93.8,94.0,91.0,93.0,4614
2025-05-08,94.0,96.6,92.4,96.0,1699
2025-05-09,96.2,96.2,93.2,94.8,4580
2025-05-12,94.8,95.8,92.6,94.4,6682
2025-05-13,94.4,97.0,94.4,95.6,1028
2025-05-14,97.6,98.2,95.0,97.8,2137
2025-05-15,97.8,98.0,95.6,98.0,377
2025-05-16,98.0,99.0,97.0,98.8,1336
2025-05-19,99.0,99.0,97.2,99.0,1127
2025-05-20,97.4,99.2,96.8,97.8,335
2025-05-21,98.2,108.0,96.2,105.0,11654
2025-05-22,106.0,108.0,102.5,102.5,5111
2025-05-23,100.5,106.0,97.8,101.0,2390
2025-05-26,101.0,106.0,100.0,104.0,1342
2025-05-27,104.5,104.5,101.0,104.5,1174
2025-05-28,106.0,111.5,105.5,108.0,8945
2025-05-29,109.5,109.5,102.0,105.0,1000
2025-05-30,105.0,105.0,97.0,101.0,2254
2025-06-02,100.5,104.0,98.0,101.0,1717
2025-06-03,103.5,105.0,102.0,105.0,951
2025-06-04,105.5,105.5,101.5,105.0,1298
2025-06-05,104.5,104.5,101.0,103.0,812
2025-06-06,104.5,107.0,103.0,107.0,3435
2025-06-09,110.0,112.5,107.5,108.5,4688
2025-06-10,111.5,112.0,108.0,109.5,1737
2025-06-11,111.5,112.0,107.0,109.5,2082
2025-06-12,109.5,110.0,107.0,108.5,948
2025-06-13,107.0,107.0,101.5,103.5,2322
2025-06-16,104.0,106.5,101.0,103.5,1645
2025-06-17,102.0,103.0,100.0,103.0,1874
2025-06-18,103.5,104.0,99.0,99.0,4396
2025-06-20,99.4,103.5,98.0,99.2,1228
2025-06-23,99.6,101.5,98.0,99.8,1356
2025-06-24,99.8,102.0,99.8,101.0,383
2025-06-25,101.0,101.5,99.2,101.5,726
2025-06-26,102.0,102.0,100.0,101.5,399
2025-06-27,100.5,101.5,99.0,100.5,801
2025-06-30,100.5,101.0,98.0,100.0,1329
2025-07-01,100.0,100.5,97.4,98.2,966
2025-07-02,97.6,100.5,97.6,100.5,487
2025-07-03,100.5,100.5,98.0,100.0,619
2025-07-04,101.5,102.5,100.0,102.5,1381
2025-07-07,102.5,104.5,99.0,103.0,3636
2025-07-08,103.0,105.0,102.0,104.5,3941
2025-07-09,104.5,105.5,103.0,104.0,1138
2025-07-10,103.0,109.0,102.5,106.5,4154
2025-07-11,107.0,107.0,103.0,105.5,1669
2025-07-14,105.0,107.5,103.0,106.0,1015
2025-07-15,105.0,105.0,103.5,104.5,328
2025-07-16,104.5,106.0,103.0,105.0,30486
2025-07-17,103.5,104.5,100.0,102.5,995
2025-07-18,102.5,104.5,101.0,103.0,310
2025-07-21,101.5,104.0,100.0,101.5,2049
2025-07-22,101.5,101.5,100.0,100.5,438
