Date,Open,High,Low,Close,Volume
2024-07-10,0.0225,0.0225,0.0225,0.0225,771833
2024-07-17,0.023,0.023,0.023,0.023,1218535
2024-07-24,0.023,0.023,0.023,0.023,1337020
2024-07-31,0.022,0.022,0.022,0.022,762157
2024-08-07,0.022,0.022,0.022,0.022,381046
2024-08-14,0.022,0.022,0.022,0.022,130211
2024-08-21,0.0205,0.0205,0.0205,0.0205,225000
2024-08-28,0.02,0.02,0.02,0.02,829144
2024-09-04,0.019,0.019,0.019,0.019,650879
2024-09-11,0.0165,0.0165,0.0165,0.0165,647829
2024-09-18,0.017,0.017,0.017,0.017,448900
2024-09-25,0.018,0.018,0.018,0.018,978207
2025-04-07,0.018,0.018,0.018,0.018,978207
2026-04-08,0.018,0.018,0.018,0.018,978207
