Date,Open,High,Low,Close,Volume
2024-06-13,131.489,133.474,127.768,127.809,791841.9937317831
2024-06-14,127.85,128.801,125.907,128.801,817007.2631925794
2024-06-17,128.801,130.993,127.974,130.662,649158.9909915662
2024-06-18,131.158,134.3,130.373,130.744,680719.8738384636
2024-06-19,130.744,134.962,130.083,134.176,786717.2802641529
2024-06-20,134.176,137.857,133.267,134.838,923288.8384868136
2024-06-21,134.796,135.624,133.515,134.135,1549762.6891639046
2024-06-24,133.639,136.409,132.977,135.831,555665.0147818509
2024-06-25,135.624,138.394,134.383,136.244,930544.2138539164
2024-06-26,136.781,137.526,134.094,134.589,619116.900054849
2024-06-27,134.796,137.443,134.466,136.451,491793.5269667888
2024-06-28,136.74,139.758,136.451,138.932,698540.2849692962
2024-07-01,139.345,140.585,138.725,139.469,583442.2193748042
2024-07-02,139.386,140.172,138.353,139.883,609279.8202862854
2024-07-03,140.585,142.157,138.064,138.725,540705.6400041127
2024-07-04,138.725,139.841,138.064,138.766,239717.60212907844
2024-07-05,138.932,139.883,136.781,137.236,269164.75228569325
2024-07-08,137.815,139.676,137.278,139.386,285011.7013166738
2024-07-09,139.386,139.634,138.311,139.097,392050.2541075422
2024-07-10,139.097,140.254,138.064,138.477,716849.2247081802
2024-07-11,138.559,140.71,138.559,140.544,504119.2004862686
2024-07-12,139.924,141.33,139.138,140.751,721433.4127109613
2024-07-15,140.751,142.157,140.131,142.157,460371.7054810941
2024-07-16,141.371,141.909,136.574,136.699,691017.6699428384
2024-07-17,136.864,138.021,132.357,133.969,857384.6363397347
2024-07-18,134.011,136.781,132.44,135.831,635232.2979744123
2024-07-19,134.879,136.202,133.267,135.293,903401.8546055844
2024-07-22,135.293,138.105,135.293,137.691,793620.7699259511
2024-07-23,137.65,137.815,133.721,134.879,396478.45153993065
2024-07-24,134.673,136.202,133.226,134.176,412082.3454961132
2024-07-25,130.786,133.721,130.289,133.06,574738.1873927364
2024-07-26,133.06,134.962,131.489,132.853,422164.89879793045
2024-07-29,133.142,135.21,132.315,134.796,377320.63288309553
2024-07-30,134.383,135.458,132.399,132.399,460310.03479047376
2024-07-31,132.812,134.383,132.315,132.647,814408.6295819288
2024-08-01,132.647,133.432,129.008,129.008,713789.8747617184
2024-08-02,128.47,128.553,123.922,125.286,1359590.8361875438
2024-08-05,119.952,121.483,117.761,120.573,1116140.3434320912
2024-08-06,121.896,122.103,115.859,117.431,1007389.5220545864
2024-08-07,119.084,121.358,117.388,119.498,1011038.975864239
2024-08-08,116.727,119.125,113.502,118.878,1955307.9414542585
2024-08-09,119.084,122.103,118.919,119.911,695048.0309592639
2024-08-12,120.779,124.708,120.325,124.501,764219.5704799946
2024-08-13,125.576,127.147,124.501,124.542,886270.7041346269
2024-08-14,125.452,127.891,125.452,127.023,713297.7184659834
2024-08-16,130.124,132.895,129.049,132.729,770581.3254477162
2024-08-19,132.315,133.805,131.82,132.399,348089.934758266
2024-08-20,133.763,133.805,130.083,130.703,563277.1127711696
2024-08-21,130.662,131.902,130.166,131.034,533244.6956682752
2024-08-22,131.82,132.729,130.289,130.868,337373.7453410551
2024-08-23,130.868,133.556,130.744,132.192,491030.5033240151
2024-08-26,131.53,132.192,129.297,130.207,497992.0359887503
2024-08-27,130.248,130.496,126.692,129.38,596147.5908718292
2024-08-28,129.38,129.669,127.354,129.421,406251.4421594182
2024-08-29,129.752,131.2,129.215,130.537,585519.6751882513
2024-08-30,130.537,131.985,129.71,131.034,926962.4768810231
2024-09-02,130.91,134.755,129.587,134.135,468141.0032700334
2024-09-03,134.673,134.714,130.083,130.91,565094.584300629
2024-09-04,128.305,130.289,128.181,130.042,458536.0955132171
2024-09-05,129.669,131.902,128.222,128.76,416174.3772031592
2024-09-06,128.553,128.553,124.211,125.038,548233.0919474819
2024-09-09,124.997,128.015,124.625,127.147,461924.35580965417
2024-09-10,127.684,128.057,122.846,123.467,1543044.2115739677
2024-09-11,122.433,123.55,120.49,121.565,682637.7113938344
2024-09-12,123.384,124.873,121.483,122.433,728964.4923420141
2024-09-13,122.516,126.196,122.516,125.658,737352.9154956128
2024-09-16,124.625,125.535,122.226,123.095,820514.0279533458
2024-09-17,122.93,125.286,122.723,123.839,1193720.8630032942
2024-09-18,123.839,125.824,123.591,124.377,1368965.9903910686
2024-09-19,125.617,127.643,122.93,127.147,1408024.094450639
2024-09-20,127.354,127.354,122.392,123.219,2193226.210492295
2024-09-23,123.136,123.757,121.565,122.805,706885.1758706924
2024-09-24,124.211,126.568,123.673,125.245,1066404.745290601
2024-09-25,125.7,125.7,122.764,124.377,437309.2856475299
2024-09-26,125.7,127.643,124.873,125.907,936236.0558294086
2024-09-27,125.41,126.362,124.046,126.155,439238.0062659513
2024-09-30,125.7,125.7,121.483,121.483,530562.6252409029
2024-10-01,123.136,123.136,118.794,120.2,707295.1045789336
2024-10-02,120.284,121.069,117.926,118.63,496727.1822164187
2024-10-03,117.265,118.299,115.405,116.396,1119777.704949465
2024-10-04,117.017,118.257,115.735,117.513,909532.6467907864
2024-10-07,118.753,119.084,115.9,117.182,426587.0500841796
2024-10-08,115.941,119.911,115.362,118.794,578028.5001217176
2024-10-09,119.125,123.963,117.72,123.632,949740.7278460428
2024-10-10,123.632,124.625,122.103,122.433,723034.4322086353
2024-10-11,122.144,126.444,122.02,124.873,836537.5244515925
2024-10-14,124.831,125.865,124.005,125.204,418217.9745982265
2024-10-15,125.7,126.114,124.17,124.625,564699.1663431218
2024-10-16,124.625,125.617,122.557,124.997,448792.12639519793
2024-10-17,125.079,125.658,120.738,120.738,709789.744475989
2024-10-18,120.904,124.831,120.904,123.467,439208.9847644829
2024-10-21,123.632,123.632,119.87,120.284,681744.090994453
2024-10-22,120.986,121.234,117.967,118.794,1272457.405716322
2024-10-23,119.663,121.358,118.464,121.027,816928.6632927691
2024-10-24,121.152,121.524,119.001,120.284,675937.372242315
2024-10-25,120.366,120.449,117.72,119.746,1003627.6099267434
2024-10-28,120.738,121.358,117.926,118.63,535930.3937833312
2024-10-29,118.63,122.557,118.63,122.557,1138796.4622450976
2024-10-30,121.565,121.647,118.464,118.671,547466.4406170247
2024-10-31,117.431,117.844,115.941,115.941,1250509.895230836
2024-11-04,117.306,119.415,116.934,119.415,1006404.0002338882
2024-11-05,118.34,118.96,117.347,118.671,645940.0227870282
2024-11-06,119.084,121.937,118.464,119.208,1159257.8300095557
2024-11-07,122.392,128.677,120.904,128.677,4684757.179203024
2024-11-08,129.421,129.669,126.362,128.263,1357425.1066404637
2024-11-12,128.263,130.414,126.692,127.023,1053308.7927529805
2024-11-13,127.354,127.354,124.046,124.708,817467.9795283905
2024-11-14,124.956,125.742,120.284,122.061,3897373.6136343256
2024-11-15,122.557,122.599,118.464,118.464,1149841.5620122838
2024-11-18,117.431,119.167,114.246,115.362,1075623.908923733
2024-11-19,115.321,116.314,108.457,112.593,2226727.906249893
2024-11-20,113.295,114.535,112.137,113.172,783442.6875151338
2024-11-21,113.461,115.405,111.973,115.073,612237.5949776076
2024-11-22,115.569,116.314,112.675,115.239,714168.3635100357
2024-11-25,116.603,117.141,115.446,116.396,1261241.804628009
2024-11-26,116.231,116.852,114.535,115.694,545644.132170654
2024-11-27,115.776,115.9,113.254,114.991,556093.08192851
2024-11-28,115.818,117.431,115.446,116.231,678727.0640709661
2024-11-29,116.603,116.603,110.649,112.179,3033745.7267912
2024-12-02,113.295,118.216,112.758,118.174,1704259.861460221
2024-12-03,118.174,119.291,116.645,118.505,1238676.378007091
2024-12-04,119.291,122.061,118.257,120.614,655957.2777105416
2024-12-05,121.606,123.425,121.069,122.682,897400.4499477627
2024-12-06,123.012,124.211,122.351,122.971,691212.3558485223
2024-12-09,123.219,123.467,121.069,121.524,562192.4341537878
2024-12-10,120.49,121.937,119.498,121.606,540697.1753995178
2024-12-11,120.573,120.863,119.457,120.407,540328.3604850234
2024-12-12,119.87,121.193,119.58,120.904,497915.8545473957
2024-12-13,120.738,122.351,119.994,120.159,537940.1327600187
2024-12-16,120.738,121.399,119.001,119.911,737150.9742145619
2024-12-17,119.911,119.952,115.239,115.239,845703.4819986991
2024-12-18,114.949,118.092,114.37,117.637,1047207.0220692469
2024-12-19,115.611,117.513,114.784,116.893,745505.5389497809
2024-12-20,116.603,116.603,113.42,114.701,2156072.6424665893
2024-12-23,115.115,116.686,114.908,115.487,419005.18282555713
2024-12-27,115.611,115.735,113.42,114.742,307231.2883784262
2024-12-30,115.776,115.776,112.965,114.04,322422.8351679118
