Date,Open,High,Low,Close,Volume
2024-08-19,49.8097,50.4797,49.4041,50.3739,1874679.5141642848
2024-08-20,50.3739,50.4267,49.0514,49.3688,1987803.9882151608
2024-08-21,49.1925,49.933,49.1925,49.2983,3033867.062620272
2024-08-22,50.6912,50.9028,49.7744,49.8802,3214662.7243189444
2024-08-23,50.6031,51.3965,50.2504,50.8322,2050055.4009026643
2024-08-26,50.8146,51.0791,49.6157,50.0918,1484026.944537824
2024-08-27,50.1094,50.2681,48.9281,49.792,1841252.275088336
2024-08-28,49.8097,50.0741,49.1925,49.8625,1491352.374988551
2024-08-29,49.8625,51.2731,49.8625,50.8675,2845159.527680066
2024-08-30,51.132,51.1849,50.3739,51.0262,3176914.865145935
2024-09-02,50.7441,52.0842,50.3034,51.7668,1302128.725019686
2024-09-03,51.7138,52.0136,51.1673,51.1673,1450849.255585623
2024-09-04,50.4444,51.4141,50.2857,51.3789,1407688.4273647862
2024-09-05,51.3965,51.9607,50.6736,51.0968,1672171.8573808542
2024-09-06,50.6736,51.0262,49.6333,49.6333,3292377.1701288256
2024-09-09,49.6509,50.2857,49.3865,50.127,1794805.3254652456
2024-09-10,50.127,50.4973,49.1396,49.8802,3498949.090973104
2024-09-11,48.9986,49.7039,47.5352,47.6233,6091430.043809093
2024-09-12,48.7693,48.9281,48.1699,48.6283,2628463.8120428585
2024-09-13,48.8399,50.4092,48.7517,50.4092,3055153.688175916
2024-09-16,50.0741,50.4973,46.2833,49.2102,1722898.5916262106
2024-09-17,49.8978,50.1094,49.0867,49.6686,2739970.747564354
2024-09-18,49.792,50.2504,49.4393,49.8449,1806931.192841875
2024-09-19,50.2504,50.3386,49.1925,50.2504,2975605.0489564915
2024-09-20,50.2857,50.3562,48.5049,49.1396,8324428.3717934
2024-09-23,49.3335,49.8097,48.6283,49.1396,1745366.0429946762
2024-09-24,49.6333,51.0791,49.4923,50.5678,3232349.022180161
2024-09-25,50.1976,50.8852,49.8625,50.4797,1535081.496900285
2024-09-26,50.7617,51.9431,50.7617,51.2907,2305520.996901501
2024-09-27,50.6912,51.6257,50.6912,51.3612,1174150.3470121254
2024-09-30,51.2026,51.2907,49.3512,49.3512,3061073.6977024474
2024-10-01,49.5099,49.6686,48.0112,48.3638,2595278.182859448
2024-10-02,48.3815,48.9986,47.9583,48.311,1241288.4048500983
2024-10-03,47.6057,48.1699,47.3412,47.5352,2168297.921127848
2024-10-04,47.6057,47.9759,47.112,47.6762,1771402.0611327277
2024-10-07,48.0465,48.1875,46.9885,47.7291,1748136.0493682711
2024-10-08,47.5352,49.0162,47.112,48.5049,2588147.8552327403
2024-10-09,48.0994,50.3034,48.0994,50.0918,2348795.2569967685
2024-10-10,50.0918,50.4973,49.792,50.1799,2577870.92740933
2024-10-11,50.4444,51.5375,50.2504,51.2731,2103715.483420796
2024-10-14,51.2378,51.802,50.991,51.3259,1781165.1425649682
2024-10-15,51.3965,51.7668,51.0791,51.3436,1931536.10690387
2024-10-16,51.3436,52.3486,51.132,51.6786,5480564.236119332
2024-10-17,52.0136,52.2428,50.3915,50.5854,2035613.2546501623
2024-10-18,50.3209,51.5199,50.3209,50.8852,1082067.4856681228
2024-10-21,50.9557,50.9557,49.5628,49.5628,2245514.4010089785
2024-10-22,49.792,49.792,48.6635,48.9456,2683739.164452881
2024-10-23,48.7341,49.7215,48.7341,49.457,1807446.1735517893
2024-10-24,49.4923,50.4267,48.9633,49.5276,2465599.461054172
2024-10-25,49.5451,49.6509,48.9281,49.316,1498173.033598062
2024-10-28,49.6333,49.933,48.5754,48.8751,1602070.9589827545
2024-10-29,48.9281,50.6912,48.9281,50.6912,3056770.0923865507
2024-10-30,50.462,50.6912,49.2278,49.3688,2830788.843508456
2024-10-31,49.0162,49.6157,48.6635,49.1925,5095051.2647233205
2024-11-04,49.5451,51.3965,49.4218,51.0968,3666955.308829728
2024-11-05,51.0968,51.2554,50.6912,51.132,3171995.324751881
2024-11-06,51.467,53.0009,51.4141,52.137,4371574.829373854
2024-11-07,52.137,53.6886,51.9784,52.8951,6113889.554946347
2024-11-08,52.9834,53.2302,51.7315,52.5249,4415595.471202876
2024-11-12,52.5249,53.1244,51.5728,51.6963,4549753.617729414
2024-11-13,51.7491,51.7491,50.2857,50.5149,2609176.9904334266
2024-11-14,50.7089,52.3133,50.5325,52.1194,8641609.982032428
2024-11-15,52.0489,52.0489,49.6333,49.7039,3384580.2692597248
2024-11-18,49.7039,50.5149,48.6988,49.2807,2764325.705323345
2024-11-19,49.2807,49.5276,46.1246,47.5175,7077928.906631961
2024-11-20,47.7643,48.3638,47.1473,47.5528,2022729.6623523368
2024-11-21,47.8701,48.2052,46.7241,47.7996,2552860.3334161304
2024-11-22,47.6057,48.1522,46.5654,47.9231,2063712.5985841064
2024-11-25,48.2933,48.5577,47.5352,47.9407,3282551.7011656486
2024-11-26,47.7115,48.4167,47.447,47.8525,2314119.1329833395
2024-11-27,47.6762,48.1699,47.3059,47.9583,2726306.743970446
2024-11-28,47.9583,49.3865,47.9583,48.8751,6158476.221828777
2024-11-29,48.9281,49.4041,48.6988,49.2807,7071357.798146197
2024-12-02,49.4393,51.0438,49.2102,50.991,4028954.986975024
2024-12-03,51.132,51.4847,50.5501,50.9557,2482435.019857159
2024-12-04,50.7794,52.613,50.7794,52.1017,3213428.58552514
2024-12-05,52.1017,53.2478,52.0842,53.2478,3378567.2455961592
2024-12-06,53.336,53.8473,53.0539,53.7592,2809617.918464732
2024-12-09,53.5652,54.535,53.3888,54.0236,3145214.0591988205
2024-12-10,53.7415,54.3587,53.4241,54.0765,3345167.2301700744
2024-12-11,53.7415,54.2704,53.5123,53.5476,2585887.157975339
2024-12-12,53.5123,54.2881,53.5123,54.0765,3167265.215588126
2024-12-13,53.9708,54.4645,53.8473,53.8825,3482333.590006512
2024-12-16,53.9178,54.2704,53.1773,53.6004,2237541.274555253
2024-12-17,53.3536,53.7062,52.2957,52.4368,4769114.98241574
2024-12-18,52.4897,53.4241,52.3663,53.1597,2277156.2223813897
2024-12-19,52.1547,53.4241,52.0136,53.3183,3377259.3760839747
2024-12-20,53.3183,53.3183,52.2605,52.5779,4201375.973384487
2024-12-23,52.8423,53.2831,52.7541,52.7541,1787346.0454026903
2024-12-27,52.1194,52.9128,52.0665,52.7188,1362923.6724395012
2024-12-30,52.8951,52.9834,52.331,52.6836,1525594.054922911
2025-01-02,52.8776,53.2655,51.6963,52.2428,2071328.414633376
2025-01-03,52.4368,53.2655,52.331,53.1597,2370757.9365240177
2025-01-07,53.3183,54.2704,53.142,53.4946,2581164.989042794
2025-01-08,53.4946,53.9355,52.7012,53.2125,3105178.2791185463
2025-01-09,52.8951,53.3713,52.4721,53.3713,1616219.3166804807
2025-01-10,53.1773,53.7239,53.0891,53.5476,2207393.3509690925
2025-01-13,53.4241,53.5123,52.5073,52.9657,1820807.314040968
2025-01-14,52.9834,53.1949,52.6307,52.9657,1700964.2700675689
2025-01-15,53.0362,53.865,52.4721,53.6181,2230212.4411482927
2025-01-16,53.7062,54.1471,53.0539,53.336,1589397.215652625
2025-01-17,53.5828,54.1118,53.4946,53.6181,1146835.9516492411
2025-01-20,53.9178,54.3939,53.2831,54.1294,1469610.8876164414
2025-01-21,54.1294,54.817,53.9708,54.817,2492589.441256185
2025-01-22,54.8347,57.6205,54.8347,57.2855,5025423.377241597
2025-01-23,57.0562,57.5147,56.8976,57.1973,3998778.705420256
2025-01-24,57.215,57.7968,57.0739,57.5852,2636179.4481416265
2025-01-27,57.5499,57.5499,56.5274,57.5499,2783975.508930954
2025-01-28,57.3031,58.5903,57.2502,58.5903,2872357.088212287
2025-01-29,58.6079,58.89,58.1318,58.361,2008824.048865892
2025-01-30,58.3257,59.5953,58.3257,59.5423,2694954.1738778325
2025-01-31,59.4013,59.8421,58.9958,58.9958,3435592.8518286464
2025-02-03,57.5852,58.2552,56.9681,57.9731,1824458.6860788888
2025-02-04,57.9731,58.0789,57.0915,57.5147,1487444.6469144176
2025-02-05,57.1973,57.2855,55.8044,56.2628,2462742.112137265
2025-02-06,56.7389,58.4845,56.686,58.3787,4259388.43692452
2025-02-07,58.4492,59.6834,58.3787,59.4895,4775905.014419155
2025-02-10,59.4013,59.6128,59.0486,59.4013,3414083.899799119
2025-02-11,59.1721,60.6708,58.89,60.4239,2823362.458689485
2025-02-12,60.8118,62.0461,60.7413,61.905,6329478.175489113
2025-02-13,62.0637,63.7739,62.0637,63.0511,7582921.940003193
2025-02-14,63.0687,63.104,61.6405,61.9403,4776947.453345172
2025-02-17,61.8873,62.4516,61.2173,61.905,2605321.441021531
2025-02-18,62.2577,64.7966,62.1519,64.4792,5179965.231603311
2025-02-19,64.4969,65.0611,63.2274,63.6506,6904382.676028147
2025-02-20,63.0511,63.4918,62.4868,62.9982,3731302.942556709
2025-02-21,62.8924,63.439,62.3987,62.5398,2690093.618058482
2025-02-24,62.5045,62.5045,60.1947,60.4416,4310260.363969147
2025-02-25,59.8774,61.2173,59.6128,60.7766,6772651.971614422
2025-02-26,61.2173,61.9755,60.7237,61.905,3974193.480956171
2025-02-27,61.9226,62.6632,60.9353,61.6229,4901699.828843927
2025-02-28,60.8295,61.4466,60.3005,60.9176,5514762.811941408
2025-03-03,60.4769,61.711,59.9126,61.6405,3339227.937224889
2025-03-04,60.8295,61.1115,58.0436,58.1494,3604939.83444104
2025-03-05,59.6128,61.764,59.3484,61.711,4939414.792773351
2025-03-06,62.0461,63.5623,61.764,63.4742,4159197.465196219
2025-03-07,62.6103,64.5674,62.2752,64.3558,5349135.260491593
2025-03-10,64.3382,64.4616,61.7287,62.4163,4273997.328032434
2025-03-11,62.5926,63.1744,61.6758,61.9931,2792971.790892044
2025-03-12,62.6632,63.2274,62.434,63.1569,6170443.284581203
2025-03-13,63.8974,65.8545,63.2979,65.255,6111181.9361036895
2025-03-14,65.255,69.3103,64.9553,68.8696,7217758.646880029
2025-03-17,68.8519,69.8569,68.5169,69.7511,5005556.918753824
