Date,Open,High,Low,Close,Volume
2024-12-02,86.55,87.47,85.84,86.53,7273536
2024-12-03,86.4,86.4,84.615,85.14,8189778
2024-12-04,85.68,90.14,85.24,89.33,15535961
2024-12-05,89.59,90.27,88.27,89.045,9025551
2024-12-06,89.49,90.04,88.545,89.88,6955544
2024-12-09,92.25,93.66,89.73,90.0,10714196
2024-12-10,89.94,90.0,88.375,88.76,6697466
2024-12-11,88.62,91.03,87.84,90.75,6657199
2024-12-12,90.43,91.17,89.335,89.4,4711138
2024-12-13,90.42,91.185,89.82,91.02,8358050
2024-12-16,90.79,91.46,89.52,91.3,7402470
2024-12-17,90.9,92.0,90.23,90.86,8395584
2024-12-18,90.695,91.09,85.1764,85.45,12583697
2024-12-19,86.28,88.42,86.16,86.78,9522428
2024-12-20,84.91,88.23,84.5,87.13,22052710
2024-12-23,86.47,87.24,85.97,86.9,5633131
2024-12-24,86.9,88.33,86.59,88.25,3276344
2024-12-26,87.6,88.73,87.26,88.14,4802170
2024-12-27,87.36,87.655,86.2027,86.86,5124993
2024-12-30,85.69,86.0675,84.66,85.43,5855039
2024-12-31,85.735,85.9,85.05,85.35,4533202
2025-01-02,85.835,86.94,84.82,86.18,6227776
2025-01-03,86.73,87.7,86.31,87.6,6136427
2025-01-06,88.02,90.09,87.72,89.53,7869184
2025-01-07,89.53,89.97,87.6,87.97,6080796
2025-01-08,88.06,88.23,86.79,87.94,7400030
2025-01-10,86.79,87.09,82.24,83.36,11341216
2025-01-13,82.19,84.12,81.79,83.99,7402380
2025-01-14,85.29,87.4,84.75,87.18,8958442
2025-01-15,88.72,90.19,88.47,89.64,10024081
2025-01-16,89.96,90.373,88.85,88.92,5816351
2025-01-17,90.76,93.245,90.005,91.81,16499703
2025-01-21,92.21,92.21,89.39,89.77,12629343
2025-01-22,90.0,90.37,89.1398,89.85,7345739
2025-01-23,89.76,89.78,88.24,89.73,7540610
2025-01-24,89.59,90.024,88.84,89.11,6004674
2025-01-27,87.545,90.29,87.39,90.24,6923826
2025-01-28,89.76,89.83,86.88,88.19,8665994
2025-01-29,88.17,89.415,88.17,88.76,5234468
2025-01-30,89.51,90.925,88.84,89.57,7708468
2025-01-31,89.57,90.4,88.54,88.58,8338934
2025-02-03,86.5,89.71,86.0,89.51,11215041
2025-02-04,82.26,82.69,77.38,77.725,58801889
2025-02-05,78.21,79.5,77.67,79.2,23646046
2025-02-06,79.68,79.74,78.11,78.57,14440462
2025-02-07,79.0,79.49,77.23,77.31,13597269
2025-02-10,78.16,78.92,77.61,78.24,11815591
2025-02-11,77.815,77.85,76.04,76.21,15769395
2025-02-12,75.42,76.85,75.3,76.27,11782529
2025-02-13,76.37,76.925,75.73,76.59,9958597
2025-02-14,76.9,78.33,76.63,77.97,10504560
2025-02-18,78.2,78.76,77.5006,78.62,11281243
2025-02-19,78.5,79.0,77.535,78.36,9082256
2025-02-20,78.12,78.17,76.85,77.63,9319311
2025-02-21,77.44,77.48,74.75,74.95,15171686
2025-02-24,75.245,75.88,73.97,75.27,12873277
2025-02-25,77.135,77.5683,72.7,74.07,20647167
2025-02-26,74.33,74.48,71.77,72.05,15296804
2025-02-27,72.15,72.55,70.58,70.73,11661160
2025-02-28,70.5,71.12,69.682,71.05,13601324
2025-03-03,71.1,71.57,69.5,69.75,15753699
2025-03-04,69.0,69.08,66.34,67.48,20179966
2025-03-05,67.98,69.69,67.7,69.5,14464271
2025-03-06,68.82,69.86,67.659,68.08,11226928
2025-03-07,67.97,70.98,67.825,70.48,16388274
2025-03-10,69.02,69.97,66.99,68.16,15035191
2025-03-11,68.41,68.95,67.165,67.98,12133067
2025-03-12,68.87,69.38,67.905,68.62,11545839
2025-03-13,68.33,68.91,66.7,66.91,9778264
2025-03-14,67.81,69.14,67.52,68.95,9828715
2025-03-17,68.67,70.22,67.98,69.65,7971219
2025-03-18,69.07,69.46,68.29,68.88,7520849
2025-03-19,69.1,70.48,68.82,70.0,6876430
2025-03-20,69.435,70.81,69.25,69.67,7453575
2025-03-21,68.62,70.41,68.55,70.19,14603808
2025-03-24,71.55,71.66,70.505,70.97,9911035
2025-03-25,71.0,71.71,70.5476,70.86,6690576
2025-03-26,70.93,71.62,69.545,69.97,7453991
2025-03-27,69.06,69.955,68.7,68.86,7883088
2025-03-28,68.06,68.24,64.95,65.15,16536285
2025-03-31,64.28,65.43,63.4,65.25,11562033
2025-04-01,64.62,66.36,64.6,66.1,8000576
2025-04-02,65.25,67.57,65.1,67.15,8122978
2025-04-03,63.1,63.94,60.95,61.71,18479921
2025-04-04,60.0,60.19,57.32,58.37,22124996
2025-04-07,56.74,61.48,55.85,58.53,20263197
2025-04-08,59.76,61.26,56.46,57.41,16533623
2025-04-09,56.67,64.17,56.51,63.95,22501953
2025-04-10,62.3,62.45,58.94,60.56,14398120
2025-04-11,60.53,62.81,60.4456,62.59,12919356
2025-04-14,63.7,63.9,61.69,62.27,8997462
2025-04-15,62.36,62.79,61.645,62.0,9140768
2025-04-16,61.375,61.46,59.72,60.24,9833606
2025-04-17,60.35,61.47,60.1322,61.0,9023742
2025-04-21,60.24,60.96,59.455,60.285,7354085
2025-04-22,60.73,61.91,59.95,61.42,9390144
2025-04-23,62.715,64.57,62.17,62.46,9838865
2025-04-24,62.9,64.83,62.76,64.77,10876971
2025-04-25,64.485,65.42,64.485,65.34,8693362
2025-04-28,65.305,65.82,64.13,64.93,14251515
2025-04-29,66.37,67.43,64.36,66.32,19706804
2025-04-30,65.155,65.99,63.54,65.84,10293798
2025-05-01,65.62,66.12,64.85,65.41,10072972
2025-05-02,66.135,67.76,65.98,67.24,10081506
2025-05-05,66.96,69.36,66.91,68.54,12000307
2025-05-06,67.95,68.93,67.8,68.05,7659394
2025-05-07,68.335,68.94,67.72,68.69,8106537
2025-05-08,69.3,70.946,69.3,70.48,11791492
2025-05-09,70.87,71.32,70.01,70.26,7470489
2025-05-12,72.97,74.15,71.85,72.31,12513047
2025-05-13,72.41,72.65,71.89,72.29,8076183
2025-05-14,72.66,73.34,72.2403,72.68,7724048
2025-05-15,72.34,72.67,71.44,71.57,8116475
2025-05-16,71.47,72.22,71.08,72.18,8717851
2025-05-19,71.16,72.54,71.11,72.32,7434931
2025-05-20,71.89,72.78,71.74,72.61,8403163
2025-05-21,72.2,73.2042,71.505,71.65,8094345
