Date,Open,High,Low,Close,Volume
2024-06-13,37.6,37.6,34.3,35.5,2049
2024-06-14,34.6,37.5,34.6,37.25,868
2024-06-17,38.0,38.0,35.4,35.55,2454
2024-06-18,36.7,38.3,36.7,36.95,2361
2024-06-19,37.0,37.2,36.25,37.0,1016
2024-06-20,37.0,37.0,35.85,36.55,890
2024-06-21,36.6,38.9,35.15,35.65,5620
2024-06-24,35.65,36.3,35.2,35.7,1746
2024-06-25,37.1,37.1,35.9,36.0,1412
2024-06-26,36.85,37.1,35.0,35.0,2862
2024-06-27,35.3,35.95,34.75,35.75,731
2024-06-28,35.75,36.45,34.8,35.0,1067
2024-07-01,33.25,34.2,32.0,34.2,1334
2024-07-02,34.0,34.9,33.2,33.2,406
2024-07-03,33.2,34.0,33.2,34.0,235
2024-07-04,34.0,34.75,34.0,34.75,314
2024-07-05,34.7,34.7,32.0,32.4,916
2024-07-08,33.2,33.2,29.0,31.6,2010
2024-07-09,31.6,34.25,31.6,34.25,372
2024-07-10,34.2,34.2,33.0,33.2,1041
2024-07-11,33.2,34.35,31.8,34.35,743
2024-07-12,34.3,34.3,32.1,32.3,1038
2024-07-15,32.3,32.75,32.0,32.75,597
2024-07-16,31.9,32.0,31.1,31.1,915
2024-07-17,33.15,33.15,31.0,31.05,712
2024-07-18,32.35,32.55,32.35,32.55,90
2024-07-19,32.4,32.7,31.65,31.65,167
2024-07-22,32.0,33.4,32.0,33.4,177
2024-07-23,33.4,33.9,33.4,33.4,266
2024-07-25,33.0,33.0,33.0,33.0,135
2024-07-26,33.8,33.8,33.8,33.8,302
2024-07-29,33.8,34.5,33.8,34.5,594
2024-07-30,34.55,40.0,34.5,40.0,2685
2024-07-31,38.8,45.0,38.8,40.8,1826
2024-08-01,39.05,41.5,39.0,40.0,428
2024-08-02,40.0,40.55,38.8,38.8,1451
2024-08-05,38.8,38.8,35.5,37.8,1421
2024-08-06,37.95,38.8,37.95,38.8,88
2024-08-07,38.8,38.8,37.15,37.15,14
2024-08-08,37.1,37.1,36.0,37.0,119
