Date,Open,High,Low,Close,Volume
2024-12-02,750.01,763.89,748.4074,762.34,896231
2024-12-03,758.53,770.0,747.565,749.57,649997
2024-12-04,748.56,756.1297,744.14,754.26,731782
2024-12-05,751.55,768.02,749.685,767.9,779214
2024-12-06,768.64,778.12,765.16,778.0,813685
2024-12-09,777.0,800.99,773.0,788.0,1027402
2024-12-10,784.1,791.49,762.695,778.5,1298557
2024-12-11,778.15,781.32,766.865,773.0,776927
2024-12-12,773.12,778.7346,740.46,740.97,924298
2024-12-13,738.45,740.17,728.68,731.3,696989
2024-12-16,730.52,739.39,722.23,724.87,920351
2024-12-17,721.37,744.8,721.082,740.01,978744
2024-12-18,735.21,745.0,712.3,714.62,908073
2024-12-19,711.0,714.05,693.0,708.25,1086697
2024-12-20,710.2,717.6099,700.83,701.85,1889990
2024-12-23,708.38,718.19,706.16,715.13,866549
2024-12-24,712.3,720.0,706.15,714.47,382145
2024-12-26,709.08,718.4899,709.08,716.68,619266
2024-12-27,710.52,718.99,709.09,712.4,795575
2024-12-30,708.04,708.965,700.4155,702.59,537464
2024-12-31,703.9,713.0,703.3862,712.33,473568
2025-01-02,720.86,726.81,711.92,715.19,479136
2025-01-03,716.07,722.0,714.76,718.15,557961
2025-01-06,715.0,733.69,713.75,716.26,820344
2025-01-07,716.34,734.44,716.34,730.3,802573
2025-01-08,728.04,743.28,725.6,733.59,758834
2025-01-10,721.33,724.73,691.0,696.88,1117310
2025-01-13,669.24,717.37,666.2485,716.9,1406307
2025-01-14,714.01,715.98,686.0,690.87,791672
2025-01-15,700.61,712.6,698.2,703.43,880442
2025-01-16,701.04,706.54,691.33,693.23,854097
2025-01-17,705.34,707.48,680.89,681.58,1111946
2025-01-21,687.46,692.93,681.52,687.8,1145326
2025-01-22,689.77,699.88,677.68,680.03,945295
2025-01-23,680.54,696.19,678.28,694.64,1145204
2025-01-24,688.74,693.84,675.11,675.79,1021763
2025-01-27,676.73,698.45,676.73,684.71,1051614
2025-01-28,682.11,690.302,678.13,686.33,640390
2025-01-29,685.96,697.57,682.325,687.27,522835
2025-01-30,688.31,689.62,674.33,683.08,771780
2025-01-31,677.29,687.9999,671.96,672.98,943994
2025-02-03,668.8,673.65,663.4302,666.85,1009172
2025-02-04,650.0,709.98,642.0,697.05,1654901
2025-02-05,708.8,729.25,700.01,716.72,1436289
2025-02-06,713.42,734.265,713.42,722.07,1116850
2025-02-07,726.46,731.42,709.55,710.0,886055
2025-02-10,714.45,719.78,688.92,690.36,918752
2025-02-11,680.63,680.79,664.19,665.46,1270975
2025-02-12,659.96,670.98,655.85,663.86,1292245
2025-02-13,665.46,677.69,661.9381,674.27,604761
2025-02-14,678.2,684.0,671.55,673.6,623017
2025-02-18,679.64,689.95,674.88,680.0,826119
2025-02-19,675.29,688.67,675.29,685.66,638439
2025-02-20,688.05,703.1436,685.45,696.02,627592
2025-02-21,697.93,704.08,693.07,700.33,727437
2025-02-24,703.93,725.0,700.4301,713.49,896498
2025-02-25,720.0,739.0,715.5,723.47,1050130
2025-02-26,721.29,721.405,701.07,706.94,713047
2025-02-27,705.9,721.0,700.67,702.78,568541
2025-02-28,701.32,708.58,693.71,698.74,1028932
2025-03-03,701.91,704.6449,683.46,684.87,708660
2025-03-04,688.48,697.455,672.5,675.49,1197662
2025-03-05,673.98,692.79,673.15,687.15,828933
2025-03-06,683.1,701.0,682.255,698.44,866540
2025-03-07,698.63,729.7499,696.43,707.51,1083901
2025-03-10,710.01,748.29,709.38,744.83,1631748
2025-03-11,746.7,747.6987,712.39,718.16,1108133
2025-03-12,709.94,712.455,683.425,689.5,808455
2025-03-13,687.43,698.945,677.34,680.61,863964
2025-03-14,680.61,686.98,657.0,666.87,1306089
2025-03-17,668.26,679.83,664.675,678.42,942913
2025-03-18,678.0,678.27,664.3,664.96,608079
2025-03-19,663.67,674.57,659.03,672.36,675733
2025-03-20,670.0,674.83,662.33,662.62,662987
2025-03-21,658.0,661.0,651.06,658.48,1869340
2025-03-24,660.0,667.46,655.3,661.0,962374
2025-03-25,662.45,662.5699,633.1,634.14,852917
2025-03-26,634.14,644.0,629.02,640.14,1251942
2025-03-27,641.21,643.43,629.94,635.83,811470
2025-03-28,638.01,642.97,631.45,637.36,805944
2025-03-31,630.08,640.72,618.505,634.23,1066328
2025-04-01,630.51,641.24,615.0,617.0,1059787
2025-04-02,613.53,628.0,610.1001,625.6,902620
2025-04-03,626.25,628.0,607.88,610.64,1047713
2025-04-04,610.65,612.99,572.0,573.45,1547958
2025-04-07,569.2,591.545,557.8288,572.78,1687565
2025-04-08,579.46,586.03,546.36,556.81,1159740
2025-04-09,538.0,580.73,525.99,576.72,1871494
2025-04-10,568.93,571.99,529.725,546.39,1357841
2025-04-11,548.63,555.53,533.26,554.18,1171115
2025-04-14,560.44,574.72,555.3901,571.06,946329
2025-04-15,568.55,575.2,553.0,557.91,838663
2025-04-16,557.0,561.83,544.5,549.28,875713
2025-04-17,548.07,564.205,545.0001,563.16,827805
2025-04-21,556.04,570.35,552.965,561.49,745717
2025-04-22,565.5,587.1,565.14,585.49,1036812
2025-04-23,595.87,603.77,584.45,587.85,791945
2025-04-24,590.93,601.28,586.81,599.76,1317237
2025-04-25,598.33,602.79,585.78,602.64,964394
2025-04-28,603.36,614.83,601.19,610.86,1175409
2025-04-29,561.75,579.98,542.44,568.91,2660427
2025-04-30,579.26,600.2,566.985,598.76,1679703
2025-05-01,589.77,593.935,578.5,590.0,1190516
2025-05-02,600.0,615.609,599.08,605.61,1606580
2025-05-05,606.89,611.04,601.805,603.58,1124294
2025-05-06,601.01,606.87,557.64,558.52,1510947
2025-05-07,561.79,568.1302,556.3602,560.93,1141095
2025-05-08,547.88,552.5742,520.5,547.67,2709295
2025-05-09,549.0,552.84,527.13,527.78,1499188
2025-05-12,543.82,577.985,535.29,575.63,1898394
2025-05-13,571.45,575.05,558.45,574.16,1149899
2025-05-14,576.35,580.56,567.585,571.36,1664485
2025-05-15,576.13,585.26,564.9075,584.99,1302126
2025-05-16,588.23,595.19,581.49,594.32,936922
2025-05-19,588.48,598.56,586.6803,596.54,666332
2025-05-20,595.01,615.4454,595.01,614.79,1102197
2025-05-21,613.055,617.52,597.9192,604.62,1089468
