Date,Open,High,Low,Close,Volume
2026-05-07,13.6,13.98,12.9,13.6,1638385
2026-05-08,13.65,13.798,13.14,13.2,162309
2026-05-11,13.46,13.48,13.152,13.38,46555
2026-05-12,13.476,13.88,13.476,13.68,13844
2026-05-13,13.7,13.78,13.6,13.7,25676
2026-05-14,13.78,13.78,13.67,13.698,31740
2026-05-15,13.7,13.7,13.2,13.3,190209
2026-05-18,13.3,13.59,13.25,13.3,112213
2026-05-19,13.396,13.7,13.396,13.6,59321
2026-05-20,13.6,13.68,13.58,13.6,61587
2026-05-21,13.68,13.68,13.6,13.6,24220
2026-05-22,13.678,13.76,13.52,13.64,229194
2026-05-25,13.778,13.78,13.67,13.78,47600
2026-05-26,13.786,13.788,13.4,13.778,163516
2026-05-27,13.7,13.7,13.48,13.698,103945
2026-05-28,13.6,13.7,13.5,13.698,55121
2026-05-29,13.69,13.698,13.6,13.64,105365
2026-06-01,13.64,13.68,13.6,13.6,152477
2026-06-02,13.66,13.7,13.6,13.69,174718
2026-06-03,13.69,13.73,13.62,13.73,14506
2026-06-05,13.73,14.06,13.73,13.99,190613
2026-06-08,14.06,14.06,12.8,13.8,4720
2026-06-09,13.8,13.8,13.262,13.796,276
2026-06-10,13.4,13.78,13.4,13.6,3021
2026-06-11,13.598,13.598,13.302,13.5,5149
2026-06-12,13.302,13.498,13.302,13.498,2052
2026-06-15,13.748,13.748,13.5,13.598,971
2026-06-16,13.5,13.5,13.4,13.45,5978
2026-06-17,13.5,13.5,13.2,13.4,4204
2026-06-18,13.2,13.48,12.802,13.0,6358
2026-06-19,13.0,13.396,12.802,13.346,2797
