Date,Open,High,Low,Close,Volume
2026-07-02,34.03,34.32,33.8,34.0,7000334
2026-07-03,34.1,34.1,33.9,33.94,13735
2026-07-06,33.94,34.03,33.7,33.7,19333
2026-07-07,33.77,33.89,33.6,33.6,17221
2026-07-08,33.7,33.82,33.7,33.8,170337
2026-07-09,33.98,33.98,33.8,33.8,13568
2026-07-10,33.75,33.95,33.75,33.75,3415
2026-07-13,33.78,34.12,33.75,34.0,47939
2026-07-14,34.12,34.75,33.995,34.4,273035
2026-07-15,34.4,34.4,33.8,34.0,55964
2026-07-16,34.0,34.0,33.75,33.75,2963
2026-07-17,33.995,33.995,33.76,33.76,2227
