Date,Open,High,Low,Close,Volume
2024-07-10,1.61,1.61,1.6,1.6,6000
2024-07-11,1.6,1.62,1.53,1.6,5814
2024-07-12,1.61,1.61,1.61,1.61,2593
2024-07-15,1.61,1.62,1.61,1.62,1841
2024-07-16,1.62,1.62,1.62,1.62,1372
2024-07-18,1.62,1.62,1.6,1.6,9168
2024-07-22,1.6,1.6,1.6,1.6,6600
2024-07-23,1.62,1.62,1.62,1.62,1394
2024-07-24,1.62,1.62,1.62,1.62,2400
2024-07-25,1.6,1.6,1.58,1.58,1253
2024-07-26,1.58,1.68,1.58,1.68,1336
2024-07-29,1.59,1.6,1.58,1.6,7400
2024-07-30,1.6,1.6,1.6,1.6,176
2024-08-01,1.6,1.6,1.6,1.6,200
2024-08-05,1.58,1.58,1.58,1.58,4600
2024-08-06,1.55,1.55,1.55,1.55,1421
2024-08-07,1.6,1.6,1.53,1.53,2129
2024-08-08,1.53,1.53,1.53,1.53,500
2024-08-13,1.53,1.53,1.5,1.52,8710
2024-08-19,1.52,1.52,1.52,1.52,3950
2024-08-20,1.57,1.57,1.57,1.57,1500
2024-08-21,1.48,1.57,1.47,1.57,4242
2024-08-26,1.5,1.5,1.5,1.5,2000
2024-08-27,1.5,1.565,1.5,1.565,2400
2024-08-28,1.565,1.565,1.565,1.565,500
2024-08-29,1.505,1.57,1.5,1.57,1603
2024-09-04,1.57,1.57,1.57,1.57,1000
2024-09-05,1.57,1.57,1.57,1.57,1398
2024-09-06,1.57,1.57,1.5,1.57,1491
2024-09-09,1.57,1.57,1.57,1.57,1010
2024-09-10,1.57,1.57,1.57,1.57,1000
2024-09-11,1.57,1.57,1.57,1.57,1000
2024-09-12,1.57,1.58,1.57,1.58,2000
2024-09-13,1.58,1.58,1.58,1.58,1000
2024-09-16,1.58,1.675,1.58,1.675,1500
2024-09-17,1.7,1.72,1.63,1.65,6730
2024-09-19,1.63,1.63,1.63,1.63,102
2024-09-26,1.63,1.63,1.56,1.63,1501
2024-09-27,1.65,1.65,1.65,1.65,1010
2024-09-30,1.65,1.65,1.65,1.65,10
2024-10-02,1.65,1.65,1.65,1.65,10
2024-10-08,1.55,1.55,1.55,1.55,3196
2024-10-14,1.56,1.56,1.56,1.56,70
2024-10-15,1.55,1.55,1.485,1.485,1000
2024-10-16,1.56,1.56,1.56,1.56,10
2024-10-17,1.56,1.64,1.56,1.64,4809
2024-10-18,1.54,1.55,1.4,1.55,6501
2024-10-21,1.55,1.64,1.55,1.64,4859
2024-10-23,1.54,1.62,1.54,1.62,2541
2024-10-28,1.52,1.53,1.52,1.53,4100
2024-10-29,1.5,1.53,1.43,1.53,5702
2024-10-30,1.6,1.615,1.6,1.615,504
2024-11-04,1.55,1.55,1.55,1.55,4839
2024-11-07,1.545,1.545,1.545,1.545,1200
2024-11-14,1.55,1.55,1.55,1.55,4839
2024-11-15,1.55,1.56,1.55,1.56,4300
2024-11-18,1.55,1.55,1.55,1.55,1939
2024-11-21,1.56,1.56,1.56,1.56,4808
2024-11-22,1.56,1.56,1.56,1.56,4808
2024-11-26,1.56,1.66,1.56,1.66,5829
2024-11-29,1.56,1.56,1.485,1.485,4883
2024-12-02,1.485,1.485,1.48,1.48,1600
2024-12-03,1.52,1.52,1.52,1.52,1000
2024-12-04,1.48,1.48,1.48,1.48,1000
2024-12-09,1.465,1.465,1.465,1.465,291
2024-12-10,1.515,1.56,1.515,1.56,5674
2024-12-11,1.62,1.7,1.55,1.65,10794
2024-12-17,1.5,1.555,1.5,1.555,2001
2024-12-19,1.555,1.555,1.555,1.555,999
2024-12-20,1.555,1.56,1.46,1.56,1546
2024-12-30,1.56,1.56,1.56,1.56,5
2025-01-02,1.52,1.57,1.52,1.57,38377
2025-01-07,1.61,1.61,1.61,1.61,2147
2025-01-10,1.605,1.62,1.55,1.62,22837
2025-01-13,1.62,1.62,1.555,1.62,1919
2025-01-14,1.6,1.61,1.555,1.61,11101
2025-01-15,1.56,1.56,1.56,1.56,6500
2025-01-16,1.61,1.61,1.61,1.61,1
2025-01-17,1.61,1.61,1.61,1.61,50
2025-01-20,1.56,1.61,1.56,1.61,301
2025-01-21,1.56,1.61,1.56,1.61,591
2025-01-22,1.56,1.57,1.52,1.57,8755
2025-01-23,1.57,1.57,1.57,1.57,600
2025-01-27,1.47,1.57,1.47,1.57,6178
2025-01-28,1.57,1.6,1.57,1.6,5270
