Date,Open,High,Low,Close,Volume
2024-12-02,555.93,566.94,554.84,565.93,742639
2024-12-03,560.36,570.79,559.21,570.19,765699
2024-12-04,580.0,592.99,577.77,588.0,1845836
2024-12-05,544.52,558.87,513.0915,515.29,5081488
2024-12-06,518.85,529.8,515.68,517.28,2336524
2024-12-09,515.29,517.7099,504.8,508.49,1896439
2024-12-10,505.0,507.6499,495.4,505.32,1784969
2024-12-11,511.35,515.87,509.36,512.06,1005276
2024-12-12,512.05,514.98,508.08,511.73,729625
2024-12-13,507.75,516.0,499.25,508.28,1215481
2024-12-16,507.39,525.33,505.5,522.11,1319497
2024-12-17,520.35,524.73,510.98,511.87,1444802
2024-12-18,512.73,519.43,492.25,494.43,1098884
2024-12-19,502.39,509.98,493.01,493.35,1133010
2024-12-20,486.82,501.555,483.498,492.18,2198792
2024-12-23,493.92,507.95,488.66,492.58,1127128
2024-12-24,494.235,500.505,492.2,500.16,426471
2024-12-26,495.15,500.8299,494.76,495.82,542270
2024-12-27,490.85,495.2,485.07,490.91,654839
2024-12-30,485.99,491.555,478.842,486.74,657984
2024-12-31,487.7,489.055,483.56,485.36,628295
2025-01-02,494.04,494.53,479.0,482.75,808410
2025-01-03,488.22,494.88,485.35,493.71,786627
2025-01-06,499.66,509.09,498.22,501.06,881501
2025-01-07,501.5899963378906,502.7900085449219,485.7900085449219,487.6199951171875,1212900
2025-01-08,491.42,502.79,490.41,502.0,1266796
2025-01-10,496.89,498.33,485.11,492.54,1281719
2025-01-13,489.08,493.395,485.21,487.43,891345
2025-01-14,492.66,494.78,484.66,490.36,833524
2025-01-15,501.46,510.95,501.28,507.19,1129226
2025-01-16,512.25,523.88,508.38,515.81,1160189
2025-01-17,529.23,529.95,523.88,526.7,1240805
2025-01-21,532.0,535.48,527.07,529.75,1193624
2025-01-22,531.21,547.401,531.21,544.7,1091938
2025-01-23,540.76,556.31,537.87,551.54,1524635
2025-01-24,552.89,553.27,542.145,546.19,880537
2025-01-27,523.28,530.0,502.1915,510.73,1840160
2025-01-28,510.2,527.84,504.0,526.12,1606526
2025-01-29,523.61,523.96,511.217,512.71,891711
2025-01-30,515.9,528.1519,515.74,526.36,741343
2025-01-31,528.26,533.98,523.47,525.48,1095262
2025-02-03,511.69000244140625,526.1099853515625,510.0,520.25,765400
2025-02-04,516.91,524.345,514.82,523.88,859649
2025-02-05,524.5700073242188,529.6400146484375,515.7899780273438,528.4199829101562,547500
2025-02-06,530.989990234375,536.0399780273438,528.8800048828125,533.1799926757812,683800
2025-02-07,536.0,545.65,522.0,525.82,703270
2025-02-10,527.8499755859375,536.2100219726562,526.27001953125,531.3300170898438,769000
2025-02-11,526.8099975585938,530.030029296875,524.5800170898438,529.1400146484375,431600
2025-02-12,513.58,517.72,507.95,509.71,979955
2025-02-13,509.7099914550781,529.3699951171875,508.30999755859375,528.2899780273438,1049100
2025-02-14,527.36,527.66,519.41,522.53,943782
2025-02-18,527.96,528.0,516.065,525.0,1119013
2025-02-19,521.27,521.27,486.57,500.98,2417929
2025-02-20,502.41,505.17,493.48,493.97,1271057
2025-02-21,493.74,493.74,472.74,474.84,1371042
2025-02-24,479.28,481.13,465.0,470.07,1373967
2025-02-25,467.64,469.27,457.0,457.95,1867314
2025-02-26,465.0,476.7099914550781,462.25,470.4599914550781,1540300
