Date,Open,High,Low,Close,Volume
2024-06-24,3.84,3.84,3.84,3.84,1
2024-06-25,3.84,3.84,3.84,3.84,4
2024-06-26,3.84,3.84,3.82,3.82,1503
2024-06-27,3.82,3.82,3.8,3.8,1503
2024-06-28,3.8,3.8,3.8,3.8,1974
2024-07-01,3.7,3.78,3.7,3.78,1100
2024-07-02,3.7,3.7,3.7,3.7,3
2024-07-03,3.7,3.7,3.7,3.7,3
2024-07-04,3.7,3.7,3.7,3.7,3
2024-07-05,3.7,3.7,3.7,3.7,3
2024-07-08,3.7,3.7,3.7,3.7,3
2024-07-09,3.7,3.7,3.7,3.7,3
2024-07-10,3.7,3.7,3.7,3.7,3
2024-07-11,3.7,3.7,3.7,3.7,3
2024-07-12,3.7,3.7,3.7,3.7,3
2024-07-15,3.7,3.7,3.7,3.7,1
2024-07-16,3.7,3.7,3.7,3.7,3
2024-07-17,3.72,3.72,3.72,3.72,3
2024-07-18,3.7,3.7,3.7,3.7,3
2024-07-19,3.7,3.7,3.7,3.7,3
2024-07-22,3.7,3.7,3.7,3.7,5
2024-07-23,3.66,3.66,3.66,3.66,3
2024-07-24,3.66,3.66,3.66,3.66,5
2024-07-25,3.66,3.66,3.66,3.66,5
2024-07-26,3.66,3.66,3.66,3.66,5
2024-07-29,3.66,3.66,3.66,3.66,4
2024-07-30,3.66,3.66,3.66,3.66,3
2024-07-31,3.66,3.66,3.66,3.66,3
2024-08-01,3.7,3.7,3.7,3.7,5
2024-08-02,3.68,3.68,3.68,3.68,3
2024-08-05,3.68,3.68,3.68,3.68,3
2024-08-06,3.68,3.68,3.68,3.68,3
2024-08-07,3.68,3.68,3.68,3.68,3
2024-08-08,3.68,3.68,3.68,3.68,4
2024-08-12,3.68,3.68,3.68,3.68,2
2024-08-13,3.68,3.68,3.68,3.68,3
2024-08-14,3.68,3.68,3.66,3.66,4002
2024-08-16,3.54,3.54,3.54,3.54,3
2024-08-19,3.56,3.56,3.56,3.56,3
2024-08-20,3.56,3.56,3.56,3.56,3
2024-08-21,3.56,3.56,3.56,3.56,3
2024-08-22,3.56,3.56,3.56,3.56,303
2024-08-23,3.56,3.56,3.56,3.56,3
2024-08-26,3.56,3.56,3.56,3.56,3
2024-08-27,3.56,3.56,3.56,3.56,3
2024-08-28,3.56,3.56,3.56,3.56,3
2024-08-29,3.56,3.56,3.56,3.56,3
2024-08-30,3.56,3.56,3.56,3.56,3
2024-09-02,3.56,3.56,3.56,3.56,3
2024-09-03,3.56,3.6,3.56,3.6,63
2024-09-04,3.56,3.56,3.56,3.56,671
2024-09-05,3.56,3.56,3.56,3.56,100
2024-09-06,3.56,3.56,3.56,3.56,50
2024-09-09,3.54,3.54,3.5,3.5,4400
2024-09-10,3.44,3.44,3.44,3.44,3
2024-09-11,3.5,3.5,3.5,3.5,3
2024-09-12,3.5,3.5,3.5,3.5,3
2024-09-13,3.5,3.5,3.5,3.5,3
2024-09-16,3.5,3.5,3.5,3.5,3
2024-09-17,3.5,3.5,3.5,3.5,472
2024-09-18,3.48,3.48,3.48,3.48,3
2024-09-19,3.5,3.5,3.5,3.5,3
2024-09-20,3.5,3.5,3.5,3.5,3
2024-09-23,3.5,3.5,3.48,3.48,1999
2024-09-24,3.5,3.5,3.5,3.5,5
2024-09-25,3.5,3.5,3.5,3.5,5
2024-09-26,3.5,3.5,3.5,3.5,5
2024-09-27,3.5,3.5,3.5,3.5,5
2024-09-30,3.5,3.5,3.46,3.46,1216
2024-10-09,3.4,3.4,3.4,3.4,3
