Date,Open,High,Low,Close,Volume
2024-07-10,4.58,4.6,4.58,4.6,1000
2024-07-11,4.6,4.6,4.6,4.6,160
2024-07-15,4.52,4.52,4.52,4.52,607
2024-07-19,4.52,4.52,4.52,4.52,619
2024-07-24,4.46,4.46,4.46,4.46,20
2024-07-29,4.42,4.42,4.42,4.42,1200
2024-07-30,4.7,4.7,4.7,4.7,1
2024-07-31,4.44,4.44,4.44,4.44,60
2024-08-01,4.7,4.72,4.7,4.72,518
2024-08-02,4.96,4.96,4.96,4.96,113
2024-08-05,4.62,4.62,4.6,4.6,151
2024-08-06,4.36,4.36,4.34,4.34,824
2024-08-07,4.32,4.32,4.32,4.32,10
2024-08-08,4.28,4.32,4.28,4.32,600
2024-08-09,4.0,4.0,4.0,4.0,2
2024-08-12,3.7,3.74,3.7,3.74,466
2024-08-13,3.7,3.7,3.7,3.7,863
2024-08-14,3.7,3.7,3.7,3.7,30
2024-08-16,3.74,3.74,3.74,3.74,987
2024-08-19,3.74,3.74,3.74,3.74,77
2024-08-20,3.76,3.76,3.76,3.76,73
2024-08-23,4.5,4.5,4.5,4.5,450
2024-08-26,4.5,4.5,4.5,4.5,523
2024-08-27,4.06,4.06,4.06,4.06,540
2024-08-29,3.82,4.0,3.82,4.0,332
2024-08-30,4.0,4.0,4.0,4.0,180
2024-09-02,3.86,3.86,3.78,3.78,2169
2024-09-05,4.14,4.14,4.14,4.14,50
2024-09-06,4.3,4.3,4.3,4.3,510
2024-09-11,4.46,4.46,4.46,4.46,150
2024-09-16,4.46,4.46,3.84,3.84,35
2024-09-18,3.86,3.86,3.86,3.86,665
2024-09-19,3.98,3.98,3.98,3.98,1186
2024-09-20,3.84,3.84,3.8,3.8,1131
2024-09-23,4.0,4.0,4.0,4.0,1228
2024-09-26,4.4,4.4,4.4,4.4,38
2024-09-27,3.9,3.9,3.9,3.9,100
2024-09-30,4.28,4.28,4.28,4.28,1
2024-10-01,3.9,3.9,3.9,3.9,875
2024-10-04,3.78,3.78,3.74,3.74,1192
2024-10-07,3.78,3.78,3.78,3.78,100
2024-10-08,3.8,3.8,3.8,3.8,261
2024-10-09,3.78,3.88,3.78,3.88,260
2024-10-14,3.88,3.88,3.88,3.88,100
2024-10-16,3.9,3.9,3.9,3.9,475
2024-10-18,3.88,3.88,3.88,3.88,156
2024-10-21,3.88,4.0,3.88,4.0,944
2024-10-28,3.74,3.74,3.74,3.74,36
2024-10-29,3.6,3.6,3.6,3.6,275
2024-10-30,3.52,3.52,3.52,3.52,465
2024-10-31,3.52,3.52,3.52,3.52,730
2024-11-05,3.5,3.5,3.5,3.5,404
2024-11-06,3.42,3.42,3.4,3.4,998
2024-11-07,3.4,3.4,3.22,3.22,76
