Date,Open,High,Low,Close,Volume
2024-06-24,2.26,2.3,2.23,2.25,71415
2024-06-25,2.29,2.31,2.24,2.3,49664
2024-06-26,2.3,2.58,2.3,2.55,670714
2024-06-27,2.58,2.78,2.56,2.62,954404
2024-06-28,2.64,2.65,2.51,2.62,182860
2024-07-01,2.62,2.68,2.52,2.55,221914
2024-07-02,2.56,2.65,2.55,2.58,197247
2024-07-03,2.61,2.65,2.55,2.64,221323
2024-07-04,2.64,2.65,2.59,2.63,67638
2024-07-05,2.63,2.65,2.58,2.63,77787
2024-07-08,2.6,2.64,2.55,2.6,142727
2024-07-09,2.6,2.61,2.45,2.48,183307
2024-07-10,2.48,2.53,2.43,2.5,111722
2024-07-11,2.5,2.56,2.47,2.53,61745
2024-07-12,2.53,2.61,2.52,2.56,127231
2024-07-15,2.54,2.58,2.47,2.49,72012
2024-07-16,2.52,2.54,2.32,2.43,182454
2024-07-17,2.39,2.48,2.38,2.46,91244
2024-07-18,2.48,2.5,2.46,2.48,30685
2024-07-19,2.48,2.48,2.38,2.44,91656
2024-07-22,2.41,2.44,2.34,2.41,99572
2024-07-23,2.37,2.4,2.32,2.37,104629
2024-07-24,2.35,2.37,2.26,2.3,87930
2024-07-25,2.27,2.32,2.18,2.2,181985
2024-07-26,2.24,2.29,2.12,2.27,150180
2024-07-29,2.26,2.41,2.26,2.34,143939
2024-07-30,2.33,2.35,2.2,2.3,124883
2024-07-31,2.31,2.4,2.28,2.4,85544
2024-08-01,2.41,2.43,2.3,2.31,102199
2024-08-02,2.31,2.34,2.26,2.28,71926
2024-08-05,2.21,2.25,2.09,2.18,247765
2024-08-06,2.2,2.27,2.16,2.21,128271
2024-08-07,2.21,2.24,2.18,2.23,47869
2024-08-08,2.19,2.25,2.13,2.21,94523
2024-08-09,2.21,2.26,2.16,2.2,95655
2024-08-12,2.2,2.25,2.17,2.24,70595
2024-08-13,2.22,2.26,2.16,2.19,58593
2024-08-14,2.21,2.23,2.12,2.16,123338
2024-08-16,2.16,2.22,2.16,2.21,55691
2024-08-19,2.21,2.23,2.18,2.19,53393
2024-08-20,2.22,2.22,2.17,2.21,54928
2024-08-21,2.18,2.3,2.18,2.25,152032
2024-08-22,2.24,2.27,2.19,2.19,121412
2024-08-23,2.22,2.22,2.15,2.18,74708
2024-08-26,2.18,2.2,2.15,2.17,38264
2024-08-27,2.16,2.19,2.13,2.15,61810
2024-08-28,2.15,2.16,2.12,2.12,65914
2024-08-29,2.14,2.16,2.11,2.13,35241
2024-08-30,2.15,2.19,2.1,2.18,32821
2024-09-02,2.17,2.18,2.11,2.12,92787
2024-09-03,2.13,2.15,1.965,2.03,132127
2024-09-04,2.03,2.07,2.0,2.02,44173
2024-09-05,1.995,2.05,1.99,2.01,45894
2024-09-06,2.01,2.03,1.985,1.995,16081
2024-09-09,1.98,2.07,1.98,2.04,60087
2024-09-10,2.02,2.09,2.02,2.07,40636
2024-09-11,2.08,2.08,2.0,2.04,35109
2024-09-12,2.05,2.07,2.0,2.03,25463
2024-09-13,2.03,2.04,2.01,2.04,17589
2024-09-16,2.02,2.04,1.995,2.01,30988
2024-09-17,2.04,2.06,1.99,2.06,39215
2024-09-18,2.06,2.09,2.03,2.05,30199
2024-09-19,2.07,2.09,2.03,2.03,33441
2024-09-20,2.2,2.26,2.12,2.17,402883
2024-09-23,2.27,2.35,2.26,2.27,497328
2024-09-24,2.29,2.36,2.27,2.32,169731
2024-09-25,2.32,2.32,2.18,2.23,154923
2024-09-26,2.21,2.24,2.12,2.16,117952
2024-09-27,2.16,2.19,2.13,2.15,41254
2024-09-30,2.16,2.17,2.1,2.11,39135
2024-10-01,2.1,2.16,2.08,2.1,59724
2024-10-02,2.1,2.13,2.1,2.1,33454
2024-10-03,2.09,2.1,2.05,2.06,41733
2024-10-04,2.05,2.09,2.05,2.05,37016
2024-10-07,2.06,2.09,2.03,2.05,37009
2024-10-08,2.04,2.08,1.98,2.0,91093
2024-10-09,2.01,2.05,1.88,1.93,117119
2024-10-10,1.935,1.985,1.935,1.97,63713
2024-10-11,1.985,1.99,1.95,1.99,17406
2024-10-14,1.98,2.08,1.97,2.05,67264
2024-10-15,2.06,2.08,2.02,2.03,16962
2024-10-16,2.04,2.18,2.03,2.15,116312
2024-10-17,2.14,2.22,2.11,2.15,70159
2024-10-18,2.13,2.15,2.06,2.08,69849
2024-10-21,2.1,2.15,2.05,2.06,51535
2024-10-22,2.06,2.09,2.03,2.06,18510
2024-10-23,2.08,2.08,2.02,2.02,14490
2024-10-24,2.06,2.07,1.97,2.0,57777
2024-10-25,2.01,2.04,1.965,2.0,29118
2024-10-28,2.02,2.02,1.975,1.98,23554
2024-10-29,1.98,2.1,1.98,2.01,88756
2024-10-30,2.01,2.06,1.97,1.975,33977
2024-10-31,1.98,2.0,1.95,1.995,59551
2024-11-04,1.995,1.995,1.97,1.98,18404
2024-11-05,1.98,1.98,1.945,1.945,23427
2024-11-06,1.97,2.02,1.96,2.0,30078
2024-11-07,2.01,2.01,1.97,1.985,47180
