Date,Open,High,Low,Close,Volume
2024-12-02,188.36,188.63,187.0,187.95,1257349
2024-12-03,187.4,188.38,186.935,188.06,926656
2024-12-04,188.5,188.88,187.25,188.2,1431420
2024-12-05,189.35,191.63,188.0,190.03,1976702
2024-12-06,190.355,191.91,188.17,189.71,1501211
2024-12-09,188.97,191.02,187.67,187.9,1420552
2024-12-10,186.71,188.24,184.71,185.36,1154083
2024-12-11,188.88,191.26,186.05,190.46,1489268
2024-12-12,189.33,190.54,188.27,189.64,797079
2024-12-13,188.3,188.65,184.7,185.48,1327997
2024-12-16,185.915,188.78,185.315,187.18,1847036
2024-12-17,186.64,187.32,185.85,185.93,1373009
2024-12-18,186.52,188.4,181.64,181.9,2022781
2024-12-19,183.5,184.49,181.16,181.38,1570330
2024-12-20,180.0,184.2,179.0,181.97,3579465
2024-12-23,181.09,183.37,181.085,183.22,1198573
2024-12-24,184.0,185.82,183.63,185.39,461104
2024-12-26,184.75,187.56,184.71,187.16,733783
2024-12-27,187.43,188.36,184.699,186.43,1010714
2024-12-30,184.19,185.93,182.0,184.54,1317179
2024-12-31,184.77,185.765,183.65,184.08,1106939
2025-01-02,184.66,185.1035,180.87,183.07,1437677
2025-01-03,184.6,189.18,184.2,188.75,1452747
2025-01-06,190.64,192.14,188.31,188.98,1233702
2025-01-07,188.085,188.71,180.875,181.75,2250962
2025-01-08,181.59,183.91,180.17,183.74,1976424
2025-01-10,181.9,182.88,177.35,178.61,1420430
2025-01-13,178.61,179.98,177.925,178.76,957454
2025-01-14,178.91,181.53,178.65,180.03,876197
2025-01-15,183.4,183.795,179.58,181.32,1332078
2025-01-16,182.27,184.455,181.26,183.37,1282400
2025-01-17,186.95,186.95,184.82,186.41,1443904
2025-01-21,187.55,189.035,184.425,185.14,1611301
2025-01-22,185.355,188.18,183.54,187.99,1548506
2025-01-23,183.28,184.6875,179.61,183.82,2067194
2025-01-24,184.0,185.63,182.565,185.49,1638756
2025-01-27,185.05,190.575,184.18,187.87,2335624
2025-01-28,186.852,189.7,185.725,187.14,1616139
2025-01-29,186.92,191.605,186.92,190.09,1430545
2025-01-30,190.91,192.5,189.875,191.23,1213220
2025-01-31,190.07,190.93,185.39,185.51,1680774
2025-02-03,184.62,187.59,182.89,186.07,1741449
2025-02-04,186.14,186.61,182.66,183.54,1661204
2025-02-05,185.1,186.17,182.92,184.92,1697990
2025-02-06,184.08,184.525,181.86,183.08,2779663
2025-02-07,198.0,212.88,195.97,208.77,6798621
2025-02-10,210.01,215.8442,206.275,212.51,3454398
2025-02-11,212.27,214.04,208.38,209.94,1783334
2025-02-12,207.43,210.105,206.555,209.18,1162834
2025-02-13,209.18,210.58,207.825,210.09,1338313
2025-02-14,210.23,212.59,208.55,208.76,1454693
2025-02-18,208.64,216.52,208.41,216.38,2462864
2025-02-19,218.59,218.7499,212.4573,215.18,1582571
2025-02-20,215.18,215.33,209.0446,215.24,1648458
2025-02-21,216.0,216.53,210.66,211.65,1439084
2025-02-24,213.21,213.7,207.28,212.02,1206749
2025-02-25,210.48,210.68,206.07,207.91,1922241
2025-02-26,208.81,210.28,207.4601,209.11,1281392
2025-02-27,209.85,211.37,207.625,208.21,1122970
2025-02-28,208.72,212.1,206.71,211.98,1858252
2025-03-03,212.89,214.4999,207.78,208.05,1781661
2025-03-04,207.98,209.09,202.01,208.55,2106659
2025-03-05,208.1,215.27,208.1,214.81,1750157
2025-03-06,214.2,216.464,207.33,207.87,2273454
2025-03-07,206.76,207.4483,198.71,204.33,1889839
2025-03-10,200.98,202.4663,197.0,201.93,1883566
2025-03-11,202.04,206.02,201.77,203.8,1543531
2025-03-12,204.48,206.72,203.49,205.33,1415037
2025-03-13,204.48,206.2,201.925,203.63,1263241
2025-03-14,205.67,206.32,201.835,204.57,1365539
2025-03-17,203.82,207.71,203.06,206.5,1904905
2025-03-18,205.96,206.36,203.7,204.32,1067585
2025-03-19,204.0,210.7125,203.48,208.86,1381650
2025-03-20,206.93,211.46,206.9,209.63,1329267
2025-03-21,207.51,215.0,204.21,213.47,3631979
2025-03-24,217.15,217.175,211.89,213.51,1453231
2025-03-25,213.66,218.56,211.57,217.95,1360997
2025-03-26,217.0,220.93,211.947,215.89,1951880
2025-03-27,215.77,216.7021,213.631,214.29,1128819
2025-03-28,214.28,215.52,209.32,210.47,1439438
2025-03-31,207.4,207.89,200.66,207.25,2690200
2025-04-01,205.23,210.57,204.7,210.13,1654740
2025-04-02,207.88,212.715,207.0,211.1,1602779
2025-04-03,205.46,211.5,204.94,208.93,2324536
2025-04-04,205.1,208.33,194.18,194.58,3684623
2025-04-07,190.92,201.125,188.56,197.53,3608431
2025-04-08,201.61,205.21,193.11,196.25,2230690
2025-04-09,194.34,209.39,194.12,208.13,2820864
2025-04-10,205.01,206.36,196.65,204.41,2257360
2025-04-11,204.83,212.85,202.26,212.07,2648554
2025-04-14,214.0,216.0,210.99,212.95,1220645
2025-04-15,212.75,215.3488,211.95,214.6,1267466
2025-04-16,213.8,215.8513,209.17,211.4,1228698
2025-04-17,213.67,214.8,211.46,212.77,1060193
2025-04-21,210.84,211.34,202.41,205.16,1744437
2025-04-22,208.13,211.7547,207.065,209.97,1493048
2025-04-23,212.07,215.9679,211.0,213.3,1713559
2025-04-24,213.8,224.575,213.3,222.69,2966631
2025-04-25,222.65,225.49,222.28,225.38,1534579
2025-04-28,227.25,228.995,223.59,225.55,2071652
2025-04-29,225.2,231.23,225.2,230.71,1621173
2025-04-30,227.0,234.09,225.4,233.32,2234204
2025-05-01,234.12,238.0,233.42,235.17,2175085
2025-05-02,214.45,224.7165,211.0,219.5,8968333
2025-05-05,218.5,225.82,217.74,225.32,2828645
2025-05-06,223.51,232.21,222.235,231.84,2811998
2025-05-07,232.11,232.935,225.34,226.34,2786959
2025-05-08,227.11,227.98,224.39,225.45,1774222
2025-05-09,225.45,227.49,223.05,226.55,1524677
2025-05-12,226.08,227.89,219.41,226.25,2080542
2025-05-13,225.86,228.3017,224.307,226.16,2116863
2025-05-14,225.71,229.67,224.89,229.5,2140245
2025-05-15,228.75,233.76,228.395,232.34,3081518
2025-05-16,236.58,240.78,226.11,226.74,4381389
2025-05-19,226.74,235.72,225.45,234.66,2189996
2025-05-20,233.02,237.62,232.539,237.5,1729504
2025-05-21,228.03,231.64,226.67,226.76,6081064
2025-05-22,228.03,228.4,223.12,226.01,4751087
2025-05-23,225.92,226.16,224.0001,224.99,1863014
2025-05-27,226.0,227.5,224.0,226.27,2372263
2025-05-28,226.34,229.88,226.34,228.33,2077566
2025-05-29,228.66,228.66,223.72,225.39,2137661
2025-05-30,225.4,226.95,224.26,226.28,3647903
2025-06-02,226.1,227.63,222.12,227.6,2472701
2025-06-03,227.0,229.85,224.0,229.65,1832336
2025-06-04,229.52,230.3999,227.2,229.18,1757466
2025-06-05,229.55,232.78,228.8301,231.03,2340468
2025-06-06,232.98,233.2,230.47,232.72,1497156
2025-06-09,232.2700042724609,234.3300018310547,230.38999938964844,233.5,1426200
2025-06-10,233.47000122070312,235.6199951171875,231.8999938964844,234.9100036621093,1596600
2025-06-11,234.3300018310547,235.6699981689453,232.2400054931641,234.7400054931641,1277500
2025-06-12,234.1199951171875,237.38999938964844,233.6100006103516,234.4600067138672,1441000
2025-06-13,232.92999267578125,235.8000030517578,229.58999633789065,230.22999572753903,2011400
2025-06-16,230.9499969482422,240.44000244140625,230.6699981689453,238.6000061035156,2220100
2025-06-17,238.6100006103516,239.55999755859372,236.1499938964844,237.5200042724609,1713100
2025-06-18,237.6999969482422,242.08999633789065,235.6699981689453,238.5,2510600
2025-06-20,240.08999633789065,242.27999877929688,236.97999572753903,238.3699951171875,3448500
2025-06-23,238.30999755859375,241.9600067138672,235.5500030517578,241.58999633789062,1719000
2025-06-24,242.3699951171875,245.0800018310547,240.6199951171875,243.0500030517578,1943300
2025-06-25,243.47000122070312,244.44000244140625,240.80999755859375,241.63999938964844,1526800
2025-06-26,241.3800048828125,242.75999450683594,238.66000366210938,239.3300018310547,1667000
2025-06-27,239.55,241.91,238.88,241.44,4576830
