Date,Open,High,Low,Close,Volume
2024-06-13,512.0,524.0,492.0,524.0,231
2024-06-14,506.0,510.0,506.0,510.0,54
2024-06-17,510.0,516.0,510.0,516.0,77
2024-06-18,516.0,536.0,516.0,524.0,1805
2024-06-19,534.0,540.0,534.0,540.0,364
2024-06-20,540.0,542.0,530.0,540.0,142
2024-06-21,550.0,580.0,538.0,570.0,1018
2024-06-24,572.0,580.0,546.0,570.0,954
2024-06-25,570.0,576.0,560.0,576.0,411
2024-06-26,580.0,582.0,554.0,582.0,243
2024-06-27,582.0,598.0,570.0,584.0,906
2024-06-28,590.0,596.0,576.0,580.0,2853
2024-07-01,596.0,600.0,580.0,596.0,4826
2024-07-02,592.0,592.0,576.0,584.0,67
2024-07-03,574.0,588.0,570.0,580.0,460
2024-07-04,574.0,586.0,574.0,582.0,1147
2024-07-05,574.0,582.0,574.0,582.0,31
2024-07-08,582.0,604.0,578.0,604.0,635
2024-07-09,604.0,604.0,594.0,600.0,728
2024-07-10,592.0,600.0,584.0,584.0,19
2024-07-11,584.0,590.0,582.0,584.0,58
2024-07-12,578.0,584.0,578.0,580.0,76
2024-07-15,590.0,590.0,556.0,570.0,512
2024-07-16,564.0,564.0,544.0,552.0,185
2024-07-17,552.0,566.0,542.0,550.0,895
2024-07-18,550.0,566.0,550.0,566.0,118
2024-07-19,564.0,564.0,550.0,550.0,3
2024-07-22,550.0,550.0,548.0,548.0,52
2024-07-23,544.0,544.0,520.0,530.0,146
2024-07-24,536.0,540.0,536.0,540.0,43
2024-07-25,526.0,536.0,524.0,536.0,20
2024-07-26,530.0,540.0,504.0,520.0,191
2024-07-29,520.0,532.0,514.0,532.0,32
2024-07-30,532.0,534.0,532.0,532.0,16
2024-07-31,532.0,534.0,520.0,534.0,12
2024-08-01,520.0,532.0,510.0,530.0,117
2024-08-02,528.0,528.0,510.0,510.0,52
2024-08-05,498.0,498.0,475.0,495.0,395
2024-08-06,495.0,498.0,478.0,482.0,125
2024-08-07,488.0,518.0,488.0,510.0,93
2024-08-08,514.0,520.0,500.0,520.0,99
2024-08-09,502.0,510.0,472.0,497.0,128
2024-08-12,508.0,510.0,506.0,506.0,29
2024-08-13,500.0,512.0,500.0,512.0,20
2024-08-14,512.0,512.0,504.0,506.0,69
2024-08-16,510.0,520.0,500.0,520.0,71
2024-08-19,520.0,534.0,512.0,532.0,189
2024-08-20,534.0,534.0,524.0,530.0,46
2024-08-21,530.0,530.0,528.0,528.0,41
2024-08-22,534.0,536.0,530.0,530.0,33
2024-08-23,524.0,528.0,522.0,528.0,9
2024-08-26,526.0,530.0,516.0,530.0,37
2024-08-27,520.0,520.0,512.0,520.0,32
2024-08-28,520.0,520.0,510.0,510.0,12
2024-08-29,510.0,518.0,506.0,518.0,18
2024-08-30,518.0,520.0,506.0,518.0,21
2024-09-02,516.0,516.0,512.0,512.0,27
2024-09-03,510.0,518.0,506.0,518.0,43
2024-09-04,518.0,518.0,508.0,514.0,7
2024-09-05,510.0,516.0,508.0,514.0,53
2024-09-06,512.0,512.0,508.0,508.0,25
2024-09-09,506.0,506.0,490.0,504.0,101
2024-09-10,508.0,508.0,493.0,502.0,25
2024-09-11,508.0,508.0,494.0,504.0,7
2024-09-12,504.0,504.0,500.0,500.0,38
2024-09-13,500.0,500.0,481.0,497.0,75
2024-09-16,484.0,497.0,484.0,485.0,105
2024-09-17,486.0,492.0,480.0,490.0,109
2024-09-18,482.0,487.0,475.0,475.0,85
2024-09-19,475.0,484.0,464.0,484.0,198
2024-09-20,484.0,484.0,463.0,463.0,135
2024-09-23,468.0,475.0,459.0,475.0,129
2024-09-24,465.0,466.0,457.0,460.0,234
2024-09-25,459.0,465.0,440.0,465.0,375
2024-09-26,465.0,472.0,465.0,468.0,32
2024-09-27,468.0,468.0,460.0,468.0,313
2024-09-30,468.0,468.0,460.0,468.0,89
2024-10-01,468.0,468.0,466.0,468.0,30
2024-10-02,466.0,466.0,457.0,466.0,28
2024-10-03,466.0,466.0,450.0,459.0,80
2024-10-04,452.0,461.0,450.0,461.0,55
2024-10-07,453.0,453.0,450.0,451.0,262
2024-10-08,452.0,455.0,450.0,452.0,53
2024-10-09,449.0,460.0,447.0,460.0,41
2024-10-10,460.0,460.0,451.0,460.0,17
2024-10-11,451.0,459.0,451.0,459.0,17
2024-10-14,450.0,460.0,445.0,450.0,178
2024-10-15,456.0,456.0,443.0,445.0,169
2024-10-16,445.0,450.0,443.0,443.0,216
2024-10-17,445.0,445.0,441.0,443.0,74
2024-10-18,443.0,444.0,439.0,444.0,95
2024-10-21,445.0,453.0,445.0,446.0,36
2024-10-22,454.0,454.0,438.0,438.0,39
2024-10-23,441.0,452.0,438.0,445.0,15
2024-10-24,445.0,445.0,441.0,445.0,36
2024-10-25,445.0,445.0,425.0,426.0,327
2024-10-28,435.0,455.0,435.0,455.0,124
2024-10-29,454.0,463.0,450.0,463.0,100
2024-10-30,463.0,463.0,460.0,460.0,14
2024-10-31,454.0,465.0,448.0,465.0,230
2024-11-04,450.0,460.0,439.0,450.0,111
2024-11-05,454.0,460.0,450.0,460.0,31
2024-11-06,460.0,464.0,450.0,464.0,16
2024-11-07,452.0,461.0,447.0,450.0,57
2024-11-08,447.0,460.0,445.0,459.0,38
2024-11-12,459.0,459.0,446.0,446.0,37
2024-11-13,447.0,447.0,440.0,445.0,41
2024-11-14,440.0,445.0,439.0,445.0,11
2024-11-15,444.0,446.0,439.0,446.0,26
2024-11-18,439.0,440.0,432.0,440.0,119
2024-11-19,436.0,436.0,425.0,425.0,82
2024-11-20,425.0,431.0,408.0,425.0,91
2024-11-21,420.0,423.0,408.0,414.0,148
2024-11-22,414.0,419.0,410.0,418.0,31
2024-11-25,418.0,418.0,408.0,414.0,151
2024-11-26,411.0,414.0,410.0,410.0,85
2024-11-27,407.0,423.0,406.0,419.0,279
2024-11-28,422.0,437.0,422.0,435.0,84
2024-11-29,430.0,445.0,430.0,440.0,51
2024-12-02,435.0,440.0,431.0,440.0,56
2024-12-03,440.0,445.0,436.0,440.0,124
2024-12-04,436.0,440.0,435.0,440.0,35
2024-12-05,432.0,440.0,432.0,435.0,1023
2024-12-06,433.0,436.0,431.0,436.0,34
2024-12-09,421.0,428.0,418.0,426.0,171
2024-12-10,426.0,426.0,416.0,424.0,125
2024-12-11,420.0,420.0,414.0,420.0,94
2024-12-12,420.0,420.0,413.0,417.0,73
2024-12-13,419.0,419.0,407.0,409.0,178
2024-12-16,410.0,412.0,410.0,412.0,170
2024-12-17,410.0,414.0,410.0,414.0,178
2024-12-18,409.0,410.0,401.0,402.0,214
2024-12-19,401.0,413.0,400.0,404.0,262
2024-12-20,404.0,408.0,400.0,408.0,1357
2024-12-23,419.0,420.0,410.0,419.0,918
2024-12-27,420.0,452.0,415.0,450.0,2253
2024-12-30,462.0,475.0,449.0,475.0,501
2025-01-02,475.0,475.0,455.0,470.0,151
