Date,Open,High,Low,Close,Volume
2024-12-02,10.48,10.61,10.28,10.56,25625776
2024-12-03,10.5,10.5975,10.37,10.55,21156689
2024-12-04,10.51,10.7,10.44,10.65,24335346
2024-12-05,10.63,10.83,10.6122,10.68,24541948
2024-12-06,10.74,10.82,10.575,10.66,20606952
2024-12-09,10.8,11.29,10.52,10.56,46974918
2024-12-10,10.65,11.05,10.54,10.89,29114996
2024-12-11,10.91,10.99,10.72,10.82,24134488
2024-12-12,11.4,12.7,11.4,12.49,84908786
2024-12-13,12.315,12.665,11.99,12.07,36587812
2024-12-16,12.02,12.167,11.55,11.6,30406341
2024-12-17,11.44,11.725,11.215,11.35,33243618
2024-12-18,11.25,11.35,10.59,10.63,36163227
2024-12-19,10.7,10.84,10.42,10.49,30391983
2024-12-20,10.43,10.79,10.38,10.69,52771187
2024-12-23,10.64,10.695,10.39,10.44,17355427
2024-12-24,10.41,10.6,10.35,10.55,8487132
2024-12-26,10.47,10.7,10.36,10.62,13569740
2024-12-27,10.52,10.65,10.43,10.61,16494391
2024-12-30,10.52,10.62,10.315,10.51,17814796
2024-12-31,10.56,10.77,10.51,10.57,20427407
2025-01-02,10.66,10.77,10.49,10.66,27073683
2025-01-03,10.7,10.76,10.42,10.57,17650601
2025-01-06,10.7,10.95,10.52,10.83,35200597
2025-01-07,10.79,10.87,10.425,10.51,27127302
2025-01-08,10.51,10.52,9.88,10.06,32849893
2025-01-10,9.85,9.86,9.47,9.7,33329579
2025-01-13,9.655,9.92,9.585,9.84,27065034
2025-01-14,9.95,10.03,9.72,9.73,29281262
2025-01-15,10.02,10.05,9.73,9.79,25539670
2025-01-16,9.7,9.73,9.45,9.47,20727436
2025-01-17,9.63,9.69,9.5,9.52,19899556
2025-01-21,9.75,9.925,9.72,9.77,25865654
2025-01-22,9.77,10.07,9.73,10.05,32349896
2025-01-23,10.05,10.29,10.04,10.28,27570576
2025-01-24,10.34,10.4,10.16,10.25,20389525
2025-01-27,10.1,10.555,10.09,10.49,27477554
2025-01-28,10.47,10.47,10.15,10.25,23483394
2025-01-29,10.36,10.6,10.32,10.43,22595182
2025-01-30,10.629,10.69,10.395,10.62,24757428
2025-01-31,10.51,10.84,10.355,10.44,33329647
2025-02-03,10.24,10.255,9.9348,10.16,27127409
2025-02-04,10.14,10.28,9.97,10.06,22142900
2025-02-05,10.07,10.2,9.94,10.19,22030179
2025-02-06,10.31,10.35,9.96,10.2,24431502
2025-02-07,10.29,10.42,10.13,10.16,22038711
2025-02-10,10.235,10.33,9.96,9.98,25188977
2025-02-11,9.83,9.96,9.78,9.85,27458055
2025-02-12,9.74,9.955,9.71,9.82,17511927
2025-02-13,9.865,10.22,9.82,10.205,28205507
2025-02-14,10.32,10.395,10.13,10.34,22465986
2025-02-18,10.34,10.73,10.18,10.62,32611477
2025-02-19,10.645,10.98,10.52,10.89,36269897
2025-02-20,10.96,11.1087,10.8,11.04,29539070
2025-02-21,11.165,11.205,10.7,10.78,35887560
2025-02-24,10.9,11.22,10.67,11.08,48784283
2025-02-25,11.16,11.18,10.68,10.69,43318711
2025-02-26,10.65,10.9,10.43,10.5,56183913
2025-02-27,11.28,11.9,10.99,11.0,98432065
2025-02-28,11.07,11.64,10.77,11.46,74121769
2025-03-03,11.41,11.67,10.925,11.02,50490462
2025-03-04,11.18,11.45,10.87,11.32,45824796
2025-03-05,11.33,11.5199,10.99,11.43,40448128
2025-03-06,11.28,11.315,10.7,10.7,46739319
2025-03-07,10.74,11.25,10.6,11.07,49421407
2025-03-10,11.0,11.09,10.48,10.59,39093470
2025-03-11,10.61,10.7,10.19,10.37,50764925
2025-03-12,10.38,10.6,10.13,10.42,36779623
2025-03-13,10.345,10.455,9.89,9.89,43328182
2025-03-14,10.05,10.38,10.01,10.19,27637199
2025-03-17,10.2,10.55,10.125,10.48,23966010
2025-03-18,10.48,10.48,10.28,10.39,33426921
2025-03-19,10.43,11.01,10.4,10.92,36585934
2025-03-20,10.8,10.8832,10.61,10.65,26374256
2025-03-21,10.56,10.79,10.45,10.74,55499140
2025-03-24,10.94,11.04,10.53,10.97,43662412
2025-03-25,11.0,11.035,10.84,10.98,37144350
2025-03-26,10.95,11.1956,10.9,11.03,32257625
2025-03-27,11.01,11.185,10.91,11.01,54215944
2025-03-28,11.03,11.08,10.29,10.37,52599014
2025-03-31,10.31,10.805,10.04,10.73,75700092
2025-04-01,10.79,11.15,10.14,10.21,42217067
2025-04-02,10.05,10.61,10.02,10.56,37025723
2025-04-03,10.03,10.136,9.115,9.16,52884546
2025-04-04,8.85,8.86,8.03,8.07,57367610
2025-04-07,7.8,8.785,7.65,8.09,58591528
2025-04-08,8.32,8.47,7.61,7.69,48084194
2025-04-09,7.57,9.5,7.52,9.26,74775333
2025-04-10,8.9,8.96,7.79,8.1,61845120
2025-04-11,8.12,8.14,7.61,7.97,36414775
2025-04-14,8.1,8.33,7.985,8.02,38009057
2025-04-15,8.02,8.32,7.98,8.25,38578298
2025-04-16,8.275,8.34,7.77,7.92,49152262
2025-04-17,8.01,8.19,7.95,8.11,31300748
2025-04-21,8.06,8.11,7.75,7.94,27148760
2025-04-22,8.055,8.125,7.915,7.95,42184512
2025-04-23,8.32,8.78,8.285,8.33,57586506
2025-04-24,8.32,8.64,8.2629,8.5,30082693
2025-04-25,8.5,8.655,8.43,8.59,24513698
2025-04-28,8.59,8.88,8.53,8.7,37596749
2025-04-29,8.645,8.835,8.595,8.77,25474116
2025-04-30,8.64,8.7,8.2809,8.67,40878728
2025-05-01,8.685,8.699,8.31,8.43,45438492
2025-05-02,8.52,8.67,8.43,8.54,31725510
2025-05-05,8.175,8.53,8.075,8.37,42739687
2025-05-06,8.182,8.46,8.13,8.43,38438715
2025-05-07,8.5,8.65,8.4349,8.56,52292332
2025-05-08,8.16,9.3,8.06,9.01,69402576
2025-05-09,9.01,9.29,8.91,9.07,30000498
2025-05-12,9.55,9.785,9.2,9.23,47028760
2025-05-13,9.28,9.345,9.14,9.18,35665551
2025-05-14,9.12,9.21,9.02,9.21,32979575
2025-05-15,9.11,9.25,9.05,9.14,24005528
2025-05-16,9.135,9.19,8.82,9.16,33118826
2025-05-19,9.03,9.07,8.84,9.05,33356262
2025-05-20,9.05,9.34,8.98,9.23,38319714
2025-05-21,9.1,9.18,8.88,8.95,46832001
2025-05-22,8.945,9.06,8.83,9.02,28787815
2025-05-23,8.85,9.05,8.84,9.0,21961589
2025-05-27,9.219,9.64,9.15,9.55,31726420
2025-05-28,9.54,10.13,9.48,10.02,59164116
2025-05-29,10.18,10.19,9.7501,10.04,44033805
2025-05-30,10.02,10.02,9.66,9.97,52970653
2025-06-02,9.925,10.015,9.75,10.0,46464718
2025-06-03,9.97,10.1,9.74,9.94,31616241
2025-06-04,9.95,10.0099,9.69,9.79,34162242
2025-06-05,9.79,10.055,9.62,9.65,44358607
2025-06-06,9.81,10.03,9.7701,9.82,30034495
2025-06-09,10.619999885559082,11.100000381469728,9.380000114440918,9.529999732971191,155057800
2025-06-10,9.550000190734863,10.119999885559082,9.109999656677246,10.010000228881836,71415700
2025-06-11,10.15999984741211,10.550000190734863,10.119999885559082,10.510000228881836,52112100
2025-06-12,10.510000228881836,10.890000343322754,10.130000114440918,10.15999984741211,58726200
2025-06-13,10.09000015258789,10.279999732971191,9.979999542236328,10.029999732971191,39383800
2025-06-16,10.140000343322754,10.800000190734863,10.039999961853027,10.760000228881836,46714400
2025-06-17,10.75,10.81999969482422,10.329999923706056,10.579999923706056,46816600
2025-06-18,10.579999923706056,10.75,10.420000076293944,10.56999969482422,45179700
2025-06-20,10.729999542236328,11.0600004196167,10.390000343322754,10.520000457763672,106521700
2025-06-23,10.449999809265137,10.710000038146973,10.270000457763672,10.68000030517578,41873500
2025-06-24,10.789999961853027,11.100000381469728,10.75,10.899999618530272,67034400
2025-06-25,10.899999618530272,11.050000190734863,10.829999923706056,10.869999885559082,42934900
2025-06-26,10.890000343322754,11.210000038146973,10.75,11.149999618530272,72764500
2025-06-27,11.17,11.72,11.17,11.3,86182532
2025-06-30,11.41,11.63,11.29,11.46,43999005
2025-07-01,10.95,11.02,10.78,10.94,88003026
2025-07-02,11.0,11.16,10.96,11.12,48630006
2025-07-03,11.140000343322754,11.3100004196167,11.119999885559082,11.220000267028809,24154300
2025-07-07,11.140000343322754,11.289999961853027,10.989999771118164,11.020000457763672,38309300
2025-07-08,11.079999923706055,11.420000076293945,11.039999961853027,11.40999984741211,73452800
2025-07-09,11.449999809265137,11.779999732971191,11.430000305175781,11.489999771118164,54777300
2025-07-10,11.489999771118164,11.739999771118164,11.449999809265137,11.649999618530273,42463700
2025-07-11,11.569999694824219,11.760000228881836,11.460000038146973,11.729999542236328,70361100
2025-07-14,11.73,12.08,11.705,12.01,61484173
2025-07-15,12.01,12.3,12.0,12.03,94535844
2025-07-16,12.1,12.65,12.035,12.58,105446362
2025-07-17,12.59,13.04,12.515,12.84,125223062
2025-07-18,12.97,12.99,12.57,12.75,117779092
2025-07-21,12.83,12.89,12.66,12.8,62754175
2025-07-22,12.8,13.02,12.765,12.85,89947638
2025-07-23,12.9,13.39,12.85,13.31,102962975
2025-07-24,13.25,13.68000030517578,13.229999542236328,13.5,127485000
2025-07-25,13.520000457763672,13.579999923706056,13.210000038146973,13.489999771118164,74365500
2025-07-28,13.539999961853027,13.869999885559082,13.489999771118164,13.699999809265137,97026500
2025-07-29,13.760000228881836,13.760000228881836,13.050000190734863,13.119999885559082,67560100
2025-07-30,13.100000381469727,13.470000267028809,13.069999694824219,13.260000228881836,52330000
2025-07-31,13.199999809265137,13.289999961853027,13.020000457763672,13.170000076293945,55442000
2025-08-01,13.039999961853027,13.0600004196167,12.569999694824219,12.869999885559082,59364100
2025-08-04,12.899999618530273,13.010000228881836,12.619999885559082,12.800000190734863,65206800
2025-08-05,12.890000343322754,12.90999984741211,12.470000267028809,12.720000267028809,48416600
2025-08-06,12.800000190734863,12.960000038146973,12.760000228881836,12.789999961853027,48742800
2025-08-07,13.149999618530273,13.229999542236328,11.760000228881836,11.859999656677246,57823200
2025-08-08,11.859999656677246,11.979999542236328,10.899999618530273,10.90999984741211,62188500
