Date,Open,High,Low,Close,Volume
2024-12-02,72.49,72.59,71.13,71.2,2718032
2024-12-03,71.5,71.755,70.98,71.0,2672529
2024-12-04,71.19,71.385,70.3626,70.72,3233348
2024-12-05,70.82,71.26,70.61,70.86,2518525
2024-12-06,70.65,70.75,69.53,69.74,3432767
2024-12-09,69.73,70.0795,68.93,69.11,2760687
2024-12-10,69.11,69.64,68.22,69.15,2587458
2024-12-11,69.24,69.45,68.3,68.36,3013003
2024-12-12,69.17,69.24,68.18,68.49,2575276
2024-12-13,68.21,68.58,67.9,68.12,2253986
2024-12-16,68.12,68.45,67.63,67.66,4244692
2024-12-17,67.5,68.75,67.02,68.08,6459715
2024-12-18,67.64,68.04,66.34,66.4,5884925
2024-12-19,66.1,67.59,66.07,66.65,4607989
2024-12-20,66.53,67.82,66.47,67.4,13060777
2024-12-23,67.12,67.83,66.83,67.72,2535653
2024-12-24,67.79,68.28,67.6,68.21,943915
2024-12-26,67.87,68.44,67.7313,68.18,1394942
2024-12-27,67.72,68.65,67.61,68.14,2014955
2024-12-30,68.14,68.14,67.16,67.59,2642910
2024-12-31,67.45,68.06,67.22,67.52,2143881
2025-01-02,67.84,68.0,66.63,66.86,2817170
2025-01-03,67.13,67.31,66.56,66.69,3157381
2025-01-06,65.745,66.42,64.985,65.14,3657563
2025-01-07,65.14,66.52,64.97,65.64,3017834
2025-01-08,65.56,66.44,65.05,66.39,3714749
2025-01-10,66.04,66.04,62.58,63.37,5441065
2025-01-13,63.82,64.14,63.13,63.62,3114553
2025-01-14,63.43,64.29,63.21,64.08,5952823
2025-01-15,65.01,65.535,64.745,64.94,2655622
2025-01-16,64.76,66.21,64.6093,66.2,3024125
2025-01-17,66.53,66.885,65.93,66.72,3235025
2025-01-21,66.94,67.98,66.63,67.68,4147485
2025-01-22,67.57,67.57,66.83,66.98,3746056
2025-01-23,67.28,67.28,65.99,66.06,3928593
2025-01-24,66.15,66.99,65.75,66.61,3110246
2025-01-27,66.63,68.05,66.315,67.99,4142654
2025-01-28,67.86,67.86,66.18,66.43,3043657
2025-01-29,66.3,66.815,65.97,66.07,2447363
2025-01-30,66.73,67.04,66.23,66.86,2704356
2025-01-31,66.75,67.24,66.61,67.2,6442305
2025-02-03,67.09,67.98,66.45,67.75,2916894
2025-02-04,67.22,67.57,66.58,67.32,2716439
2025-02-05,68.0,68.49,67.375,67.95,2941056
2025-02-06,67.01,67.73,65.995,67.12,5611554
2025-02-07,67.41,67.89,66.43,66.6,3797802
2025-02-10,66.91,67.03,65.87,66.88,2638335
2025-02-11,66.6,67.23,65.99,67.19,2284376
2025-02-12,66.46,67.49,66.18,67.4,2706184
2025-02-13,67.44,68.58,67.26,68.4,2433124
2025-02-14,68.6,69.5899,68.415,68.61,4167843
2025-02-18,68.73,69.14,68.265,68.54,3177198
2025-02-19,68.65,69.39,68.5,69.07,2425334
2025-02-20,68.94,69.44,68.2,69.32,1878416
2025-02-21,69.35,70.24,69.19,69.94,2379446
2025-02-24,70.55,71.365,69.905,70.78,3010279
2025-02-25,71.0,71.054,70.14,70.45,3713403
2025-02-26,70.07,70.48,69.485,69.97,3907881
2025-02-27,69.75,70.97,69.57,70.76,4553494
2025-02-28,71.792,72.39,71.1,72.1,7085490
2025-03-03,71.89,72.64,71.36,71.9,5015622
2025-03-04,72.08,72.7,69.98,70.03,4212130
2025-03-05,69.45,70.22,68.6,68.73,6974979
2025-03-06,68.36,68.58,67.25,67.66,5262259
2025-03-07,67.7,68.61,67.52,68.0,3849597
2025-03-10,68.045,69.89,68.045,69.35,4830462
2025-03-11,69.42,69.64,68.1101,68.73,3381652
2025-03-12,68.32,69.7,68.17,68.85,3356637
2025-03-13,69.27,69.76,68.15,68.665,2409372
2025-03-14,68.1,69.91,67.88,69.75,4170824
2025-03-17,69.7,70.7,69.54,69.96,3751097
2025-03-18,69.74,70.325,69.4,70.28,3159766
2025-03-19,70.17,70.499,69.84,70.24,3111967
2025-03-20,70.24,70.575,69.796,70.09,3039122
2025-03-21,69.81,70.359,68.82,69.11,6689303
2025-03-24,69.52,69.645,68.705,68.86,3157004
2025-03-25,68.6,68.79,67.5,67.93,3110217
2025-03-26,68.01,69.44,67.985,68.92,3540567
2025-03-27,69.11,69.8,68.925,69.32,3870701
2025-03-28,69.875,70.49,69.64,69.72,3533624
2025-03-31,70.39,71.36,69.9,70.79,3772295
2025-04-01,70.61,70.82,69.97,70.72,2233424
2025-04-02,70.87,71.3,70.06,70.9,2054721
2025-04-03,71.99,72.6388,71.15,72.14,3573485
2025-04-04,73.0,73.0,67.775,67.89,5680837
2025-04-07,67.89,68.38,65.75,67.06,7971226
2025-04-08,67.36,69.2,66.35,67.04,5792530
2025-04-09,66.52,69.17,65.43,68.58,6518046
2025-04-10,68.27,69.3075,67.005,68.41,3491649
2025-04-11,68.41,69.925,67.52,69.555,3148381
2025-04-14,69.42,70.87,68.28,70.73,2515683
2025-04-15,71.16,71.4788,70.21,70.27,2556862
2025-04-16,70.48,70.82,68.86,69.1,2824027
2025-04-17,69.7,71.03,69.495,70.13,2784549
2025-04-21,69.88,70.2999,68.19,68.97,5664881
2025-04-22,69.66,71.71,69.38,71.39,5162419
2025-04-23,71.07,72.1,70.58,71.55,5639066
2025-04-24,70.34,71.48,69.01,70.29,6499723
2025-04-25,70.5,70.545,68.41,69.0,4816862
2025-04-28,69.11,69.68,68.46,69.58,2994570
2025-04-29,69.56,70.77,69.22,70.67,2539303
2025-04-30,70.69,70.88,69.6,70.7,4468347
2025-05-01,70.7,71.39,70.0,70.4,3389198
2025-05-02,70.73,71.035,69.98,70.77,3854528
2025-05-05,70.415,71.14,69.96,70.89,5645613
2025-05-06,70.62,71.4,70.45,71.06,2765389
2025-05-07,71.17,71.97,70.96,71.36,4552365
2025-05-08,71.31,71.57,70.08,70.17,3159991
2025-05-09,70.25,70.88,69.99,70.61,2479336
2025-05-12,70.35,70.405,67.43,67.78,4783677
2025-05-13,67.78,68.73,66.75,68.31,5328251
2025-05-14,67.91,68.94,67.375,68.8,5338081
2025-05-15,69.25,71.31,69.18,71.26,6642343
2025-05-16,71.3,72.56,70.95,72.38,7154049
2025-05-19,71.9,72.37,71.58,72.21,5044860
2025-05-20,72.13,72.7799,71.9,72.315,3538579
2025-05-21,71.9,72.05,69.86,69.92,4134595
2025-05-22,69.84,69.95,68.49,69.21,4059209
2025-05-23,69.43,69.82,68.56,69.73,3077561
2025-05-27,70.21,70.39,69.5,69.805,2578607
2025-05-28,69.78,69.865,68.62,68.93,2425697
2025-05-29,68.9,69.7092,68.63,69.47,2024809
2025-05-30,69.53,70.41,69.36,70.1,3985888
2025-06-02,69.72,69.85,69.14,69.73,2506375
2025-06-03,69.71,69.95,68.72,69.33,3344824
2025-06-04,69.14,69.415,68.43,68.5,2286304
2025-06-05,68.48,68.74,68.09,68.57,1841302
2025-06-06,68.93,69.14,68.12,68.51,1876660
2025-06-09,68.25,69.23999786376953,68.08999633789062,68.37999725341797,2509500
2025-06-10,68.4800033569336,69.11000061035156,68.23999786376953,68.95999908447266,2640400
2025-06-11,68.93000030517578,68.9800033569336,68.01000213623047,68.25,3190900
2025-06-12,68.52999877929688,69.08000183105469,68.19000244140625,69.06999969482422,2569200
2025-06-13,68.5,68.72000122070312,67.4800033569336,67.62000274658203,2861400
2025-06-16,67.87000274658203,68.06999969482422,66.41999816894531,66.79000091552734,3343500
2025-06-17,66.80000305175781,66.80000305175781,65.47000122070312,65.6500015258789,3460200
2025-06-18,65.75,66.48999786376953,65.20999908447266,66.27999877929688,2917100
2025-06-20,66.5999984741211,67.0999984741211,66.31999969482422,66.63999938964844,6825600
2025-06-23,67.06,67.95,66.92,67.91,3405137
2025-06-24,67.91,68.64,67.785,68.23,4277162
2025-06-25,68.0,68.18,67.15,67.32,2445964
2025-06-26,67.71,67.85,67.19,67.75,2166243
2025-06-27,67.68,68.38,67.55,67.78,4020533
2025-06-30,67.5,68.21,67.075,68.1,4116079
2025-07-01,68.37,69.0,66.87,68.71,3711919
2025-07-02,68.36,68.6399,67.0101,67.56,3031435
2025-07-03,67.43,68.425,67.3,68.19,2236072
2025-07-07,68.19,68.29,67.475,67.88,2193101
2025-07-08,67.44,67.825,66.56,67.56,2061258
2025-07-09,67.64,68.045,67.11,67.84,2121088
2025-07-10,67.28,68.47,67.02,68.45,2542374
2025-07-11,68.19,68.995,67.81,68.62,2394427
2025-07-14,68.64,69.21,68.38,69.17,2045521
2025-07-15,68.94,69.17,68.01,68.33,2460336
2025-07-16,68.39,69.4,68.32,69.17,3624417
2025-07-17,69.03,69.79,68.975,69.65,2836550
2025-07-18,70.0,70.88,69.66,70.38,3421049
2025-07-21,70.72,71.795,70.37,71.57,2635281
2025-07-22,71.79,73.11,71.61,73.06,2917831
2025-07-23,73.22,73.559,72.07,72.5,3526683
2025-07-24,72.5199966430664,72.98999786376953,72.08999633789062,72.77999877929688,2339700
2025-07-25,72.9000015258789,73.05999755859375,72.44999694824219,72.66000366210938,2760100
2025-07-28,72.12000274658203,72.77999877929688,71.01000213623047,71.13999938964844,3396500
2025-07-29,71.45999908447266,72.37000274658203,71.05999755859375,72.33999633789062,3163700
2025-07-30,72.33999633789062,73.23999786376953,72.20999908447266,72.38999938964844,4844900
2025-07-31,72.9000015258789,73.87000274658203,72.66999816894531,73.44000244140625,4367500
2025-08-01,73.88999938964844,74.12999725341797,72.9000015258789,73.47000122070312,4005100
2025-08-04,73.7699966430664,74.44999694824219,73.63999938964844,74.23999786376953,5851800
2025-08-05,74.08000183105469,74.56999969482422,73.43000030517578,73.7300033569336,4542700
2025-08-06,74.02999877929688,74.04000091552734,73.23999786376953,73.30000305175781,2863300
2025-08-07,73.33999633789062,73.73999786376953,73.08999633789062,73.2300033569336,3601900
2025-08-08,73.30000305175781,73.77999877929688,73.0199966430664,73.33000183105469,3328900
2025-08-11,73.37000274658203,73.48999786376953,72.37000274658203,72.68000030517578,2480800
2025-08-12,72.8499984741211,72.8499984741211,71.4000015258789,72.38999938964844,3136900
2025-08-13,72.37000274658203,72.94000244140625,72.2300033569336,72.91999816894531,3227000
2025-08-14,72.80000305175781,73.33000183105469,72.27999877929688,72.38999938964844,2703000
2025-08-15,72.52999877929688,73.16999816894531,69.16000366210938,71.93000030517578,7793300
2025-08-18,72.02999877929688,72.43000030517578,71.83999633789062,72.20999908447266,3113000
2025-08-19,72.20999908447266,73.2699966430664,72.0999984741211,73.22000122070312,4002100
2025-08-20,73.64,74.338,72.875,73.17,3908515
2025-08-21,72.86000061035156,73.68000030517578,72.80000305175781,73.16000366210938,3099700
2025-08-22,73.58999633789062,74.37999725341797,73.27999877929688,74.26000213623047,3374300
2025-08-25,74.0199966430664,74.19000244140625,72.88999938964844,73.02999877929688,2250200
2025-08-26,72.83999633789062,72.88999938964844,72.29000091552734,72.54000091552734,2733200
2025-08-27,72.30000305175781,72.98999786376953,72.23999786376953,72.87000274658203,3068100
2025-08-28,73.0,73.19999694824219,72.26000213623047,72.33999633789062,3361900
2025-08-29,72.5,72.91000366210938,72.18000030517578,72.38999938964844,3003400
2025-09-02,72.04000091552734,72.36000061035156,71.52999877929688,72.13999938964844,3101400
2025-09-03,72.05999755859375,72.4800033569336,71.54000091552734,72.43000030517578,3044900
