Date,Open,High,Low,Close
2024-05-28,1.16661,1.1669,1.1622,1.16429
2024-05-29,1.16435,1.16556,1.15969,1.15996
2024-05-30,1.15999,1.16078,1.14981,1.15018
2024-05-31,1.15018,1.15339,1.14756,1.14986
2024-06-03,1.14983,1.14988,1.14395,1.14721
2024-06-04,1.14719,1.14823,1.13624,1.13713
2024-06-05,1.13672,1.14319,1.13624,1.14251
2024-06-06,1.14252,1.14252,1.13731,1.1381
2024-06-07,1.13768,1.14232,1.13683,1.14077
2024-06-10,1.1418,1.14243,1.1376,1.14042
2024-06-11,1.14042,1.14406,1.13931,1.14368
2024-06-12,1.14362,1.14603,1.14141,1.14454
2024-06-13,1.1445,1.1463,1.13905,1.14024
2024-06-14,1.14009,1.14083,1.12766,1.12962
2024-06-17,1.12924,1.13196,1.12778,1.12995
2024-06-18,1.13035,1.13043,1.12192,1.1239
2024-06-19,1.12368,1.12757,1.12262,1.12513
2024-06-20,1.12487,1.13188,1.12217,1.12836
2024-06-21,1.12835,1.13127,1.12572,1.13119
2024-06-24,1.12998,1.13432,1.12886,1.13278
2024-06-25,1.13283,1.13577,1.13142,1.13507
2024-06-26,1.13505,1.13764,1.13219,1.13276
2024-06-27,1.13243,1.13667,1.13177,1.13557
2024-06-28,1.13559,1.13901,1.13509,1.13567
2024-07-01,1.13685,1.14563,1.13642,1.14209
2024-07-02,1.14203,1.14703,1.14047,1.14648
2024-07-03,1.14644,1.15036,1.14607,1.14881
2024-07-04,1.149,1.1524,1.14706,1.14852
2024-07-05,1.14858,1.15158,1.14695,1.14801
2024-07-08,1.14758,1.15166,1.14502,1.1496
2024-07-09,1.14977,1.15148,1.14708,1.1479
2024-07-10,1.14803,1.15653,1.1473,1.15554
2024-07-11,1.15561,1.15795,1.15305,1.15755
2024-07-12,1.15747,1.16238,1.15611,1.16115
2024-07-15,1.16131,1.16327,1.15964,1.16118
2024-07-16,1.16125,1.16264,1.15889,1.15977
2024-07-17,1.15978,1.16105,1.14849,1.14899
2024-07-18,1.14865,1.15047,1.14656,1.14894
2024-07-19,1.14877,1.15085,1.1464,1.14784
2024-07-22,1.1481,1.15083,1.14608,1.15041
2024-07-23,1.15024,1.1521,1.14853,1.15039
2024-07-24,1.15043,1.15058,1.14101,1.14243
2024-07-25,1.14241,1.14246,1.12998,1.13228
2024-07-26,1.13271,1.13777,1.13203,1.13728
2024-07-29,1.1368,1.14037,1.13346,1.13983
2024-07-30,1.13984,1.1409,1.1328,1.13313
2024-07-31,1.13313,1.13402,1.12591,1.1288
2024-08-01,1.1289,1.12928,1.11091,1.11187
2024-08-02,1.1119,1.11226,1.09778,1.10044
2024-08-05,1.09908,1.09956,1.07444,1.08937
2024-08-06,1.08923,1.09507,1.07893,1.08126
2024-08-07,1.08137,1.10203,1.08087,1.09432
2024-08-08,1.09415,1.10523,1.08578,1.10435
2024-08-09,1.10443,1.10733,1.09945,1.10319
2024-08-12,1.10279,1.11253,1.10237,1.10454
2024-08-13,1.10452,1.11325,1.10406,1.11185
2024-08-14,1.11188,1.11373,1.10713,1.1101
2024-08-15,1.11012,1.12228,1.10921,1.12188
2024-08-16,1.12174,1.1228,1.11752,1.122
2024-08-19,1.12186,1.1237,1.1169,1.12071
2024-08-20,1.12102,1.12117,1.11285,1.1132
2024-08-21,1.1131,1.11646,1.11068,1.11501
2024-08-22,1.115,1.11791,1.11215,1.11598
2024-08-23,1.11575,1.12245,1.11448,1.11993
2024-08-26,1.11951,1.12068,1.11564,1.11793
2024-08-27,1.11768,1.12121,1.11486,1.11619
2024-08-28,1.11628,1.1174,1.10895,1.11074
2024-08-29,1.11063,1.11767,1.10963,1.11529
2024-08-30,1.11542,1.11983,1.1144,1.11648
2024-09-02,1.11626,1.12161,1.11428,1.11952
2024-09-03,1.11954,1.12096,1.11188,1.11484
2024-09-04,1.11491,1.11778,1.11111,1.11333
2024-09-05,1.1133,1.11724,1.11142,1.11277
2024-09-06,1.11259,1.11597,1.10557,1.10723
2024-09-09,1.10735,1.11179,1.10682,1.11058
2024-09-10,1.1105,1.1122,1.10456,1.10764
2024-09-11,1.10757,1.11258,1.10245,1.11172
