Date,Open,High,Low,Close,Volume
2024-05-28,156.8855,157.1995,156.5945,157.163,
2024-05-29,157.1615,157.7075,156.9625,157.597,
2024-05-30,157.592,157.6725,156.3765,156.7855,
2024-05-31,156.7865,157.3655,156.5615,157.2735,
2024-06-03,157.238,157.4675,155.9515,156.1135,
2024-06-04,156.113,156.4865,154.5505,154.8335,
2024-06-05,154.8105,156.4705,154.7975,156.059,
2024-06-06,156.05,156.4395,155.3855,155.6095,
2024-06-07,155.6075,157.074,155.1235,156.749,
2024-06-10,156.7745,157.189,156.71,157.021,
2024-06-11,157.02,157.398,156.808,157.126,
2024-06-12,157.1275,157.372,155.721,156.598,
2024-06-13,156.598,157.311,156.589,157.007,
2024-06-14,157.006,158.257,156.89,157.306,
2024-06-17,157.38,157.958,157.165,157.7335,
2024-06-18,157.7355,158.228,157.519,157.8365,
2024-06-19,157.8425,158.106,157.606,158.005,
2024-06-20,158.0075,158.9455,157.923,158.9115,
2024-06-21,158.9115,159.624,158.677,159.606,
2024-06-24,159.736,159.922,158.865,159.61,
2024-06-25,159.603,159.757,159.21,159.6635,
2024-06-26,159.663,160.871,159.615,160.765,
2024-06-27,160.7515,160.823,160.303,160.754,
2024-06-28,160.753,161.268,160.265,160.871,
2024-07-01,160.8405,161.729,160.757,161.4695,
2024-07-02,161.4675,161.744,161.28,161.448,
2024-07-03,161.448,161.951,160.783,161.5715,
2024-07-04,161.572,161.674,160.95,161.253,
2024-07-05,161.253,161.397,160.363,160.768,
2024-07-08,160.6895,161.119,160.265,160.798,
2024-07-09,160.795,161.509,160.733,161.2885,
2024-07-10,161.2905,161.807,161.266,161.576,
2024-07-11,161.578,161.76,157.477,158.9425,
2024-07-12,158.944,159.449,157.3855,157.832,
2024-07-15,158.161,158.419,157.294,158.091,
2024-07-16,158.0825,158.856,158.067,158.33,
2024-07-17,158.3335,158.601,156.073,156.167,
2024-07-18,156.1695,157.4,155.376,157.352,
2024-07-19,157.3525,157.864,156.976,157.509,
2024-07-22,157.413,157.613,156.289,156.945,
2024-07-23,156.96,157.103,155.5385,155.587,
2024-07-24,155.5895,155.989,153.12,153.793,
2024-07-25,153.772,154.312,151.946,153.932,
2024-07-26,153.9325,154.739,153.247,153.759,
2024-07-29,153.712,154.349,153.031,154.02,
2024-07-30,154.021,155.217,152.653,152.704,
2024-07-31,152.711,153.874,149.618,149.885,
2024-08-01,149.867,150.875,148.52,149.349,
2024-08-02,149.319,149.769,146.427,146.586,
2024-08-05,146.474,146.5605,141.7,144.089,
2024-08-06,144.077,146.3655,143.624,144.56,
2024-08-07,144.561,147.8935,144.318,146.729,
2024-08-08,146.7345,147.517,145.434,147.216,
2024-08-09,147.2255,147.8,146.275,146.647,
2024-08-12,146.761,148.223,146.704,147.202,
2024-08-13,147.197,147.945,146.602,146.8565,
2024-08-14,146.856,147.571,146.08,147.2575,
2024-08-15,147.2565,149.385,147.057,149.3195,
2024-08-16,149.3205,149.3215,147.628,147.7,
2024-08-19,147.685,148.049,145.189,146.605,
2024-08-20,146.606,147.332,145.097,145.1405,
2024-08-21,145.1385,146.777,144.458,145.1775,
2024-08-22,145.1795,146.52,144.854,146.2465,
2024-08-23,146.247,146.479,144.055,144.234,
2024-08-26,144.0485,144.656,143.456,144.5285,
2024-08-27,144.514,145.174,143.919,143.9495,
2024-08-28,143.9495,145.033,143.688,144.4585,
2024-08-29,144.4575,145.552,144.223,144.993,
2024-08-30,145.005,146.248,144.658,146.178,
2024-09-02,146.101,147.179,145.788,146.909,
2024-09-03,146.907,147.207,145.172,145.4435,
2024-09-04,145.4515,145.559,143.6015,143.651,
2024-09-05,143.651,144.23,142.859,143.432,
2024-09-06,143.4345,143.901,141.869,142.419,
2024-09-09,142.2,143.794,141.962,143.1585,
2024-09-10,143.141,143.708,142.203,142.43,
2024-09-11,142.43,142.531,140.719,142.3005,
2024-09-12,142.298,143.04,141.73,141.84,
2024-09-13,141.8265,141.872,140.289,140.93,
2024-09-16,140.763,140.911,139.581,140.633,
2024-09-17,140.6335,142.468,140.323,142.355,
2024-09-18,142.359,142.696,140.449,142.1335,
2024-09-19,142.1325,143.943,141.901,142.6485,
2024-09-20,142.646,144.49,141.745,143.923,
2024-09-23,143.8955,144.453,143.172,143.583,
2024-09-24,143.583,144.678,143.115,143.208,
2024-09-25,143.1875,144.843,142.915,144.6795,
2024-09-26,144.68,145.2,144.118,144.805,
2024-09-27,144.799,146.473,142.072,142.182,
2024-09-30,142.2655,143.913,141.653,143.607,
2024-10-01,143.607,144.53,142.979,143.631,
2024-10-02,143.633,146.512,143.428,146.3745,
2024-10-03,146.3715,147.229,146.288,146.867,
2024-10-04,146.848,149.0,145.931,148.772,
2024-10-07,148.867,149.13,147.857,148.153,
2024-10-08,148.1565,148.378,147.348,148.227,
2024-10-09,148.2325,149.359,148.014,149.178,
2024-10-10,149.1785,149.546,148.376,148.5445,
2024-10-11,148.5445,149.284,148.406,149.142,
2024-10-14,149.1685,149.975,149.148,149.778,
2024-10-15,149.775,149.834,148.851,149.2075,
2024-10-16,149.2085,149.807,148.919,149.587,
2024-10-17,149.5885,150.324,149.247,150.1665,
2024-10-18,150.166,150.278,149.368,149.523,
2024-10-21,149.5945,150.887,149.092,150.73,
2024-10-22,150.73,151.197,150.508,151.057,
2024-10-23,151.0625,153.183,151.032,152.6895,
2024-10-24,152.688,152.8315,151.556,151.8295,
2024-10-25,151.8435,152.377,151.461,152.262,
2024-10-28,152.956,153.87,152.41,153.305,
2024-10-29,153.302,153.868,152.757,153.255,
2024-10-30,153.249,153.486,152.802,153.3,
2024-10-31,153.305,153.571,151.839,152.06,
2024-11-01,152.049,153.093,151.792,152.988,
2024-11-04,152.4135,152.4805,151.543,152.1165,
2024-11-05,152.1145,152.536,151.338,151.6115,
2024-11-06,151.5995,154.697,151.315,154.54,
2024-11-07,154.54,154.709,152.695,152.9485,
2024-11-08,152.9445,153.369,152.146,152.517,
2024-11-11,152.685,153.954,152.681,153.73,
2024-11-12,153.7355,154.918,153.414,154.53,
2024-11-13,154.527,155.624,154.343,155.428,
2024-11-14,155.4275,156.414,155.346,156.2965,
2024-11-15,156.297,156.75,153.867,154.294,
2024-11-18,154.586,155.356,153.842,154.655,
2024-11-19,154.656,154.796,153.287,154.5985,
2024-11-20,154.5955,155.886,154.532,155.35,
2024-11-21,155.338,155.3725,153.919,154.513,
2024-11-22,154.5105,155.015,153.979,154.838,
2024-11-25,154.226,154.7245,153.5525,154.12,
2024-11-26,154.1205,154.4855,153.0015,153.075,
2024-11-27,153.078,153.2355,150.4605,150.986,
2024-11-28,150.986,151.9495,150.9375,151.538,
2024-11-29,151.537,151.537,149.4815,149.649,
2024-12-02,149.576,150.7475,149.0875,149.55,
2024-12-03,149.549,150.2295,148.6475,149.5995,
2024-12-04,149.605,151.2295,149.5325,150.5315,
2024-12-05,150.53,150.7645,149.6565,150.081,
2024-12-06,150.087,150.6985,149.3685,149.9605,
2024-12-09,149.996,151.3455,149.6965,151.248,
2024-12-10,151.229,152.1765,150.9005,151.947,
2024-12-11,151.944,152.7875,151.0955,152.4325,
2024-12-12,152.423,152.7665,151.8195,152.593,
2024-12-13,152.5895,153.7985,152.4575,153.6575,
2024-12-16,153.626,154.4765,153.3265,154.1435,
2024-12-17,154.151,154.3355,153.1615,153.449,
2024-12-18,153.4555,154.8625,153.3365,154.7525,
2024-12-19,154.7545,157.8085,154.4555,157.4405,
2024-12-20,157.451,157.9215,155.9565,156.3505,
2024-12-23,156.516,157.2695,156.3395,157.156,
2024-12-24,157.1555,157.3895,156.8985,157.2785,
2024-12-26,157.249,158.0825,157.0775,157.892,
2024-12-27,157.887,157.9505,157.3565,157.9165,
2024-12-30,157.697,158.0665,156.6745,156.894,
