Date,Open,High,Low,Close,Volume
2024-05-31,0.337,0.35,0.33,0.331,261572
2024-06-03,0.331,0.336,0.32,0.327,159851
2024-06-04,0.327,0.327,0.316,0.32,96433
2024-06-05,0.318,0.32,0.305,0.315,59629
2024-06-06,0.31,0.314,0.28,0.3,292346
2024-06-07,0.305,0.308,0.281,0.298,83500
2024-06-10,0.298,0.31,0.295,0.297,49600
2024-06-11,0.306,0.306,0.29,0.305,34873
2024-06-12,0.305,0.305,0.29,0.299,22724
2024-06-13,0.296,0.299,0.292,0.299,36572
2024-06-14,0.298,0.298,0.286,0.293,47412
2024-06-17,0.288,0.289,0.287,0.287,30532
2024-06-18,0.287,0.292,0.285,0.286,24316
2024-06-19,0.286,0.291,0.281,0.284,49018
2024-06-20,0.285,0.29,0.284,0.284,13350
2024-06-21,0.287,0.315,0.282,0.31,142683
2024-06-24,0.315,0.315,0.301,0.313,66279
2024-06-25,0.314,0.34,0.31,0.311,115937
2024-06-26,0.322,0.327,0.31,0.325,39971
2024-06-27,0.317,0.332,0.313,0.331,137644
2024-06-28,0.332,0.342,0.314,0.336,216701
2024-07-01,0.336,0.34,0.319,0.339,151422
2024-07-02,0.339,0.345,0.33,0.339,139519
2024-07-03,0.339,0.351,0.333,0.348,131583
2024-07-04,0.345,0.351,0.339,0.347,13303
2024-07-05,0.335,0.347,0.335,0.342,9539
2024-07-08,0.344,0.344,0.33,0.33,18196
2024-07-09,0.34,0.34,0.319,0.34,39784
2024-07-10,0.339,0.34,0.326,0.333,80654
2024-07-11,0.339,0.34,0.33,0.34,87297
2024-07-12,0.343,0.343,0.33,0.34,15131
2024-07-15,0.34,0.34,0.328,0.34,18210
2024-07-16,0.332,0.339,0.324,0.329,23131
2024-07-17,0.327,0.338,0.318,0.338,42867
2024-07-18,0.338,0.338,0.324,0.338,15574
2024-07-19,0.336,0.337,0.32,0.334,18430
2024-07-22,0.327,0.33,0.32,0.326,44425
2024-07-23,0.326,0.335,0.323,0.335,43527
2024-07-24,0.336,0.338,0.324,0.328,60311
2024-07-25,0.329,0.329,0.307,0.31,149879
2024-07-26,0.31,0.313,0.306,0.306,19479
2024-07-29,0.313,0.315,0.301,0.313,14373
2024-07-30,0.313,0.34,0.312,0.315,57553
2024-07-31,0.32,0.32,0.314,0.315,8728
2024-08-01,0.319,0.322,0.312,0.312,43558
2024-08-02,0.312,0.315,0.31,0.315,23074
2024-08-05,0.315,0.318,0.284,0.3,47388
2024-08-06,0.3,0.3,0.285,0.297,8018
2024-08-07,0.288,0.297,0.288,0.297,29657
2024-08-08,0.297,0.306,0.297,0.3,3670
2024-08-09,0.299,0.299,0.287,0.294,20154
2024-08-12,0.295,0.315,0.295,0.3,33249
2024-08-13,0.308,0.308,0.3,0.302,23630
2024-08-14,0.302,0.324,0.288,0.318,135263
2024-08-16,0.319,0.319,0.301,0.304,28182
2024-08-19,0.303,0.314,0.298,0.307,26866
2024-08-20,0.301,0.312,0.293,0.3,26622
2024-08-21,0.307,0.307,0.294,0.304,30722
2024-08-22,0.304,0.307,0.293,0.3,28642
2024-08-23,0.304,0.307,0.29,0.3,62529
2024-08-26,0.3,0.3,0.293,0.3,6555
2024-08-27,0.29,0.299,0.29,0.292,23251
2024-08-28,0.298,0.308,0.292,0.307,11030
2024-08-29,0.308,0.31,0.293,0.31,54675
2024-08-30,0.3,0.31,0.293,0.307,38476
2024-09-02,0.303,0.309,0.297,0.297,19280
2024-09-03,0.3,0.304,0.291,0.303,48416
2024-09-04,0.303,0.305,0.298,0.305,4345
2024-09-05,0.305,0.305,0.293,0.3,23971
2024-09-06,0.295,0.303,0.289,0.303,49155
2024-09-09,0.303,0.305,0.294,0.302,19011
2024-09-10,0.302,0.302,0.29,0.301,7164
2024-09-11,0.298,0.301,0.294,0.296,12237
2024-09-12,0.295,0.302,0.294,0.302,38589
2024-09-13,0.302,0.302,0.291,0.299,25598
2024-09-16,0.292,0.3,0.284,0.297,61518
2024-09-17,0.297,0.297,0.28,0.297,88805
2024-09-18,0.296,0.296,0.284,0.284,44027
2024-09-19,0.284,0.29,0.284,0.289,41436
2024-09-20,0.288,0.29,0.284,0.29,18506
2024-09-23,0.29,0.29,0.278,0.285,65387
2024-09-24,0.281,0.285,0.278,0.284,46203
2024-09-25,0.284,0.291,0.28,0.281,13771
2024-09-26,0.281,0.281,0.28,0.28,2900
2024-09-27,0.285,0.287,0.275,0.276,40171
2024-09-30,0.281,0.302,0.281,0.295,6819
