Date,Open,High,Low,Close,Volume
2024-12-02,136.01,137.6,135.69,137.49,3608673
2024-12-03,136.97,138.37,135.3762,137.46,4681376
2024-12-04,136.55,139.15,134.85,139.07,3893417
2024-12-05,138.84,140.38,135.51,136.32,6174926
2024-12-06,137.75,138.86,136.56,136.92,4295842
2024-12-09,137.0,138.97,136.59,137.27,3648659
2024-12-10,137.19,139.8899,136.62,138.3,4777826
2024-12-11,138.68,140.17,137.21,138.84,4096469
2024-12-12,138.1,139.1,134.4001,137.47,4254067
2024-12-13,136.65,137.019,130.75,130.95,5288524
2024-12-16,131.22,133.28,129.17,132.2,4136299
2024-12-17,132.2,132.61,130.88,132.24,3126163
2024-12-18,132.025,133.71,127.23,127.54,4236662
2024-12-19,129.13,131.08,127.91,129.35,4745008
2024-12-20,128.63,135.82,128.34,134.21,15471727
2024-12-23,134.81,135.58,132.21,134.52,4728474
2024-12-24,134.33,135.07,132.83,134.99,1677060
2024-12-26,134.24,136.27,134.24,135.32,2067513
2024-12-27,133.59,134.5,132.16,133.385,2650366
2024-12-30,131.31,132.61,129.85,131.81,2458835
2024-12-31,132.46,133.19,131.27,131.41,2312564
2025-01-02,131.87,134.23,130.41,131.48,2606269
2025-01-03,131.98,136.36,131.94,135.71,3607355
2025-01-06,137.0,138.1,134.58,135.2,4174471
2025-01-07,135.35,136.765,130.8096,131.29,4290458
2025-01-08,131.2,131.63,130.1,130.8,3204678
2025-01-10,131.3,133.05,128.8,129.63,4325415
2025-01-13,128.585,130.13,128.0835,128.85,3510639
2025-01-14,129.82,131.1,127.17,127.6,3999323
2025-01-15,130.19,133.15,130.16,132.52,3732921
2025-01-16,132.0,132.95,129.82,132.16,2904932
2025-01-17,134.17,135.62,132.69,135.12,3751223
2025-01-21,135.47,135.64,131.24,133.07,5396777
2025-01-22,133.0,135.0,132.34,132.5,5028540
2025-01-23,132.4,133.64,131.775,133.24,3968199
2025-01-24,132.61,132.72,126.72,127.09,6966883
2025-01-27,125.94,129.06,125.64,128.96,4806967
2025-01-28,128.67,131.42,126.86,131.05,5929900
2025-01-29,131.42,134.05,130.89,132.58,3627926
2025-01-30,133.56,134.3714,130.85,131.79,2440541
2025-01-31,132.28,134.45,130.57,131.17,3047116
2025-02-03,129.19,130.955,127.515,129.78,2745002
2025-02-04,129.58,131.49,129.08,130.74,2687169
2025-02-05,130.27,130.34,128.1,129.6,3001069
2025-02-06,130.16,133.19,130.15,132.57,3704352
2025-02-07,134.7,139.5,133.9056,134.98,5933237
2025-02-10,136.3,136.36,133.16,135.24,4760053
