Date,Open,High,Low,Close,Volume
2024-05-28,223.0,223.2,220.5,222.3,386779
2024-05-29,221.5,228.2,221.3,227.1,601744
2024-05-30,228.0,232.0,227.7,231.5,438957
2024-05-31,230.9,231.7,229.6,231.5,754394
2024-06-03,234.0,236.3,232.7,232.9,343377
2024-06-04,232.5,234.3,229.8,232.4,238332
2024-06-05,232.7,234.1,230.1,231.7,289657
2024-06-06,233.6,234.1,230.5,231.2,280535
2024-06-07,230.8,231.0,228.7,231.0,338479
2024-06-10,230.0,231.3,228.7,229.7,303861
2024-06-11,230.0,230.4,224.4,225.8,366456
2024-06-12,227.0,231.0,224.4,230.4,352295
2024-06-13,229.8,230.3,225.6,227.5,431958
2024-06-14,227.3,227.9,222.3,224.9,513627
2024-06-17,224.9,225.0,215.1,219.1,616003
2024-06-18,221.2,222.2,214.9,216.0,456994
2024-06-19,215.9,216.1,214.3,215.0,203351
2024-06-20,215.5,221.3,214.3,221.2,456250
2024-06-21,221.7,221.7,216.5,217.8,845215
2024-06-24,217.9,220.9,216.3,220.1,392140
2024-06-25,220.8,220.8,217.7,217.9,328573
2024-06-26,219.9,222.9,218.5,222.2,443187
2024-06-27,220.0,223.5,219.5,222.6,431701
2024-06-28,223.4,226.4,220.4,223.0,893100
2024-07-01,224.4,225.3,219.5,219.5,495056
2024-07-02,219.4,220.1,211.3,216.0,451962
2024-07-03,216.5,220.4,215.2,218.1,348200
2024-07-04,218.2,219.5,216.7,219.5,196939
2024-07-05,219.9,223.1,218.8,220.3,295332
2024-07-08,220.3,222.7,218.7,218.8,272629
2024-07-09,218.6,219.6,216.1,216.1,242949
2024-07-10,217.0,222.1,216.3,221.3,451996
2024-07-11,222.8,226.0,221.3,225.8,371141
2024-07-12,226.5,231.2,226.3,231.2,421911
2024-07-15,230.7,234.7,229.5,231.4,496283
2024-07-16,230.0,230.3,225.3,228.7,368867
2024-07-17,237.0,240.4,232.8,233.5,915133
2024-07-18,234.9,235.4,230.2,232.8,433937
2024-07-19,229.8,231.4,226.7,227.1,471432
2024-07-22,228.3,229.4,226.7,228.7,338049
2024-07-23,228.5,230.9,227.1,230.4,248657
2024-07-24,226.6,232.6,224.7,232.6,373108
2024-07-25,230.7,232.0,228.8,229.1,318572
2024-07-26,228.5,233.0,227.8,233.0,345891
2024-07-29,233.8,237.2,231.7,235.8,530967
2024-07-30,236.0,237.1,232.6,236.6,436335
2024-07-31,235.0,242.0,227.4,231.3,1063820
2024-08-01,230.0,231.8,224.9,225.5,463001
2024-08-02,223.5,225.2,218.2,218.7,531871
2024-08-05,214.0,215.4,209.7,214.9,404843
2024-08-06,214.3,216.0,208.7,213.2,462842
2024-08-07,213.0,217.5,210.6,216.7,398434
2024-08-08,214.7,216.2,210.8,215.5,289785
2024-08-09,215.1,216.1,212.9,214.6,266147
2024-08-12,215.5,216.8,211.3,212.4,206714
2024-08-13,213.2,213.7,208.9,213.3,292101
2024-08-14,214.6,218.3,214.1,217.2,288491
2024-08-15,217.3,220.3,216.1,218.4,321406
2024-08-16,219.4,219.5,216.7,217.0,325628
2024-08-19,217.2,218.1,215.8,217.6,242386
2024-08-20,217.7,217.9,213.8,214.1,268193
2024-08-21,213.6,217.8,213.6,217.4,311709
2024-08-22,216.7,218.2,216.4,217.5,189030
2024-08-23,217.8,219.4,215.9,219.2,184926
2024-08-26,218.7,219.6,218.0,218.9,125673
2024-08-27,220.0,223.7,219.1,223.7,329311
2024-08-28,223.7,229.8,223.4,227.0,456171
2024-08-29,227.1,231.7,226.4,231.6,313245
2024-08-30,230.9,236.5,229.7,232.0,621404
2024-09-02,231.7,231.7,228.9,230.0,181709
2024-09-03,230.4,231.5,228.7,230.0,168526
2024-09-04,227.3,229.6,222.4,224.5,343327
2024-09-05,223.0,224.0,219.9,222.0,261795
2024-09-06,221.3,222.9,217.0,220.7,356991
2024-09-09,215.3,215.7,207.8,214.0,574068
2024-09-10,214.0,215.2,208.2,209.1,391410
2024-09-11,210.1,213.8,209.6,212.8,280574
2024-09-12,215.3,220.1,214.3,218.5,413837
2024-09-13,219.2,219.9,218.1,218.5,294596
2024-09-16,218.0,220.6,217.2,219.3,214071
2024-09-17,219.0,222.5,218.6,221.1,270742
2024-09-18,220.4,222.0,219.3,220.2,233820
2024-09-19,223.8,227.5,222.1,227.1,341822
2024-09-20,221.2,221.8,217.1,217.8,1052730
2024-09-23,217.9,220.3,216.8,218.5,260562
2024-09-24,222.3,223.0,220.2,220.5,334776
2024-09-25,220.0,224.1,219.2,222.5,289319
2024-09-26,227.7,236.2,227.5,233.8,556805
2024-09-27,235.6,240.3,234.8,240.3,459038
2024-09-30,239.0,243.9,236.8,237.9,481607
2024-10-01,238.3,239.6,232.6,232.8,500205
2024-10-02,231.2,240.6,230.5,237.2,491737
2024-10-03,236.7,237.3,232.9,236.5,254620
2024-10-04,235.9,239.5,235.1,238.2,329243
2024-10-07,239.8,239.8,236.7,238.3,362869
2024-10-08,233.7,238.0,232.3,235.0,357404
2024-10-09,235.7,238.3,233.8,235.9,483221
2024-10-10,237.2,237.2,230.9,232.7,396881
2024-10-11,232.5,233.6,231.5,233.6,360272
2024-10-14,235.0,238.9,234.2,236.8,299142
2024-10-15,237.9,240.8,236.7,239.7,406568
2024-10-16,230.0,235.1,224.2,224.7,989714
2024-10-17,224.0,227.3,222.6,225.3,533117
2024-10-18,227.1,231.4,227.0,227.9,414595
2024-10-21,227.4,228.5,221.6,222.6,364185
2024-10-22,222.3,223.0,219.0,220.1,333344
2024-10-23,218.0,219.1,215.9,216.0,379057
2024-10-24,216.0,219.3,214.8,216.0,454537
2024-10-25,215.0,217.7,213.9,217.0,318304
2024-10-28,217.0,217.1,212.9,213.8,703173
2024-10-29,217.0,222.6,214.5,222.0,812315
2024-10-30,222.0,224.7,219.1,220.8,376497
2024-10-31,219.7,219.9,215.8,219.4,532431
2024-11-01,218.6,223.1,218.4,222.1,351511
2024-11-04,222.4,223.0,219.3,220.5,234525
2024-11-05,222.9,222.9,219.0,221.1,224493
2024-11-06,220.5,220.5,212.2,213.1,602146
2024-11-07,213.0,224.2,213.0,222.9,522544
2024-11-08,223.7,223.9,217.0,219.0,380707
2024-11-11,221.0,225.6,220.2,223.3,292590
2024-11-12,220.0,220.2,216.4,217.6,381514
2024-11-13,216.4,218.8,214.7,216.9,341934
2024-11-14,215.5,219.2,215.1,218.2,327798
2024-11-15,217.1,218.8,214.8,215.0,545379
2024-11-18,215.9,215.9,211.8,215.2,367804
2024-11-19,216.0,216.6,210.2,213.2,428271
2024-11-20,214.6,216.5,212.2,213.5,324400
2024-11-21,212.3,213.0,208.2,211.1,538698
2024-11-22,213.1,215.2,208.0,214.4,411698
2024-11-25,217.8,221.2,217.5,221.2,710065
2024-11-26,219.6,224.0,218.3,222.0,345042
2024-11-27,221.3,221.8,218.0,220.4,298799
2024-11-28,220.8,221.4,219.2,220.8,157462
2024-11-29,219.7,223.1,219.7,223.1,318552
2024-12-02,224.0,231.6,221.8,230.2,508700
2024-12-03,231.5,235.6,231.2,234.7,415892
2024-12-04,235.1,238.7,233.1,236.0,583612
2024-12-05,237.3,240.1,236.7,239.2,328331
2024-12-06,239.5,242.1,238.6,241.6,390065
2024-12-09,244.0,245.0,238.1,238.6,404596
2024-12-10,237.4,240.3,236.0,240.3,381510
2024-12-11,237.7,243.7,235.3,241.5,521790
2024-12-12,242.7,245.4,241.5,244.5,381243
2024-12-13,244.4,244.5,239.2,240.0,380723
2024-12-16,238.5,243.9,236.8,243.0,312509
2024-12-17,242.1,244.7,240.9,242.2,254573
2024-12-18,241.3,243.1,240.4,241.2,335532
2024-12-19,238.4,240.5,236.1,236.1,509389
2024-12-20,235.7,236.6,233.3,236.4,1390143
2024-12-23,235.0,236.6,234.1,234.9,177773
2024-12-27,233.3,237.6,232.5,236.0,207859
2024-12-30,235.2,237.5,234.8,236.8,154268
2025-01-02,235.9,238.9,232.7,236.7,334076
2025-01-03,236.3,237.6,231.9,233.6,267860
2025-01-06,234.2,241.4,234.2,239.5,341822
2025-01-07,241.9,245.8,240.8,243.3,363477
2025-01-08,243.2,247.4,242.9,244.7,374136
2025-01-09,243.2,246.8,242.7,246.0,274632
2025-01-10,245.0,248.8,243.8,243.8,336996
2025-01-13,243.0,243.9,238.2,238.8,308620
2025-01-14,240.0,240.2,235.4,237.3,384903
2025-01-15,237.3,242.7,237.0,241.1,361285
2025-01-16,244.9,245.5,240.4,242.4,334833
2025-01-17,242.9,243.0,240.0,241.7,649260
2025-01-20,241.7,245.0,240.6,243.3,250394
2025-01-21,242.4,244.0,241.1,243.4,261205
